algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
qr, 16384, 512, 1, 1230495385, 1210072159, 185274845, 143718408, 9.654130
qr, 16384, 512, 2, 1255050193, 1241534846, 193057435, 142893983, 10.038300
qr, 16384, 512, 3, 1379964546, 1284616096, 206276360, 153914160, 11.068700
qr, 16384, 512, 4, 1437481245, 1331452097, 213898238, 159670830, 11.787400
qr, 16384, 512, 5, 1477333254, 1376965530, 239869147, 186664085, 14.872600
qr, 16384, 512, 6, 1455779538, 1371809232, 241903710, 187463464, 14.914400
qr, 16384, 512, 7, 1547489996, 1433138238, 265172899, 193747710, 16.573700
qr, 16384, 512, 8, 1538471342, 1436315964, 261738339, 201173687, 16.607300
qr, 16384, 512, 9, 1232915240, 1218471551, 188201322, 142182166, 9.722940
qr, 16384, 512, 10, 1245564316, 1226518466, 194227288, 139623960, 9.969460
qr, 16384, 512, 11, 1408484859, 1317912947, 214629043, 152100482, 11.475300
qr, 16384, 512, 12, 1383029296, 1288111509, 212660345, 152343018, 11.364100
qr, 16384, 512, 13, 1454464477, 1361390009, 241454777, 183249109, 14.737700
qr, 16384, 512, 14, 1463340859, 1363117666, 242951285, 186420249, 14.969400
qr, 16384, 512, 15, 1561279817, 1457991080, 263469519, 204595348, 16.947300
qr, 16384, 512, 16, 1553405569, 1451505989, 264063955, 206186043, 17.054100
qr, 16384, 1024, 1, 3184615321, 2816799612, 483257507, 288583260, 25.620300
qr, 16384, 1024, 2, 3163179524, 2842227587, 488178645, 283781325, 25.806100
qr, 16384, 1024, 3, 3472079490, 3059072002, 530326397, 331544864, 30.215800
qr, 16384, 1024, 4, 3454065194, 3088421598, 534768660, 332947691, 30.572700
qr, 16384, 1024, 5, 2537794528, 2251555516, 459990232, 280389498, 24.127800
qr, 16384, 1024, 6, 2589234094, 2273926430, 474351990, 278135517, 25.358800
qr, 16384, 1024, 7, 2741650818, 2421908046, 519110120, 327024373, 29.817000
qr, 16384, 1024, 8, 2735064226, 2394078283, 533042744, 304667309, 30.399900
qr, 16384, 1024, 9, 3009901292, 2745862356, 469472529, 280137508, 24.548000
qr, 16384, 1024, 10, 3071109570, 2757179160, 484845143, 278874706, 25.308400
qr, 16384, 1024, 11, 3494018276, 3037455664, 552863312, 316458805, 30.614700
qr, 16384, 1024, 12, 3306637043, 2925517352, 533793040, 318528879, 29.541200
qr, 16384, 1024, 13, 2519567952, 2255760948, 464257676, 277796041, 24.211400
qr, 16384, 1024, 14, 2545836317, 2234079425, 477992349, 271564902, 24.890300
qr, 16384, 1024, 15, 2813987913, 2413878220, 548422442, 287853527, 30.688100
qr, 16384, 1024, 16, 2784305433, 2411350150, 544498098, 311814168, 31.200100
qr, 16384, 2048, 1, 10252067383, 10662565050, 960245579, 1446849289, 89.048500
qr, 16384, 2048, 2, 10129188364, 8892041567, 1465756586, 788198028, 85.079500
qr, 16384, 2048, 3, 12261336470, 10806608748, 1734290649, 977910562, 108.233000
qr, 16384, 2048, 4, 12247229206, 10332054482, 1733884587, 949383727, 109.107000
qr, 16384, 2048, 5, 8509491826, 7640235751, 1473603772, 824751503, 88.564800
qr, 16384, 2048, 6, 8509952213, 7776310110, 1520845398, 862159682, 93.795900
qr, 16384, 2048, 7, 9503165247, 8308405488, 1722928181, 790479503, 111.286000
qr, 16384, 2048, 8, 8822488828, 7723532656, 1680483578, 720981043, 110.191000
qr, 16384, 2048, 9, 10828390736, 9379704076, 1528161046, 813947821, 89.521100
qr, 16384, 2048, 10, 11078821858, 10095588962, 1582704767, 870954566, 95.031000
qr, 16384, 2048, 11, 12837362949, 11170216033, 1823595831, 1035653664, 114.219000
qr, 16384, 2048, 12, 12563631960, 10477656283, 1819873234, 1007607142, 116.547000
qr, 16384, 2048, 13, 8707166736, 7698956976, 1517131170, 861695159, 92.793600
qr, 16384, 2048, 14, 8328251690, 7331687225, 1525235550, 860548867, 92.685900
qr, 16384, 2048, 15, 9520721172, 8303585311, 1756265320, 766183624, 113.616000
qr, 16384, 2048, 16, 9561147826, 8363932445, 1569478055, 650542536, 94.199400
