algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
qr,16384,512,1,1229008369.0,1209397782.6666667,186295951.66666666,142261215.33333334,9.65066
qr,16384,512,2,1239426494.3333333,1221163703.0,191884843.33333334,140611646.0,9.896586666666666
qr,16384,512,3,1379798286.6666667,1280828915.0,206727791.33333334,153525264.66666666,11.096066666666667
qr,16384,512,4,1403562020.0,1309948184.6666667,211666258.66666666,156627476.66666666,11.5255
qr,16384,512,5,1467105130.6666667,1367495705.6666667,240626634.66666666,184974700.0,14.834133333333334
qr,16384,512,6,1464136938.3333333,1363900540.6666667,242211510.33333334,186993729.0,14.954766666666666
qr,16384,512,7,1538091196.0,1428084417.6666667,261851335.0,198064813.66666666,16.5675
qr,16384,512,8,1534073119.3333333,1431300982.6666667,261170209.66666666,203975759.66666666,16.765933333333333
qr,16384,512,9,1245137030.3333333,1228653450.3333333,190622266.66666666,140793737.0,9.825753333333333
qr,16384,512,10,1252729357.0,1234788179.6666667,194132290.33333334,140691343.66666666,10.049553333333334
qr,16384,512,11,1384090064.6666667,1296179013.6666667,207662983.66666666,155839455.33333334,11.250233333333334
qr,16384,512,12,1425398593.0,1307057038.3333333,216296625.0,153933274.66666666,11.699766666666667
qr,16384,512,13,1459677456.3333333,1365511519.0,240479978.33333334,185744641.66666666,14.837966666666667
qr,16384,512,14,1460323573.0,1364034838.6666667,242755868.66666666,186501487.0,14.9701
qr,16384,512,15,1545101777.6666667,1443466947.0,261880736.66666666,201711706.33333334,16.737433333333332
qr,16384,512,16,1540116011.6666667,1437938254.3333333,263535360.33333334,202945635.66666666,16.864633333333334
qr,16384,1024,1,3170116315.0,2824281852.6666665,487767610.6666667,281987971.0,25.552733333333332
qr,16384,1024,2,3092324582.6666665,2790674964.3333335,480054202.6666667,281085888.0,25.256
qr,16384,1024,3,3422419278.0,3066427432.3333335,531597811.6666667,327978546.6666667,30.01646666666667
qr,16384,1024,4,3433585957.3333335,3015933278.3333335,532242543.3333333,327822813.3333333,30.239866666666668
qr,16384,1024,5,2535957944.6666665,2255850589.0,459209814.3333333,280842954.3333333,24.1298
qr,16384,1024,6,2544834773.3333335,2245107533.3333335,469428332.0,278387544.0,24.864666666666665
qr,16384,1024,7,2776728202.3333335,2445141689.6666665,527698754.6666667,324507094.3333333,30.2099
qr,16384,1024,8,2725507081.0,2372131053.0,531769074.6666667,305378927.3333333,30.183066666666665
qr,16384,1024,9,3081372055.6666665,2775842707.0,479173845.6666667,281156645.6666667,25.057866666666666
qr,16384,1024,10,3089171535.3333335,2759798924.3333335,487319458.6666667,274163591.6666667,25.4397
qr,16384,1024,11,3454761500.3333335,3020550393.3333335,542396689.0,323269074.3333333,30.252233333333333
qr,16384,1024,12,3428270419.0,3020497618.3333335,542848620.3333334,324186809.0,30.477966666666664
qr,16384,1024,13,2551351704.3333335,2261125864.0,466902485.3333333,278465661.0,24.519033333333336
qr,16384,1024,14,2553909375.6666665,2235116612.6666665,479112589.3333333,271970091.3333333,24.934266666666662
qr,16384,1024,15,2761215567.0,2420514942.0,535663741.0,301582145.3333333,30.142133333333334
qr,16384,1024,16,2725609152.0,2370528518.0,535550495.0,304524748.3333333,30.412666666666667
qr,16384,2048,1,10600485436.0,9957719483.0,1326824001.6666667,1014979335.3333334,87.78266666666667
qr,16384,2048,2,9873106092.666666,8804873984.333334,1448780965.3333333,775244701.0,83.39923333333333
qr,16384,2048,3,12061856104.666666,11252846762.0,1540560840.0,1211518479.6666667,108.36833333333334
qr,16384,2048,4,12166312278.666666,10459643816.333334,1739165101.3333333,963642852.6666666,109.38900000000001
qr,16384,2048,5,8341190051.666667,7315303843.333333,1439290905.3333333,783271566.3333334,85.01729999999999
qr,16384,2048,6,8061431877.0,7119561933.666667,1466667465.6666667,801100845.0,87.42516666666667
qr,16384,2048,7,9898125519.333334,8761074475.0,1694138691.0,772530415.3333334,107.76166666666666
qr,16384,2048,8,9004559793.0,7908256081.0,1710162151.3333333,730013418.6666666,111.581
qr,16384,2048,9,11023673643.0,9640221069.0,1537628136.0,832280112.6666666,90.82423333333334
qr,16384,2048,10,10784313253.333334,9560665710.333334,1541363208.0,836485149.6666666,91.479
qr,16384,2048,11,12799756600.0,10924905870.0,1796905950.3333333,1029007171.0,112.92733333333332
qr,16384,2048,12,11346930546.333334,10492743463.333334,1537062995.0,1181724942.0,109.33466666666668
qr,16384,2048,13,8701289268.333334,7605473165.333333,1513087375.0,839667483.3333334,91.81826666666666
qr,16384,2048,14,8306960586.666667,7382358542.666667,1518630233.6666667,852181363.3333334,92.90633333333334
qr,16384,2048,15,9362776182.333334,8147112688.666667,1709445520.0,775883313.6666666,109.79566666666666
qr,16384,2048,16,9399240281.333334,8243072952.666667,1709290148.3333333,722899576.3333334,109.5828
