algorithm,task,matrix_size,tile_size,frequency,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,weight
qr,geqrt,16384,512,2601000,0.600885,0.000765,inf,0.717699,0.119257,32
qr,ormqr,16384,512,2601000,0.449125,0.000918,inf,2.044427,1.147195,496
qr,tsqrt,16384,512,2601000,0.673351,0.000697,inf,0.546163,2.245174,496
qr,tsmqr,16384,512,2601000,0.283933,0.001694,inf,2.764983,69.485719,10416
qr,geqrt,16384,512,1000000,0.512275,0.000826,inf,0.900142,0.128744,32
qr,ormqr,16384,512,1000000,0.397161,0.000929,inf,2.240430,1.160654,496
qr,tsqrt,16384,512,1000000,0.550271,0.000699,inf,0.792822,2.253408,496
qr,tsmqr,16384,512,1000000,0.224197,0.001650,inf,3.002965,67.694709,10416
qr,geqrt,16384,1024,2601000,0.704478,0.000838,inf,0.508481,0.416186,16
qr,ormqr,16384,1024,2601000,0.413482,0.003269,inf,2.252969,7.398401,120
qr,tsqrt,16384,1024,2601000,0.723996,0.001981,inf,0.459205,10.737216,120
qr,tsmqr,16384,1024,2601000,0.247723,0.002507,inf,2.943944,94.746925,1240
qr,geqrt,16384,1024,1000000,0.596620,0.000868,inf,0.738852,0.431254,16
qr,ormqr,16384,1024,1000000,0.326157,0.003298,inf,2.587862,7.462875,120
qr,tsqrt,16384,1024,1000000,0.605856,0.002018,inf,0.714774,10.938075,120
qr,tsmqr,16384,1024,1000000,0.192483,0.002500,inf,3.167362,94.477200,1240
qr,geqrt,16384,2048,2601000,0.818728,0.066507,inf,0.335101,115.547202,8
qr,ormqr,16384,2048,2601000,0.433634,0.006252,inf,2.211423,25.585545,28
qr,tsqrt,16384,2048,2601000,0.848462,0.128645,inf,0.283089,1205.163224,28
qr,tsmqr,16384,2048,2601000,0.224741,0.004102,inf,3.052107,137.898167,140
qr,geqrt,16384,2048,1000000,0.670704,0.067848,inf,0.606655,117.877355,8
qr,ormqr,16384,2048,1000000,0.275507,0.006335,inf,2.831649,25.925524,28
qr,tsqrt,16384,2048,1000000,0.688889,0.128291,inf,0.589873,1201.850523,28
qr,tsmqr,16384,2048,1000000,0.180494,0.004227,inf,3.232695,142.095488,140
qr,geqrt,24576,512,2601000,0.601125,0.000756,inf,0.716446,0.176730,48
qr,ormqr,24576,512,2601000,0.457657,0.000889,inf,2.009785,2.526591,1128
qr,tsqrt,24576,512,2601000,0.673452,0.000702,inf,0.546201,5.147328,1128
qr,tsmqr,24576,512,2601000,0.282099,0.001579,inf,2.772737,222.230935,35720
qr,geqrt,24576,512,1000000,0.513278,0.000803,inf,0.898064,0.187700,48
qr,ormqr,24576,512,1000000,0.397501,0.000940,inf,2.240400,2.671885,1128
qr,tsqrt,24576,512,1000000,0.550241,0.000697,inf,0.792366,5.107435,1128
qr,tsmqr,24576,512,1000000,0.234768,0.001606,inf,2.954567,225.924466,35720
qr,geqrt,24576,1024,2601000,0.704175,0.000718,inf,0.507618,0.534879,24
qr,ormqr,24576,1024,2601000,0.421638,0.003089,inf,2.218649,16.081500,276
qr,tsqrt,24576,1024,2601000,0.721154,0.001010,inf,0.461426,12.596526,276
qr,tsmqr,24576,1024,2601000,0.237266,0.002357,inf,2.990195,310.607541,4324
qr,geqrt,24576,1024,1000000,0.597938,0.000751,inf,0.738426,0.560023,24
qr,ormqr,24576,1024,1000000,0.315099,0.003133,inf,2.634161,16.306988,276
qr,tsqrt,24576,1024,1000000,0.605250,0.001375,inf,0.716038,17.141833,276
qr,tsmqr,24576,1024,1000000,0.201277,0.002453,inf,3.127789,323.244706,4324
qr,geqrt,24576,2048,2601000,0.819898,0.065165,inf,0.333607,169.821797,12
qr,ormqr,24576,2048,2601000,0.437877,0.006481,inf,2.197096,62.520692,66
qr,tsqrt,24576,2048,2601000,0.848941,0.127411,inf,0.280305,2813.503449,66
qr,tsmqr,24576,2048,2601000,0.225802,0.004137,inf,3.047669,502.740196,506
qr,geqrt,24576,2048,1000000,0.671139,0.066108,inf,0.607006,172.279095,12
qr,ormqr,24576,2048,1000000,0.275260,0.006347,inf,2.832257,61.226367,66
qr,tsqrt,24576,2048,1000000,0.689926,0.127838,inf,0.587697,2822.923572,66
qr,tsmqr,24576,2048,1000000,0.179975,0.004230,inf,3.234723,513.960118,506
qr,geqrt,32768,512,2601000,0.601888,0.000852,inf,0.718050,0.265465,64
qr,ormqr,32768,512,2601000,0.457606,0.000899,inf,2.010206,4.567450,2016
qr,tsqrt,32768,512,2601000,0.673964,0.000702,inf,0.546202,9.195301,2016
qr,tsmqr,32768,512,2601000,0.272476,0.001548,inf,2.817030,520.449199,85344
qr,geqrt,32768,512,1000000,0.514107,0.000791,inf,0.896443,0.246683,64
qr,ormqr,32768,512,1000000,0.397838,0.000905,inf,2.238630,4.599539,2016
qr,tsqrt,32768,512,1000000,0.551193,0.000693,inf,0.791836,9.076285,2016
qr,tsmqr,32768,512,1000000,0.225059,0.001579,inf,2.999797,530.822317,85344
qr,geqrt,32768,1024,2601000,0.704381,0.000714,inf,0.508095,0.709524,32
qr,ormqr,32768,1024,2601000,0.421429,0.003035,inf,2.219495,28.386020,496
qr,tsqrt,32768,1024,2601000,0.721316,0.001157,inf,0.461225,25.917837,496
qr,tsmqr,32768,1024,2601000,0.244586,0.002288,inf,2.957478,726.259694,10416
qr,geqrt,32768,1024,1000000,0.596282,0.000819,inf,0.740264,0.814234,32
qr,ormqr,32768,1024,1000000,0.326115,0.003107,inf,2.587860,29.064465,496
qr,tsqrt,32768,1024,1000000,0.603970,0.000865,inf,0.716917,19.389496,496
qr,tsmqr,32768,1024,1000000,0.200669,0.002371,inf,3.130678,752.494237,10416
qr,geqrt,32768,2048,2601000,0.820621,0.065583,inf,0.332873,227.882412,16
qr,ormqr,32768,2048,2601000,0.444380,0.006657,inf,2.171353,116.749598,120
qr,tsqrt,32768,2048,2601000,0.850929,0.128165,inf,0.279685,5145.740381,120
qr,tsmqr,32768,2048,2601000,0.224742,0.004266,inf,3.050830,1270.275728,1240
qr,geqrt,32768,2048,1000000,0.672654,0.065427,inf,0.606727,227.341247,16
qr,ormqr,32768,2048,1000000,0.286097,0.006335,inf,2.784530,111.110364,120
qr,tsqrt,32768,2048,1000000,0.690845,0.127334,inf,0.587540,5112.368816,120
qr,tsmqr,32768,2048,1000000,0.179914,0.004270,inf,3.234956,1271.569771,1240
