algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
qr,24576,512,1,3762801403,3719050111,569829191,400727946,30.015800
qr,24576,512,2,3741576725,3715488108,561016988,413186919,30.098500
qr,24576,512,3,4026931341,3983832697,605975717,436346468,33.191800
qr,24576,512,4,4100189577,3905040906,613286408,441478456,33.759700
qr,24576,512,5,4507510556,4263417736,720658213,551219541,47.218200
qr,24576,512,6,4472703454,4289698919,722714303,564414078,47.869900
qr,24576,512,7,4613625580,4405013381,784886389,578649963,52.280100
qr,24576,512,8,4615177272,4431990058,768992184,604326515,52.487900
qr,24576,512,9,3738227673,3711195578,557601354,415221468,29.915000
qr,24576,512,10,3749180161,3722570365,558516845,419158708,30.299300
qr,24576,512,11,4085013407,3961089652,607005667,440713960,33.326700
qr,24576,512,12,4107532820,3947457851,613723867,443376925,34.111500
qr,24576,512,13,4511796189,4225751023,730064302,541642262,47.384800
qr,24576,512,14,4490290507,4230430088,737721630,558146816,48.606900
qr,24576,512,15,4350283846,4656695537,549698002,800585168,52.187800
qr,24576,512,16,4651711541,4440690781,783449138,589178322,53.075600
qr,24576,1024,1,7827400128,6834871297,1295093301,640572719,66.236100
qr,24576,1024,2,6565864234,7425548740,654088067,1262987751,64.844000
qr,24576,1024,3,7628697939,6624929573,1347078203,674774692,71.186500
qr,24576,1024,4,7476647303,6520519074,1311102564,687252162,69.199600
qr,24576,1024,5,6395050524,5586983073,1175965910,594783951,63.779500
qr,24576,1024,6,6123626657,5398270604,1134961680,601005619,62.105700
qr,24576,1024,7,6454327837,5620864151,1277047624,611038625,71.111500
qr,24576,1024,8,6314621469,5500965410,1263896908,618697514,69.729800
qr,24576,1024,9,7819821656,6877205173,1310674194,631881708,66.781600
qr,24576,1024,10,7603148688,6769354252,1259708211,644215925,64.696600
qr,24576,1024,11,7571503383,6472742585,1347330975,648727344,70.243800
qr,24576,1024,12,7535763485,6563783245,1308065560,699038380,69.897400
qr,24576,1024,13,6180737901,5460176635,1115163358,604890534,61.445100
qr,24576,1024,14,6019377108,5266248786,1140257454,601148200,61.422600
qr,24576,1024,15,6220913396,5374522252,1271667961,575582358,69.247000
qr,24576,1024,16,6328465000,5487399649,1261903057,604013875,70.353800
qr,24576,2048,1,19035313330,17135672380,2873884680,1409728705,161.094000
qr,24576,2048,2,18210948802,16298395715,2832687594,1357179278,156.200000
qr,24576,2048,3,20354721940,17835947626,3182099844,1572455129,185.784000
qr,24576,2048,4,20576245664,18182805625,3264218938,1606680187,194.466000
qr,24576,2048,5,15129759547,13383102641,2865318852,1394223883,159.361000
qr,24576,2048,6,14826340462,12844020525,2856341791,1400855516,161.316000
qr,24576,2048,7,16266771285,14394507706,3208787252,1362032484,197.667000
qr,24576,2048,8,15853590640,14116763849,3250206219,1312153811,201.746000
qr,24576,2048,9,19868542154,17861798634,2983675231,1466063626,170.619000
qr,24576,2048,10,18859287962,16752270347,2904838875,1414309188,163.509000
qr,24576,2048,11,20337336852,18445593649,3195190432,1595436202,188.066000
qr,24576,2048,12,20430675480,18157543971,3246380958,1581743957,192.556000
qr,24576,2048,13,14694337138,13129498371,2786015005,1372797503,156.863000
qr,24576,2048,14,14850133188,13505301791,2899336398,1463564463,167.072000
qr,24576,2048,15,16018902290,14163823177,3217264248,1314388743,196.321000
qr,24576,2048,16,14890746792,13091726861,3125353705,1232836959,187.543000
