algorithm, matrix_size, tile_size, case, PKG1, PKG2, DRAM1, DRAM2, time
qr, 32768, 512, 1, 8656417964, 8527222249, 1393123079, 1012115135, 69.195100
qr, 32768, 512, 2, 8643936306, 8529811110, 1379376579, 1042954901, 69.428100
qr, 32768, 512, 3, 9198587108, 9112488085, 1456798436, 1087738934, 74.822400
qr, 32768, 512, 4, 9282332805, 9136574327, 1472952145, 1084045606, 75.530100
qr, 32768, 512, 5, 10691898044, 10071990695, 1793268324, 1440268927, 111.510000
qr, 32768, 512, 6, 10672228416, 9925796307, 1838159075, 1396222889, 112.475000
qr, 32768, 512, 7, 10979825040, 10306988629, 1899075505, 1501667827, 120.405000
qr, 32768, 512, 8, 10998650798, 10290342981, 1933411933, 1487079262, 121.743000
qr, 32768, 512, 9, 8702161316, 8578854869, 1399269257, 1010774380, 69.641300
qr, 32768, 512, 10, 8608497188, 8510680728, 1359981382, 1060644730, 69.317000
qr, 32768, 512, 11, 9216137906, 9108309568, 1448073365, 1100949200, 75.126600
qr, 32768, 512, 12, 9242409994, 9061494442, 1448195536, 1118597764, 75.775400
qr, 32768, 512, 13, 10741814664, 9964900332, 1850133238, 1363257632, 111.806000
qr, 32768, 512, 14, 10679839725, 9940547673, 1848620404, 1381113787, 112.586000
qr, 32768, 512, 15, 10986625805, 10270516188, 1952324814, 1460202088, 121.658000
qr, 32768, 512, 16, 11141874919, 10344673286, 1984701542, 1465058201, 123.940000
qr, 32768, 1024, 1, 15928244380, 13900369628, 2727107511, 1390795979, 128.967000
qr, 32768, 1024, 2, 15742004684, 13781054015, 2689338987, 1403291474, 127.712000
qr, 32768, 1024, 3, 15507484776, 13049526957, 2788557284, 1417986068, 133.737000
qr, 32768, 1024, 4, 15006290014, 12831390126, 2714437336, 1459630037, 130.830000
qr, 32768, 1024, 5, 12847548348, 11158112976, 2381426027, 1309280975, 124.470000
qr, 32768, 1024, 6, 12622196508, 11095901465, 2367526773, 1330368079, 124.760000
qr, 32768, 1024, 7, 13336097512, 11506237450, 2647307914, 1409050899, 140.055000
qr, 32768, 1024, 8, 13292329864, 11458962791, 2674231813, 1412307259, 142.112000
qr, 32768, 1024, 9, 15913957246, 13738252488, 2732484207, 1380175928, 129.287000
qr, 32768, 1024, 10, 15629787625, 13769150053, 2678263914, 1413533723, 127.462000
qr, 32768, 1024, 11, 15523202631, 12913769247, 2801278530, 1418069331, 134.298000
qr, 32768, 1024, 12, 15506786109, 13251169385, 2818299260, 1446336051, 136.672000
qr, 32768, 1024, 13, 12946518126, 11353150440, 2415834167, 1348481947, 126.655000
qr, 32768, 1024, 14, 12571350019, 11066490530, 2340994202, 1360976524, 124.166000
qr, 32768, 1024, 15, 11594362347, 12747343404, 1407242852, 2597250582, 137.398000
qr, 32768, 1024, 16, 13236071584, 11438839003, 2671609515, 1394905666, 141.266000
qr, 32768, 2048, 1, 34289092823, 30770812340, 5452278501, 2842866148, 277.413000
qr, 32768, 2048, 2, 32979345016, 29640332019, 5415041454, 2654398928, 269.105000
qr, 32768, 2048, 3, 34491303548, 29823510871, 5748849464, 2893718085, 295.007000
qr, 32768, 2048, 4, 34625003278, 29442903263, 5853577963, 2841858567, 300.534000
qr, 32768, 2048, 5, 27646411708, 23504131663, 5240962980, 2742151221, 262.842000
qr, 32768, 2048, 6, 27112135854, 23656695909, 5375573558, 2754970662, 270.313000
qr, 32768, 2048, 7, 26623103781, 22499262897, 5623609615, 2474501925, 291.396000
qr, 32768, 2048, 8, 26554912549, 22515764076, 5628064838, 2590172052, 298.519000
qr, 32768, 2048, 9, 32854639769, 29157768739, 5402741416, 2664094247, 267.832000
qr, 32768, 2048, 10, 33297170619, 29196691736, 5482900243, 2669935802, 271.963000
qr, 32768, 2048, 11, 34426736514, 29647495513, 5748296185, 2938379535, 296.879000
qr, 32768, 2048, 12, 34598585500, 29441569893, 5820992926, 2887512451, 302.072000
qr, 32768, 2048, 13, 27311626494, 23522389734, 5342707475, 2654671895, 265.254000
qr, 32768, 2048, 14, 26792705519, 23619205892, 5327515309, 2837386500, 271.914000
qr, 32768, 2048, 15, 29322673957, 24999411465, 5547715893, 2357487005, 281.241000
qr, 32768, 2048, 16, 26177872377, 21567302026, 5646285377, 2328096195, 289.775000
