algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
qr,32768,512,1,8611696745.0,8517462081.666667,1364319824.3333333,1047413112.0,68.83556666666667
qr,32768,512,2,8700360152.666666,8583556334.0,1388258744.0,1040718647.6666666,69.8998
qr,32768,512,3,9215039235.0,9084290790.333334,1455778420.3333333,1096345087.3333333,74.90660000000001
qr,32768,512,4,9332728631.0,9148889969.666666,1488715551.6666667,1088038702.0,76.54013333333334
qr,32768,512,5,10682805700.666666,10020125878.333334,1797051728.3333333,1421494914.3333333,111.02499999999999
qr,32768,512,6,10693012380.0,9906575693.333334,1854693264.6666667,1373491123.3333333,112.36733333333332
qr,32768,512,7,10989404179.0,10276908201.0,1916229492.3333333,1468699305.6666667,119.87400000000001
qr,32768,512,8,10986563610.333334,10278244602.333334,1927044664.3333333,1484055645.0,121.09566666666666
qr,32768,512,9,8660577438.0,8553838168.666667,1385742083.3333333,1025255157.3333334,69.33416666666666
qr,32768,512,10,8778518990.0,8676098659.333334,1409102710.0,1026080979.3333334,70.67906666666666
qr,32768,512,11,9356289239.333334,9188196468.666666,1484018706.0,1079500001.6666667,76.19773333333333
qr,32768,512,12,9619040031.666666,9443348302.0,1488586883.0,1156942731.3333333,79.63040000000001
qr,32768,512,13,10742101609.666666,10016596794.0,1828458023.3333333,1389987813.0,111.63966666666666
qr,32768,512,14,10644227226.666666,9948806013.333334,1822133753.0,1401375643.6666667,111.907
qr,32768,512,15,10961154231.0,10285461217.666666,1911157919.6666667,1484741906.3333333,120.44666666666667
qr,32768,512,16,11072125647.0,10333560745.333334,1948690625.3333333,1479821217.3333333,122.52300000000001
qr,32768,1024,1,15722084141.333334,13818074916.666666,2692782246.6666665,1395271040.3333333,127.31833333333334
qr,32768,1024,2,15563046930.333334,13738748560.666666,2665879486.6666665,1403434615.6666667,126.38799999999999
qr,32768,1024,3,15334009349.333334,13008519167.666666,2753882899.0,1432215634.3333333,132.16166666666666
qr,32768,1024,4,15080162444.666666,12804456600.666666,2730874442.6666665,1448412587.0,131.32366666666667
qr,32768,1024,5,12985503357.666666,11207959019.333334,2394410444.0,1305931856.6666667,124.77166666666666
qr,32768,1024,6,12615399528.666666,11153084465.0,2349977387.6666665,1360739012.0,124.69566666666667
qr,32768,1024,7,12653804804.666666,11887103215.0,2202359122.6666665,1801690795.6666667,138.17733333333334
qr,32768,1024,8,13224656818.666666,11434566084.333334,2652230826.0,1410937593.0,140.517
qr,32768,1024,9,15781270187.333334,13786979292.333334,2715191488.6666665,1383824708.0,128.393
qr,32768,1024,10,15465790384.0,13666447903.333334,2654396133.3333335,1413339392.3333333,126.08133333333335
qr,32768,1024,11,15339444922.666666,12973416739.0,2774765292.3333335,1425417360.0,133.07933333333332
qr,32768,1024,12,15032165477.0,12942143056.0,2743819089.6666665,1460981496.3333333,132.417
qr,32768,1024,13,12992681867.333334,11374535924.333334,2407628746.6666665,1347924349.0,126.29866666666668
qr,32768,1024,14,12669966914.0,11117541404.333334,2378171651.3333335,1333506848.0,125.55233333333332
qr,32768,1024,15,12739853982.666666,11887877831.0,2260547608.0,1775427478.3333333,139.4573333333333
qr,32768,1024,16,13159905702.666666,11392670460.333334,2642825584.3333335,1430900721.6666667,140.053
qr,32768,2048,1,33515011634.0,30047940391.0,5398928487.666667,2757385150.3333335,271.13
qr,32768,2048,2,33115509971.0,29623661610.333332,5426740670.0,2680102168.0,270.154
qr,32768,2048,3,34889817827.333336,29884051426.0,5775315821.666667,2927792796.6666665,297.94233333333335
qr,32768,2048,4,33976829543.0,29203297309.333332,5754417623.0,2830356572.3333335,295.76666666666665
qr,32768,2048,5,27547394220.666668,23607429148.333332,5275179619.333333,2718931441.3333335,263.674
qr,32768,2048,6,27385678427.666668,23853760772.666668,5424122156.666667,2759922981.6666665,273.6963333333333
qr,32768,2048,7,26720832860.0,22556921949.666668,5614426978.333333,2532291616.3333335,292.03433333333334
qr,32768,2048,8,26741414838.333332,22347257813.666668,5634214637.0,2530029384.3333335,297.491
qr,32768,2048,9,33123389365.666668,29271705948.0,5439842957.666667,2670355297.6666665,269.877
qr,32768,2048,10,33525211274.333332,29622667940.0,5493893088.666667,2711932853.6666665,274.4916666666667
qr,32768,2048,11,34663126655.666664,29936863404.333332,5757899377.666667,2968591746.0,298.749
qr,32768,2048,12,34006396341.666668,29404471009.0,5790030505.0,2862441672.3333335,299.3806666666667
qr,32768,2048,13,27745769872.666668,23860478834.333332,5397430500.333333,2707156520.3333335,270.55266666666665
qr,32768,2048,14,26737493746.333332,23179479458.666668,5334922748.333333,2752012917.6666665,268.634
qr,32768,2048,15,28454904816.333332,24035614514.333332,5607595186.666667,2370158450.0,287.2833333333333
qr,32768,2048,16,26235183468.666668,21805454858.666668,5642962141.333333,2387795061.3333335,292.37466666666666
