algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,8192,512,128,1,potrf,62934276,60314096,548433,492391,0.284000
cholesky,8192,512,128,1,gemm,62934276,60314096,548433,492391,0.284000
cholesky,8192,512,128,1,trsm,62934276,60314096,548433,492391,0.284000
cholesky,8192,512,128,1,syrk,62934276,60314096,548433,492391,0.284000
cholesky,8192,512,128,2,potrf,61330325,59923980,551867,469260,0.276300
cholesky,8192,512,128,2,gemm,61330325,59923980,551867,469260,0.276300
cholesky,8192,512,128,2,trsm,61330325,59923980,551867,469260,0.276300
cholesky,8192,512,128,2,syrk,61330325,59923980,551867,469260,0.276300
cholesky,8192,512,128,3,potrf,59471183,57668587,467475,391398,0.292100
cholesky,8192,512,128,3,gemm,59471183,57668587,467475,391398,0.292100
cholesky,8192,512,128,3,trsm,59471183,57668587,467475,391398,0.292100
cholesky,8192,512,128,3,syrk,59471183,57668587,467475,391398,0.292100
cholesky,8192,512,128,4,potrf,58462552,56480065,400843,531283,0.290200
cholesky,8192,512,128,4,gemm,58462552,56480065,400843,531283,0.290200
cholesky,8192,512,128,4,trsm,58462552,56480065,400843,531283,0.290200
cholesky,8192,512,128,4,syrk,58462552,56480065,400843,531283,0.290200
cholesky,8192,512,128,5,potrf,61939561,60187988,509999,412118,0.284000
cholesky,8192,512,128,5,gemm,61939561,60187988,509999,412118,0.284000
cholesky,8192,512,128,5,trsm,61939561,60187988,509999,412118,0.284000
cholesky,8192,512,128,5,syrk,61939561,60187988,509999,412118,0.284000
cholesky,8192,512,128,6,potrf,61320681,60244535,440056,429207,0.284400
cholesky,8192,512,128,6,gemm,61320681,60244535,440056,429207,0.284400
cholesky,8192,512,128,6,trsm,61320681,60244535,440056,429207,0.284400
cholesky,8192,512,128,6,syrk,61320681,60244535,440056,429207,0.284400
cholesky,8192,512,128,7,potrf,61354402,57749486,294770,419473,0.311400
cholesky,8192,512,128,7,gemm,61354402,57749486,294770,419473,0.311400
cholesky,8192,512,128,7,trsm,61354402,57749486,294770,419473,0.311400
cholesky,8192,512,128,7,syrk,61354402,57749486,294770,419473,0.311400
cholesky,8192,512,128,8,potrf,56804344,54207219,412179,359128,0.293400
cholesky,8192,512,128,8,gemm,56804344,54207219,412179,359128,0.293400
cholesky,8192,512,128,8,trsm,56804344,54207219,412179,359128,0.293400
cholesky,8192,512,128,8,syrk,56804344,54207219,412179,359128,0.293400
cholesky,8192,512,128,9,potrf,57927470,56045411,292450,431283,0.274100
cholesky,8192,512,128,9,gemm,57927470,56045411,292450,431283,0.274100
cholesky,8192,512,128,9,trsm,57927470,56045411,292450,431283,0.274100
cholesky,8192,512,128,9,syrk,57927470,56045411,292450,431283,0.274100
cholesky,8192,512,128,10,potrf,60164491,58581428,464545,433174,0.274000
cholesky,8192,512,128,10,gemm,60164491,58581428,464545,433174,0.274000
cholesky,8192,512,128,10,trsm,60164491,58581428,464545,433174,0.274000
cholesky,8192,512,128,10,syrk,60164491,58581428,464545,433174,0.274000
cholesky,8192,512,128,11,potrf,56488397,54488133,362072,383693,0.296400
cholesky,8192,512,128,11,gemm,56488397,54488133,362072,383693,0.296400
cholesky,8192,512,128,11,trsm,56488397,54488133,362072,383693,0.296400
cholesky,8192,512,128,11,syrk,56488397,54488133,362072,383693,0.296400
cholesky,8192,512,128,12,potrf,57484576,55119266,358136,324141,0.316000
cholesky,8192,512,128,12,gemm,57484576,55119266,358136,324141,0.316000
cholesky,8192,512,128,12,trsm,57484576,55119266,358136,324141,0.316000
cholesky,8192,512,128,12,syrk,57484576,55119266,358136,324141,0.316000
cholesky,8192,512,128,13,potrf,60627404,59222141,402415,425882,0.281700
cholesky,8192,512,128,13,gemm,60627404,59222141,402415,425882,0.281700
cholesky,8192,512,128,13,trsm,60627404,59222141,402415,425882,0.281700
cholesky,8192,512,128,13,syrk,60627404,59222141,402415,425882,0.281700
cholesky,8192,512,128,14,potrf,60785965,58893622,525714,426583,0.280400
cholesky,8192,512,128,14,gemm,60785965,58893622,525714,426583,0.280400
cholesky,8192,512,128,14,trsm,60785965,58893622,525714,426583,0.280400
cholesky,8192,512,128,14,syrk,60785965,58893622,525714,426583,0.280400
cholesky,8192,512,128,15,potrf,57888684,57738454,321333,350690,0.368000
cholesky,8192,512,128,15,gemm,57888684,57738454,321333,350690,0.368000
cholesky,8192,512,128,15,trsm,57888684,57738454,321333,350690,0.368000
cholesky,8192,512,128,15,syrk,57888684,57738454,321333,350690,0.368000
cholesky,8192,512,128,16,potrf,51404949,49507739,202749,228474,0.385500
cholesky,8192,512,128,16,gemm,51404949,49507739,202749,228474,0.385500
cholesky,8192,512,128,16,trsm,51404949,49507739,202749,228474,0.385500
cholesky,8192,512,128,16,syrk,51404949,49507739,202749,228474,0.385500
cholesky,8192,1024,128,1,potrf,110282856,107078264,1425830,921141,0.567800
cholesky,8192,1024,128,1,gemm,110282856,107078264,1425830,921141,0.567800
cholesky,8192,1024,128,1,trsm,110282856,107078264,1425830,921141,0.567800
cholesky,8192,1024,128,1,syrk,110282856,107078264,1425830,921141,0.567800
cholesky,8192,1024,128,2,potrf,115539938,109653891,687067,774344,0.567000
cholesky,8192,1024,128,2,gemm,115539938,109653891,687067,774344,0.567000
cholesky,8192,1024,128,2,trsm,115539938,109653891,687067,774344,0.567000
cholesky,8192,1024,128,2,syrk,115539938,109653891,687067,774344,0.567000
cholesky,8192,1024,128,3,potrf,124312495,119971869,767035,853593,0.629600
cholesky,8192,1024,128,3,gemm,124312495,119971869,767035,853593,0.629600
cholesky,8192,1024,128,3,trsm,124312495,119971869,767035,853593,0.629600
cholesky,8192,1024,128,3,syrk,124312495,119971869,767035,853593,0.629600
cholesky,8192,1024,128,4,potrf,122824047,116198702,819644,700968,0.624700
cholesky,8192,1024,128,4,gemm,122824047,116198702,819644,700968,0.624700
cholesky,8192,1024,128,4,trsm,122824047,116198702,819644,700968,0.624700
cholesky,8192,1024,128,4,syrk,122824047,116198702,819644,700968,0.624700
cholesky,8192,1024,128,5,potrf,118286150,113788076,1302148,665707,0.598000
cholesky,8192,1024,128,5,gemm,118286150,113788076,1302148,665707,0.598000
cholesky,8192,1024,128,5,trsm,118286150,113788076,1302148,665707,0.598000
cholesky,8192,1024,128,5,syrk,118286150,113788076,1302148,665707,0.598000
cholesky,8192,1024,128,6,potrf,123107220,116392922,1758607,685725,0.612300
cholesky,8192,1024,128,6,gemm,123107220,116392922,1758607,685725,0.612300
cholesky,8192,1024,128,6,trsm,123107220,116392922,1758607,685725,0.612300
cholesky,8192,1024,128,6,syrk,123107220,116392922,1758607,685725,0.612300
cholesky,8192,1024,128,7,potrf,126318343,122119051,952984,940365,0.663000
cholesky,8192,1024,128,7,gemm,126318343,122119051,952984,940365,0.663000
cholesky,8192,1024,128,7,trsm,126318343,122119051,952984,940365,0.663000
cholesky,8192,1024,128,7,syrk,126318343,122119051,952984,940365,0.663000
cholesky,8192,1024,128,8,potrf,124808914,120717512,841159,919081,0.670500
cholesky,8192,1024,128,8,gemm,124808914,120717512,841159,919081,0.670500
cholesky,8192,1024,128,8,trsm,124808914,120717512,841159,919081,0.670500
cholesky,8192,1024,128,8,syrk,124808914,120717512,841159,919081,0.670500
cholesky,8192,1024,128,9,potrf,111594510,108249696,501606,593216,0.564800
cholesky,8192,1024,128,9,gemm,111594510,108249696,501606,593216,0.564800
cholesky,8192,1024,128,9,trsm,111594510,108249696,501606,593216,0.564800
cholesky,8192,1024,128,9,syrk,111594510,108249696,501606,593216,0.564800
cholesky,8192,1024,128,10,potrf,114299280,106545820,823108,460349,0.562800
cholesky,8192,1024,128,10,gemm,114299280,106545820,823108,460349,0.562800
cholesky,8192,1024,128,10,trsm,114299280,106545820,823108,460349,0.562800
cholesky,8192,1024,128,10,syrk,114299280,106545820,823108,460349,0.562800
cholesky,8192,1024,128,11,potrf,121751226,114777436,815952,515751,0.627300
cholesky,8192,1024,128,11,gemm,121751226,114777436,815952,515751,0.627300
cholesky,8192,1024,128,11,trsm,121751226,114777436,815952,515751,0.627300
cholesky,8192,1024,128,11,syrk,121751226,114777436,815952,515751,0.627300
cholesky,8192,1024,128,12,potrf,121168417,111879193,698084,331663,0.635400
cholesky,8192,1024,128,12,gemm,121168417,111879193,698084,331663,0.635400
cholesky,8192,1024,128,12,trsm,121168417,111879193,698084,331663,0.635400
cholesky,8192,1024,128,12,syrk,121168417,111879193,698084,331663,0.635400
cholesky,8192,1024,128,13,potrf,124049585,114846722,566560,1015161,0.641200
cholesky,8192,1024,128,13,gemm,124049585,114846722,566560,1015161,0.641200
cholesky,8192,1024,128,13,trsm,124049585,114846722,566560,1015161,0.641200
cholesky,8192,1024,128,13,syrk,124049585,114846722,566560,1015161,0.641200
cholesky,8192,1024,128,14,potrf,121779850,114978688,548434,940503,0.619100
cholesky,8192,1024,128,14,gemm,121779850,114978688,548434,940503,0.619100
cholesky,8192,1024,128,14,trsm,121779850,114978688,548434,940503,0.619100
cholesky,8192,1024,128,14,syrk,121779850,114978688,548434,940503,0.619100
cholesky,8192,1024,128,15,potrf,134711738,125923969,631895,726983,0.719000
cholesky,8192,1024,128,15,gemm,134711738,125923969,631895,726983,0.719000
cholesky,8192,1024,128,15,trsm,134711738,125923969,631895,726983,0.719000
cholesky,8192,1024,128,15,syrk,134711738,125923969,631895,726983,0.719000
cholesky,8192,1024,128,16,potrf,165564207,159958662,1005182,1170869,0.988400
cholesky,8192,1024,128,16,gemm,165564207,159958662,1005182,1170869,0.988400
cholesky,8192,1024,128,16,trsm,165564207,159958662,1005182,1170869,0.988400
cholesky,8192,1024,128,16,syrk,165564207,159958662,1005182,1170869,0.988400
cholesky,8192,2048,128,1,potrf,330706179,315092668,2266744,5700602,1.771100
cholesky,8192,2048,128,1,gemm,330706179,315092668,2266744,5700602,1.771100
cholesky,8192,2048,128,1,trsm,330706179,315092668,2266744,5700602,1.771100
cholesky,8192,2048,128,1,syrk,330706179,315092668,2266744,5700602,1.771100
cholesky,8192,2048,128,2,potrf,344104703,321672421,2324327,2105940,1.808900
cholesky,8192,2048,128,2,gemm,344104703,321672421,2324327,2105940,1.808900
cholesky,8192,2048,128,2,trsm,344104703,321672421,2324327,2105940,1.808900
