algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
qr,18432,512,128,1,geqrt,1652348647,1574034414,12445691,14006890,6.102600
qr,18432,512,128,1,ormqr,1652348647,1574034414,12445691,14006890,6.102600
qr,18432,512,128,1,tsmqr,1652348647,1574034414,12445691,14006890,6.102600
qr,18432,512,128,1,tsqrt,1652348647,1574034414,12445691,14006890,6.102600
qr,18432,512,128,2,geqrt,1643076131,1569375841,12519585,13445594,6.075000
qr,18432,512,128,2,ormqr,1643076131,1569375841,12519585,13445594,6.075000
qr,18432,512,128,2,tsmqr,1643076131,1569375841,12519585,13445594,6.075000
qr,18432,512,128,2,tsqrt,1643076131,1569375841,12519585,13445594,6.075000
qr,18432,512,128,3,geqrt,1647022140,1574306937,12692962,13769292,6.096400
qr,18432,512,128,3,ormqr,1647022140,1574306937,12692962,13769292,6.096400
qr,18432,512,128,3,tsmqr,1647022140,1574306937,12692962,13769292,6.096400
qr,18432,512,128,3,tsqrt,1647022140,1574306937,12692962,13769292,6.096400
qr,18432,512,128,4,geqrt,1658594890,1585727290,12357912,14065694,6.137400
qr,18432,512,128,4,ormqr,1658594890,1585727290,12357912,14065694,6.137400
qr,18432,512,128,4,tsmqr,1658594890,1585727290,12357912,14065694,6.137400
qr,18432,512,128,4,tsqrt,1658594890,1585727290,12357912,14065694,6.137400
qr,18432,512,128,5,geqrt,1565657771,1524670756,12283438,12924091,5.793600
qr,18432,512,128,5,ormqr,1565657771,1524670756,12283438,12924091,5.793600
qr,18432,512,128,5,tsmqr,1565657771,1524670756,12283438,12924091,5.793600
qr,18432,512,128,5,tsqrt,1565657771,1524670756,12283438,12924091,5.793600
qr,18432,512,128,6,geqrt,1640085960,1575859789,11725193,12468853,6.194900
qr,18432,512,128,6,ormqr,1640085960,1575859789,11725193,12468853,6.194900
qr,18432,512,128,6,tsmqr,1640085960,1575859789,11725193,12468853,6.194900
qr,18432,512,128,6,tsqrt,1640085960,1575859789,11725193,12468853,6.194900
qr,18432,512,128,7,geqrt,1613400160,1556252115,12075914,12414886,6.145900
qr,18432,512,128,7,ormqr,1613400160,1556252115,12075914,12414886,6.145900
qr,18432,512,128,7,tsmqr,1613400160,1556252115,12075914,12414886,6.145900
qr,18432,512,128,7,tsqrt,1613400160,1556252115,12075914,12414886,6.145900
qr,18432,512,128,8,geqrt,1689623315,1623921788,12290899,12735517,6.605900
qr,18432,512,128,8,ormqr,1689623315,1623921788,12290899,12735517,6.605900
qr,18432,512,128,8,tsmqr,1689623315,1623921788,12290899,12735517,6.605900
qr,18432,512,128,8,tsqrt,1689623315,1623921788,12290899,12735517,6.605900
qr,18432,512,128,9,geqrt,1681763477,1612400044,12064531,14513516,6.228600
qr,18432,512,128,9,ormqr,1681763477,1612400044,12064531,14513516,6.228600
qr,18432,512,128,9,tsmqr,1681763477,1612400044,12064531,14513516,6.228600
qr,18432,512,128,9,tsqrt,1681763477,1612400044,12064531,14513516,6.228600
qr,18432,512,128,10,geqrt,1700587790,1624926374,13078563,13959407,6.313300
qr,18432,512,128,10,ormqr,1700587790,1624926374,13078563,13959407,6.313300
qr,18432,512,128,10,tsmqr,1700587790,1624926374,13078563,13959407,6.313300
qr,18432,512,128,10,tsqrt,1700587790,1624926374,13078563,13959407,6.313300
qr,18432,512,128,11,geqrt,1660606413,1598107372,11799118,13836030,6.153700
qr,18432,512,128,11,ormqr,1660606413,1598107372,11799118,13836030,6.153700
qr,18432,512,128,11,tsmqr,1660606413,1598107372,11799118,13836030,6.153700
qr,18432,512,128,11,tsqrt,1660606413,1598107372,11799118,13836030,6.153700
qr,18432,512,128,12,geqrt,1690205820,1624380077,12717497,13751273,6.317000
qr,18432,512,128,12,ormqr,1690205820,1624380077,12717497,13751273,6.317000
qr,18432,512,128,12,tsmqr,1690205820,1624380077,12717497,13751273,6.317000
qr,18432,512,128,12,tsqrt,1690205820,1624380077,12717497,13751273,6.317000
qr,18432,512,128,13,geqrt,1829108122,1504985158,11429844,10492515,7.389300
qr,18432,512,128,13,ormqr,1829108122,1504985158,11429844,10492515,7.389300
qr,18432,512,128,13,tsmqr,1829108122,1504985158,11429844,10492515,7.389300
qr,18432,512,128,13,tsqrt,1829108122,1504985158,11429844,10492515,7.389300
qr,18432,512,128,14,geqrt,1851004160,1517661398,11779939,10524404,7.515500
qr,18432,512,128,14,ormqr,1851004160,1517661398,11779939,10524404,7.515500
qr,18432,512,128,14,tsmqr,1851004160,1517661398,11779939,10524404,7.515500
qr,18432,512,128,14,tsqrt,1851004160,1517661398,11779939,10524404,7.515500
qr,18432,512,128,15,geqrt,1851765366,1411633281,11558759,8501345,7.728500
qr,18432,512,128,15,ormqr,1851765366,1411633281,11558759,8501345,7.728500
qr,18432,512,128,15,tsmqr,1851765366,1411633281,11558759,8501345,7.728500
qr,18432,512,128,15,tsqrt,1851765366,1411633281,11558759,8501345,7.728500
qr,18432,512,128,16,geqrt,1917148582,1391132053,11598064,7507287,8.221900
qr,18432,512,128,16,ormqr,1917148582,1391132053,11598064,7507287,8.221900
qr,18432,512,128,16,tsmqr,1917148582,1391132053,11598064,7507287,8.221900
qr,18432,512,128,16,tsqrt,1917148582,1391132053,11598064,7507287,8.221900
qr,18432,1024,128,1,geqrt,3244220379,3183623995,20713772,27508237,13.110000
qr,18432,1024,128,1,ormqr,3244220379,3183623995,20713772,27508237,13.110000
qr,18432,1024,128,1,tsmqr,3244220379,3183623995,20713772,27508237,13.110000
qr,18432,1024,128,1,tsqrt,3244220379,3183623995,20713772,27508237,13.110000
qr,18432,1024,128,2,geqrt,3349864788,3346622188,25249899,31744803,13.575200
qr,18432,1024,128,2,ormqr,3349864788,3346622188,25249899,31744803,13.575200
qr,18432,1024,128,2,tsmqr,3349864788,3346622188,25249899,31744803,13.575200
qr,18432,1024,128,2,tsqrt,3349864788,3346622188,25249899,31744803,13.575200
qr,18432,1024,128,3,geqrt,3305389350,3275352863,24551526,25440685,13.318100
qr,18432,1024,128,3,ormqr,3305389350,3275352863,24551526,25440685,13.318100
qr,18432,1024,128,3,tsmqr,3305389350,3275352863,24551526,25440685,13.318100
qr,18432,1024,128,3,tsqrt,3305389350,3275352863,24551526,25440685,13.318100
qr,18432,1024,128,4,geqrt,3478706361,3482290282,24735568,25590916,14.267200
qr,18432,1024,128,4,ormqr,3478706361,3482290282,24735568,25590916,14.267200
qr,18432,1024,128,4,tsmqr,3478706361,3482290282,24735568,25590916,14.267200
qr,18432,1024,128,4,tsqrt,3478706361,3482290282,24735568,25590916,14.267200
qr,18432,1024,128,5,geqrt,3205168413,3103204265,18531878,24550824,13.867300
qr,18432,1024,128,5,ormqr,3205168413,3103204265,18531878,24550824,13.867300
qr,18432,1024,128,5,tsmqr,3205168413,3103204265,18531878,24550824,13.867300
qr,18432,1024,128,5,tsqrt,3205168413,3103204265,18531878,24550824,13.867300
qr,18432,1024,128,6,geqrt,3390093619,3387381708,18983027,24654243,15.373800
qr,18432,1024,128,6,ormqr,3390093619,3387381708,18983027,24654243,15.373800
qr,18432,1024,128,6,tsmqr,3390093619,3387381708,18983027,24654243,15.373800
qr,18432,1024,128,6,tsqrt,3390093619,3387381708,18983027,24654243,15.373800
qr,18432,1024,128,7,geqrt,3400871473,3325373562,22448272,26666773,15.658600
qr,18432,1024,128,7,ormqr,3400871473,3325373562,22448272,26666773,15.658600
qr,18432,1024,128,7,tsmqr,3400871473,3325373562,22448272,26666773,15.658600
qr,18432,1024,128,7,tsqrt,3400871473,3325373562,22448272,26666773,15.658600
qr,18432,1024,128,8,geqrt,3534628624,3534575054,21076547,21117499,16.886400
qr,18432,1024,128,8,ormqr,3534628624,3534575054,21076547,21117499,16.886400
qr,18432,1024,128,8,tsmqr,3534628624,3534575054,21076547,21117499,16.886400
qr,18432,1024,128,8,tsqrt,3534628624,3534575054,21076547,21117499,16.886400
qr,18432,1024,128,9,geqrt,3501925207,3528115183,26023556,32783003,14.426600
qr,18432,1024,128,9,ormqr,3501925207,3528115183,26023556,32783003,14.426600
qr,18432,1024,128,9,tsmqr,3501925207,3528115183,26023556,32783003,14.426600
qr,18432,1024,128,9,tsqrt,3501925207,3528115183,26023556,32783003,14.426600
qr,18432,1024,128,10,geqrt,3481263388,3548170511,23246692,30025944,14.376400
qr,18432,1024,128,10,ormqr,3481263388,3548170511,23246692,30025944,14.376400
qr,18432,1024,128,10,tsmqr,3481263388,3548170511,23246692,30025944,14.376400
qr,18432,1024,128,10,tsqrt,3481263388,3548170511,23246692,30025944,14.376400
qr,18432,1024,128,11,geqrt,3475312142,3495766559,18601013,25224953,14.341400
qr,18432,1024,128,11,ormqr,3475312142,3495766559,18601013,25224953,14.341400
qr,18432,1024,128,11,tsmqr,3475312142,3495766559,18601013,25224953,14.341400
qr,18432,1024,128,11,tsqrt,3475312142,3495766559,18601013,25224953,14.341400
qr,18432,1024,128,12,geqrt,3582485234,3531914181,25310474,30640581,14.862600
qr,18432,1024,128,12,ormqr,3582485234,3531914181,25310474,30640581,14.862600
qr,18432,1024,128,12,tsmqr,3582485234,3531914181,25310474,30640581,14.862600
qr,18432,1024,128,12,tsqrt,3582485234,3531914181,25310474,30640581,14.862600
qr,18432,1024,128,13,geqrt,4180698637,4287985905,20556753,30307591,21.682400
qr,18432,1024,128,13,ormqr,4180698637,4287985905,20556753,30307591,21.682400
qr,18432,1024,128,13,tsmqr,4180698637,4287985905,20556753,30307591,21.682400
qr,18432,1024,128,13,tsqrt,4180698637,4287985905,20556753,30307591,21.682400
qr,18432,1024,128,14,geqrt,4117512681,4142416056,24185212,24559475,21.137700
qr,18432,1024,128,14,ormqr,4117512681,4142416056,24185212,24559475,21.137700
qr,18432,1024,128,14,tsmqr,4117512681,4142416056,24185212,24559475,21.137700
qr,18432,1024,128,14,tsqrt,4117512681,4142416056,24185212,24559475,21.137700
qr,18432,1024,128,15,geqrt,4323638557,3846823249,18670207,18956646,24.200600
qr,18432,1024,128,15,ormqr,4323638557,3846823249,18670207,18956646,24.200600
qr,18432,1024,128,15,tsmqr,4323638557,3846823249,18670207,18956646,24.200600
qr,18432,1024,128,15,tsqrt,4323638557,3846823249,18670207,18956646,24.200600
qr,18432,1024,128,16,geqrt,4355267765,3515273043,19480454,14584008,24.615100
qr,18432,1024,128,16,ormqr,4355267765,3515273043,19480454,14584008,24.615100
qr,18432,1024,128,16,tsmqr,4355267765,3515273043,19480454,14584008,24.615100
qr,18432,1024,128,16,tsqrt,4355267765,3515273043,19480454,14584008,24.615100
qr,18432,2048,128,1,geqrt,13428849308,13123751501,92211250,107899083,66.933100
qr,18432,2048,128,1,ormqr,13428849308,13123751501,92211250,107899083,66.933100
qr,18432,2048,128,1,tsmqr,13428849308,13123751501,92211250,107899083,66.933100
qr,18432,2048,128,1,tsqrt,13428849308,13123751501,92211250,107899083,66.933100
