algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP
cholesky,potrf,8192,512,23068672,1200000,16,843357,267298265,25078967,96944561,850963,267297923,814085,267298187,844661
cholesky,trsm,8192,512,23068672,1200000,120,7196720,4826042943,690980659,2006184464,7374579,4826037152,7135749,4826041793,7187033
cholesky,syrk,8192,512,23068672,1200000,120,12440601,2121782985,178750911,731743830,12584875,2121782187,12403124,2121782308,12420763
cholesky,gemm,8192,512,23068672,1200000,560,56799443,17538811413,1125925786,5628491163,57067697,17538805309,56597099,17538804486,56575437
cholesky,potrf,8192,512,23068672,2801000,16,821005,267298063,28928721,100765683,823093,267298140,826213,267298105,829017
cholesky,trsm,8192,512,23068672,2801000,120,7254972,4826042898,723256071,2036754754,7173258,4826039101,7260619,4826041956,7155069
cholesky,syrk,8192,512,23068672,2801000,120,12314130,2121783251,221979628,774888716,12245795,2121781214,12429573,2121781382,12410507
cholesky,gemm,8192,512,23068672,2801000,560,56712784,17538809690,1262414989,5764715519,56269649,17538801106,55889486,17538800466,56274502
cholesky,potrf,8192,1024,23068672,1200000,8,1862811,736204928,77763389,274263526,1872527,736202964,1834548,736205130,1870746
cholesky,trsm,8192,1024,23068672,1200000,28,9026676,6253274217,773645719,2450537150,9000887,6253272700,9652616,6253273381,9013967
cholesky,syrk,8192,1024,23068672,1200000,28,13718811,3650874335,228262232,1165347806,13667140,3650874146,13696645,3650874192,13720729
cholesky,gemm,8192,1024,23068672,1200000,56,37927898,13685534674,711205040,4197109307,37722908,13685534235,40186476,13685533733,37657145
cholesky,potrf,8192,1024,23068672,2801000,8,1889963,736204758,84142565,283008958,1885302,736204382,1868489,736204692,1887253
cholesky,trsm,8192,1024,23068672,2801000,28,9067060,6253274613,808754790,2504280516,8308406,6253271884,9017823,6253272467,8966970
cholesky,syrk,8192,1024,23068672,2801000,28,13696604,3650872478,275754053,1212954139,12260602,3650873208,13648650,3650874021,13509390
cholesky,gemm,8192,1024,23068672,2801000,56,37704416,13685530119,804821049,4291091755,33290929,13685529483,37640139,13685532332,36950980
cholesky,potrf,8192,2048,23068672,1200000,4,4430258,2193114524,243761805,825763254,4300775,2193114366,4516397,2193115672,4552964
cholesky,trsm,8192,2048,23068672,1200000,6,18077089,8253707031,825972163,2997589533,17677357,8253706928,19116442,8253707038,18085702
cholesky,syrk,8192,2048,23068672,1200000,6,20315422,5997669386,327942842,1852328113,20654283,5997669322,20577114,5997669230,20743924
cholesky,gemm,8192,2048,23068672,1200000,4,26157299,7729465476,374727463,2331081883,25996855,7729465433,25979261,7729465431,26133494
cholesky,potrf,8192,2048,23068672,2801000,4,4242691,2193115602,262825281,845030128,4310663,2193115558,4412473,2193114246,4427795
cholesky,trsm,8192,2048,23068672,2801000,6,17906290,8253706706,861213313,3029976545,17570920,8253706638,18725387,8253706668,17579776
cholesky,syrk,8192,2048,23068672,2801000,6,20069255,5997668780,390957832,1916341288,20318777,5997669069,20402075,5997669071,20121122
cholesky,gemm,8192,2048,23068672,2801000,4,25901608,7729464969,420516700,2378815862,25946814,7729465112,25771973,7729465112,25864949
cholesky,potrf,12288,512,23068672,1200000,24,1304402,400937163,36841671,146090194,1258360,400937073,1319974,400936570,1339379
cholesky,trsm,12288,512,23068672,1200000,276,16592430,11099893089,1591988865,4649798914,16443385,11099889468,16864670,11099891480,16990601
cholesky,syrk,12288,512,23068672,1200000,276,30754884,4880102019,418464516,1690441731,30090323,4880095411,30386544,4880098601,30535259
cholesky,gemm,12288,512,23068672,1200000,2024,217042573,63390269355,4100929882,20374529766,217601820,63390234036,217813648,63390251899,216607022
cholesky,potrf,12288,512,23068672,2801000,24,1316601,400936749,44317081,152328526,1326559,400937044,1325702,400936292,1325283
cholesky,trsm,12288,512,23068672,2801000,276,17059860,11099891737,1661543544,4682974892,16509007,11099895099,16547388,11099893904,16877242
cholesky,syrk,12288,512,23068672,2801000,276,29758802,4880101122,516812383,1788769286,29963728,4880098433,29696287,4880098080,30336003
cholesky,gemm,12288,512,23068672,2801000,2024,218315174,63390267115,4615063460,20888358993,216262317,63390248316,217814986,63390247166,217133825
cholesky,potrf,12288,1024,23068672,1200000,12,2891037,1104296804,116834237,412937331,2875141,1104297161,2931592,1104294303,3025291
cholesky,trsm,12288,1024,23068672,1200000,66,23291857,14739858845,1825124665,5783765956,22558968,14739857911,22144427,14739858476,22176063
cholesky,syrk,12288,1024,23068672,1200000,66,33278220,8605632435,536723622,2745579017,33549438,8605631115,33487480,8605632096,34017332
cholesky,gemm,12288,1024,23068672,1200000,220,160715572,53764597794,2786050418,16481967480,155943759,53764595687,152497470,53764595400,153521271
cholesky,potrf,12288,1024,23068672,2801000,12,2889382,1104296764,125713344,420189198,2988548,1104296320,2890288,1104296931,2979881
cholesky,trsm,12288,1024,23068672,2801000,66,21899526,14739860663,1899339901,5849997382,21625809,14739858316,22142156,14739856006,21613179
cholesky,syrk,12288,1024,23068672,2801000,66,33104591,8605631943,650802977,2859363291,33094106,8605631432,33583015,8605630512,32661557
cholesky,gemm,12288,1024,23068672,2801000,220,150676532,53764596583,3154006120,16846934459,147928578,53764593016,151476144,53764590096,148733806
cholesky,potrf,12288,2048,23068672,1200000,6,6890196,3289662743,366210438,1238378357,7041230,3289661077,7138592,3289662370,6921698
cholesky,trsm,12288,2048,23068672,1200000,15,45798825,20634267606,2033990737,7454202207,45321825,20634267637,47363144,20634267601,46926998
cholesky,syrk,12288,2048,23068672,1200000,15,50635767,14994172343,816764104,4627589687,51076317,14994173009,51841393,14994173272,50856413
cholesky,gemm,12288,2048,23068672,1200000,20,127402622,38647324224,1850128064,11631826754,127797016,38647323962,128986782,38647323499,127747258
cholesky,potrf,12288,2048,23068672,2801000,6,6907386,3289662234,395276316,1269366181,6831462,3289662128,6931865,3289662346,6874139
cholesky,trsm,12288,2048,23068672,2801000,15,45716777,20634266047,2150718391,7573086019,44992313,20634266106,46819163,20634266146,46145314
cholesky,syrk,12288,2048,23068672,2801000,15,50401126,14994172617,973257241,4786721205,49917028,14994172675,50288430,14994172505,50538550
cholesky,gemm,12288,2048,23068672,2801000,20,126835709,38647322490,2073512416,11864380020,126387346,38647322297,127278724,38647322413,127242862
cholesky,potrf,16384,512,23068672,1200000,32,1801154,534576455,49050004,192398782,1839936,534576283,1862118,534576164,1844885
cholesky,trsm,16384,512,23068672,1200000,496,30553208,19947634441,2851769547,8288997016,29894415,19947650960,30915238,19947643906,30456476
cholesky,syrk,16384,512,23068672,1200000,496,55788293,8770029835,746177288,3032476444,56118241,8770032311,56362185,8770033441,55633685
cholesky,gemm,16384,512,23068672,1200000,4960,545451319,155343756418,10049644131,49933341869,549624081,155343698441,548677404,155343695109,550926078
cholesky,potrf,16384,512,23068672,2801000,32,1844807,534576277,57094581,201124700,1761012,534575830,1765177,534575788,1810061
cholesky,trsm,16384,512,23068672,2801000,496,30021185,19947641447,2990664355,8419803890,30280252,19947618290,29834938,19947629302,29867269
cholesky,syrk,16384,512,23068672,2801000,496,55495933,8770034490,935276157,3220201802,55061668,8770020649,56111077,8770030590,55510732
cholesky,gemm,16384,512,23068672,2801000,4960,544423896,155343709708,11324561465,51198255185,547430818,155343677666,548230442,155343676952,544746866
cholesky,potrf,16384,1024,23068672,1200000,16,3899396,1472389793,153487184,546568280,4027547,1472385887,4020533,1472389492,3962787
cholesky,trsm,16384,1024,23068672,1200000,120,42780167,26799741258,3373923191,10563982147,42545528,26799746520,40604731,26799739653,42834106
cholesky,syrk,16384,1024,23068672,1200000,120,62121992,15646600811,975069288,4991089412,62250101,15646604259,61801762,15646604209,62327869
cholesky,gemm,16384,1024,23068672,1200000,560,410632152,136855329735,7079992874,41938460964,416020645,136855335190,395480958,136855334584,415152511
cholesky,potrf,16384,1024,23068672,2801000,16,4019809,1472385488,170829865,564265646,4107562,1472388876,4048878,1472385347,3914274
cholesky,trsm,16384,1024,23068672,2801000,120,39898861,26799745624,3452328189,10636801226,40071296,26799741404,40042574,26799741794,41062771
