algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
cholesky,potrf,8192,512,23068672,1200000,16,814358,
cholesky,trsm,8192,512,23068672,1200000,120,7223430,
cholesky,syrk,8192,512,23068672,1200000,120,12353360,
cholesky,gemm,8192,512,23068672,1200000,560,56862230,
cholesky,potrf,8192,512,23068672,2801000,16,825913,
cholesky,trsm,8192,512,23068672,2801000,120,7159353,
cholesky,syrk,8192,512,23068672,2801000,120,12402633,
cholesky,gemm,8192,512,23068672,2801000,560,56912004,
cholesky,potrf,8192,1024,23068672,1200000,8,1841847,
cholesky,trsm,8192,1024,23068672,1200000,28,9136862,
cholesky,syrk,8192,1024,23068672,1200000,28,13595566,
cholesky,gemm,8192,1024,23068672,1200000,56,37513356,
cholesky,potrf,8192,1024,23068672,2801000,8,1793607,
cholesky,trsm,8192,1024,23068672,2801000,28,9070581,
cholesky,syrk,8192,1024,23068672,2801000,28,13345488,
cholesky,gemm,8192,1024,23068672,2801000,56,38054125,
cholesky,potrf,8192,2048,23068672,1200000,4,4403418,
cholesky,trsm,8192,2048,23068672,1200000,6,17532928,
cholesky,syrk,8192,2048,23068672,1200000,6,20831404,
cholesky,gemm,8192,2048,23068672,1200000,4,26235546,
cholesky,potrf,8192,2048,23068672,2801000,4,4138645,
cholesky,trsm,8192,2048,23068672,2801000,6,16941994,
cholesky,syrk,8192,2048,23068672,2801000,6,20082573,
cholesky,gemm,8192,2048,23068672,2801000,4,26139438,
cholesky,potrf,12288,512,23068672,1200000,24,1323856,
cholesky,trsm,12288,512,23068672,1200000,276,16761532,
cholesky,syrk,12288,512,23068672,1200000,276,30546650,
cholesky,gemm,12288,512,23068672,1200000,2024,216921653,
cholesky,potrf,12288,512,23068672,2801000,24,1336837,
cholesky,trsm,12288,512,23068672,2801000,276,16620714,
cholesky,syrk,12288,512,23068672,2801000,276,30438250,
cholesky,gemm,12288,512,23068672,2801000,2024,217671883,
cholesky,potrf,12288,1024,23068672,1200000,12,2856366,
cholesky,trsm,12288,1024,23068672,1200000,66,22970599,
cholesky,syrk,12288,1024,23068672,1200000,66,33292202,
cholesky,gemm,12288,1024,23068672,1200000,220,159783049,
cholesky,potrf,12288,1024,23068672,2801000,12,2842612,
cholesky,trsm,12288,1024,23068672,2801000,66,22618101,
cholesky,syrk,12288,1024,23068672,2801000,66,33113204,
cholesky,gemm,12288,1024,23068672,2801000,220,156246085,
cholesky,potrf,12288,2048,23068672,1200000,6,7072986,
cholesky,trsm,12288,2048,23068672,1200000,15,46271083,
cholesky,syrk,12288,2048,23068672,1200000,15,51958850,
cholesky,gemm,12288,2048,23068672,1200000,20,130378302,
cholesky,potrf,12288,2048,23068672,2801000,6,6836904,
cholesky,trsm,12288,2048,23068672,2801000,15,45059009,
cholesky,syrk,12288,2048,23068672,2801000,15,49558664,
cholesky,gemm,12288,2048,23068672,2801000,20,127493229,
cholesky,potrf,16384,512,23068672,1200000,32,1841154,
cholesky,trsm,16384,512,23068672,1200000,496,29992469,
cholesky,syrk,16384,512,23068672,1200000,496,55655252,
cholesky,gemm,16384,512,23068672,1200000,4960,546505024,
cholesky,potrf,16384,512,23068672,2801000,32,1772614,
cholesky,trsm,16384,512,23068672,2801000,496,30062689,
cholesky,syrk,16384,512,23068672,2801000,496,54882916,
cholesky,gemm,16384,512,23068672,2801000,4960,549101194,
cholesky,potrf,16384,1024,23068672,1200000,16,3944413,
cholesky,trsm,16384,1024,23068672,1200000,120,42529381,
cholesky,syrk,16384,1024,23068672,1200000,120,61601722,
cholesky,gemm,16384,1024,23068672,1200000,560,409086740,
cholesky,potrf,16384,1024,23068672,2801000,16,4050011,
cholesky,trsm,16384,1024,23068672,2801000,120,39824427,
cholesky,syrk,16384,1024,23068672,2801000,120,61385474,
cholesky,gemm,16384,1024,23068672,2801000,560,386019730,
cholesky,potrf,16384,2048,23068672,1200000,8,9607988,
cholesky,trsm,16384,2048,23068672,1200000,28,86421776,
cholesky,syrk,16384,2048,23068672,1200000,28,95452162,
cholesky,gemm,16384,2048,23068672,1200000,56,356942497,
cholesky,potrf,16384,2048,23068672,2801000,8,9847981,
cholesky,trsm,16384,2048,23068672,2801000,28,89220897,
cholesky,syrk,16384,2048,23068672,2801000,28,95716760,
cholesky,gemm,16384,2048,23068672,2801000,56,364709369,
cholesky,potrf,20480,512,23068672,1200000,40,2328430,
cholesky,trsm,20480,512,23068672,1200000,780,47082938,
cholesky,syrk,20480,512,23068672,1200000,780,90365742,
cholesky,gemm,20480,512,23068672,1200000,9880,1099840354,
cholesky,potrf,20480,512,23068672,2801000,40,2249074,
