algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
cholesky,potrf,8192,512,23068672,1200000,16,852649,267298181,25076033,96849158,
cholesky,trsm,8192,512,23068672,1200000,120,7300964,4826045891,691512915,2006396712,
cholesky,syrk,8192,512,23068672,1200000,120,12516075,2121782756,179003063,732044539,
cholesky,gemm,8192,512,23068672,1200000,560,56931094,17538809336,1125998769,5628574890,
cholesky,potrf,8192,512,23068672,2801000,16,806479,267298082,29137716,101439639,
cholesky,trsm,8192,512,23068672,2801000,120,7102818,4826041853,723766861,2046092366,
cholesky,syrk,8192,512,23068672,2801000,120,12168257,2121782578,221523873,774522256,
cholesky,gemm,8192,512,23068672,2801000,560,56535281,17538807164,1258419678,5761585519,
cholesky,potrf,8192,1024,23068672,1200000,8,1981224,736204928,77211380,274992543,
cholesky,trsm,8192,1024,23068672,1200000,28,9112500,6253273030,791581633,2471458202,
cholesky,syrk,8192,1024,23068672,1200000,28,13815852,3650874234,228084855,1165372534,
cholesky,gemm,8192,1024,23068672,1200000,56,37859635,13685534754,710966142,4197232742,
cholesky,potrf,8192,1024,23068672,2801000,8,1743888,736202938,83192534,279974507,
cholesky,trsm,8192,1024,23068672,2801000,28,9083770,6253272910,807259791,2482948609,
cholesky,syrk,8192,1024,23068672,2801000,28,13367464,3650874338,275269773,1212193853,
cholesky,gemm,8192,1024,23068672,2801000,56,38098185,13685534147,806374257,4291623871,
cholesky,potrf,8192,2048,23068672,1200000,4,4379776,2193115579,244171048,826264235,
cholesky,trsm,8192,2048,23068672,1200000,6,17629980,8253707177,817882379,2986323718,
cholesky,syrk,8192,2048,23068672,1200000,6,20422230,5997669395,327478120,1852006649,
cholesky,gemm,8192,2048,23068672,1200000,4,25968150,7729465290,373934501,2330344523,
cholesky,potrf,8192,2048,23068672,2801000,4,4201366,2193115390,261629733,843776812,
cholesky,trsm,8192,2048,23068672,2801000,6,17418519,8253706577,857453447,3026169092,
cholesky,syrk,8192,2048,23068672,2801000,6,19968899,5997669144,387684463,1912829149,
cholesky,gemm,8192,2048,23068672,2801000,4,25539981,7729465165,417987414,2376152925,
cholesky,potrf,12288,512,23068672,1200000,24,1323458,400936502,36773508,144760611,
cholesky,trsm,12288,512,23068672,1200000,276,16855190,11099897253,1588525301,4627236553,
cholesky,syrk,12288,512,23068672,1200000,276,30664752,4880101507,415405478,1687476358,
cholesky,gemm,12288,512,23068672,1200000,2024,218530050,63390274629,4090678914,20366305087,
cholesky,potrf,12288,512,23068672,2801000,24,1316382,400937427,43146542,151061877,
cholesky,trsm,12288,512,23068672,2801000,276,16682846,11099899173,1663699967,4684330936,
cholesky,syrk,12288,512,23068672,2801000,276,29875824,4880101220,517132990,1789049099,
cholesky,gemm,12288,512,23068672,2801000,2024,217050403,63390266414,4603110779,20878743951,
cholesky,potrf,12288,1024,23068672,1200000,12,3010084,1104294397,114753853,409265775,
cholesky,trsm,12288,1024,23068672,1200000,66,22165903,14739860735,1823327762,5774778342,
cholesky,syrk,12288,1024,23068672,1200000,66,33924660,8605632893,538366024,2747299666,
cholesky,gemm,12288,1024,23068672,1200000,220,152661741,53764598483,2789210605,16483519101,
cholesky,potrf,12288,1024,23068672,2801000,12,2942236,1104297214,126896476,427244438,
cholesky,trsm,12288,1024,23068672,2801000,66,21733473,14739859859,1907820380,5926356750,
cholesky,syrk,12288,1024,23068672,2801000,66,33221143,8605631084,650700873,2858925952,
cholesky,gemm,12288,1024,23068672,2801000,220,149364372,53764595514,3151304044,16843247664,
cholesky,potrf,12288,2048,23068672,1200000,6,7195686,3289662511,365738012,1245719771,
cholesky,trsm,12288,2048,23068672,1200000,15,46654392,20634267751,2035888476,7487527177,
cholesky,syrk,12288,2048,23068672,1200000,15,52274608,14994173485,816286775,4627672684,
cholesky,gemm,12288,2048,23068672,1200000,20,130476819,38647324162,1849999636,11632807640,
cholesky,potrf,12288,2048,23068672,2801000,6,7011695,3289662349,397652423,1279370241,
cholesky,trsm,12288,2048,23068672,2801000,15,45315136,20634266052,2156499334,7618483968,
cholesky,syrk,12288,2048,23068672,2801000,15,50049895,14994171530,970903689,4783777281,
cholesky,gemm,12288,2048,23068672,2801000,20,126702131,38647322080,2068761371,11859026645,
cholesky,potrf,16384,512,23068672,1200000,32,1787957,534575167,49017947,192647089,
cholesky,trsm,16384,512,23068672,1200000,496,30591500,19947651006,2850496859,8290409520,
cholesky,syrk,16384,512,23068672,1200000,496,55671519,8770036608,747940702,3033810697,
cholesky,gemm,16384,512,23068672,1200000,4960,550704822,155343749533,10041882157,49921188038,
cholesky,potrf,16384,512,23068672,2801000,32,1787374,534576598,57325405,201071191,
cholesky,trsm,16384,512,23068672,2801000,496,29256002,19947652335,2989242264,8427498798,
cholesky,syrk,16384,512,23068672,2801000,496,54906689,8770038095,934276360,3219393060,
cholesky,gemm,16384,512,23068672,2801000,4960,546384173,155343743043,11342513923,51224142964,
cholesky,potrf,16384,1024,23068672,1200000,16,3852973,1472384963,152753227,546685377,
cholesky,trsm,16384,1024,23068672,1200000,120,43422698,26799741347,3322044389,10524497147,
cholesky,syrk,16384,1024,23068672,1200000,120,62317102,15646605042,979055304,4995159405,
cholesky,gemm,16384,1024,23068672,1200000,560,420804346,136855341358,7085362686,41942872360,
cholesky,potrf,16384,1024,23068672,2801000,16,3796795,1472388531,169840261,562861940,
cholesky,trsm,16384,1024,23068672,2801000,120,41303564,26799747163,3459332873,10638093994,
cholesky,syrk,16384,1024,23068672,2801000,120,60737338,15646605029,1185097059,5200460879,
cholesky,gemm,16384,1024,23068672,2801000,560,401393986,136855336161,8009945550,42866121105,
cholesky,potrf,16384,2048,23068672,1200000,8,9297904,4386209520,492746108,1664601111,
cholesky,trsm,16384,2048,23068672,1200000,28,86386532,38517299406,3795194904,13966507804,
cholesky,syrk,16384,2048,23068672,1200000,28,95083111,27989123844,1520564278,8635355041,
cholesky,gemm,16384,2048,23068672,1200000,56,360559081,108212506507,5163557621,32556800850,
cholesky,potrf,16384,2048,23068672,2801000,8,9801400,4386209172,527970945,1691735087,
