algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L2_TCR,PAPI_L2_TCW,
cholesky,potrf,8192,512,23068672,1200000,16,834847,267298210,
cholesky,trsm,8192,512,23068672,1200000,120,7043741,4826041120,
cholesky,syrk,8192,512,23068672,1200000,120,12332752,2121782224,
cholesky,gemm,8192,512,23068672,1200000,560,56269414,17538805470,
cholesky,potrf,8192,512,23068672,2801000,16,832863,267298101,
cholesky,trsm,8192,512,23068672,2801000,120,7154654,4826042077,
cholesky,syrk,8192,512,23068672,2801000,120,12477005,2121781673,
cholesky,gemm,8192,512,23068672,2801000,560,56848992,17538802945,
cholesky,potrf,8192,1024,23068672,1200000,8,1860559,736204901,
cholesky,trsm,8192,1024,23068672,1200000,28,9327899,6253273787,
cholesky,syrk,8192,1024,23068672,1200000,28,13489673,3650873963,
cholesky,gemm,8192,1024,23068672,1200000,56,39118416,13685534167,
cholesky,potrf,8192,1024,23068672,2801000,8,1807257,736204723,
cholesky,trsm,8192,1024,23068672,2801000,28,9101491,6253273657,
cholesky,syrk,8192,1024,23068672,2801000,28,13449121,3650872313,
cholesky,gemm,8192,1024,23068672,2801000,56,38484557,13685529596,
cholesky,potrf,8192,2048,23068672,1200000,4,4284478,2193114270,
cholesky,trsm,8192,2048,23068672,1200000,6,17102235,8253707255,
cholesky,syrk,8192,2048,23068672,1200000,6,20195443,5997668892,
cholesky,gemm,8192,2048,23068672,1200000,4,25319924,7729465041,
cholesky,potrf,8192,2048,23068672,2801000,4,4338586,2193114345,
cholesky,trsm,8192,2048,23068672,2801000,6,17338439,8253706578,
cholesky,syrk,8192,2048,23068672,2801000,6,20103718,5997668608,
cholesky,gemm,8192,2048,23068672,2801000,4,25431149,7729464916,
cholesky,potrf,12288,512,23068672,1200000,24,1307499,400937204,
cholesky,trsm,12288,512,23068672,1200000,276,16814251,11099902372,
cholesky,syrk,12288,512,23068672,1200000,276,30721566,4880098632,
cholesky,gemm,12288,512,23068672,1200000,2024,218691290,63390238132,
cholesky,potrf,12288,512,23068672,2801000,24,1305587,400935872,
cholesky,trsm,12288,512,23068672,2801000,276,16781689,11099899122,
cholesky,syrk,12288,512,23068672,2801000,276,29969875,4880095201,
cholesky,gemm,12288,512,23068672,2801000,2024,218053201,63390227186,
cholesky,potrf,12288,1024,23068672,1200000,12,2980223,1104296878,
cholesky,trsm,12288,1024,23068672,1200000,66,21970698,14739859644,
cholesky,syrk,12288,1024,23068672,1200000,66,33530775,8605632276,
cholesky,gemm,12288,1024,23068672,1200000,220,153391177,53764596357,
cholesky,potrf,12288,1024,23068672,2801000,12,2831340,1104294159,
cholesky,trsm,12288,1024,23068672,2801000,66,22452290,14739855961,
cholesky,syrk,12288,1024,23068672,2801000,66,32736975,8605627870,
cholesky,gemm,12288,1024,23068672,2801000,220,154043302,53764589602,
cholesky,potrf,12288,2048,23068672,1200000,6,6996881,3289662493,
cholesky,trsm,12288,2048,23068672,1200000,15,45891731,20634267591,
cholesky,syrk,12288,2048,23068672,1200000,15,51186736,14994173222,
cholesky,gemm,12288,2048,23068672,1200000,20,127949177,38647324010,
cholesky,potrf,12288,2048,23068672,2801000,6,6977360,3289662224,
cholesky,trsm,12288,2048,23068672,2801000,15,45345562,20634266525,
cholesky,syrk,12288,2048,23068672,2801000,15,50342203,14994172107,
