algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,16384,512,32,1,potrf,2277033,2109919,342231,217918,0.019900
cholesky,16384,512,32,1,gemm,2277033,2109919,342231,217918,0.019900
cholesky,16384,512,32,1,trsm,2277033,2109919,342231,217918,0.019900
cholesky,16384,512,32,1,syrk,2277033,2109919,342231,217918,0.019900
cholesky,16384,512,32,2,potrf,1658199,1444881,240057,166632,0.019600
cholesky,16384,512,32,2,gemm,1658199,1444881,240057,166632,0.019600
cholesky,16384,512,32,2,trsm,1658199,1444881,240057,166632,0.019600
cholesky,16384,512,32,2,syrk,1658199,1444881,240057,166632,0.019600
cholesky,16384,512,32,3,potrf,2288751,2325128,390686,246361,0.025700
cholesky,16384,512,32,3,gemm,2288751,2325128,390686,246361,0.025700
cholesky,16384,512,32,3,trsm,2288751,2325128,390686,246361,0.025700
cholesky,16384,512,32,3,syrk,2288751,2325128,390686,246361,0.025700
cholesky,16384,512,32,4,potrf,2575616,2335687,400279,250569,0.025300
cholesky,16384,512,32,4,gemm,2575616,2335687,400279,250569,0.025300
cholesky,16384,512,32,4,trsm,2575616,2335687,400279,250569,0.025300
cholesky,16384,512,32,4,syrk,2575616,2335687,400279,250569,0.025300
cholesky,16384,512,32,5,potrf,2452447,2104609,398305,266725,0.028000
cholesky,16384,512,32,5,gemm,2452447,2104609,398305,266725,0.028000
cholesky,16384,512,32,5,trsm,2452447,2104609,398305,266725,0.028000
cholesky,16384,512,32,5,syrk,2452447,2104609,398305,266725,0.028000
cholesky,16384,512,32,6,potrf,2376153,2007136,380358,263037,0.027900
cholesky,16384,512,32,6,gemm,2376153,2007136,380358,263037,0.027900
cholesky,16384,512,32,6,trsm,2376153,2007136,380358,263037,0.027900
cholesky,16384,512,32,6,syrk,2376153,2007136,380358,263037,0.027900
cholesky,16384,512,32,7,potrf,2692559,2443109,449100,284350,0.031200
cholesky,16384,512,32,7,gemm,2692559,2443109,449100,284350,0.031200
cholesky,16384,512,32,7,trsm,2692559,2443109,449100,284350,0.031200
cholesky,16384,512,32,7,syrk,2692559,2443109,449100,284350,0.031200
cholesky,16384,512,32,8,potrf,2435663,1999324,371759,275476,0.028100
cholesky,16384,512,32,8,gemm,2435663,1999324,371759,275476,0.028100
cholesky,16384,512,32,8,trsm,2435663,1999324,371759,275476,0.028100
cholesky,16384,512,32,8,syrk,2435663,1999324,371759,275476,0.028100
cholesky,16384,512,32,9,potrf,2999566,2649224,453737,274467,0.027500
cholesky,16384,512,32,9,gemm,2999566,2649224,453737,274467,0.027500
cholesky,16384,512,32,9,trsm,2999566,2649224,453737,274467,0.027500
cholesky,16384,512,32,9,syrk,2999566,2649224,453737,274467,0.027500
