algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP
invert,getrf,8192,512,23068672,1200000,16,3513498,477354810,130070693,259170408,3550565,477354570,3497442,477354598,3350963
invert,gemm,8192,512,23068672,1200000,1240,198349111,38217774899,3000776998,12781141702,196119454,38217772246,207552420,38217765570,198390722
invert,trsm,8192,512,23068672,1200000,120,8304940,3339571203,767225110,1726856806,8175823,3339574411,8969688,3339573787,8330940
invert,getri,8192,512,23068672,1200000,16,3023300,753859892,185566436,398547430,2926310,753859927,3074052,753859706,2889431
invert,getrf,8192,512,23068672,2801000,16,3461884,477354653,235743355,365697814,3805233,477354530,3421152,477354545,3433889
invert,gemm,8192,512,23068672,2801000,1240,192820754,38217782599,3579887662,13371194546,191261763,38217763543,200161628,38217750976,190540683
invert,trsm,8192,512,23068672,2801000,120,8411368,3339575519,815546413,1774876086,8283507,3339572158,9021221,3339574145,8165062
invert,getri,8192,512,23068672,2801000,16,3076013,753859779,310861655,523680215,3012969,753859766,3060028,753860407,3054611
invert,getrf,8192,1024,23068672,1200000,8,8840576,1310923594,328617926,678797516,8472931,1310923426,9047770,1310923512,8821089
invert,gemm,8192,1024,23068672,1200000,140,124367670,33935591534,2097610160,10740927208,124379472,33935589892,137528523,33935589020,126493055
invert,trsm,8192,1024,23068672,1200000,28,11749998,4888414461,873487174,2225186662,11688053,4888413827,12842038,4888413972,11916286
invert,getri,8192,1024,23068672,1200000,8,6895297,2073480351,511236992,1075818061,7201035,2073480134,7492480,2073480133,7395844
invert,getrf,8192,1024,23068672,2801000,8,8377788,1310923509,578942831,929278115,8491065,1310923425,9292870,1310923430,8683076
invert,gemm,8192,1024,23068672,2801000,140,123208675,33935589228,2423080620,11074908420,122266736,33935588379,133874270,33935587702,125293895
invert,trsm,8192,1024,23068672,2801000,28,11450488,4888413991,928642164,2280897889,11566111,4888412945,12061551,4888413733,11759594
invert,getri,8192,1024,23068672,2801000,8,7269824,2073480088,828565064,1394462504,7055392,2073480005,7579944,2073480017,7248666
invert,getrf,8192,2048,23068672,1200000,4,34359500,3916131039,1071940544,2119343973,33756418,3916130954,34017017,3916131092,33651903
invert,gemm,8192,2048,23068672,1200000,14,107443234,26941608706,1548531459,8373980212,107342663,26941608685,117085881,26941608404,109671137
invert,trsm,8192,2048,23068672,1200000,6,17268730,7092999306,916141960,2810200788,17323769,7092999205,18551228,7092998979,17191698
invert,getri,8192,2048,23068672,1200000,4,44685960,6672240416,1691355991,3494705667,43920537,6672240318,45833909,6672240472,43973314
invert,getrf,8192,2048,23068672,2801000,4,33747388,3916130812,2117204943,3160694664,34130996,3916130857,33895732,3916130876,33927260
invert,gemm,8192,2048,23068672,2801000,14,106562472,26941607344,1744693341,8578275799,106475165,26941606949,116372692,26941607433,107643957
invert,trsm,8192,2048,23068672,2801000,6,17064063,7092998931,965155505,2858995391,17157702,7092998631,18273413,7092998768,17232837
invert,getri,8192,2048,23068672,2801000,4,42943064,6672239856,2765059372,4566480224,42466902,6672239933,43594700,6672240036,42248034
invert,getrf,12288,512,23068672,1200000,24,5713162,716024814,198460437,391937679,5770216,716024542,5717710,716024482,5748541
invert,gemm,12288,512,23068672,1200000,4324,729544975,133269057399,10776213207,44940594120,751737987,133269012281,780528823,133268978439,766551964
invert,trsm,12288,512,23068672,1200000,276,21822425,7681022380,1776299075,3983965540,21944821,7681011249,23173150,7681005738,22263671
invert,getri,12288,512,23068672,1200000,24,4763545,1130772954,279997956,598891289,5029768,1130771997,4948304,1130772322,4891473
invert,getrf,12288,512,23068672,2801000,24,5568076,716024634,363399630,557751358,5451835,716024413,5892639,716024461,5574230
invert,gemm,12288,512,23068672,2801000,4324,737858847,133269073143,13245444732,47426339440,728373247,133269059637,762088746,133269052684,743806611
invert,trsm,12288,512,23068672,2801000,276,22331965,7681012527,1892005789,4097687711,22152497,7681016948,23333103,7681015921,22412069
invert,getri,12288,512,23068672,2801000,24,4934074,1130772568,487276189,807126364,4668773,1130771924,4906918,1130771802,4889880
invert,getrf,12288,1024,23068672,1200000,12,14280345,1966251580,500039793,1022514763,14239968,1966251441,14397766,1966251430,14337758
invert,gemm,12288,1024,23068672,1200000,506,514661771,122652921322,7808693645,39047624169,517370031,122652906248,536272012,122652911448,518028215
invert,trsm,12288,1024,23068672,1200000,66,31488004,11522689092,2098966194,5284683973,31881302,11522687646,32826715,11522688071,31528401
invert,getri,12288,1024,23068672,1200000,12,11690494,3110216704,774390842,1620375679,11789285,3110216495,11991572,3110216556,11950539
invert,getrf,12288,1024,23068672,2801000,12,14220704,1966251381,937800761,1461525649,14077042,1966251323,14388317,1966251305,14535376
invert,gemm,12288,1024,23068672,2801000,506,503331722,122652915455,9080222120,40350113140,509627574,122652908062,533299157,122652910195,521873219
invert,trsm,12288,1024,23068672,2801000,66,30597937,11522688578,2235021243,5422496597,30276979,11522687614,32367661,11522687759,31815794
invert,getri,12288,1024,23068672,2801000,12,11765724,3110216484,1278578904,2126743193,11661205,3110216478,12332363,3110216410,12017450
invert,getrf,12288,2048,23068672,1200000,6,51317302,5874012060,1611040116,3182850352,52043174,5874011977,51795068,5874011729,52146649
invert,gemm,12288,2048,23068672,1200000,55,469590623,105842031616,6256979997,33078277317,475415048,105842031840,481327278,105842031688,476384442
invert,trsm,12288,2048,23068672,1200000,15,48480090,17732496023,2325546045,7061490181,49852321,17732495837,53369466,17732495853,50832972
invert,getri,12288,2048,23068672,1200000,6,68172169,10008212147,2536288069,5242307694,67508878,10008211894,68419112,10008211516,67289209
invert,getrf,12288,2048,23068672,2801000,6,50740098,5874011751,3288818982,4854836049,50533060,5874011389,52149876,5874011670,51620130
invert,gemm,12288,2048,23068672,2801000,55,477329641,105842027637,7217543931,34078122056,475775181,105842026835,482219128,105842026909,479578507
invert,trsm,12288,2048,23068672,2801000,15,49798851,17732495095,2493148900,7231247068,49501617,17732494713,52749833,17732494698,50000182
invert,getri,12288,2048,23068672,2801000,6,65430426,10008211231,4306197265,7011108379,64672219,10008211229,64650133,10008211562,64932714
invert,getrf,16384,512,23068672,1200000,32,9230286,954684061,285352977,543279193,9342431,954683692,9654139,954683692,9420512
invert,gemm,16384,512,23068672,1200000,10416,2272965050,321029330193,27927370492,110203083344,2302152382,321029219020,2399035984,321029156075,2347741942
invert,trsm,16384,512,23068672,1200000,496,49825016,13803561952,3288815250,7255420550,49972402,13803569179,52562736,13803559763,50517020
invert,getri,16384,512,23068672,1200000,32,8248632,1507694742,397298910,824088421,8373505,1507692700,8528488,1507692713,8381135
invert,getrf,16384,512,23068672,2801000,32,9433742,954683939,584686781,843660406,9302813,954683530,9436925,954683640,9224759
invert,gemm,16384,512,23068672,2801000,10416,2210649027,321029055804,34255498984,116654489765,2211097078,321029054134,2266916308,321029193105,2212712463
invert,trsm,16384,512,23068672,2801000,496,48776658,13803568897,3537826702,7500873038,49269897,13803559367,51871291,13803564032,49500548
invert,getri,16384,512,23068672,2801000,32,8304820,1507694604,716636674,1143829652,8339021,1507693913,8389609,1507693142,8377215
invert,getrf,16384,1024,23068672,1200000,16,22151614,2621778828,721560926,1418087187,21875994,2621778712,22535544,2621778722,22024678
invert,gemm,16384,1024,23068672,1200000,1240,1785983504,300572374257,20300983484,96889218716,1798515698,300572361778,1826248732,300572361572,1783748128
invert,trsm,16384,1024,23068672,1200000,120,74567192,20950341739,3893229895,9689966860,74924778,20950340441,78809606,20950341335,74940338
invert,getri,16384,1024,23068672,1200000,16,19159634,4146943696,1079211336,2208538737,19314907,4146943501,19957986,4146943548,19276367
invert,getrf,16384,1024,23068672,2801000,16,21832444,2621778707,1428605767,2125831494,21997110,2621778533,22333239,2621778443,21987084
invert,gemm,16384,1024,23068672,2801000,1240,1714602625,300572361217,23904485512,100604467002,1734060936,300572332969,1743660458,300572327526,1708374504
