algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
invert,getrf,8192,512,23068672,1200000,16,3513498,477354810,130070693,259170408,
invert,gemm,8192,512,23068672,1200000,1240,198349111,38217774899,3000776998,12781141702,
invert,trsm,8192,512,23068672,1200000,120,8304940,3339571203,767225110,1726856806,
invert,getri,8192,512,23068672,1200000,16,3023300,753859892,185566436,398547430,
invert,getrf,8192,512,23068672,2801000,16,3461884,477354653,235743355,365697814,
invert,gemm,8192,512,23068672,2801000,1240,192820754,38217782599,3579887662,13371194546,
invert,trsm,8192,512,23068672,2801000,120,8411368,3339575519,815546413,1774876086,
invert,getri,8192,512,23068672,2801000,16,3076013,753859779,310861655,523680215,
invert,getrf,8192,1024,23068672,1200000,8,8840576,1310923594,328617926,678797516,
invert,gemm,8192,1024,23068672,1200000,140,124367670,33935591534,2097610160,10740927208,
invert,trsm,8192,1024,23068672,1200000,28,11749998,4888414461,873487174,2225186662,
invert,getri,8192,1024,23068672,1200000,8,6895297,2073480351,511236992,1075818061,
invert,getrf,8192,1024,23068672,2801000,8,8377788,1310923509,578942831,929278115,
invert,gemm,8192,1024,23068672,2801000,140,123208675,33935589228,2423080620,11074908420,
invert,trsm,8192,1024,23068672,2801000,28,11450488,4888413991,928642164,2280897889,
invert,getri,8192,1024,23068672,2801000,8,7269824,2073480088,828565064,1394462504,
invert,getrf,8192,2048,23068672,1200000,4,34359500,3916131039,1071940544,2119343973,
invert,gemm,8192,2048,23068672,1200000,14,107443234,26941608706,1548531459,8373980212,
invert,trsm,8192,2048,23068672,1200000,6,17268730,7092999306,916141960,2810200788,
invert,getri,8192,2048,23068672,1200000,4,44685960,6672240416,1691355991,3494705667,
invert,getrf,8192,2048,23068672,2801000,4,33747388,3916130812,2117204943,3160694664,
invert,gemm,8192,2048,23068672,2801000,14,106562472,26941607344,1744693341,8578275799,
invert,trsm,8192,2048,23068672,2801000,6,17064063,7092998931,965155505,2858995391,
invert,getri,8192,2048,23068672,2801000,4,42943064,6672239856,2765059372,4566480224,
invert,getrf,12288,512,23068672,1200000,24,5713162,716024814,198460437,391937679,
invert,gemm,12288,512,23068672,1200000,4324,729544975,133269057399,10776213207,44940594120,
invert,trsm,12288,512,23068672,1200000,276,21822425,7681022380,1776299075,3983965540,
invert,getri,12288,512,23068672,1200000,24,4763545,1130772954,279997956,598891289,
invert,getrf,12288,512,23068672,2801000,24,5568076,716024634,363399630,557751358,
invert,gemm,12288,512,23068672,2801000,4324,737858847,133269073143,13245444732,47426339440,
invert,trsm,12288,512,23068672,2801000,276,22331965,7681012527,1892005789,4097687711,
invert,getri,12288,512,23068672,2801000,24,4934074,1130772568,487276189,807126364,
invert,getrf,12288,1024,23068672,1200000,12,14280345,1966251580,500039793,1022514763,
invert,gemm,12288,1024,23068672,1200000,506,514661771,122652921322,7808693645,39047624169,
invert,trsm,12288,1024,23068672,1200000,66,31488004,11522689092,2098966194,5284683973,
invert,getri,12288,1024,23068672,1200000,12,11690494,3110216704,774390842,1620375679,
invert,getrf,12288,1024,23068672,2801000,12,14220704,1966251381,937800761,1461525649,
invert,gemm,12288,1024,23068672,2801000,506,503331722,122652915455,9080222120,40350113140,
invert,trsm,12288,1024,23068672,2801000,66,30597937,11522688578,2235021243,5422496597,
invert,getri,12288,1024,23068672,2801000,12,11765724,3110216484,1278578904,2126743193,
invert,getrf,12288,2048,23068672,1200000,6,51317302,5874012060,1611040116,3182850352,
invert,gemm,12288,2048,23068672,1200000,55,469590623,105842031616,6256979997,33078277317,
invert,trsm,12288,2048,23068672,1200000,15,48480090,17732496023,2325546045,7061490181,
invert,getri,12288,2048,23068672,1200000,6,68172169,10008212147,2536288069,5242307694,
invert,getrf,12288,2048,23068672,2801000,6,50740098,5874011751,3288818982,4854836049,
invert,gemm,12288,2048,23068672,2801000,55,477329641,105842027637,7217543931,34078122056,
invert,trsm,12288,2048,23068672,2801000,15,49798851,17732495095,2493148900,7231247068,
invert,getri,12288,2048,23068672,2801000,6,65430426,10008211231,4306197265,7011108379,
invert,getrf,16384,512,23068672,1200000,32,9230286,954684061,285352977,543279193,
invert,gemm,16384,512,23068672,1200000,10416,2272965050,321029330193,27927370492,110203083344,
invert,trsm,16384,512,23068672,1200000,496,49825016,13803561952,3288815250,7255420550,
invert,getri,16384,512,23068672,1200000,32,8248632,1507694742,397298910,824088421,
invert,getrf,16384,512,23068672,2801000,32,9433742,954683939,584686781,843660406,
invert,gemm,16384,512,23068672,2801000,10416,2210649027,321029055804,34255498984,116654489765,
invert,trsm,16384,512,23068672,2801000,496,48776658,13803568897,3537826702,7500873038,
invert,getri,16384,512,23068672,2801000,32,8304820,1507694604,716636674,1143829652,
invert,getrf,16384,1024,23068672,1200000,16,22151614,2621778828,721560926,1418087187,
invert,gemm,16384,1024,23068672,1200000,1240,1785983504,300572374257,20300983484,96889218716,
invert,trsm,16384,1024,23068672,1200000,120,74567192,20950341739,3893229895,9689966860,
invert,getri,16384,1024,23068672,1200000,16,19159634,4146943696,1079211336,2208538737,
invert,getrf,16384,1024,23068672,2801000,16,21832444,2621778707,1428605767,2125831494,
invert,gemm,16384,1024,23068672,2801000,1240,1714602625,300572361217,23904485512,100604467002,
invert,trsm,16384,1024,23068672,2801000,120,72539447,20950340564,4173651982,9968557493,
invert,getri,16384,1024,23068672,2801000,16,19201601,4146943560,1869224090,3000522239,
invert,getrf,16384,2048,23068672,1200000,8,72717063,7832062822,2232537709,4325176531,
invert,gemm,16384,2048,23068672,1200000,140,1483462020,269416081540,16835725793,85089012315,
invert,trsm,16384,2048,23068672,1200000,28,122654570,33100657408,4488912337,13333726828,
invert,getri,16384,2048,23068672,1200000,8,92513061,13344347279,3459325943,7067442187,
invert,getrf,16384,2048,23068672,2801000,8,73133498,7832062419,4609125778,6702162991,
invert,gemm,16384,2048,23068672,2801000,140,1434735091,269416066376,19256761661,87625608206,
invert,trsm,16384,2048,23068672,2801000,28,120998478,33100655835,4802309499,13647070504,
invert,getri,16384,2048,23068672,2801000,8,91457599,13344346899,5978418528,9587212379,
invert,getrf,20480,512,23068672,1200000,40,10171487,1193370294,334941914,656989592,
invert,gemm,20480,512,23068672,1200000,20540,3603951381,633059066343,51566160013,213960836146,
invert,trsm,20480,512,23068672,1200000,780,67159708,21707229129,5025857224,11259186403,
invert,getri,20480,512,23068672,1200000,40,8426629,1884609171,475669133,1007179217,
invert,getrf,20480,512,23068672,2801000,40,9846787,1193369809,619237666,942784103,
invert,gemm,20480,512,23068672,2801000,20540,3649073352,633058912046,64161064912,226762927235,
invert,trsm,20480,512,23068672,2801000,780,68601550,21707224715,5376733467,11604949866,
invert,getri,20480,512,23068672,2801000,40,8268218,1884610252,810415538,1342157690,
invert,getrf,20480,1024,23068672,1200000,20,25673058,3277104099,845373518,1715069656,
invert,gemm,20480,1024,23068672,1200000,2470,2611503471,598720777675,38025761599,190592652249,
invert,trsm,20480,1024,23068672,1200000,190,100756786,33171374918,6065631618,15246739086,
invert,getri,20480,1024,23068672,1200000,20,20807859,5183651682,1289564396,2700943536,
invert,getrf,20480,1024,23068672,2801000,20,25045417,3277103932,1577345645,2448723988,
invert,gemm,20480,1024,23068672,2801000,2470,2538061065,598720736426,44517626636,197247298489,
invert,trsm,20480,1024,23068672,2801000,190,97268448,33171367569,6382905717,15554557719,
invert,getri,20480,1024,23068672,2801000,20,20508288,5183652137,2145244805,3559335155,
invert,getrf,20480,2048,23068672,1200000,10,87540134,9790014874,2725185077,5339374384,
invert,gemm,20480,2048,23068672,1200000,285,2508686067,548454156945,32144579716,171173634741,
invert,trsm,20480,2048,23068672,1200000,45,165524627,53197484840,6988633718,21194388251,
invert,getri,20480,2048,23068672,1200000,10,110270719,16680450190,4270401071,8780224616,
invert,getrf,20480,2048,23068672,2801000,10,85240032,9790014303,5578117298,8193559874,
invert,gemm,20480,2048,23068672,2801000,285,2518738064,548454137758,37114712286,176343547145,
invert,trsm,20480,2048,23068672,2801000,45,165196120,53197481785,7483587676,21697226383,
invert,getri,20480,2048,23068672,2801000,10,105149886,16680448824,7247568828,11757480759,
invert,getrf,24576,512,23068672,1200000,48,12220790,1432038100,403609434,790948782,
invert,gemm,24576,512,23068672,1200000,35720,7544440168,1100918813157,93315306473,375959620965,
invert,trsm,24576,512,23068672,1200000,1128,117395296,31391998654,7407929457,16420164923,
invert,getri,24576,512,23068672,1200000,48,10334428,2261501714,563047184,1203088163,
invert,getrf,24576,512,23068672,2801000,48,13129417,1432037828,814197033,1203257404,
invert,gemm,24576,512,23068672,2801000,35720,7403710891,1100918069762,115419894343,398509596979,
invert,trsm,24576,512,23068672,2801000,1128,119153838,31391992250,8037426133,17048413937,
invert,getri,24576,512,23068672,2801000,48,10854017,2261500857,1008199180,1648648258,
invert,getrf,24576,1024,23068672,1200000,24,34669100,3932586518,1101000209,2144283035,
invert,gemm,24576,1024,23068672,1200000,4324,6298722720,1048124958825,68685466575,335998331839,
invert,trsm,24576,1024,23068672,1200000,276,184172045,48185782135,8858105943,22187003687,
invert,getri,24576,1024,23068672,1200000,24,28750550,6220378530,1634484916,3328921512,
invert,getrf,24576,1024,23068672,2801000,24,34484853,3932586202,2248020452,3293695371,
invert,gemm,24576,1024,23068672,2801000,4324,6174774717,1048124879770,82407649056,350019270158,
invert,trsm,24576,1024,23068672,2801000,276,181138360,48185782958,9635604628,22969652738,
invert,getri,24576,1024,23068672,2801000,24,29922987,6220375939,2927166526,4626660234,
invert,getrf,24576,2048,23068672,1200000,12,110620579,11748380727,3495182458,6635021070,
invert,gemm,24576,2048,23068672,1200000,506,5458489629,973746690010,58399963457,305341035636,
invert,trsm,24576,2048,23068672,1200000,66,314047938,78022977173,10428338945,31271388143,
invert,getri,24576,2048,23068672,1200000,12,140644319,20016589934,5343833611,10755023878,
invert,getrf,24576,2048,23068672,2801000,12,112139170,11748379791,7446290990,10583003536,
invert,gemm,24576,2048,23068672,2801000,506,5282228709,973746650045,67678699883,315038269984,
invert,trsm,24576,2048,23068672,2801000,66,311229412,78022972696,11411096960,32279335404,
invert,getri,24576,2048,23068672,2801000,12,137281975,20016587839,9442700400,14856498005,
invert,getrf,28672,512,23068672,1200000,56,13785065,1551413677,439861571,858957143,
invert,gemm,28672,512,23068672,1200000,56980,10246885249,1756167878116,145176873103,596385034011,
invert,trsm,28672,512,23068672,1200000,1540,137477906,42857836533,9942585944,22246522610,
invert,getri,28672,512,23068672,1200000,56,11248091,2450077648,612119898,1301794015,
invert,getrf,28672,512,23068672,2801000,56,13792379,1551413520,838689430,1259506539,
invert,gemm,28672,512,23068672,2801000,56980,10060732519,1756168364713,178829428592,630389757921,
invert,trsm,28672,512,23068672,2801000,1540,137720095,42857862704,10816518089,23126841798,
invert,getri,28672,512,23068672,2801000,56,10866969,2450077331,1063318887,1756438353,
invert,getrf,28672,1024,23068672,1200000,28,36342643,4588057203,1175283993,2391319683,
invert,gemm,28672,1024,23068672,1200000,6930,7296939148,1679811734353,106862869323,535046590383,
invert,trsm,28672,1024,23068672,1200000,378,202520258,65993576009,11911890281,30164090666,
invert,getri,28672,1024,23068672,1200000,28,29813345,7257132479,1809469537,3784897567,
invert,getrf,28672,1024,23068672,2801000,28,36772261,4588057009,2280380471,3499547069,
invert,gemm,28672,1024,23068672,2801000,6930,7654119894,1679811660498,127769249032,556515968385,
invert,trsm,28672,1024,23068672,2801000,378,208039426,65993572413,12913679914,31173835613,
invert,getri,28672,1024,23068672,2801000,28,30057804,7257131287,3045173130,5023097029,
invert,getrf,28672,2048,23068672,1200000,14,123489475,13705785683,3860659482,7523433667,
invert,gemm,28672,2048,23068672,1200000,819,7263827487,1576084066010,92351308549,491903386213,
invert,trsm,28672,2048,23068672,1200000,91,341375409,107577135080,14110838795,42844870268,
invert,getri,28672,2048,23068672,1200000,14,155788551,23352621934,6010042163,12323328142,
invert,getrf,28672,2048,23068672,2801000,14,120424755,13705784962,7800959381,11455110025,
invert,gemm,28672,2048,23068672,2801000,819,7341572899,1576083992749,107129450356,507365153883,
invert,trsm,28672,2048,23068672,2801000,91,343857217,107577126472,15195282936,43952458742,
invert,getri,28672,2048,23068672,2801000,14,146414385,23352619967,10036912736,16349214327,
