algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
invert,getrf,8192,512,23068672,1200000,16,3350963,
invert,gemm,8192,512,23068672,1200000,1240,198390722,
invert,trsm,8192,512,23068672,1200000,120,8330940,
invert,getri,8192,512,23068672,1200000,16,2889431,
invert,getrf,8192,512,23068672,2801000,16,3433889,
invert,gemm,8192,512,23068672,2801000,1240,190540683,
invert,trsm,8192,512,23068672,2801000,120,8165062,
invert,getri,8192,512,23068672,2801000,16,3054611,
invert,getrf,8192,1024,23068672,1200000,8,8821089,
invert,gemm,8192,1024,23068672,1200000,140,126493055,
invert,trsm,8192,1024,23068672,1200000,28,11916286,
invert,getri,8192,1024,23068672,1200000,8,7395844,
invert,getrf,8192,1024,23068672,2801000,8,8683076,
invert,gemm,8192,1024,23068672,2801000,140,125293895,
invert,trsm,8192,1024,23068672,2801000,28,11759594,
invert,getri,8192,1024,23068672,2801000,8,7248666,
invert,getrf,8192,2048,23068672,1200000,4,33651903,
invert,gemm,8192,2048,23068672,1200000,14,109671137,
invert,trsm,8192,2048,23068672,1200000,6,17191698,
invert,getri,8192,2048,23068672,1200000,4,43973314,
invert,getrf,8192,2048,23068672,2801000,4,33927260,
invert,gemm,8192,2048,23068672,2801000,14,107643957,
invert,trsm,8192,2048,23068672,2801000,6,17232837,
invert,getri,8192,2048,23068672,2801000,4,42248034,
invert,getrf,12288,512,23068672,1200000,24,5748541,
invert,gemm,12288,512,23068672,1200000,4324,766551964,
invert,trsm,12288,512,23068672,1200000,276,22263671,
invert,getri,12288,512,23068672,1200000,24,4891473,
invert,getrf,12288,512,23068672,2801000,24,5574230,
invert,gemm,12288,512,23068672,2801000,4324,743806611,
invert,trsm,12288,512,23068672,2801000,276,22412069,
invert,getri,12288,512,23068672,2801000,24,4889880,
invert,getrf,12288,1024,23068672,1200000,12,14337758,
invert,gemm,12288,1024,23068672,1200000,506,518028215,
invert,trsm,12288,1024,23068672,1200000,66,31528401,
invert,getri,12288,1024,23068672,1200000,12,11950539,
invert,getrf,12288,1024,23068672,2801000,12,14535376,
invert,gemm,12288,1024,23068672,2801000,506,521873219,
invert,trsm,12288,1024,23068672,2801000,66,31815794,
invert,getri,12288,1024,23068672,2801000,12,12017450,
invert,getrf,12288,2048,23068672,1200000,6,52146649,
invert,gemm,12288,2048,23068672,1200000,55,476384442,
invert,trsm,12288,2048,23068672,1200000,15,50832972,
invert,getri,12288,2048,23068672,1200000,6,67289209,
invert,getrf,12288,2048,23068672,2801000,6,51620130,
invert,gemm,12288,2048,23068672,2801000,55,479578507,
invert,trsm,12288,2048,23068672,2801000,15,50000182,
