algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCR,PAPI_L3_TCW,
invert,getrf,8192,512,23068672,1200000,16,3265406,477354628,
invert,gemm,8192,512,23068672,1200000,1240,193629423,38217770771,
invert,trsm,8192,512,23068672,1200000,120,7954979,3339571027,
invert,getri,8192,512,23068672,1200000,16,2756049,753859659,
invert,getrf,8192,512,23068672,2801000,16,3107400,477354533,
invert,gemm,8192,512,23068672,2801000,1240,189612475,38217767915,
invert,trsm,8192,512,23068672,2801000,120,7897854,3339573851,
invert,getri,8192,512,23068672,2801000,16,2812742,753860075,
invert,getrf,8192,1024,23068672,1200000,8,7936045,1310923505,
invert,gemm,8192,1024,23068672,1200000,140,115610601,33935589734,
invert,trsm,8192,1024,23068672,1200000,28,11456852,4888413971,
invert,getri,8192,1024,23068672,1200000,8,6584353,2073480087,
invert,getrf,8192,1024,23068672,2801000,8,7846490,1310923409,
invert,gemm,8192,1024,23068672,2801000,140,114767666,33935588185,
invert,trsm,8192,1024,23068672,2801000,28,11158053,4888413569,
invert,getri,8192,1024,23068672,2801000,8,6411063,2073480007,
invert,getrf,8192,2048,23068672,1200000,4,33581875,3916131107,
invert,gemm,8192,2048,23068672,1200000,14,97176772,26941608681,
invert,trsm,8192,2048,23068672,1200000,6,17256010,7092999251,
invert,getri,8192,2048,23068672,1200000,4,44940559,6672240489,
invert,getrf,8192,2048,23068672,2801000,4,33114362,3916130873,
invert,gemm,8192,2048,23068672,2801000,14,95167772,26941607396,
invert,trsm,8192,2048,23068672,2801000,6,16766044,7092998838,
invert,getri,8192,2048,23068672,2801000,4,42466732,6672240142,
invert,getrf,12288,512,23068672,1200000,24,5650706,716024254,
invert,gemm,12288,512,23068672,1200000,4324,739152644,133268971505,
invert,trsm,12288,512,23068672,1200000,276,21442062,7681006398,
invert,getri,12288,512,23068672,1200000,24,4959094,1130772574,
invert,getrf,12288,512,23068672,2801000,24,5837667,716024234,
invert,gemm,12288,512,23068672,2801000,4324,707563569,133269012571,
invert,trsm,12288,512,23068672,2801000,276,21304182,7681002908,
invert,getri,12288,512,23068672,2801000,24,4821964,1130770901,
invert,getrf,12288,1024,23068672,1200000,12,14053682,1966251379,
invert,gemm,12288,1024,23068672,1200000,506,500421054,122652887990,
invert,trsm,12288,1024,23068672,1200000,66,30229485,11522685167,
invert,getri,12288,1024,23068672,1200000,12,11814903,3110216688,
invert,getrf,12288,1024,23068672,2801000,12,13968226,1966251136,
invert,gemm,12288,1024,23068672,2801000,506,494418065,122652909093,
invert,trsm,12288,1024,23068672,2801000,66,30398922,11522687179,
invert,getri,12288,1024,23068672,2801000,12,11824293,3110216372,
invert,getrf,12288,2048,23068672,1200000,6,52031857,5874011987,
invert,gemm,12288,2048,23068672,1200000,55,464222834,105842030650,
invert,trsm,12288,2048,23068672,1200000,15,49171449,17732495704,
invert,getri,12288,2048,23068672,1200000,6,66814901,10008212193,
invert,getrf,12288,2048,23068672,2801000,6,51164910,5874011647,
invert,gemm,12288,2048,23068672,2801000,55,464102273,105842026276,
invert,trsm,12288,2048,23068672,2801000,15,48192385,17732494404,
invert,getri,12288,2048,23068672,2801000,6,64235392,10008211284,
invert,getrf,16384,512,23068672,1200000,32,9358145,954683268,
invert,gemm,16384,512,23068672,1200000,10416,2283931905,321029125131,
invert,trsm,16384,512,23068672,1200000,496,49370614,13803567033,
invert,getri,16384,512,23068672,1200000,32,8500244,1507692841,
invert,getrf,16384,512,23068672,2801000,32,9138584,954683591,
invert,gemm,16384,512,23068672,2801000,10416,2216802861,321029249044,
invert,trsm,16384,512,23068672,2801000,496,49106611,13803567860,
invert,getri,16384,512,23068672,2801000,32,8283397,1507693621,
invert,getrf,16384,1024,23068672,1200000,16,22237987,2621778701,
invert,gemm,16384,1024,23068672,1200000,1240,1764244688,300572362025,
invert,trsm,16384,1024,23068672,1200000,120,75027873,20950341547,
invert,getri,16384,1024,23068672,1200000,16,19147190,4146943668,
invert,getrf,16384,1024,23068672,2801000,16,22261789,2621778552,
invert,gemm,16384,1024,23068672,2801000,1240,1691169970,300572346312,
invert,trsm,16384,1024,23068672,2801000,120,72350376,20950338388,
invert,getri,16384,1024,23068672,2801000,16,19225641,4146943509,
invert,getrf,16384,2048,23068672,1200000,8,72721114,7832062694,
invert,gemm,16384,2048,23068672,1200000,140,1473918392,269416077745,
invert,trsm,16384,2048,23068672,1200000,28,118992296,33100657727,
invert,getri,16384,2048,23068672,1200000,8,91149674,13344347301,
invert,getrf,16384,2048,23068672,2801000,8,74117678,7832062275,
invert,gemm,16384,2048,23068672,2801000,140,1413556436,269416067520,
invert,trsm,16384,2048,23068672,2801000,28,118720925,33100655820,
invert,getri,16384,2048,23068672,2801000,8,91678732,13344346402,
invert,getrf,20480,512,23068672,1200000,40,10278403,1193369876,
invert,gemm,20480,512,23068672,1200000,20540,3849086652,633058634773,
invert,trsm,20480,512,23068672,1200000,780,68127383,21707224381,
invert,getri,20480,512,23068672,1200000,40,8325733,1884609938,
invert,getrf,20480,512,23068672,2801000,40,9781565,1193369527,
invert,gemm,20480,512,23068672,2801000,20540,3781437514,633058127773,
invert,trsm,20480,512,23068672,2801000,780,67681251,21707213226,
invert,getri,20480,512,23068672,2801000,40,8122133,1884608750,
invert,getrf,20480,1024,23068672,1200000,20,25429281,3277103872,
invert,gemm,20480,1024,23068672,1200000,2470,2686094324,598720749842,
invert,trsm,20480,1024,23068672,1200000,190,100160735,33171370152,
invert,getri,20480,1024,23068672,1200000,20,21224586,5183651835,
invert,getrf,20480,1024,23068672,2801000,20,25229989,3277103724,
invert,gemm,20480,1024,23068672,2801000,2470,2618511703,598720694945,
invert,trsm,20480,1024,23068672,2801000,190,96501197,33171366563,
invert,getri,20480,1024,23068672,2801000,20,20869597,5183651125,
invert,getrf,20480,2048,23068672,1200000,10,85388420,9790014753,
invert,gemm,20480,2048,23068672,1200000,285,2447304128,548454159987,
invert,trsm,20480,2048,23068672,1200000,45,162417203,53197483943,
invert,getri,20480,2048,23068672,1200000,10,106248566,16680449597,
invert,getrf,20480,2048,23068672,2801000,10,84613306,9790014096,
invert,gemm,20480,2048,23068672,2801000,285,2523678791,548454137746,
invert,trsm,20480,2048,23068672,2801000,45,164409108,53197481710,
invert,getri,20480,2048,23068672,2801000,10,103714221,16680448068,
invert,getrf,24576,512,23068672,1200000,48,12848795,1432037198,
invert,gemm,24576,512,23068672,1200000,35720,8071980987,1100917902881,
