algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
invert,24576,512,32,1,getrf,2604617416,2146327025,351757266,170821485,17.927400
invert,24576,512,32,1,gemm,2604617416,2146327025,351757266,170821485,17.927400
invert,24576,512,32,1,trsm,2604617416,2146327025,351757266,170821485,17.927400
invert,24576,512,32,1,getri,2604617416,2146327025,351757266,170821485,17.927400
invert,24576,512,32,2,getrf,2618577525,2153073712,352436893,167963048,17.976200
invert,24576,512,32,2,gemm,2618577525,2153073712,352436893,167963048,17.976200
invert,24576,512,32,2,trsm,2618577525,2153073712,352436893,167963048,17.976200
invert,24576,512,32,2,getri,2618577525,2153073712,352436893,167963048,17.976200
invert,24576,512,32,3,getrf,2034241863,1590902482,367356305,173480550,18.907300
invert,24576,512,32,3,gemm,2034241863,1590902482,367356305,173480550,18.907300
invert,24576,512,32,3,trsm,2034241863,1590902482,367356305,173480550,18.907300
invert,24576,512,32,3,getri,2034241863,1590902482,367356305,173480550,18.907300
invert,24576,512,32,4,getrf,2060510655,1595703373,372409467,164426484,19.164200
invert,24576,512,32,4,gemm,2060510655,1595703373,372409467,164426484,19.164200
invert,24576,512,32,4,trsm,2060510655,1595703373,372409467,164426484,19.164200
invert,24576,512,32,4,getri,2060510655,1595703373,372409467,164426484,19.164200
invert,24576,512,32,5,getrf,2613135278,2129458721,352265364,169010210,17.970700
invert,24576,512,32,5,gemm,2613135278,2129458721,352265364,169010210,17.970700
invert,24576,512,32,5,trsm,2613135278,2129458721,352265364,169010210,17.970700
invert,24576,512,32,5,getri,2613135278,2129458721,352265364,169010210,17.970700
invert,24576,512,32,6,getrf,2623059019,2142788093,353476038,168989862,18.087600
invert,24576,512,32,6,gemm,2623059019,2142788093,353476038,168989862,18.087600
invert,24576,512,32,6,trsm,2623059019,2142788093,353476038,168989862,18.087600
invert,24576,512,32,6,getri,2623059019,2142788093,353476038,168989862,18.087600
invert,24576,512,32,7,getrf,2051891353,1590595659,371527100,168748061,19.136600
invert,24576,512,32,7,gemm,2051891353,1590595659,371527100,168748061,19.136600
invert,24576,512,32,7,trsm,2051891353,1590595659,371527100,168748061,19.136600
invert,24576,512,32,7,getri,2051891353,1590595659,371527100,168748061,19.136600
invert,24576,512,32,8,getrf,2052686456,1590995378,372002165,172790550,19.165300
invert,24576,512,32,8,gemm,2052686456,1590995378,372002165,172790550,19.165300
invert,24576,512,32,8,trsm,2052686456,1590995378,372002165,172790550,19.165300
invert,24576,512,32,8,getri,2052686456,1590995378,372002165,172790550,19.165300
invert,24576,512,32,9,getrf,2660782068,2172085870,355842122,167324716,18.134200
invert,24576,512,32,9,gemm,2660782068,2172085870,355842122,167324716,18.134200
invert,24576,512,32,9,trsm,2660782068,2172085870,355842122,167324716,18.134200
invert,24576,512,32,9,getri,2660782068,2172085870,355842122,167324716,18.134200
invert,24576,512,32,10,getrf,2629957012,2153256877,351621218,169727887,17.942200
invert,24576,512,32,10,gemm,2629957012,2153256877,351621218,169727887,17.942200
invert,24576,512,32,10,trsm,2629957012,2153256877,351621218,169727887,17.942200
invert,24576,512,32,10,getri,2629957012,2153256877,351621218,169727887,17.942200
invert,24576,512,32,11,getrf,2057197309,1594049996,371255265,167094804,19.065400
invert,24576,512,32,11,gemm,2057197309,1594049996,371255265,167094804,19.065400
invert,24576,512,32,11,trsm,2057197309,1594049996,371255265,167094804,19.065400
invert,24576,512,32,11,getri,2057197309,1594049996,371255265,167094804,19.065400
invert,24576,512,32,12,getrf,2043284259,1587499660,370722290,168243635,19.057200
invert,24576,512,32,12,gemm,2043284259,1587499660,370722290,168243635,19.057200
invert,24576,512,32,12,trsm,2043284259,1587499660,370722290,168243635,19.057200
invert,24576,512,32,12,getri,2043284259,1587499660,370722290,168243635,19.057200
invert,24576,512,32,13,getrf,2580492540,2115084002,349114329,172660775,17.817600
invert,24576,512,32,13,gemm,2580492540,2115084002,349114329,172660775,17.817600
invert,24576,512,32,13,trsm,2580492540,2115084002,349114329,172660775,17.817600
invert,24576,512,32,13,getri,2580492540,2115084002,349114329,172660775,17.817600
invert,24576,512,32,14,getrf,2585133213,2113206261,348657042,173775426,17.870700
invert,24576,512,32,14,gemm,2585133213,2113206261,348657042,173775426,17.870700
invert,24576,512,32,14,trsm,2585133213,2113206261,348657042,173775426,17.870700
invert,24576,512,32,14,getri,2585133213,2113206261,348657042,173775426,17.870700
invert,24576,512,32,15,getrf,2034404338,1574758054,371205403,169485581,19.072800
invert,24576,512,32,15,gemm,2034404338,1574758054,371205403,169485581,19.072800
invert,24576,512,32,15,trsm,2034404338,1574758054,371205403,169485581,19.072800
invert,24576,512,32,15,getri,2034404338,1574758054,371205403,169485581,19.072800
invert,24576,512,32,16,getrf,2014600922,1564740562,366583441,178707702,18.923500
invert,24576,512,32,16,gemm,2014600922,1564740562,366583441,178707702,18.923500
invert,24576,512,32,16,trsm,2014600922,1564740562,366583441,178707702,18.923500
invert,24576,512,32,16,getri,2014600922,1564740562,366583441,178707702,18.923500
invert,24576,1024,32,1,getrf,2225424235,1926178419,285914145,187989753,14.907400
invert,24576,1024,32,1,gemm,2225424235,1926178419,285914145,187989753,14.907400
invert,24576,1024,32,1,trsm,2225424235,1926178419,285914145,187989753,14.907400
invert,24576,1024,32,1,getri,2225424235,1926178419,285914145,187989753,14.907400
invert,24576,1024,32,2,getrf,2381787482,2007415210,307386807,178592433,15.988500
invert,24576,1024,32,2,gemm,2381787482,2007415210,307386807,178592433,15.988500
invert,24576,1024,32,2,trsm,2381787482,2007415210,307386807,178592433,15.988500
invert,24576,1024,32,2,getri,2381787482,2007415210,307386807,178592433,15.988500
invert,24576,1024,32,3,getrf,1830230788,1462791055,315726134,187803721,16.624300
invert,24576,1024,32,3,gemm,1830230788,1462791055,315726134,187803721,16.624300
invert,24576,1024,32,3,trsm,1830230788,1462791055,315726134,187803721,16.624300
invert,24576,1024,32,3,getri,1830230788,1462791055,315726134,187803721,16.624300
invert,24576,1024,32,4,getrf,1737634772,1432347773,295878882,204281943,15.820500
invert,24576,1024,32,4,gemm,1737634772,1432347773,295878882,204281943,15.820500
invert,24576,1024,32,4,trsm,1737634772,1432347773,295878882,204281943,15.820500
invert,24576,1024,32,4,getri,1737634772,1432347773,295878882,204281943,15.820500
invert,24576,1024,32,5,getrf,2343627911,1963036113,303806225,182550420,15.825000
invert,24576,1024,32,5,gemm,2343627911,1963036113,303806225,182550420,15.825000
invert,24576,1024,32,5,trsm,2343627911,1963036113,303806225,182550420,15.825000
invert,24576,1024,32,5,getri,2343627911,1963036113,303806225,182550420,15.825000
invert,24576,1024,32,6,getrf,2375485007,1988806615,310051363,183083533,16.199500
invert,24576,1024,32,6,gemm,2375485007,1988806615,310051363,183083533,16.199500
invert,24576,1024,32,6,trsm,2375485007,1988806615,310051363,183083533,16.199500
invert,24576,1024,32,6,getri,2375485007,1988806615,310051363,183083533,16.199500
invert,24576,1024,32,7,getrf,1821277809,1445533042,317799360,188971570,16.744000
invert,24576,1024,32,7,gemm,1821277809,1445533042,317799360,188971570,16.744000
invert,24576,1024,32,7,trsm,1821277809,1445533042,317799360,188971570,16.744000
invert,24576,1024,32,7,getri,1821277809,1445533042,317799360,188971570,16.744000
invert,24576,1024,32,8,getrf,1874913596,1482330861,330461609,185706030,17.494800
invert,24576,1024,32,8,gemm,1874913596,1482330861,330461609,185706030,17.494800
invert,24576,1024,32,8,trsm,1874913596,1482330861,330461609,185706030,17.494800
invert,24576,1024,32,8,getri,1874913596,1482330861,330461609,185706030,17.494800
invert,24576,1024,32,9,getrf,2266910579,1949325637,292378838,185790930,15.189300
invert,24576,1024,32,9,gemm,2266910579,1949325637,292378838,185790930,15.189300
invert,24576,1024,32,9,trsm,2266910579,1949325637,292378838,185790930,15.189300
invert,24576,1024,32,9,getri,2266910579,1949325637,292378838,185790930,15.189300
invert,24576,1024,32,10,getrf,2300178133,1977667484,295862848,185583951,15.446400
invert,24576,1024,32,10,gemm,2300178133,1977667484,295862848,185583951,15.446400
invert,24576,1024,32,10,trsm,2300178133,1977667484,295862848,185583951,15.446400
invert,24576,1024,32,10,getri,2300178133,1977667484,295862848,185583951,15.446400
invert,24576,1024,32,11,getrf,1756443441,1425663647,299669089,200905800,15.884900
