algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP
lu,getrfpiv,8192,512,23068672,1200000,16,28638237,2774957296,524096250,1285364690,28387569,2774956975,28943020,2774957131,28684994
lu,gemm,8192,512,23068672,1200000,1240,125473189,38217757145,2771015974,12546422847,125039776,38217735409,124868038,38217741251,124982261
lu,trsmswp,8192,512,23068672,1200000,120,45557241,5005950482,1802585735,3200318777,45230415,5005953602,45595322,5005951399,45470271
lu,geswp,8192,512,23068672,1200000,15,9510716,200781466,815539560,891637784,9496865,200781022,9580399,200781069,9460349
lu,getrfpiv,8192,512,23068672,2801000,16,28478360,2774956904,809764788,1569321564,28381133,2774956907,29032974,2774957067,28325233
lu,gemm,8192,512,23068672,2801000,1240,122268921,38217749010,3125428734,12904936234,122638160,38217735230,122974432,38217739185,122774644
lu,trsmswp,8192,512,23068672,2801000,120,45318841,5005951054,3680686231,5088760951,45247446,5005949827,45186807,5005950778,45196616
lu,geswp,8192,512,23068672,2801000,15,9501954,200781290,1317304371,1398434901,9557383,200781070,9486374,200781152,9579250
lu,getrfpiv,8192,1024,23068672,1200000,8,42466486,5071625994,712662854,2059600121,42605252,5071626092,43025772,5071626039,42854581
lu,gemm,8192,1024,23068672,1200000,140,92819257,33935587352,1945958711,10577932465,96055453,33935584066,91041312,33935586477,93151307
lu,trsmswp,8192,1024,23068672,1200000,28,45515224,6415515510,1923698542,3685236201,46369115,6415514540,45425841,6415514904,45691399
lu,geswp,8192,1024,23068672,1200000,7,15548625,185246781,878518268,955782849,16395583,185246678,15452902,185246775,15264168
lu,getrfpiv,8192,1024,23068672,2801000,8,42245945,5071625858,1050758162,2396431369,42044531,5071625654,42669488,5071625726,42376125
lu,gemm,8192,1024,23068672,2801000,140,90567296,33935586966,2181512155,10815845469,88947166,33935585314,90768468,33935573332,91208877
lu,trsmswp,8192,1024,23068672,2801000,28,45672351,6415515129,4016976133,5779724030,44808930,6415514881,45823629,6415513607,46072342
lu,geswp,8192,1024,23068672,2801000,7,16288161,185246876,1785509607,1865500225,15486793,185246783,16220391,185246637,16199911
lu,getrfpiv,8192,2048,23068672,1200000,4,56091144,9836269635,1076835278,3678192925,55571507,9836269376,56501642,9836269473,55597734
lu,gemm,8192,2048,23068672,1200000,14,91940336,26941608514,1456259094,8275964187,90414186,26941608255,91057154,26941608339,90626384
lu,trsmswp,8192,2048,23068672,1200000,6,62671671,8390010520,1927479705,4163368383,62751330,8390010305,62162026,8390010501,62747405
lu,geswp,8192,2048,23068672,1200000,3,33225636,157862081,920557754,989112093,33271201,157861887,34642003,157862079,34007645
lu,getrfpiv,8192,2048,23068672,2801000,4,55216097,9836269252,1499725768,4124202292,54965967,9836269186,56154577,9836269014,55722143
lu,gemm,8192,2048,23068672,2801000,14,91616962,26941607377,1622393636,8448233013,89568758,26941607197,90390655,26941607007,90141152
lu,trsmswp,8192,2048,23068672,2801000,6,63246538,8390009957,4118653754,6357321952,63229597,8390009858,63508296,8390010083,63082380
lu,geswp,8192,2048,23068672,2801000,3,34083939,157862075,2592846740,2664912933,34780508,157862054,35108735,157862051,35259240
lu,getrfpiv,12288,512,23068672,1200000,24,71319127,6036274787,1174423771,2825252429,71205953,6036274464,71667895,6036274554,71191562
lu,gemm,12288,512,23068672,1200000,4324,460779064,133269020243,9704573271,43790022654,461000228,133268964648,457490929,133268969136,455178030
lu,trsmswp,12288,512,23068672,1200000,276,116249153,11513661290,4270051067,7492962632,116653223,11513655069,116168724,11513654942,115905150
lu,geswp,12288,512,23068672,1200000,23,27924016,462081432,1919074636,2096104131,28174716,462081293,27657623,462081248,28355680
lu,getrfpiv,12288,512,23068672,2801000,24,70546555,6036274224,1858831158,3508572591,70692902,6036273512,70946586,6036274507,70933655
lu,gemm,12288,512,23068672,2801000,4324,446984941,133269006432,10984922952,45083857829,449669246,133268950683,447496981,133268934821,447828951
lu,trsmswp,12288,512,23068672,2801000,276,115081578,11513664337,8959781514,12196315539,115326828,11513658815,114945706,11513654647,115206483
lu,geswp,12288,512,23068672,2801000,23,27965748,462081374,3312507376,3503543346,27805914,462080865,27586392,462081049,27380994
lu,getrfpiv,12288,1024,23068672,1200000,12,98949006,10906837225,1547512580,4435894415,98985609,10906836968,99298953,10906837004,98809874
lu,gemm,12288,1024,23068672,1200000,506,352844730,122652910024,7036756161,38236874415,357269086,122652900405,357929046,122652903859,350463025
lu,trsmswp,12288,1024,23068672,1200000,66,119496997,15122259583,4647674664,8783576386,119340154,15122260011,118550045,15122258245,118943632
lu,geswp,12288,1024,23068672,1200000,11,48715174,436926045,2197301159,2382945859,48804856,436925913,48824380,436925995,49317579
lu,getrfpiv,12288,1024,23068672,2801000,12,98008977,10906836619,2329519009,5215787895,97705106,10906836313,98113441,10906836436,97987136
lu,gemm,12288,1024,23068672,2801000,506,338954708,122652904714,7923816035,39127442774,335507398,122652870735,334921317,122652895208,338959017
lu,trsmswp,12288,1024,23068672,2801000,66,116195757,15122259536,9875808849,14019271652,118946353,15122257079,118595023,15122259060,119072256
lu,geswp,12288,1024,23068672,2801000,11,48505191,436925925,4863183903,5055595861,48585087,436925820,48446848,436925355,48596062
lu,getrfpiv,12288,2048,23068672,1200000,6,125628072,20876054731,2249409926,7750821771,124931184,20876055155,126029129,20876054891,125397636
lu,gemm,12288,2048,23068672,1200000,55,359358333,105842030977,5700679014,32495725020,354277035,105842030436,362627042,105842028175,360572669
lu,trsmswp,12288,2048,23068672,1200000,15,162569338,20975012754,4878573838,10471968540,160333614,20975013655,161517174,20975013565,162349872
lu,geswp,12288,2048,23068672,1200000,5,91290216,394892080,2413422988,2585987025,92658471,394892151,90866296,394892159,90864083
lu,getrfpiv,12288,2048,23068672,2801000,6,124814073,20876054080,3161790355,8713659691,123869894,20876053980,125628852,20876054040,124988104
lu,gemm,12288,2048,23068672,2801000,55,359406726,105842024124,6392073445,33219219847,354484764,105842024057,360464008,105842025416,357847486
lu,trsmswp,12288,2048,23068672,2801000,15,162135486,20975012257,10408319570,16011516543,160277315,20975011769,161880438,20975012011,162398895
lu,geswp,12288,2048,23068672,2801000,5,93671044,394892197,6951074478,7134507975,93815164,394892096,95616254,394892158,94222314
lu,getrfpiv,16384,512,23068672,1200000,32,147557013,10543060105,2213029984,5095827539,147659600,10543058676,148891978,10543059441,149551851
lu,gemm,16384,512,23068672,1200000,10416,1110232569,321028994316,23316015507,105423637552,1116100668,321028868748,1110728760,321029024446,1121262626
lu,trsmswp,16384,512,23068672,1200000,496,221505781,20691263815,7794317255,13579459969,222343276,20691247012,222056156,20691272799,221322494
lu,geswp,16384,512,23068672,1200000,31,63148529,831105347,3553750443,3876577744,63388811,831104098,64100819,831104752,62446115
lu,getrfpiv,16384,512,23068672,2801000,32,146535787,10543059196,3540827508,6420940838,145737745,10543056619,147934798,10543058839,147468917
lu,gemm,16384,512,23068672,2801000,10416,1089878922,321029111173,26545974815,108661714467,1089776990,321028884006,1082673186,321028976979,1083631373
lu,trsmswp,16384,512,23068672,2801000,496,220083287,20691266614,16599057448,22411483308,219634412,20691257772,219951870,20691251465,220189214
lu,geswp,16384,512,23068672,2801000,31,62335910,831104785,6605466230,6954668786,62886798,831104813,63761024,831104793,63232709
lu,getrfpiv,16384,1024,23068672,1200000,16,200088711,18937895583,2829429767,7838672439,201671886,18937895408,202537316,18937895339,200910998
lu,gemm,16384,1024,23068672,1200000,1240,845264472,300572345558,17257279502,93704097704,850432448,300572332083,875927122,300572334019,839009948
lu,trsmswp,16384,1024,23068672,1200000,120,226256982,27495054984,8545103510,16063657152,226393916,27495059223,229533338,27495059571,225606433
lu,geswp,16384,1024,23068672,1200000,15,107636282,795079731,4189108116,4530416753,108619390,795079666,108132562,795079737,107813741
lu,getrfpiv,16384,1024,23068672,2801000,16,197612396,18937894151,4274973005,9281860997,196298096,18937894259,201189643,18937894252,198257148
