algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L2_TCR,PAPI_L2_TCW,
lu,getrfpiv,8192,512,23068672,1200000,16,33936449,2774956960,
lu,gemm,8192,512,23068672,1200000,1240,122602311,38217743795,
lu,trsmswp,8192,512,23068672,1200000,120,46341895,5005952785,
lu,geswp,8192,512,23068672,1200000,15,9842536,200781108,
lu,getrfpiv,8192,512,23068672,2801000,16,33971587,2774956975,
lu,gemm,8192,512,23068672,2801000,1240,118829322,38217735546,
lu,trsmswp,8192,512,23068672,2801000,120,45742702,5005950699,
lu,geswp,8192,512,23068672,2801000,15,9750202,200781129,
lu,getrfpiv,8192,1024,23068672,1200000,8,50803334,5071626103,
lu,gemm,8192,1024,23068672,1200000,140,90514441,33935586521,
lu,trsmswp,8192,1024,23068672,1200000,28,46259246,6415515358,
lu,geswp,8192,1024,23068672,1200000,7,16173636,185246788,
lu,getrfpiv,8192,1024,23068672,2801000,8,49047322,5071625732,
lu,gemm,8192,1024,23068672,2801000,140,89656032,33935582077,
lu,trsmswp,8192,1024,23068672,2801000,28,46349117,6415514763,
lu,geswp,8192,1024,23068672,2801000,7,17015193,185246800,
lu,getrfpiv,8192,2048,23068672,1200000,4,68975033,9836269674,
lu,gemm,8192,2048,23068672,1200000,14,89588537,26941607868,
lu,trsmswp,8192,2048,23068672,1200000,6,64025932,8390010489,
lu,geswp,8192,2048,23068672,1200000,3,36142346,157861987,
lu,getrfpiv,8192,2048,23068672,2801000,4,65304462,9836269014,
lu,gemm,8192,2048,23068672,2801000,14,89516245,26941607077,
lu,trsmswp,8192,2048,23068672,2801000,6,65168910,8390009712,
lu,geswp,8192,2048,23068672,2801000,3,38091261,157861994,
lu,getrfpiv,12288,512,23068672,1200000,24,71875184,6036274500,
lu,gemm,12288,512,23068672,1200000,4324,450301945,133268958695,
lu,trsmswp,12288,512,23068672,1200000,276,117404974,11513658788,
lu,geswp,12288,512,23068672,1200000,23,28308201,462080883,
lu,getrfpiv,12288,512,23068672,2801000,24,71355655,6036273830,
lu,gemm,12288,512,23068672,2801000,4324,441601175,133268946161,
lu,trsmswp,12288,512,23068672,2801000,276,116422976,11513655105,
lu,geswp,12288,512,23068672,2801000,23,27836277,462081067,
lu,getrfpiv,12288,1024,23068672,1200000,12,99038075,10906837138,
lu,gemm,12288,1024,23068672,1200000,506,331608019,122652880107,
lu,trsmswp,12288,1024,23068672,1200000,66,121354251,15122261683,
lu,geswp,12288,1024,23068672,1200000,11,50925470,436925930,
lu,getrfpiv,12288,1024,23068672,2801000,12,98047056,10906836581,
lu,gemm,12288,1024,23068672,2801000,506,328614012,122652898785,
lu,trsmswp,12288,1024,23068672,2801000,66,119669635,15122258326,
lu,geswp,12288,1024,23068672,2801000,11,52429310,436925847,
lu,getrfpiv,12288,2048,23068672,1200000,6,126077405,20876055124,
lu,gemm,12288,2048,23068672,1200000,55,352749767,105842030339,
lu,trsmswp,12288,2048,23068672,1200000,15,164538104,20975013267,
lu,geswp,12288,2048,23068672,1200000,5,96345093,394892248,
lu,getrfpiv,12288,2048,23068672,2801000,6,126933374,20876053693,
lu,gemm,12288,2048,23068672,2801000,55,349547480,105842024349,
lu,trsmswp,12288,2048,23068672,2801000,15,162752942,20975011829,
lu,geswp,12288,2048,23068672,2801000,5,97784592,394892034,
lu,getrfpiv,16384,512,23068672,1200000,32,155317405,10543059337,
lu,gemm,16384,512,23068672,1200000,10416,1095751151,321029030175,
lu,trsmswp,16384,512,23068672,1200000,496,223620337,20691244951,
lu,geswp,16384,512,23068672,1200000,31,64087579,831104544,
lu,getrfpiv,16384,512,23068672,2801000,32,153787468,10543058878,
lu,gemm,16384,512,23068672,2801000,10416,1075748220,321029024002,
lu,trsmswp,16384,512,23068672,2801000,496,220494669,20691259258,
lu,geswp,16384,512,23068672,2801000,31,63939742,831104651,
lu,getrfpiv,16384,1024,23068672,1200000,16,211757784,18937895444,
lu,gemm,16384,1024,23068672,1200000,1240,863008140,300572333671,
lu,trsmswp,16384,1024,23068672,1200000,120,230011137,27495060653,
lu,geswp,16384,1024,23068672,1200000,15,111247664,795079610,
lu,getrfpiv,16384,1024,23068672,2801000,16,210127497,18937893984,
lu,gemm,16384,1024,23068672,2801000,1240,830429007,300572308996,
lu,trsmswp,16384,1024,23068672,2801000,120,227561197,27495064220,
lu,geswp,16384,1024,23068672,2801000,15,112400143,795079528,
lu,getrfpiv,16384,2048,23068672,1200000,8,276077155,35993191056,
lu,gemm,16384,2048,23068672,1200000,140,887866577,269416072293,
lu,trsmswp,16384,2048,23068672,1200000,28,308634660,39153381303,
lu,geswp,16384,2048,23068672,1200000,7,186594113,737767473,
lu,getrfpiv,16384,2048,23068672,2801000,8,269989829,35993188751,
lu,gemm,16384,2048,23068672,2801000,140,871924406,269416057807,
lu,trsmswp,16384,2048,23068672,2801000,28,303050638,39153379685,
lu,geswp,16384,2048,23068672,2801000,7,185258157,737767654,
