algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW
lu,getrfpiv,8192,512,23068672,1200000,16,28638209,28822030,2774957362,525736358,1285719033,28366225,2774956906,28195756,2774957044
lu,gemm,8192,512,23068672,1200000,1240,125529770,126546092,38217710654,2774807748,12550084913,124895017,38217715680,125681086,38217741484
lu,trsmswp,8192,512,23068672,1200000,120,45537936,45648823,5005951098,1799369716,3196678398,45644293,5005952411,45411648,5005950179
lu,geswp,8192,512,23068672,1200000,15,9519469,9503635,200781383,814309088,890158901,9550620,200780917,9536525,200781134
lu,getrfpiv,8192,512,23068672,2801000,16,28168399,28471382,2774956749,808653280,1567454931,28253741,2774956625,28034576,2774957094
lu,gemm,8192,512,23068672,2801000,1240,122081339,122625008,38217749427,3139437997,12916630312,122937077,38217729580,122924161,38217735693
lu,trsmswp,8192,512,23068672,2801000,120,45072320,45283535,5005948781,3648841285,5054814983,45223536,5005957082,45249829,5005950550
lu,geswp,8192,512,23068672,2801000,15,9442434,9648823,200781301,1310987124,1392251514,9594139,200781165,9593365,200781114
lu,getrfpiv,8192,1024,23068672,1200000,8,42282975,42968083,5071626179,721007403,2069077368,42343268,5071626085,41779209,5071625996
lu,gemm,8192,1024,23068672,1200000,140,94489830,91685566,33935587753,1946426453,10577587511,92353178,33935586728,93516411,33935586878
lu,trsmswp,8192,1024,23068672,1200000,28,45835169,45249890,6415516072,1920237144,3695248970,45732818,6415516457,46606905,6415514887
lu,geswp,8192,1024,23068672,1200000,7,16167126,15754622,185246852,880400171,957674577,15490916,185246627,16076259,185246631
lu,getrfpiv,8192,1024,23068672,2801000,8,42141715,42519465,5071625867,1051741460,2396239526,41794040,5071625672,41675935,5071625826
lu,gemm,8192,1024,23068672,2801000,140,91657026,88825690,33935586775,2185650474,10818965954,90665654,33935585120,91321488,33935585133
lu,trsmswp,8192,1024,23068672,2801000,28,46409161,44975486,6415515289,3965888207,5723544009,45520952,6415514266,46297532,6415514957
lu,geswp,8192,1024,23068672,2801000,7,16235930,15375216,185246865,1734948382,1815025593,15497673,185246427,16052323,185246692
lu,getrfpiv,8192,2048,23068672,1200000,4,55570282,56126795,9836269581,1072919465,3674355669,55298111,9836269585,54689024,9836269682
lu,gemm,8192,2048,23068672,1200000,14,90513297,91395731,26941608392,1451113164,8271658047,91508887,26941608328,91634394,26941608183
lu,trsmswp,8192,2048,23068672,1200000,6,62619524,62609373,8390010554,1922727510,4160681065,62566004,8390010442,62343479,8390010567
lu,geswp,8192,2048,23068672,1200000,3,33095588,33854269,157862116,926387691,995271723,34431735,157862022,33422040,157862075
lu,getrfpiv,8192,2048,23068672,2801000,4,55097881,55563690,9836268965,1464307778,4084722529,54856914,9836269054,54166950,9836269203
lu,gemm,8192,2048,23068672,2801000,14,90094939,90753209,26941607370,1617984910,8445895727,90577072,26941606828,91390507,26941607014
lu,trsmswp,8192,2048,23068672,2801000,6,62970335,63931342,8390010050,4129510810,6367560906,63229951,8390009796,63367386,8390009932
lu,geswp,8192,2048,23068672,2801000,3,35823297,36156531,157862089,2687893314,2760343612,35919310,157861979,34851182,157862057
lu,getrfpiv,12288,512,23068672,1200000,24,71115581,71244283,6036274886,1172399008,2823930006,70987039,6036274478,71307167,6036274663
lu,gemm,12288,512,23068672,1200000,4324,455500559,454842155,133269012675,9635372299,43733833529,462869870,133268924818,458668120,133268969079
lu,trsmswp,12288,512,23068672,1200000,276,115957686,116369253,11513665604,4293408217,7511378406,115885458,11513662565,116558369,11513661019
lu,geswp,12288,512,23068672,1200000,23,27896337,27957410,462081471,1918748398,2095945065,27860156,462081266,27970541,462081066
lu,getrfpiv,12288,512,23068672,2801000,24,71075740,71012256,6036274010,1858708189,3508335367,70901735,6036274198,70505738,6036274141
lu,gemm,12288,512,23068672,2801000,4324,447142672,450675715,133268966110,11026301243,45123455230,449317262,133268948747,449766898,133268951242
lu,trsmswp,12288,512,23068672,2801000,276,115248838,115274909,11513661909,8969400986,12225832469,115170446,11513650354,115610948,11513670191
lu,geswp,12288,512,23068672,2801000,23,28074463,27968029,462081275,3312518023,3503303239,28032078,462081009,27950813,462080765
lu,getrfpiv,12288,1024,23068672,1200000,12,98933691,98378264,10906836448,1539373999,4427177250,98136671,10906836863,98552414,10906836934
lu,gemm,12288,1024,23068672,1200000,506,341470237,352550687,122652876955,7041889744,38237751456,338909092,122652903834,345443129,122652902824
lu,trsmswp,12288,1024,23068672,1200000,66,119782368,119349964,15122260605,4651869565,8796966094,119705148,15122261590,119979635,15122259536
lu,geswp,12288,1024,23068672,1200000,11,49430088,49480141,436925268,2201482784,2387358041,49154855,436925884,49531938,436925855
