algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
lu,getrfpiv,8192,512,23068672,1200000,16,28638209,
lu,gemm,8192,512,23068672,1200000,1240,125529770,
lu,trsmswp,8192,512,23068672,1200000,120,45537936,
lu,geswp,8192,512,23068672,1200000,15,9519469,
lu,getrfpiv,8192,512,23068672,2801000,16,28168399,
lu,gemm,8192,512,23068672,2801000,1240,122081339,
lu,trsmswp,8192,512,23068672,2801000,120,45072320,
lu,geswp,8192,512,23068672,2801000,15,9442434,
lu,getrfpiv,8192,1024,23068672,1200000,8,42282975,
lu,gemm,8192,1024,23068672,1200000,140,94489830,
lu,trsmswp,8192,1024,23068672,1200000,28,45835169,
lu,geswp,8192,1024,23068672,1200000,7,16167126,
lu,getrfpiv,8192,1024,23068672,2801000,8,42141715,
lu,gemm,8192,1024,23068672,2801000,140,91657026,
lu,trsmswp,8192,1024,23068672,2801000,28,46409161,
lu,geswp,8192,1024,23068672,2801000,7,16235930,
lu,getrfpiv,8192,2048,23068672,1200000,4,55570282,
lu,gemm,8192,2048,23068672,1200000,14,90513297,
lu,trsmswp,8192,2048,23068672,1200000,6,62619524,
lu,geswp,8192,2048,23068672,1200000,3,33095588,
lu,getrfpiv,8192,2048,23068672,2801000,4,55097881,
lu,gemm,8192,2048,23068672,2801000,14,90094939,
lu,trsmswp,8192,2048,23068672,2801000,6,62970335,
lu,geswp,8192,2048,23068672,2801000,3,35823297,
lu,getrfpiv,12288,512,23068672,1200000,24,71115581,
lu,gemm,12288,512,23068672,1200000,4324,455500559,
lu,trsmswp,12288,512,23068672,1200000,276,115957686,
lu,geswp,12288,512,23068672,1200000,23,27896337,
lu,getrfpiv,12288,512,23068672,2801000,24,71075740,
lu,gemm,12288,512,23068672,2801000,4324,447142672,
lu,trsmswp,12288,512,23068672,2801000,276,115248838,
lu,geswp,12288,512,23068672,2801000,23,28074463,
lu,getrfpiv,12288,1024,23068672,1200000,12,98933691,
lu,gemm,12288,1024,23068672,1200000,506,341470237,
lu,trsmswp,12288,1024,23068672,1200000,66,119782368,
lu,geswp,12288,1024,23068672,1200000,11,49430088,
lu,getrfpiv,12288,1024,23068672,2801000,12,97660367,
lu,gemm,12288,1024,23068672,2801000,506,331213068,
lu,trsmswp,12288,1024,23068672,2801000,66,118765853,
lu,geswp,12288,1024,23068672,2801000,11,48663970,
lu,getrfpiv,12288,2048,23068672,1200000,6,125822920,
lu,gemm,12288,2048,23068672,1200000,55,357697413,
lu,trsmswp,12288,2048,23068672,1200000,15,160628165,
lu,geswp,12288,2048,23068672,1200000,5,93737723,
lu,getrfpiv,12288,2048,23068672,2801000,6,124392493,
lu,gemm,12288,2048,23068672,2801000,55,356018314,
lu,trsmswp,12288,2048,23068672,2801000,15,161282429,
lu,geswp,12288,2048,23068672,2801000,5,94562159,
lu,getrfpiv,16384,512,23068672,1200000,32,147810216,
lu,gemm,16384,512,23068672,1200000,10416,1123010711,
lu,trsmswp,16384,512,23068672,1200000,496,221161295,
lu,geswp,16384,512,23068672,1200000,31,63033373,
lu,getrfpiv,16384,512,23068672,2801000,32,145806658,
lu,gemm,16384,512,23068672,2801000,10416,1085243410,
lu,trsmswp,16384,512,23068672,2801000,496,219263677,
lu,geswp,16384,512,23068672,2801000,31,63060869,
