algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
lu,getrfpiv,8192,512,23068672,1200000,16,28822030,2774957362,525736358,1285719033,
lu,gemm,8192,512,23068672,1200000,1240,126546092,38217710654,2774807748,12550084913,
lu,trsmswp,8192,512,23068672,1200000,120,45648823,5005951098,1799369716,3196678398,
lu,geswp,8192,512,23068672,1200000,15,9503635,200781383,814309088,890158901,
lu,getrfpiv,8192,512,23068672,2801000,16,28471382,2774956749,808653280,1567454931,
lu,gemm,8192,512,23068672,2801000,1240,122625008,38217749427,3139437997,12916630312,
lu,trsmswp,8192,512,23068672,2801000,120,45283535,5005948781,3648841285,5054814983,
lu,geswp,8192,512,23068672,2801000,15,9648823,200781301,1310987124,1392251514,
lu,getrfpiv,8192,1024,23068672,1200000,8,42968083,5071626179,721007403,2069077368,
lu,gemm,8192,1024,23068672,1200000,140,91685566,33935587753,1946426453,10577587511,
lu,trsmswp,8192,1024,23068672,1200000,28,45249890,6415516072,1920237144,3695248970,
lu,geswp,8192,1024,23068672,1200000,7,15754622,185246852,880400171,957674577,
lu,getrfpiv,8192,1024,23068672,2801000,8,42519465,5071625867,1051741460,2396239526,
lu,gemm,8192,1024,23068672,2801000,140,88825690,33935586775,2185650474,10818965954,
lu,trsmswp,8192,1024,23068672,2801000,28,44975486,6415515289,3965888207,5723544009,
lu,geswp,8192,1024,23068672,2801000,7,15375216,185246865,1734948382,1815025593,
lu,getrfpiv,8192,2048,23068672,1200000,4,56126795,9836269581,1072919465,3674355669,
lu,gemm,8192,2048,23068672,1200000,14,91395731,26941608392,1451113164,8271658047,
lu,trsmswp,8192,2048,23068672,1200000,6,62609373,8390010554,1922727510,4160681065,
lu,geswp,8192,2048,23068672,1200000,3,33854269,157862116,926387691,995271723,
lu,getrfpiv,8192,2048,23068672,2801000,4,55563690,9836268965,1464307778,4084722529,
lu,gemm,8192,2048,23068672,2801000,14,90753209,26941607370,1617984910,8445895727,
lu,trsmswp,8192,2048,23068672,2801000,6,63931342,8390010050,4129510810,6367560906,
lu,geswp,8192,2048,23068672,2801000,3,36156531,157862089,2687893314,2760343612,
lu,getrfpiv,12288,512,23068672,1200000,24,71244283,6036274886,1172399008,2823930006,
lu,gemm,12288,512,23068672,1200000,4324,454842155,133269012675,9635372299,43733833529,
lu,trsmswp,12288,512,23068672,1200000,276,116369253,11513665604,4293408217,7511378406,
lu,geswp,12288,512,23068672,1200000,23,27957410,462081471,1918748398,2095945065,
lu,getrfpiv,12288,512,23068672,2801000,24,71012256,6036274010,1858708189,3508335367,
lu,gemm,12288,512,23068672,2801000,4324,450675715,133268966110,11026301243,45123455230,
lu,trsmswp,12288,512,23068672,2801000,276,115274909,11513661909,8969400986,12225832469,
lu,geswp,12288,512,23068672,2801000,23,27968029,462081275,3312518023,3503303239,
lu,getrfpiv,12288,1024,23068672,1200000,12,98378264,10906836448,1539373999,4427177250,
lu,gemm,12288,1024,23068672,1200000,506,352550687,122652876955,7041889744,38237751456,
lu,trsmswp,12288,1024,23068672,1200000,66,119349964,15122260605,4651869565,8796966094,
lu,geswp,12288,1024,23068672,1200000,11,49480141,436925268,2201482784,2387358041,
lu,getrfpiv,12288,1024,23068672,2801000,12,97804197,10906836532,2321958605,5207143667,
lu,gemm,12288,1024,23068672,2801000,506,330757320,122652903433,7906408783,39108385482,
lu,trsmswp,12288,1024,23068672,2801000,66,119395564,15122261733,9956075097,14103562028,
lu,geswp,12288,1024,23068672,2801000,11,48621313,436925960,4884157694,5076626334,
lu,getrfpiv,12288,2048,23068672,1200000,6,124697899,20876054985,2236181934,7736576723,
lu,gemm,12288,2048,23068672,1200000,55,361306534,105842030090,5707437924,32499561675,
lu,trsmswp,12288,2048,23068672,1200000,15,162531306,20975013312,4865251713,10451066999,
lu,geswp,12288,2048,23068672,1200000,5,90285196,394892269,2401504728,2574593813,
lu,getrfpiv,12288,2048,23068672,2801000,6,124407227,20876053996,3179335036,8734642589,
lu,gemm,12288,2048,23068672,2801000,55,356308309,105842026666,6355098977,33176183394,
lu,trsmswp,12288,2048,23068672,2801000,15,162538683,20975012108,10418249302,16019534033,
lu,geswp,12288,2048,23068672,2801000,5,94065300,394892067,6983685784,7166478234,
lu,getrfpiv,16384,512,23068672,1200000,32,152065188,10543060022,2236020037,5121798206,
lu,gemm,16384,512,23068672,1200000,10416,1113468632,321029171769,23352018925,105472276678,
lu,trsmswp,16384,512,23068672,1200000,496,221383138,20691261429,7809197457,13620033889,
lu,geswp,16384,512,23068672,1200000,31,63040259,831105213,3554134986,3877128986,
lu,getrfpiv,16384,512,23068672,2801000,32,150532000,10543059173,3575009430,6457817145,
lu,gemm,16384,512,23068672,2801000,10416,1099689746,321028945648,26571710037,108696708503,
lu,trsmswp,16384,512,23068672,2801000,496,220620192,20691256418,16625179231,22460095619,
lu,geswp,16384,512,23068672,2801000,31,62956721,831104950,6629328014,6984972279,
lu,getrfpiv,16384,1024,23068672,1200000,16,207884164,18937895242,2844039580,7856926270,
lu,gemm,16384,1024,23068672,1200000,1240,859263126,300572347645,17245540364,93692090300,
lu,trsmswp,16384,1024,23068672,1200000,120,226604586,27495060435,8547184466,16071752563,
lu,geswp,16384,1024,23068672,1200000,15,108827873,795079905,4204854944,4546584165,
lu,getrfpiv,16384,1024,23068672,2801000,16,201384079,18937894551,4299102633,9309403630,
lu,gemm,16384,1024,23068672,2801000,1240,841803013,300572328800,19430086581,95894112984,
lu,trsmswp,16384,1024,23068672,2801000,120,227430047,27495056592,18576093404,26112206670,
lu,geswp,16384,1024,23068672,2801000,15,106249387,795079565,9948142887,10302042361,
lu,getrfpiv,16384,2048,23068672,1200000,8,263140953,35993190709,4007986623,13483328677,
lu,gemm,16384,2048,23068672,1200000,140,898857168,269416077811,14527540316,82728458327,
lu,trsmswp,16384,2048,23068672,1200000,28,304503496,39153381486,9191617015,19630075956,
lu,geswp,16384,2048,23068672,1200000,7,178942991,737767809,4612360183,4936408784,
lu,getrfpiv,16384,2048,23068672,2801000,8,256827719,35993188855,5670569901,15237192085,
lu,gemm,16384,2048,23068672,2801000,140,907159492,269416065899,16212627721,84474205581,
lu,trsmswp,16384,2048,23068672,2801000,28,299293635,39153380132,19398443914,29860767595,
lu,geswp,16384,2048,23068672,2801000,7,179479652,737767727,13326493904,13670782995,
lu,getrfpiv,20480,512,23068672,1200000,40,221217032,16300205233,3264692256,7721364439,
lu,gemm,20480,512,23068672,1200000,20540,2194763770,633058604770,46040437234,207953064146,
lu,trsmswp,20480,512,23068672,1200000,780,358675593,32538677539,12347958201,21446658458,
lu,geswp,20480,512,23068672,1200000,39,116731764,1307156879,5746325643,6258438786,
lu,getrfpiv,20480,512,23068672,2801000,40,218578106,16300204387,5305848647,9757317219,
lu,gemm,20480,512,23068672,2801000,20540,2147387940,633058446670,52316477859,214256180428,
lu,trsmswp,20480,512,23068672,2801000,780,354976752,32538687122,26489174735,35634465704,
lu,geswp,20480,512,23068672,2801000,39,114371808,1307156788,11330284479,11885782662,
lu,getrfpiv,20480,1024,23068672,1200000,20,288556215,29169673329,4138271137,11848714026,
lu,gemm,20480,1024,23068672,1200000,2470,1745609037,598720602859,34373735847,186655156038,
lu,trsmswp,20480,1024,23068672,1200000,190,363709503,43533851980,13603880018,25533777312,
lu,geswp,20480,1024,23068672,1200000,19,188337232,1259048465,6822913644,7367011847,
lu,getrfpiv,20480,1024,23068672,2801000,20,285027989,29169671510,6348404131,14052844333,
lu,gemm,20480,1024,23068672,2801000,2470,1654330534,598720698461,38600520980,190913617158,
lu,trsmswp,20480,1024,23068672,2801000,190,366920688,43533846400,29643171155,41589886072,
lu,geswp,20480,1024,23068672,2801000,19,190086044,1259048180,17031300429,17596289610,
lu,getrfpiv,20480,2048,23068672,1200000,10,349422271,55192497654,5786753622,20297690219,
lu,gemm,20480,2048,23068672,1200000,285,1857869919,548454156664,29491139436,168331880955,
lu,trsmswp,20480,2048,23068672,1200000,45,501793580,62925078286,14745073959,31524040624,
lu,geswp,20480,2048,23068672,1200000,9,298777880,1185871115,7554480570,8075364942,
lu,getrfpiv,20480,2048,23068672,2801000,10,347712877,55192495189,8273931584,22922318620,
lu,gemm,20480,2048,23068672,2801000,285,1807506450,548454134645,32953940997,171909129137,
lu,trsmswp,20480,2048,23068672,2801000,45,485311000,62925074572,31382235082,48183013306,
lu,geswp,20480,2048,23068672,2801000,9,296864659,1185870974,21874883571,22429878568,
lu,getrfpiv,24576,512,23068672,1200000,48,343637052,23308015162,4946803178,11324047941,
lu,gemm,24576,512,23068672,1200000,35720,3817327320,1100917998001,80121692218,361730225798,
lu,trsmswp,24576,512,23068672,1200000,1128,527219877,47055808616,18003009995,31184712512,
lu,geswp,24576,512,23068672,1200000,47,191657389,1889576925,8531565056,9278353069,
lu,getrfpiv,24576,512,23068672,2801000,48,338717335,23308013874,8012932084,14374963625,
lu,gemm,24576,512,23068672,2801000,35720,3733371760,1100917750152,90900039346,372531716637,
lu,trsmswp,24576,512,23068672,2801000,1128,522768509,47055809016,38652301242,51900747053,
lu,geswp,24576,512,23068672,2801000,47,190994699,1889576093,17852040517,18662580988,
lu,getrfpiv,24576,1024,23068672,1200000,24,459579896,41602465567,6142344638,17139637085,
lu,gemm,24576,1024,23068672,1200000,4324,2996395717,1048124857555,60094430592,326664784514,
lu,trsmswp,24576,1024,23068672,1200000,276,541233427,63238546272,19906840154,37238237834,
lu,geswp,24576,1024,23068672,1200000,23,305323911,1828179276,10290309172,11085993461,
lu,getrfpiv,24576,1024,23068672,2801000,24,450698373,41602463517,9414676951,20411504198,
lu,gemm,24576,1024,23068672,2801000,4324,2804877980,1048124815496,67624039404,334237329197,
lu,trsmswp,24576,1024,23068672,2801000,276,538895335,63238540574,43291407746,60669215844,
lu,geswp,24576,1024,23068672,2801000,23,301627660,1828178369,26247194750,27071233317,
lu,getrfpiv,24576,2048,23068672,1200000,12,588332373,78474286968,8466063756,29095826793,
lu,gemm,24576,2048,23068672,1200000,506,3257635465,973746667165,52441527924,298928722417,
lu,trsmswp,24576,2048,23068672,1200000,66,735444917,92290024157,21749057393,46333845535,
lu,geswp,24576,2048,23068672,1200000,11,456298537,1738545844,11300403103,12064702221,
lu,getrfpiv,24576,2048,23068672,2801000,12,570985855,78474282840,12094940019,32922113962,
lu,gemm,24576,2048,23068672,2801000,506,3241881317,973746637474,58261873917,304940697345,
lu,trsmswp,24576,2048,23068672,2801000,66,717000582,92290019807,46253264058,70896097057,
lu,geswp,24576,2048,23068672,2801000,11,448291976,1738545530,32766489877,33576758744,
lu,getrfpiv,28672,512,23068672,1200000,56,464888743,31558084535,6472059482,15105848327,
lu,gemm,28672,512,23068672,1200000,56980,6044820200,1756164741866,127643983266,576843398589,
lu,trsmswp,28672,512,23068672,1200000,1540,732854807,64242973088,24639871171,42631555208,
lu,geswp,28672,512,23068672,1200000,55,286332899,2580555123,11886087176,12911816527,
lu,getrfpiv,28672,512,23068672,2801000,56,460547806,31558085247,10659415985,19280870398,
lu,gemm,28672,512,23068672,2801000,56980,5912711325,1756167447260,144456553555,593602797183,
lu,trsmswp,28672,512,23068672,2801000,1540,726388199,64242984927,53373158269,71470731834,
lu,geswp,28672,512,23068672,2801000,55,286170518,2580555960,25746602115,26860715760,
lu,getrfpiv,28672,1024,23068672,1200000,28,590163740,56227917971,8015626146,22865798862,
lu,gemm,28672,1024,23068672,1200000,6930,4726738725,1679811585110,96380572686,523607269005,
lu,trsmswp,28672,1024,23068672,1200000,378,756223470,86609397512,27518839799,51274033343,
lu,geswp,28672,1024,23068672,1200000,27,445930501,2504611772,14403230937,15497978700,
lu,getrfpiv,28672,1024,23068672,2801000,28,582950583,56227914919,12423296895,27269864158,
lu,gemm,28672,1024,23068672,2801000,6930,4502859299,1679811481840,108423323922,535715708204,
lu,trsmswp,28672,1024,23068672,2801000,378,754630588,86609414653,59901103143,83640668470,
lu,geswp,28672,1024,23068672,2801000,27,442054064,2504611637,37695994006,38829352021,
lu,getrfpiv,28672,2048,23068672,1200000,14,696983414,105830275834,10983414910,38778820007,
lu,gemm,28672,2048,23068672,1200000,819,5241062059,1576084042469,84932376706,483883699061,
lu,trsmswp,28672,2048,23068672,1200000,91,1023780114,127248453233,30257553719,64163018547,
lu,geswp,28672,2048,23068672,1200000,13,641327478,2397863752,15803738045,16857932757,
lu,getrfpiv,28672,2048,23068672,2801000,14,693584198,105830270335,15579095105,43635805733,
lu,gemm,28672,2048,23068672,2801000,819,5188534338,1576083984550,94702613544,494083177782,
lu,trsmswp,28672,2048,23068672,2801000,91,997186542,127248444801,63865374505,97833460564,
lu,geswp,28672,2048,23068672,2801000,13,633071872,2397863488,45909163819,47028143253,
