algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
lu,28672,512,32,1,getrfpiv,4619306229,3866570668,616280604,289819592,33.731500
lu,28672,512,32,1,gemm,4619306229,3866570668,616280604,289819592,33.731500
lu,28672,512,32,1,trsmswp,4619306229,3866570668,616280604,289819592,33.731500
lu,28672,512,32,1,geswp,4619306229,3866570668,616280604,289819592,33.731500
lu,28672,512,32,2,getrfpiv,4626943172,3877968527,620012595,291246975,34.194500
lu,28672,512,32,2,gemm,4626943172,3877968527,620012595,291246975,34.194500
lu,28672,512,32,2,trsmswp,4626943172,3877968527,620012595,291246975,34.194500
lu,28672,512,32,2,geswp,4626943172,3877968527,620012595,291246975,34.194500
lu,28672,512,32,3,getrfpiv,4149416257,3340538628,701597626,323041170,40.575700
lu,28672,512,32,3,gemm,4149416257,3340538628,701597626,323041170,40.575700
lu,28672,512,32,3,trsmswp,4149416257,3340538628,701597626,323041170,40.575700
lu,28672,512,32,3,geswp,4149416257,3340538628,701597626,323041170,40.575700
lu,28672,512,32,4,getrfpiv,4031676935,3237818494,696595842,315672308,40.439200
lu,28672,512,32,4,gemm,4031676935,3237818494,696595842,315672308,40.439200
lu,28672,512,32,4,trsmswp,4031676935,3237818494,696595842,315672308,40.439200
lu,28672,512,32,4,geswp,4031676935,3237818494,696595842,315672308,40.439200
lu,28672,512,32,5,getrfpiv,4198752007,3525066721,618148075,292493130,34.018200
lu,28672,512,32,5,gemm,4198752007,3525066721,618148075,292493130,34.018200
lu,28672,512,32,5,trsmswp,4198752007,3525066721,618148075,292493130,34.018200
lu,28672,512,32,5,geswp,4198752007,3525066721,618148075,292493130,34.018200
lu,28672,512,32,6,getrfpiv,4169543586,3470223843,623807255,283326027,34.350600
lu,28672,512,32,6,gemm,4169543586,3470223843,623807255,283326027,34.350600
lu,28672,512,32,6,trsmswp,4169543586,3470223843,623807255,283326027,34.350600
lu,28672,512,32,6,geswp,4169543586,3470223843,623807255,283326027,34.350600
lu,28672,512,32,7,getrfpiv,3848287206,3089988977,702132270,310917145,41.171500
lu,28672,512,32,7,gemm,3848287206,3089988977,702132270,310917145,41.171500
lu,28672,512,32,7,trsmswp,3848287206,3089988977,702132270,310917145,41.171500
lu,28672,512,32,7,geswp,3848287206,3089988977,702132270,310917145,41.171500
lu,28672,512,32,8,getrfpiv,3787057383,2942606236,694090880,299810936,40.356100
lu,28672,512,32,8,gemm,3787057383,2942606236,694090880,299810936,40.356100
lu,28672,512,32,8,trsmswp,3787057383,2942606236,694090880,299810936,40.356100
lu,28672,512,32,8,geswp,3787057383,2942606236,694090880,299810936,40.356100
lu,28672,512,32,9,getrfpiv,4420502295,3764958135,613164957,290513585,33.582700
lu,28672,512,32,9,gemm,4420502295,3764958135,613164957,290513585,33.582700
lu,28672,512,32,9,trsmswp,4420502295,3764958135,613164957,290513585,33.582700
lu,28672,512,32,9,geswp,4420502295,3764958135,613164957,290513585,33.582700
lu,28672,512,32,10,getrfpiv,4384428168,3685492457,613914244,286147592,33.515100
lu,28672,512,32,10,gemm,4384428168,3685492457,613914244,286147592,33.515100
lu,28672,512,32,10,trsmswp,4384428168,3685492457,613914244,286147592,33.515100
lu,28672,512,32,10,geswp,4384428168,3685492457,613914244,286147592,33.515100
lu,28672,512,32,11,getrfpiv,3973905598,3198169303,696207726,315854608,40.307000
lu,28672,512,32,11,gemm,3973905598,3198169303,696207726,315854608,40.307000
lu,28672,512,32,11,trsmswp,3973905598,3198169303,696207726,315854608,40.307000
lu,28672,512,32,11,geswp,3973905598,3198169303,696207726,315854608,40.307000
lu,28672,512,32,12,getrfpiv,3865229484,3127774280,694441112,321594463,40.309600
lu,28672,512,32,12,gemm,3865229484,3127774280,694441112,321594463,40.309600
lu,28672,512,32,12,trsmswp,3865229484,3127774280,694441112,321594463,40.309600
lu,28672,512,32,12,geswp,3865229484,3127774280,694441112,321594463,40.309600
lu,28672,512,32,13,getrfpiv,4011501327,3364075738,613327826,292178133,33.801000
lu,28672,512,32,13,gemm,4011501327,3364075738,613327826,292178133,33.801000
lu,28672,512,32,13,trsmswp,4011501327,3364075738,613327826,292178133,33.801000
lu,28672,512,32,13,geswp,4011501327,3364075738,613327826,292178133,33.801000
lu,28672,512,32,14,getrfpiv,4047057266,3364286248,619679560,292210110,34.171000
