algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
lu,getrfpiv,8192,512,23068672,1200000,16,28638237,2774957296,524096250,1285364690,
lu,gemm,8192,512,23068672,1200000,1240,125473189,38217757145,2771015974,12546422847,
lu,trsmswp,8192,512,23068672,1200000,120,45557241,5005950482,1802585735,3200318777,
lu,geswp,8192,512,23068672,1200000,15,9510716,200781466,815539560,891637784,
lu,getrfpiv,8192,512,23068672,2801000,16,28478360,2774956904,809764788,1569321564,
lu,gemm,8192,512,23068672,2801000,1240,122268921,38217749010,3125428734,12904936234,
lu,trsmswp,8192,512,23068672,2801000,120,45318841,5005951054,3680686231,5088760951,
lu,geswp,8192,512,23068672,2801000,15,9501954,200781290,1317304371,1398434901,
lu,getrfpiv,8192,1024,23068672,1200000,8,42466486,5071625994,712662854,2059600121,
lu,gemm,8192,1024,23068672,1200000,140,92819257,33935587352,1945958711,10577932465,
lu,trsmswp,8192,1024,23068672,1200000,28,45515224,6415515510,1923698542,3685236201,
lu,geswp,8192,1024,23068672,1200000,7,15548625,185246781,878518268,955782849,
lu,getrfpiv,8192,1024,23068672,2801000,8,42245945,5071625858,1050758162,2396431369,
lu,gemm,8192,1024,23068672,2801000,140,90567296,33935586966,2181512155,10815845469,
lu,trsmswp,8192,1024,23068672,2801000,28,45672351,6415515129,4016976133,5779724030,
lu,geswp,8192,1024,23068672,2801000,7,16288161,185246876,1785509607,1865500225,
lu,getrfpiv,8192,2048,23068672,1200000,4,56091144,9836269635,1076835278,3678192925,
lu,gemm,8192,2048,23068672,1200000,14,91940336,26941608514,1456259094,8275964187,
lu,trsmswp,8192,2048,23068672,1200000,6,62671671,8390010520,1927479705,4163368383,
lu,geswp,8192,2048,23068672,1200000,3,33225636,157862081,920557754,989112093,
lu,getrfpiv,8192,2048,23068672,2801000,4,55216097,9836269252,1499725768,4124202292,
lu,gemm,8192,2048,23068672,2801000,14,91616962,26941607377,1622393636,8448233013,
lu,trsmswp,8192,2048,23068672,2801000,6,63246538,8390009957,4118653754,6357321952,
lu,geswp,8192,2048,23068672,2801000,3,34083939,157862075,2592846740,2664912933,
lu,getrfpiv,12288,512,23068672,1200000,24,71319127,6036274787,1174423771,2825252429,
lu,gemm,12288,512,23068672,1200000,4324,460779064,133269020243,9704573271,43790022654,
lu,trsmswp,12288,512,23068672,1200000,276,116249153,11513661290,4270051067,7492962632,
lu,geswp,12288,512,23068672,1200000,23,27924016,462081432,1919074636,2096104131,
lu,getrfpiv,12288,512,23068672,2801000,24,70546555,6036274224,1858831158,3508572591,
lu,gemm,12288,512,23068672,2801000,4324,446984941,133269006432,10984922952,45083857829,
lu,trsmswp,12288,512,23068672,2801000,276,115081578,11513664337,8959781514,12196315539,
lu,geswp,12288,512,23068672,2801000,23,27965748,462081374,3312507376,3503543346,
lu,getrfpiv,12288,1024,23068672,1200000,12,98949006,10906837225,1547512580,4435894415,
lu,gemm,12288,1024,23068672,1200000,506,352844730,122652910024,7036756161,38236874415,
lu,trsmswp,12288,1024,23068672,1200000,66,119496997,15122259583,4647674664,8783576386,
lu,geswp,12288,1024,23068672,1200000,11,48715174,436926045,2197301159,2382945859,
lu,getrfpiv,12288,1024,23068672,2801000,12,98008977,10906836619,2329519009,5215787895,
lu,gemm,12288,1024,23068672,2801000,506,338954708,122652904714,7923816035,39127442774,
lu,trsmswp,12288,1024,23068672,2801000,66,116195757,15122259536,9875808849,14019271652,
lu,geswp,12288,1024,23068672,2801000,11,48505191,436925925,4863183903,5055595861,
lu,getrfpiv,12288,2048,23068672,1200000,6,125628072,20876054731,2249409926,7750821771,
lu,gemm,12288,2048,23068672,1200000,55,359358333,105842030977,5700679014,32495725020,
lu,trsmswp,12288,2048,23068672,1200000,15,162569338,20975012754,4878573838,10471968540,
lu,geswp,12288,2048,23068672,1200000,5,91290216,394892080,2413422988,2585987025,
lu,getrfpiv,12288,2048,23068672,2801000,6,124814073,20876054080,3161790355,8713659691,
lu,gemm,12288,2048,23068672,2801000,55,359406726,105842024124,6392073445,33219219847,
lu,trsmswp,12288,2048,23068672,2801000,15,162135486,20975012257,10408319570,16011516543,
lu,geswp,12288,2048,23068672,2801000,5,93671044,394892197,6951074478,7134507975,
lu,getrfpiv,16384,512,23068672,1200000,32,147557013,10543060105,2213029984,5095827539,
lu,gemm,16384,512,23068672,1200000,10416,1110232569,321028994316,23316015507,105423637552,
lu,trsmswp,16384,512,23068672,1200000,496,221505781,20691263815,7794317255,13579459969,
lu,geswp,16384,512,23068672,1200000,31,63148529,831105347,3553750443,3876577744,
lu,getrfpiv,16384,512,23068672,2801000,32,146535787,10543059196,3540827508,6420940838,
lu,gemm,16384,512,23068672,2801000,10416,1089878922,321029111173,26545974815,108661714467,
lu,trsmswp,16384,512,23068672,2801000,496,220083287,20691266614,16599057448,22411483308,
lu,geswp,16384,512,23068672,2801000,31,62335910,831104785,6605466230,6954668786,
lu,getrfpiv,16384,1024,23068672,1200000,16,200088711,18937895583,2829429767,7838672439,
lu,gemm,16384,1024,23068672,1200000,1240,845264472,300572345558,17257279502,93704097704,
lu,trsmswp,16384,1024,23068672,1200000,120,226256982,27495054984,8545103510,16063657152,
lu,geswp,16384,1024,23068672,1200000,15,107636282,795079731,4189108116,4530416753,
