algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L2_TCR,PAPI_L2_TCW,
lu,getrfpiv,8192,512,23068672,1200000,16,28366225,2774956906,
lu,gemm,8192,512,23068672,1200000,1240,124895017,38217715680,
lu,trsmswp,8192,512,23068672,1200000,120,45644293,5005952411,
lu,geswp,8192,512,23068672,1200000,15,9550620,200780917,
lu,getrfpiv,8192,512,23068672,2801000,16,28253741,2774956625,
lu,gemm,8192,512,23068672,2801000,1240,122937077,38217729580,
lu,trsmswp,8192,512,23068672,2801000,120,45223536,5005957082,
lu,geswp,8192,512,23068672,2801000,15,9594139,200781165,
lu,getrfpiv,8192,1024,23068672,1200000,8,42343268,5071626085,
lu,gemm,8192,1024,23068672,1200000,140,92353178,33935586728,
lu,trsmswp,8192,1024,23068672,1200000,28,45732818,6415516457,
lu,geswp,8192,1024,23068672,1200000,7,15490916,185246627,
lu,getrfpiv,8192,1024,23068672,2801000,8,41794040,5071625672,
lu,gemm,8192,1024,23068672,2801000,140,90665654,33935585120,
lu,trsmswp,8192,1024,23068672,2801000,28,45520952,6415514266,
lu,geswp,8192,1024,23068672,2801000,7,15497673,185246427,
lu,getrfpiv,8192,2048,23068672,1200000,4,55298111,9836269585,
lu,gemm,8192,2048,23068672,1200000,14,91508887,26941608328,
lu,trsmswp,8192,2048,23068672,1200000,6,62566004,8390010442,
lu,geswp,8192,2048,23068672,1200000,3,34431735,157862022,
lu,getrfpiv,8192,2048,23068672,2801000,4,54856914,9836269054,
lu,gemm,8192,2048,23068672,2801000,14,90577072,26941606828,
lu,trsmswp,8192,2048,23068672,2801000,6,63229951,8390009796,
lu,geswp,8192,2048,23068672,2801000,3,35919310,157861979,
lu,getrfpiv,12288,512,23068672,1200000,24,70987039,6036274478,
lu,gemm,12288,512,23068672,1200000,4324,462869870,133268924818,
lu,trsmswp,12288,512,23068672,1200000,276,115885458,11513662565,
lu,geswp,12288,512,23068672,1200000,23,27860156,462081266,
lu,getrfpiv,12288,512,23068672,2801000,24,70901735,6036274198,
lu,gemm,12288,512,23068672,2801000,4324,449317262,133268948747,
lu,trsmswp,12288,512,23068672,2801000,276,115170446,11513650354,
lu,geswp,12288,512,23068672,2801000,23,28032078,462081009,
lu,getrfpiv,12288,1024,23068672,1200000,12,98136671,10906836863,
lu,gemm,12288,1024,23068672,1200000,506,338909092,122652903834,
lu,trsmswp,12288,1024,23068672,1200000,66,119705148,15122261590,
lu,geswp,12288,1024,23068672,1200000,11,49154855,436925884,
lu,getrfpiv,12288,1024,23068672,2801000,12,97574466,10906836590,
lu,gemm,12288,1024,23068672,2801000,506,332372071,122652897375,
lu,trsmswp,12288,1024,23068672,2801000,66,119248710,15122259996,
lu,geswp,12288,1024,23068672,2801000,11,48539872,436925820,
lu,getrfpiv,12288,2048,23068672,1200000,6,124729443,20876055135,
lu,gemm,12288,2048,23068672,1200000,55,358939900,105842029955,
lu,trsmswp,12288,2048,23068672,1200000,15,162167211,20975013401,
lu,geswp,12288,2048,23068672,1200000,5,91884432,394892227,
lu,getrfpiv,12288,2048,23068672,2801000,6,123755672,20876053896,
lu,gemm,12288,2048,23068672,2801000,55,358077925,105842024686,
lu,trsmswp,12288,2048,23068672,2801000,15,162291247,20975011940,
lu,geswp,12288,2048,23068672,2801000,5,93008963,394892008,
lu,getrfpiv,16384,512,23068672,1200000,32,150480464,10543059772,
lu,gemm,16384,512,23068672,1200000,10416,1120168218,321029016770,
lu,trsmswp,16384,512,23068672,1200000,496,221796629,20691248609,
lu,geswp,16384,512,23068672,1200000,31,62778838,831105055,
lu,getrfpiv,16384,512,23068672,2801000,32,148101537,10543059017,
lu,gemm,16384,512,23068672,2801000,10416,1085181349,321029029723,
lu,trsmswp,16384,512,23068672,2801000,496,219661667,20691254961,
lu,geswp,16384,512,23068672,2801000,31,62993972,831104625,
lu,getrfpiv,16384,1024,23068672,1200000,16,203729127,18937894406,
lu,gemm,16384,1024,23068672,1200000,1240,876595802,300572243058,
lu,trsmswp,16384,1024,23068672,1200000,120,229318929,27495065106,
lu,geswp,16384,1024,23068672,1200000,15,108001116,795079631,
lu,getrfpiv,16384,1024,23068672,2801000,16,200035711,18937894377,
lu,gemm,16384,1024,23068672,2801000,1240,833008384,300572312474,
lu,trsmswp,16384,1024,23068672,2801000,120,224157203,27495053172,
lu,geswp,16384,1024,23068672,2801000,15,106855998,795079244,
lu,getrfpiv,16384,2048,23068672,1200000,8,253984953,35993190604,
lu,gemm,16384,2048,23068672,1200000,140,913086913,269416073982,
lu,trsmswp,16384,2048,23068672,1200000,28,301967987,39153382343,
lu,geswp,16384,2048,23068672,1200000,7,178286109,737767671,
lu,getrfpiv,16384,2048,23068672,2801000,8,250097566,35993189403,
lu,gemm,16384,2048,23068672,2801000,140,915074564,269416061238,
lu,trsmswp,16384,2048,23068672,2801000,28,301239095,39153380261,
lu,geswp,16384,2048,23068672,2801000,7,179976211,737767695,
lu,getrfpiv,20480,512,23068672,1200000,40,221295743,16300204366,
lu,gemm,20480,512,23068672,1200000,20540,2194362595,633058388954,
lu,trsmswp,20480,512,23068672,1200000,780,355970628,32538688757,
lu,geswp,20480,512,23068672,1200000,39,115714489,1307156562,
lu,getrfpiv,20480,512,23068672,2801000,40,217989058,16300204069,
lu,gemm,20480,512,23068672,2801000,20540,2132652826,633058239930,
lu,trsmswp,20480,512,23068672,2801000,780,353537494,32538673804,
lu,geswp,20480,512,23068672,2801000,39,116756879,1307156328,
lu,getrfpiv,20480,1024,23068672,1200000,20,287961847,29169673037,
lu,gemm,20480,1024,23068672,1200000,2470,1681897458,598720692739,
lu,trsmswp,20480,1024,23068672,1200000,190,367798281,43533848810,
lu,geswp,20480,1024,23068672,1200000,19,192772239,1259048292,
lu,getrfpiv,20480,1024,23068672,2801000,20,284333027,29169671455,
lu,gemm,20480,1024,23068672,2801000,2470,1636604428,598720666285,
lu,trsmswp,20480,1024,23068672,2801000,190,366516542,43533846939,
lu,geswp,20480,1024,23068672,2801000,19,190181744,1259047980,
lu,getrfpiv,20480,2048,23068672,1200000,10,351609117,55192497323,
lu,gemm,20480,2048,23068672,1200000,285,1810037970,548454153884,
lu,trsmswp,20480,2048,23068672,1200000,45,493055762,62925078272,
lu,geswp,20480,2048,23068672,1200000,9,297654210,1185870903,
lu,getrfpiv,20480,2048,23068672,2801000,10,346811676,55192495083,
lu,gemm,20480,2048,23068672,2801000,285,1826437010,548454123990,
lu,trsmswp,20480,2048,23068672,2801000,45,483898041,62925074911,
lu,geswp,20480,2048,23068672,2801000,9,295364823,1185870871,
lu,getrfpiv,24576,512,23068672,1200000,48,342134029,23308014515,
lu,gemm,24576,512,23068672,1200000,35720,3859570508,1100917442273,
lu,trsmswp,24576,512,23068672,1200000,1128,527537348,47055819183,
lu,geswp,24576,512,23068672,1200000,47,192633730,1889576252,
lu,getrfpiv,24576,512,23068672,2801000,48,336083641,23308013614,
lu,gemm,24576,512,23068672,2801000,35720,3723398264,1100917450795,
lu,trsmswp,24576,512,23068672,2801000,1128,523967229,47055801349,
lu,geswp,24576,512,23068672,2801000,47,191120128,1889575657,
lu,getrfpiv,24576,1024,23068672,1200000,24,456825811,41602464851,
lu,gemm,24576,1024,23068672,1200000,4324,2999859506,1048124800007,
lu,trsmswp,24576,1024,23068672,1200000,276,542725515,63238535340,
lu,geswp,24576,1024,23068672,1200000,23,306365083,1828178916,
