algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
qr,geqrt,8192,512,23068672,1200000,16,1046717,1584603383,956681274,1614990031,
qr,ormqr,8192,512,23068672,1200000,120,5568152,6104053360,1122383566,2753916804,
qr,tsmqr,8192,512,23068672,1200000,1240,162308556,98601077264,8237630750,33684186172,
qr,tsqrt,8192,512,23068672,1200000,120,10761336,15823673645,11641539315,18726526342,
qr,geqrt,8192,512,23068672,2801000,16,1860677,1584603215,1177426375,1837777303,
qr,ormqr,8192,512,23068672,2801000,120,5340992,6104052842,1457335007,3092027341,
qr,tsmqr,8192,512,23068672,2801000,1240,160382001,98601065638,9586781170,35036113122,
qr,tsqrt,8192,512,23068672,2801000,120,10643976,15823671169,15735582287,22813258349,
qr,geqrt,12288,512,23068672,1200000,24,1638599,2376626591,1438249682,2425649740,
qr,ormqr,12288,512,23068672,1200000,276,12871417,14039309997,2570061259,6321457982,
qr,tsmqr,12288,512,23068672,1200000,4324,579460944,343831518767,28764386374,117503458552,
qr,tsqrt,12288,512,23068672,1200000,276,25396685,36394465863,27084238704,43206094592,
qr,geqrt,12288,512,23068672,2801000,24,1643350,2376627411,1772392351,2763023271,
qr,ormqr,12288,512,23068672,2801000,276,11941599,14039308665,3346591219,7104360793,
qr,tsmqr,12288,512,23068672,2801000,4324,547954782,343831491992,33265374846,121993871239,
qr,tsqrt,12288,512,23068672,2801000,276,25084795,36394452387,36378219286,52683564166,
qr,geqrt,16384,512,23068672,1200000,32,2352486,3168626674,1922725990,3238592265,
qr,ormqr,16384,512,23068672,1200000,496,21840509,25230056045,4624415117,11370435932,
qr,tsmqr,16384,512,23068672,1200000,10416,1345684110,828249006820,64986629637,278406487744,
qr,tsqrt,16384,512,23068672,1200000,496,46033634,65404523281,48689149050,77633652887,
qr,geqrt,16384,512,23068672,2801000,32,2193926,3168651577,2347155543,3670458802,
qr,ormqr,16384,512,23068672,2801000,496,21338086,25230053676,6052872273,12802029247,
qr,tsmqr,16384,512,23068672,2801000,10416,1347966639,828248968793,81112514200,294851147250,
qr,tsqrt,16384,512,23068672,2801000,496,45449079,65404518509,65406531385,94673898130,
qr,geqrt,20480,512,23068672,1200000,40,2798798,3960676236,2411057125,4057971799,
qr,ormqr,20480,512,23068672,1200000,780,34048888,39676292505,7261818668,17871169655,
qr,tsmqr,20480,512,23068672,1200000,20540,2608049654,1633279169457,135989959914,557493965452,
qr,tsqrt,20480,512,23068672,1200000,780,71834827,102853883975,75870179310,122005237423,
qr,geqrt,20480,512,23068672,2801000,40,2835764,3960644124,2932716834,4586533016,
qr,ormqr,20480,512,23068672,2801000,780,34327648,39676288977,9859599899,20492961020,
qr,tsmqr,20480,512,23068672,2801000,20540,2619347244,1633279048257,150574929649,571443258767,
qr,tsqrt,20480,512,23068672,2801000,780,71709316,102853894241,102253539299,148915925155,
qr,geqrt,24576,512,23068672,1200000,48,3287848,4752699736,2889623124,4860753008,
qr,ormqr,24576,512,23068672,1200000,1128,49070892,57378017056,10489930000,25826270553,
qr,tsmqr,24576,512,23068672,1200000,35720,4604537008,2840346843687,236596392672,969690535480,
qr,tsqrt,24576,512,23068672,1200000,1128,103081306,148742553054,110637976946,176455294238,
qr,geqrt,24576,512,23068672,2801000,48,3387198,4752698953,3548099238,5536268954,
qr,ormqr,24576,512,23068672,2801000,1128,49887728,57378011683,14209008213,29597935784,
qr,tsmqr,24576,512,23068672,2801000,35720,4416850586,2840346980957,275966497150,1008813822911,
qr,tsqrt,24576,512,23068672,2801000,1128,104174996,148742543783,148025217561,215664754885,
qr,geqrt,28672,512,23068672,1200000,56,4500541,5544679773,3369160150,5670658204,
qr,ormqr,28672,512,23068672,1200000,1540,64957351,78335226571,14295973123,35250023813,
qr,tsmqr,28672,512,23068672,1200000,56980,7149266058,4530878320072,355557393264,1522845628795,
qr,tsqrt,28672,512,23068672,1200000,1540,140128943,203070487827,151096663466,241016410972,
qr,geqrt,28672,512,23068672,2801000,56,4554130,5544725761,4116090576,6426696773,
qr,ormqr,28672,512,23068672,2801000,1540,65578735,78335227693,18750153129,39717715183,
qr,tsmqr,28672,512,23068672,2801000,56980,7000133942,4530878371353,441125315140,1610398080433,
qr,tsqrt,28672,512,23068672,2801000,1540,142132970,203070539332,203028477841,293934668365,
