algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCR,PAPI_L3_TCW,
qr,geqrt,8192,512,23068672,1200000,16,1213373,1584590350,
qr,ormqr,8192,512,23068672,1200000,120,5355192,6104051880,
qr,tsmqr,8192,512,23068672,1200000,1240,160854987,98601071831,
qr,tsqrt,8192,512,23068672,1200000,120,10712898,15823671560,
qr,geqrt,8192,512,23068672,2801000,16,1126565,1584590103,
qr,ormqr,8192,512,23068672,2801000,120,5395890,6104051314,
qr,tsmqr,8192,512,23068672,2801000,1240,158596638,98601060003,
qr,tsqrt,8192,512,23068672,2801000,120,10646509,15823671851,
qr,geqrt,12288,512,23068672,1200000,24,2003557,2376608116,
qr,ormqr,12288,512,23068672,1200000,276,13686182,14039306693,
qr,tsmqr,12288,512,23068672,1200000,4324,578344095,343831395838,
qr,tsqrt,12288,512,23068672,1200000,276,25339020,36394457184,
qr,geqrt,12288,512,23068672,2801000,24,1876563,2376626886,
qr,ormqr,12288,512,23068672,2801000,276,11896974,14039305090,
qr,tsmqr,12288,512,23068672,2801000,4324,553155744,343831422592,
qr,tsqrt,12288,512,23068672,2801000,276,25304861,36394447799,
qr,geqrt,16384,512,23068672,1200000,32,2534275,3168626252,
qr,ormqr,16384,512,23068672,1200000,496,21002438,25230049824,
qr,tsmqr,16384,512,23068672,1200000,10416,1328940504,828248889693,
qr,tsqrt,16384,512,23068672,1200000,496,45967776,65404519814,
qr,geqrt,16384,512,23068672,2801000,32,2562258,3168650187,
qr,ormqr,16384,512,23068672,2801000,496,21742223,25230046999,
qr,tsmqr,16384,512,23068672,2801000,10416,1315831037,828248911284,
qr,tsqrt,16384,512,23068672,2801000,496,45619825,65404505504,
qr,geqrt,20480,512,23068672,1200000,40,3441111,3960675584,
qr,ormqr,20480,512,23068672,1200000,780,33487187,39676283688,
qr,tsmqr,20480,512,23068672,1200000,20540,2592504405,1633278761019,
qr,tsqrt,20480,512,23068672,1200000,780,72340069,102853884159,
qr,geqrt,20480,512,23068672,2801000,40,3999658,3960673749,
qr,ormqr,20480,512,23068672,2801000,780,33271575,39676278742,
qr,tsmqr,20480,512,23068672,2801000,20540,2605371718,1633278770295,
qr,tsqrt,20480,512,23068672,2801000,780,72236104,102853877731,
qr,geqrt,24576,512,23068672,1200000,48,4804652,4752700477,
qr,ormqr,24576,512,23068672,1200000,1128,48444172,57378005017,
qr,tsmqr,24576,512,23068672,1200000,35720,4483745076,2840346740442,
qr,tsqrt,24576,512,23068672,1200000,1128,104324966,148742570784,
qr,geqrt,24576,512,23068672,2801000,48,3915163,4752661517,
qr,ormqr,24576,512,23068672,2801000,1128,49254907,57377996690,
qr,tsmqr,24576,512,23068672,2801000,35720,4444255848,2840346549865,
qr,tsqrt,24576,512,23068672,2801000,1128,103956948,148742517547,
qr,geqrt,28672,512,23068672,1200000,56,5017642,5544679024,
qr,ormqr,28672,512,23068672,1200000,1540,64603316,78335216758,
qr,tsmqr,28672,512,23068672,1200000,56980,6995614823,4530877678909,
qr,tsqrt,28672,512,23068672,1200000,1540,140128202,203070484916,
qr,geqrt,28672,512,23068672,2801000,56,4663844,5544722379,
qr,ormqr,28672,512,23068672,2801000,1540,67161709,78335208772,
qr,tsmqr,28672,512,23068672,2801000,56980,6936928377,4530876864450,
qr,tsqrt,28672,512,23068672,2801000,1540,139580512,203070444939,
