algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
qr,12288,512,32,1,geqrt,989185883,1030238451,132204592,99892705,7.461500
qr,12288,512,32,1,ormqr,989185883,1030238451,132204592,99892705,7.461500
qr,12288,512,32,1,tsmqr,989185883,1030238451,132204592,99892705,7.461500
qr,12288,512,32,1,tsqrt,989185883,1030238451,132204592,99892705,7.461500
qr,12288,512,32,2,geqrt,1030063220,1061138824,135156574,99407680,7.631700
qr,12288,512,32,2,ormqr,1030063220,1061138824,135156574,99407680,7.631700
qr,12288,512,32,2,tsmqr,1030063220,1061138824,135156574,99407680,7.631700
qr,12288,512,32,2,tsqrt,1030063220,1061138824,135156574,99407680,7.631700
qr,12288,512,32,3,geqrt,1029905933,1055548811,141637410,99545426,7.981300
qr,12288,512,32,3,ormqr,1029905933,1055548811,141637410,99545426,7.981300
qr,12288,512,32,3,tsmqr,1029905933,1055548811,141637410,99545426,7.981300
qr,12288,512,32,3,tsqrt,1029905933,1055548811,141637410,99545426,7.981300
qr,12288,512,32,4,geqrt,1011366368,1027989556,138025201,100949920,7.830300
qr,12288,512,32,4,ormqr,1011366368,1027989556,138025201,100949920,7.830300
qr,12288,512,32,4,tsmqr,1011366368,1027989556,138025201,100949920,7.830300
qr,12288,512,32,4,tsqrt,1011366368,1027989556,138025201,100949920,7.830300
qr,12288,512,32,5,geqrt,768198656,728851832,137169901,98235196,7.603300
qr,12288,512,32,5,ormqr,768198656,728851832,137169901,98235196,7.603300
qr,12288,512,32,5,tsmqr,768198656,728851832,137169901,98235196,7.603300
qr,12288,512,32,5,tsqrt,768198656,728851832,137169901,98235196,7.603300
qr,12288,512,32,6,geqrt,755082113,734200513,136422388,100491823,7.647900
qr,12288,512,32,6,ormqr,755082113,734200513,136422388,100491823,7.647900
qr,12288,512,32,6,tsmqr,755082113,734200513,136422388,100491823,7.647900
qr,12288,512,32,6,tsqrt,755082113,734200513,136422388,100491823,7.647900
qr,12288,512,32,7,geqrt,719355642,703021272,131183806,100723297,7.377300
