algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
qr,20480,512,32,1,geqrt,1493942403,1276178618,213043840,119996890,10.905100
qr,20480,512,32,1,ormqr,1493942403,1276178618,213043840,119996890,10.905100
qr,20480,512,32,1,tsmqr,1493942403,1276178618,213043840,119996890,10.905100
qr,20480,512,32,1,tsqrt,1493942403,1276178618,213043840,119996890,10.905100
qr,20480,512,32,2,geqrt,1620025272,1341897993,233234072,106465922,11.875500
qr,20480,512,32,2,ormqr,1620025272,1341897993,233234072,106465922,11.875500
qr,20480,512,32,2,tsmqr,1620025272,1341897993,233234072,106465922,11.875500
qr,20480,512,32,2,tsqrt,1620025272,1341897993,233234072,106465922,11.875500
qr,20480,512,32,3,geqrt,1498199595,1262320438,222634232,109874686,11.377300
qr,20480,512,32,3,ormqr,1498199595,1262320438,222634232,109874686,11.377300
qr,20480,512,32,3,tsmqr,1498199595,1262320438,222634232,109874686,11.377300
qr,20480,512,32,3,tsqrt,1498199595,1262320438,222634232,109874686,11.377300
qr,20480,512,32,4,geqrt,1404733282,1206646813,211701067,107224909,10.850500
qr,20480,512,32,4,ormqr,1404733282,1206646813,211701067,107224909,10.850500
qr,20480,512,32,4,tsmqr,1404733282,1206646813,211701067,107224909,10.850500
qr,20480,512,32,4,tsqrt,1404733282,1206646813,211701067,107224909,10.850500
qr,20480,512,32,5,geqrt,1192431335,963914952,203015822,95245758,10.414900
qr,20480,512,32,5,ormqr,1192431335,963914952,203015822,95245758,10.414900
qr,20480,512,32,5,tsmqr,1192431335,963914952,203015822,95245758,10.414900
qr,20480,512,32,5,tsqrt,1192431335,963914952,203015822,95245758,10.414900
qr,20480,512,32,6,geqrt,1223301739,980654106,212438679,81991629,10.862100
qr,20480,512,32,6,ormqr,1223301739,980654106,212438679,81991629,10.862100
qr,20480,512,32,6,tsmqr,1223301739,980654106,212438679,81991629,10.862100
qr,20480,512,32,6,tsqrt,1223301739,980654106,212438679,81991629,10.862100
qr,20480,512,32,7,geqrt,1063119471,830339549,184392050,98025876,9.522500
qr,20480,512,32,7,ormqr,1063119471,830339549,184392050,98025876,9.522500
qr,20480,512,32,7,tsmqr,1063119471,830339549,184392050,98025876,9.522500
qr,20480,512,32,7,tsqrt,1063119471,830339549,184392050,98025876,9.522500
qr,20480,512,32,8,geqrt,1296294778,1015992516,232565890,84148685,11.842700
qr,20480,512,32,8,ormqr,1296294778,1015992516,232565890,84148685,11.842700
qr,20480,512,32,8,tsmqr,1296294778,1015992516,232565890,84148685,11.842700
qr,20480,512,32,8,tsqrt,1296294778,1015992516,232565890,84148685,11.842700
qr,20480,512,32,9,geqrt,1452426153,1263468445,235487303,119114386,12.056900
qr,20480,512,32,9,ormqr,1452426153,1263468445,235487303,119114386,12.056900
qr,20480,512,32,9,tsmqr,1452426153,1263468445,235487303,119114386,12.056900
qr,20480,512,32,9,tsqrt,1452426153,1263468445,235487303,119114386,12.056900
qr,20480,512,32,10,geqrt,1530479663,1291726125,249912923,106116057,12.713800
qr,20480,512,32,10,ormqr,1530479663,1291726125,249912923,106116057,12.713800
qr,20480,512,32,10,tsmqr,1530479663,1291726125,249912923,106116057,12.713800
qr,20480,512,32,10,tsqrt,1530479663,1291726125,249912923,106116057,12.713800
qr,20480,512,32,11,geqrt,1508706404,1290752433,249560503,119367999,12.778400
qr,20480,512,32,11,ormqr,1508706404,1290752433,249560503,119367999,12.778400
qr,20480,512,32,11,tsmqr,1508706404,1290752433,249560503,119367999,12.778400
qr,20480,512,32,11,tsqrt,1508706404,1290752433,249560503,119367999,12.778400
qr,20480,512,32,12,geqrt,1372111172,1179415255,227567978,114276465,11.710200
qr,20480,512,32,12,ormqr,1372111172,1179415255,227567978,114276465,11.710200
qr,20480,512,32,12,tsmqr,1372111172,1179415255,227567978,114276465,11.710200
qr,20480,512,32,12,tsqrt,1372111172,1179415255,227567978,114276465,11.710200
qr,20480,512,32,13,geqrt,1117549995,908289728,205170751,93045772,10.516100
qr,20480,512,32,13,ormqr,1117549995,908289728,205170751,93045772,10.516100
qr,20480,512,32,13,tsmqr,1117549995,908289728,205170751,93045772,10.516100
qr,20480,512,32,13,tsqrt,1117549995,908289728,205170751,93045772,10.516100
qr,20480,512,32,14,geqrt,1174743392,943321804,217990177,91863495,11.191700
qr,20480,512,32,14,ormqr,1174743392,943321804,217990177,91863495,11.191700
qr,20480,512,32,14,tsmqr,1174743392,943321804,217990177,91863495,11.191700
qr,20480,512,32,14,tsqrt,1174743392,943321804,217990177,91863495,11.191700
qr,20480,512,32,15,geqrt,1015001064,807310433,192277854,93848302,9.861900
qr,20480,512,32,15,ormqr,1015001064,807310433,192277854,93848302,9.861900
qr,20480,512,32,15,tsmqr,1015001064,807310433,192277854,93848302,9.861900
qr,20480,512,32,15,tsqrt,1015001064,807310433,192277854,93848302,9.861900
qr,20480,512,32,16,geqrt,1263684143,994971574,240330809,115173228,12.309900
qr,20480,512,32,16,ormqr,1263684143,994971574,240330809,115173228,12.309900
qr,20480,512,32,16,tsmqr,1263684143,994971574,240330809,115173228,12.309900
qr,20480,512,32,16,tsqrt,1263684143,994971574,240330809,115173228,12.309900
