algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP
qr,geqrt,8192,512,23068672,1200000,16,1046717,1584603383,956681274,1614990031,1061687,1584603228,1213373,1584590350,1055267
qr,ormqr,8192,512,23068672,1200000,120,5568152,6104053360,1122383566,2753916804,5081788,6104052027,5355192,6104051880,5450772
qr,tsmqr,8192,512,23068672,1200000,1240,162308556,98601077264,8237630750,33684186172,163881434,98601069609,160854987,98601071831,164590591
qr,tsqrt,8192,512,23068672,1200000,120,10761336,15823673645,11641539315,18726526342,10657224,15823669234,10712898,15823671560,10765382
qr,geqrt,8192,512,23068672,2801000,16,1860677,1584603215,1177426375,1837777303,1244135,1584602864,1126565,1584590103,1079713
qr,ormqr,8192,512,23068672,2801000,120,5340992,6104052842,1457335007,3092027341,5086868,6104051228,5395890,6104051314,5627221
qr,tsmqr,8192,512,23068672,2801000,1240,160382001,98601065638,9586781170,35036113122,158614361,98601062746,158596638,98601060003,162030834
qr,tsqrt,8192,512,23068672,2801000,120,10643976,15823671169,15735582287,22813258349,10630532,15823668189,10646509,15823671851,10603571
qr,geqrt,12288,512,23068672,1200000,24,1638599,2376626591,1438249682,2425649740,1664926,2376608659,2003557,2376608116,1695774
qr,ormqr,12288,512,23068672,1200000,276,12871417,14039309997,2570061259,6321457982,12064367,14039306622,13686182,14039306693,12186858
qr,tsmqr,12288,512,23068672,1200000,4324,579460944,343831518767,28764386374,117503458552,556401752,343831440556,578344095,343831395838,557830122
qr,tsqrt,12288,512,23068672,1200000,276,25396685,36394465863,27084238704,43206094592,25282957,36394455065,25339020,36394457184,25926974
qr,geqrt,12288,512,23068672,2801000,24,1643350,2376627411,1772392351,2763023271,1602515,2376626427,1876563,2376626886,1671940
