algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
qr,geqrt,8192,512,23068672,1200000,16,1055267,
qr,ormqr,8192,512,23068672,1200000,120,5450772,
qr,tsmqr,8192,512,23068672,1200000,1240,164590591,
qr,tsqrt,8192,512,23068672,1200000,120,10765382,
qr,geqrt,8192,512,23068672,2801000,16,1079713,
qr,ormqr,8192,512,23068672,2801000,120,5627221,
qr,tsmqr,8192,512,23068672,2801000,1240,162030834,
qr,tsqrt,8192,512,23068672,2801000,120,10603571,
qr,geqrt,12288,512,23068672,1200000,24,1695774,
qr,ormqr,12288,512,23068672,1200000,276,12186858,
qr,tsmqr,12288,512,23068672,1200000,4324,557830122,
qr,tsqrt,12288,512,23068672,1200000,276,25926974,
qr,geqrt,12288,512,23068672,2801000,24,1671940,
qr,ormqr,12288,512,23068672,2801000,276,11773082,
qr,tsmqr,12288,512,23068672,2801000,4324,549602265,
qr,tsqrt,12288,512,23068672,2801000,276,25530513,
qr,geqrt,16384,512,23068672,1200000,32,2779123,
qr,ormqr,16384,512,23068672,1200000,496,21333339,
qr,tsmqr,16384,512,23068672,1200000,10416,1343726081,
qr,tsqrt,16384,512,23068672,1200000,496,46406755,
qr,geqrt,16384,512,23068672,2801000,32,2480627,
qr,ormqr,16384,512,23068672,2801000,496,22155763,
qr,tsmqr,16384,512,23068672,2801000,10416,1333172261,
qr,tsqrt,16384,512,23068672,2801000,496,45258173,
qr,geqrt,20480,512,23068672,1200000,40,2881614,
qr,ormqr,20480,512,23068672,1200000,780,34463973,
qr,tsmqr,20480,512,23068672,1200000,20540,2591968112,
qr,tsqrt,20480,512,23068672,1200000,780,72088414,
qr,geqrt,20480,512,23068672,2801000,40,2832859,
qr,ormqr,20480,512,23068672,2801000,780,33622297,
qr,tsmqr,20480,512,23068672,2801000,20540,2562054081,
qr,tsqrt,20480,512,23068672,2801000,780,71667292,
qr,geqrt,24576,512,23068672,1200000,48,3819834,
qr,ormqr,24576,512,23068672,1200000,1128,49075701,
qr,tsmqr,24576,512,23068672,1200000,35720,4584861285,
qr,tsqrt,24576,512,23068672,1200000,1128,106895243,
qr,geqrt,24576,512,23068672,2801000,48,3517091,
qr,ormqr,24576,512,23068672,2801000,1128,48530999,
qr,tsmqr,24576,512,23068672,2801000,35720,4452291404,
qr,tsqrt,24576,512,23068672,2801000,1128,100714424,
qr,geqrt,28672,512,23068672,1200000,56,4114387,
qr,ormqr,28672,512,23068672,1200000,1540,64178622,
qr,tsmqr,28672,512,23068672,1200000,56980,7004771607,
qr,tsqrt,28672,512,23068672,1200000,1540,143346857,
qr,geqrt,28672,512,23068672,2801000,56,3770809,
qr,ormqr,28672,512,23068672,2801000,1540,66033626,
qr,tsmqr,28672,512,23068672,2801000,56980,6930939995,
qr,tsqrt,28672,512,23068672,2801000,1540,144216919,
