algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCR,PAPI_L3_TCW,
qr,geqrt,8192,512,23068672,1200000,16,1075154,1584602856,
qr,ormqr,8192,512,23068672,1200000,120,5234128,6104052080,
qr,tsmqr,8192,512,23068672,1200000,1240,162742265,98601072058,
qr,tsqrt,8192,512,23068672,1200000,120,10794971,15823668216,
qr,geqrt,8192,512,23068672,2801000,16,1342236,1584602775,
qr,ormqr,8192,512,23068672,2801000,120,6149903,6104051516,
qr,tsmqr,8192,512,23068672,2801000,1240,161621311,98601065269,
qr,tsqrt,8192,512,23068672,2801000,120,10640031,15823670902,
qr,geqrt,12288,512,23068672,1200000,24,1788178,2376627806,
qr,ormqr,12288,512,23068672,1200000,276,12391673,14039306798,
qr,tsmqr,12288,512,23068672,1200000,4324,569068830,343831461111,
qr,tsqrt,12288,512,23068672,1200000,276,25448283,36394449256,
qr,geqrt,12288,512,23068672,2801000,24,2762289,2376627452,
qr,ormqr,12288,512,23068672,2801000,276,12557645,14039302634,
qr,tsmqr,12288,512,23068672,2801000,4324,565445903,343831432930,
qr,tsqrt,12288,512,23068672,2801000,276,25092846,36394445562,
qr,geqrt,16384,512,23068672,1200000,32,2213751,3168652387,
qr,ormqr,16384,512,23068672,1200000,496,21230102,25230050516,
qr,tsmqr,16384,512,23068672,1200000,10416,1339103372,828248967153,
qr,tsqrt,16384,512,23068672,1200000,496,45131829,65404533264,
qr,geqrt,16384,512,23068672,2801000,32,2190027,3168651430,
qr,ormqr,16384,512,23068672,2801000,496,22048862,25230048709,
qr,tsmqr,16384,512,23068672,2801000,10416,1318174494,828248890201,
qr,tsqrt,16384,512,23068672,2801000,496,45078926,65404529701,
qr,geqrt,20480,512,23068672,1200000,40,2828498,3960642983,
qr,ormqr,20480,512,23068672,1200000,780,33665470,39676281907,
qr,tsmqr,20480,512,23068672,1200000,20540,2602526278,1633278919807,
qr,tsqrt,20480,512,23068672,1200000,780,71695847,102853876043,
qr,geqrt,20480,512,23068672,2801000,40,2790807,3960673506,
qr,ormqr,20480,512,23068672,2801000,780,34600429,39676277646,
qr,tsmqr,20480,512,23068672,2801000,20540,2569010147,1633278752674,
qr,tsqrt,20480,512,23068672,2801000,780,72042889,102853858904,
qr,geqrt,24576,512,23068672,1200000,48,3456463,4752699753,
qr,ormqr,24576,512,23068672,1200000,1128,48158619,57378005299,
qr,tsmqr,24576,512,23068672,1200000,35720,4465592966,2840346837301,
qr,tsqrt,24576,512,23068672,1200000,1128,103014526,148742545913,
qr,geqrt,24576,512,23068672,2801000,48,4340853,4752662146,
qr,ormqr,24576,512,23068672,2801000,1128,49661727,57377999554,
qr,tsmqr,24576,512,23068672,2801000,35720,4595268341,2840346433430,
qr,tsqrt,24576,512,23068672,2801000,1128,104080770,148742576562,
qr,geqrt,28672,512,23068672,1200000,56,4052482,5544679822,
qr,ormqr,28672,512,23068672,1200000,1540,65807619,78335215964,
qr,tsmqr,28672,512,23068672,1200000,56980,7103537985,4530877911113,
qr,tsqrt,28672,512,23068672,1200000,1540,139479573,203070468313,
qr,geqrt,28672,512,23068672,2801000,56,4921814,5544679995,
qr,ormqr,28672,512,23068672,2801000,1540,67568505,78335209913,
qr,tsmqr,28672,512,23068672,2801000,56980,7014881209,4530877646745,
qr,tsqrt,28672,512,23068672,2801000,1540,142906882,203070458252,
