algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
qr,20480,512,32,1,geqrt,807819404,867861365,119412002,109916149,6.265700
qr,20480,512,32,1,ormqr,807819404,867861365,119412002,109916149,6.265700
qr,20480,512,32,1,tsmqr,807819404,867861365,119412002,109916149,6.265700
qr,20480,512,32,1,tsqrt,807819404,867861365,119412002,109916149,6.265700
qr,20480,512,32,2,geqrt,1164856392,1189185738,180453280,133727018,9.295000
qr,20480,512,32,2,ormqr,1164856392,1189185738,180453280,133727018,9.295000
qr,20480,512,32,2,tsmqr,1164856392,1189185738,180453280,133727018,9.295000
qr,20480,512,32,2,tsqrt,1164856392,1189185738,180453280,133727018,9.295000
qr,20480,512,32,3,geqrt,719966419,773105320,110321889,101868563,5.842800
qr,20480,512,32,3,ormqr,719966419,773105320,110321889,101868563,5.842800
qr,20480,512,32,3,tsmqr,719966419,773105320,110321889,101868563,5.842800
qr,20480,512,32,3,tsqrt,719966419,773105320,110321889,101868563,5.842800
qr,20480,512,32,4,geqrt,1072791627,1157294705,168942141,144709726,8.833000
qr,20480,512,32,4,ormqr,1072791627,1157294705,168942141,144709726,8.833000
qr,20480,512,32,4,tsmqr,1072791627,1157294705,168942141,144709726,8.833000
qr,20480,512,32,4,tsqrt,1072791627,1157294705,168942141,144709726,8.833000
qr,20480,512,32,5,geqrt,694972097,685035111,120376024,110862101,6.333800
qr,20480,512,32,5,ormqr,694972097,685035111,120376024,110862101,6.333800
qr,20480,512,32,5,tsmqr,694972097,685035111,120376024,110862101,6.333800
qr,20480,512,32,5,tsqrt,694972097,685035111,120376024,110862101,6.333800
qr,20480,512,32,6,geqrt,832176763,815483325,148893908,130922467,7.821200
qr,20480,512,32,6,ormqr,832176763,815483325,148893908,130922467,7.821200
qr,20480,512,32,6,tsmqr,832176763,815483325,148893908,130922467,7.821200
qr,20480,512,32,6,tsqrt,832176763,815483325,148893908,130922467,7.821200
qr,20480,512,32,7,geqrt,491997520,498294989,83105499,91716247,4.785800
qr,20480,512,32,7,ormqr,491997520,498294989,83105499,91716247,4.785800
qr,20480,512,32,7,tsmqr,491997520,498294989,83105499,91716247,4.785800
qr,20480,512,32,7,tsqrt,491997520,498294989,83105499,91716247,4.785800
qr,20480,512,32,8,geqrt,603252728,594037176,109846044,100643461,5.885400
qr,20480,512,32,8,ormqr,603252728,594037176,109846044,100643461,5.885400
qr,20480,512,32,8,tsmqr,603252728,594037176,109846044,100643461,5.885400
qr,20480,512,32,8,tsqrt,603252728,594037176,109846044,100643461,5.885400
qr,20480,512,32,9,geqrt,882835569,954351316,145792598,131558641,7.587000
qr,20480,512,32,9,ormqr,882835569,954351316,145792598,131558641,7.587000
qr,20480,512,32,9,tsmqr,882835569,954351316,145792598,131558641,7.587000
qr,20480,512,32,9,tsqrt,882835569,954351316,145792598,131558641,7.587000
qr,20480,512,32,10,geqrt,1062710109,1122929010,182167752,143719188,9.390700
qr,20480,512,32,10,ormqr,1062710109,1122929010,182167752,143719188,9.390700
qr,20480,512,32,10,tsmqr,1062710109,1122929010,182167752,143719188,9.390700
qr,20480,512,32,10,tsqrt,1062710109,1122929010,182167752,143719188,9.390700
qr,20480,512,32,11,geqrt,788230709,816696457,125012444,126254743,6.738700
qr,20480,512,32,11,ormqr,788230709,816696457,125012444,126254743,6.738700
qr,20480,512,32,11,tsmqr,788230709,816696457,125012444,126254743,6.738700
qr,20480,512,32,11,tsqrt,788230709,816696457,125012444,126254743,6.738700
qr,20480,512,32,12,geqrt,890267191,943773401,148406573,135983294,7.808900
qr,20480,512,32,12,ormqr,890267191,943773401,148406573,135983294,7.808900
qr,20480,512,32,12,tsmqr,890267191,943773401,148406573,135983294,7.808900
qr,20480,512,32,12,tsqrt,890267191,943773401,148406573,135983294,7.808900
qr,20480,512,32,13,geqrt,561461636,572402832,95695058,105180600,5.445400
qr,20480,512,32,13,ormqr,561461636,572402832,95695058,105180600,5.445400
qr,20480,512,32,13,tsmqr,561461636,572402832,95695058,105180600,5.445400
qr,20480,512,32,13,tsqrt,561461636,572402832,95695058,105180600,5.445400
qr,20480,512,32,14,geqrt,575089776,569374458,105392934,100222466,5.638200
qr,20480,512,32,14,ormqr,575089776,569374458,105392934,100222466,5.638200
qr,20480,512,32,14,tsmqr,575089776,569374458,105392934,100222466,5.638200
qr,20480,512,32,14,tsqrt,575089776,569374458,105392934,100222466,5.638200
qr,20480,512,32,15,geqrt,521479072,532588786,91740682,104522623,5.390100
qr,20480,512,32,15,ormqr,521479072,532588786,91740682,104522623,5.390100
qr,20480,512,32,15,tsmqr,521479072,532588786,91740682,104522623,5.390100
qr,20480,512,32,15,tsqrt,521479072,532588786,91740682,104522623,5.390100
qr,20480,512,32,16,geqrt,596727598,593433722,114679146,108427382,6.200900
qr,20480,512,32,16,ormqr,596727598,593433722,114679146,108427382,6.200900
qr,20480,512,32,16,tsmqr,596727598,593433722,114679146,108427382,6.200900
qr,20480,512,32,16,tsqrt,596727598,593433722,114679146,108427382,6.200900
qr,20480,1024,32,1,geqrt,475999575,663093762,96123076,55974728,5.228800
qr,20480,1024,32,1,ormqr,475999575,663093762,96123076,55974728,5.228800
qr,20480,1024,32,1,tsmqr,475999575,663093762,96123076,55974728,5.228800
qr,20480,1024,32,1,tsqrt,475999575,663093762,96123076,55974728,5.228800
qr,20480,1024,32,2,geqrt,545231392,500269533,86045839,49695088,4.695500
qr,20480,1024,32,2,ormqr,545231392,500269533,86045839,49695088,4.695500
qr,20480,1024,32,2,tsmqr,545231392,500269533,86045839,49695088,4.695500
qr,20480,1024,32,2,tsqrt,545231392,500269533,86045839,49695088,4.695500
qr,20480,1024,32,3,geqrt,528075980,469269124,88315333,49929485,4.872000
qr,20480,1024,32,3,ormqr,528075980,469269124,88315333,49929485,4.872000
qr,20480,1024,32,3,tsmqr,528075980,469269124,88315333,49929485,4.872000
qr,20480,1024,32,3,tsqrt,528075980,469269124,88315333,49929485,4.872000
qr,20480,1024,32,4,geqrt,982869066,951856938,193153488,112107736,10.196500
qr,20480,1024,32,4,ormqr,982869066,951856938,193153488,112107736,10.196500
qr,20480,1024,32,4,tsmqr,982869066,951856938,193153488,112107736,10.196500
qr,20480,1024,32,4,tsqrt,982869066,951856938,193153488,112107736,10.196500
qr,20480,1024,32,5,geqrt,583989655,651143108,91203300,52943876,5.095700
qr,20480,1024,32,5,ormqr,583989655,651143108,91203300,52943876,5.095700
qr,20480,1024,32,5,tsmqr,583989655,651143108,91203300,52943876,5.095700
qr,20480,1024,32,5,tsqrt,583989655,651143108,91203300,52943876,5.095700
qr,20480,1024,32,6,geqrt,407651056,432052788,70129754,34029816,3.702600
qr,20480,1024,32,6,ormqr,407651056,432052788,70129754,34029816,3.702600
qr,20480,1024,32,6,tsmqr,407651056,432052788,70129754,34029816,3.702600
qr,20480,1024,32,6,tsqrt,407651056,432052788,70129754,34029816,3.702600
qr,20480,1024,32,7,geqrt,439662754,362053699,74288782,40511631,4.034200
qr,20480,1024,32,7,ormqr,439662754,362053699,74288782,40511631,4.034200
qr,20480,1024,32,7,tsmqr,439662754,362053699,74288782,40511631,4.034200
qr,20480,1024,32,7,tsqrt,439662754,362053699,74288782,40511631,4.034200
qr,20480,1024,32,8,geqrt,341438334,343122840,79757401,43399353,4.266500
qr,20480,1024,32,8,ormqr,341438334,343122840,79757401,43399353,4.266500
qr,20480,1024,32,8,tsmqr,341438334,343122840,79757401,43399353,4.266500
qr,20480,1024,32,8,tsqrt,341438334,343122840,79757401,43399353,4.266500
qr,20480,1024,32,9,geqrt,379863834,519087050,81906148,45299827,4.423600
qr,20480,1024,32,9,ormqr,379863834,519087050,81906148,45299827,4.423600
qr,20480,1024,32,9,tsmqr,379863834,519087050,81906148,45299827,4.423600
qr,20480,1024,32,9,tsqrt,379863834,519087050,81906148,45299827,4.423600
qr,20480,1024,32,10,geqrt,905504457,775835904,149713315,87723667,7.983300
qr,20480,1024,32,10,ormqr,905504457,775835904,149713315,87723667,7.983300
qr,20480,1024,32,10,tsmqr,905504457,775835904,149713315,87723667,7.983300
qr,20480,1024,32,10,tsqrt,905504457,775835904,149713315,87723667,7.983300
qr,20480,1024,32,11,geqrt,955095212,842911599,188438212,108819506,10.188900
qr,20480,1024,32,11,ormqr,955095212,842911599,188438212,108819506,10.188900
qr,20480,1024,32,11,tsmqr,955095212,842911599,188438212,108819506,10.188900
qr,20480,1024,32,11,tsqrt,955095212,842911599,188438212,108819506,10.188900
qr,20480,1024,32,12,geqrt,409392567,352934765,85495206,46588470,4.693200
qr,20480,1024,32,12,ormqr,409392567,352934765,85495206,46588470,4.693200
qr,20480,1024,32,12,tsmqr,409392567,352934765,85495206,46588470,4.693200
qr,20480,1024,32,12,tsqrt,409392567,352934765,85495206,46588470,4.693200
qr,20480,1024,32,13,geqrt,383056575,582358128,82016170,44371851,4.596300
qr,20480,1024,32,13,ormqr,383056575,582358128,82016170,44371851,4.596300
qr,20480,1024,32,13,tsmqr,383056575,582358128,82016170,44371851,4.596300
qr,20480,1024,32,13,tsqrt,383056575,582358128,82016170,44371851,4.596300
qr,20480,1024,32,14,geqrt,552297170,545089974,92991457,53640867,5.172700
qr,20480,1024,32,14,ormqr,552297170,545089974,92991457,53640867,5.172700
qr,20480,1024,32,14,tsmqr,552297170,545089974,92991457,53640867,5.172700
qr,20480,1024,32,14,tsqrt,552297170,545089974,92991457,53640867,5.172700
qr,20480,1024,32,15,geqrt,397176108,401586924,72807391,41480932,3.896200
qr,20480,1024,32,15,ormqr,397176108,401586924,72807391,41480932,3.896200
qr,20480,1024,32,15,tsmqr,397176108,401586924,72807391,41480932,3.896200
qr,20480,1024,32,15,tsqrt,397176108,401586924,72807391,41480932,3.896200
qr,20480,1024,32,16,geqrt,790558157,701872348,184724673,99139502,9.783700
qr,20480,1024,32,16,ormqr,790558157,701872348,184724673,99139502,9.783700
qr,20480,1024,32,16,tsmqr,790558157,701872348,184724673,99139502,9.783700
qr,20480,1024,32,16,tsqrt,790558157,701872348,184724673,99139502,9.783700
qr,20480,2048,32,1,geqrt,1750298070,1911798207,368087354,227640499,19.279300
qr,20480,2048,32,1,ormqr,1750298070,1911798207,368087354,227640499,19.279300
qr,20480,2048,32,1,tsmqr,1750298070,1911798207,368087354,227640499,19.279300
qr,20480,2048,32,1,tsqrt,1750298070,1911798207,368087354,227640499,19.279300
qr,20480,2048,32,2,geqrt,2361873958,2122469542,365029083,228027023,19.178400
qr,20480,2048,32,2,ormqr,2361873958,2122469542,365029083,228027023,19.178400
qr,20480,2048,32,2,tsmqr,2361873958,2122469542,365029083,228027023,19.178400
qr,20480,2048,32,2,tsqrt,2361873958,2122469542,365029083,228027023,19.178400
qr,20480,2048,32,3,geqrt,2159963159,2180836642,373029775,235104956,19.775700
qr,20480,2048,32,3,ormqr,2159963159,2180836642,373029775,235104956,19.775700
qr,20480,2048,32,3,tsmqr,2159963159,2180836642,373029775,235104956,19.775700
qr,20480,2048,32,3,tsqrt,2159963159,2180836642,373029775,235104956,19.775700
qr,20480,2048,32,4,geqrt,1659413781,1429717593,345280286,216538543,18.227100
qr,20480,2048,32,4,ormqr,1659413781,1429717593,345280286,216538543,18.227100
qr,20480,2048,32,4,tsmqr,1659413781,1429717593,345280286,216538543,18.227100
qr,20480,2048,32,4,tsqrt,1659413781,1429717593,345280286,216538543,18.227100
qr,20480,2048,32,5,geqrt,1689138620,2277582671,354686619,227107187,18.461000
qr,20480,2048,32,5,ormqr,1689138620,2277582671,354686619,227107187,18.461000
qr,20480,2048,32,5,tsmqr,1689138620,2277582671,354686619,227107187,18.461000
qr,20480,2048,32,5,tsqrt,1689138620,2277582671,354686619,227107187,18.461000
qr,20480,2048,32,6,geqrt,6012474293,5019501127,920491941,625139349,48.225500
qr,20480,2048,32,6,ormqr,6012474293,5019501127,920491941,625139349,48.225500
qr,20480,2048,32,6,tsmqr,6012474293,5019501127,920491941,625139349,48.225500
qr,20480,2048,32,6,tsqrt,6012474293,5019501127,920491941,625139349,48.225500
qr,20480,2048,32,7,geqrt,3767181640,3777569736,792327039,492660704,41.095200
qr,20480,2048,32,7,ormqr,3767181640,3777569736,792327039,492660704,41.095200
qr,20480,2048,32,7,tsmqr,3767181640,3777569736,792327039,492660704,41.095200
qr,20480,2048,32,7,tsqrt,3767181640,3777569736,792327039,492660704,41.095200
qr,20480,2048,32,8,geqrt,1858888613,1765412229,399957652,255540616,21.003300
qr,20480,2048,32,8,ormqr,1858888613,1765412229,399957652,255540616,21.003300
qr,20480,2048,32,8,tsmqr,1858888613,1765412229,399957652,255540616,21.003300
qr,20480,2048,32,8,tsqrt,1858888613,1765412229,399957652,255540616,21.003300
qr,20480,2048,32,9,geqrt,1639988966,1948519670,347164237,212090619,18.224600
qr,20480,2048,32,9,ormqr,1639988966,1948519670,347164237,212090619,18.224600
qr,20480,2048,32,9,tsmqr,1639988966,1948519670,347164237,212090619,18.224600
qr,20480,2048,32,9,tsqrt,1639988966,1948519670,347164237,212090619,18.224600
qr,20480,2048,32,10,geqrt,2126965014,2044231034,365491098,232573602,19.306000
qr,20480,2048,32,10,ormqr,2126965014,2044231034,365491098,232573602,19.306000
qr,20480,2048,32,10,tsmqr,2126965014,2044231034,365491098,232573602,19.306000
qr,20480,2048,32,10,tsqrt,2126965014,2044231034,365491098,232573602,19.306000
qr,20480,2048,32,11,geqrt,1898879355,2132569370,357249752,226503220,18.767600
qr,20480,2048,32,11,ormqr,1898879355,2132569370,357249752,226503220,18.767600
qr,20480,2048,32,11,tsmqr,1898879355,2132569370,357249752,226503220,18.767600
qr,20480,2048,32,11,tsqrt,1898879355,2132569370,357249752,226503220,18.767600
qr,20480,2048,32,12,geqrt,1597884154,1430668884,373536985,237429883,19.878600
qr,20480,2048,32,12,ormqr,1597884154,1430668884,373536985,237429883,19.878600
qr,20480,2048,32,12,tsmqr,1597884154,1430668884,373536985,237429883,19.878600
qr,20480,2048,32,12,tsqrt,1597884154,1430668884,373536985,237429883,19.878600
qr,20480,2048,32,13,geqrt,1655807956,2081719586,364381434,239201715,19.600600
qr,20480,2048,32,13,ormqr,1655807956,2081719586,364381434,239201715,19.600600
qr,20480,2048,32,13,tsmqr,1655807956,2081719586,364381434,239201715,19.600600
qr,20480,2048,32,13,tsqrt,1655807956,2081719586,364381434,239201715,19.600600
qr,20480,2048,32,14,geqrt,2070032481,1896404935,340360970,210005811,17.737400
qr,20480,2048,32,14,ormqr,2070032481,1896404935,340360970,210005811,17.737400
qr,20480,2048,32,14,tsmqr,2070032481,1896404935,340360970,210005811,17.737400
qr,20480,2048,32,14,tsqrt,2070032481,1896404935,340360970,210005811,17.737400
qr,20480,2048,32,15,geqrt,2100897759,2195205989,350113266,226301841,18.632200
qr,20480,2048,32,15,ormqr,2100897759,2195205989,350113266,226301841,18.632200
qr,20480,2048,32,15,tsmqr,2100897759,2195205989,350113266,226301841,18.632200
qr,20480,2048,32,15,tsqrt,2100897759,2195205989,350113266,226301841,18.632200
qr,20480,2048,32,16,geqrt,1431120849,1285454961,335018714,213226415,17.936700
qr,20480,2048,32,16,ormqr,1431120849,1285454961,335018714,213226415,17.936700
qr,20480,2048,32,16,tsmqr,1431120849,1285454961,335018714,213226415,17.936700
qr,20480,2048,32,16,tsqrt,1431120849,1285454961,335018714,213226415,17.936700
