algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
cholesky,potrf,8192,512,20185088,1000000,16,852065,267298448,98829336,23108039,
cholesky,trsm,8192,512,20185088,1000000,120,6950793,4826046842,2032335502,669769221,
cholesky,syrk,8192,512,20185088,1000000,120,12455443,2121783845,728040327,175716370,
cholesky,gemm,8192,512,20185088,1000000,560,56950268,17538811167,5540320116,1048824289,
cholesky,potrf,8192,512,20185088,2601000,16,831923,267298068,105643076,29539250,
cholesky,trsm,8192,512,20185088,2601000,120,6861216,4826045837,2091894991,728641776,
cholesky,syrk,8192,512,20185088,2601000,120,12427902,2121783263,797265806,244099697,
cholesky,gemm,8192,512,20185088,2601000,560,56587837,17538808488,5758093987,1264613172,
cholesky,potrf,8192,1024,20185088,1000000,8,1739589,736205347,276509442,72658373,
cholesky,trsm,8192,1024,20185088,1000000,28,9730682,6253275226,2474427869,751145984,
cholesky,syrk,8192,1024,20185088,1000000,28,13631918,3650874499,1162681265,225870553,
cholesky,gemm,8192,1024,20185088,1000000,56,40706831,13685531690,4168337941,682062300,
cholesky,potrf,8192,1024,20185088,2601000,8,1687466,736205202,289507381,85729785,
cholesky,trsm,8192,1024,20185088,2601000,28,9523965,6253274770,2532485542,810397563,
cholesky,syrk,8192,1024,20185088,2601000,28,13387754,3650874396,1243396218,305979405,
cholesky,gemm,8192,1024,20185088,2601000,56,40123565,13685533968,4328548858,840796248,
cholesky,potrf,8192,2048,20185088,1000000,4,4473993,2193115737,832345159,234220288,
cholesky,trsm,8192,2048,20185088,1000000,6,20679484,8253707568,2994463276,785498370,
cholesky,syrk,8192,2048,20185088,1000000,6,21574043,5997669480,1836929804,314681324,
cholesky,gemm,8192,2048,20185088,1000000,4,27764572,7729465507,2299843461,346156713,
cholesky,potrf,8192,2048,20185088,2601000,4,4475821,2193115580,868925180,270260639,
cholesky,trsm,8192,2048,20185088,2601000,6,20024864,8253706753,3087852169,876899065,
cholesky,syrk,8192,2048,20185088,2601000,6,21110502,5997669004,1949603562,424565280,
cholesky,gemm,8192,2048,20185088,2601000,4,27567838,7729465015,2378997547,421470276,
cholesky,potrf,12288,512,20185088,1000000,24,1355312,400937574,147409338,33935567,
cholesky,trsm,12288,512,20185088,1000000,276,16178276,11099906948,4690050140,1552981997,
cholesky,syrk,12288,512,20185088,1000000,276,29691724,4880102512,1677107128,406866712,
cholesky,gemm,12288,512,20185088,1000000,2024,216341566,63390275747,20038584823,3806264458,
cholesky,potrf,12288,512,20185088,2601000,24,1334275,400937529,158421988,44075940,
cholesky,trsm,12288,512,20185088,2601000,276,15883277,11099905388,4809008239,1668257769,
cholesky,syrk,12288,512,20185088,2601000,276,28871112,4880101406,1837195018,565091930,
cholesky,gemm,12288,512,20185088,2601000,2024,214330978,63390266576,20857898607,4622564207,
cholesky,potrf,12288,1024,20185088,1000000,12,2740022,1104297788,414679224,109399386,
cholesky,trsm,12288,1024,20185088,1000000,66,23764383,14739862431,5832703330,1771204933,
cholesky,syrk,12288,1024,20185088,1000000,66,33153253,8605632725,2742880309,534449610,
cholesky,gemm,12288,1024,20185088,1000000,220,161802713,53764599980,16376858141,2679446688,
cholesky,potrf,12288,1024,20185088,2601000,12,2909990,1104297545,436250533,130661029,
cholesky,trsm,12288,1024,20185088,2601000,66,22014048,14739861146,5962145418,1903725491,
cholesky,syrk,12288,1024,20185088,2601000,66,33353685,8605632190,2929172336,719631764,
cholesky,gemm,12288,1024,20185088,2601000,220,153864695,53764595416,16979435710,3279228138,
cholesky,potrf,12288,2048,20185088,1000000,6,7102984,3289662866,1251486716,352411300,
cholesky,trsm,12288,2048,20185088,1000000,15,50758321,20634268723,7495979591,1971610818,
cholesky,syrk,12288,2048,20185088,1000000,15,54100146,14994173467,4596264498,789128611,
cholesky,gemm,12288,2048,20185088,1000000,20,139284493,38647324744,11503571107,1731985656,
cholesky,potrf,12288,2048,20185088,2601000,6,7017046,3289662617,1299662075,402309803,
cholesky,trsm,12288,2048,20185088,2601000,15,49565878,20634266973,7715403056,2185947278,
cholesky,syrk,12288,2048,20185088,2601000,15,52881880,14994172662,4871130474,1057885855,
cholesky,gemm,12288,2048,20185088,2601000,20,137188807,38647322059,11898757604,2109992528,
cholesky,potrf,16384,512,20185088,1000000,32,1876644,534576687,196772339,45405396,
cholesky,trsm,16384,512,20185088,1000000,496,29950793,19947657666,8415565562,2769962309,
cholesky,syrk,16384,512,20185088,1000000,496,54641929,8770037144,3017413751,734222565,
cholesky,gemm,16384,512,20185088,1000000,4960,539699831,155343749356,49123333873,9342956702,
cholesky,potrf,16384,512,20185088,2601000,32,1802951,534576598,211674291,59812599,
cholesky,trsm,16384,512,20185088,2601000,496,28455745,19947654225,8622334873,2995097372,
cholesky,syrk,16384,512,20185088,2601000,496,53356466,8770035389,3304750116,1019226946,
cholesky,gemm,16384,512,20185088,2601000,4960,537630046,155343716776,51153944920,11368734356,
cholesky,potrf,16384,1024,20185088,1000000,16,3920563,1472390104,554477638,147333808,
cholesky,trsm,16384,1024,20185088,1000000,120,41301104,26799749992,10600001191,3216015478,
cholesky,syrk,16384,1024,20185088,1000000,120,61803292,15646605149,4985996772,971380288,
cholesky,gemm,16384,1024,20185088,1000000,560,402170783,136855340002,41695956435,6833324849,
cholesky,potrf,16384,1024,20185088,2601000,16,3699563,1472386274,583205012,171197273,
cholesky,trsm,16384,1024,20185088,2601000,120,42063805,26799747481,10923863344,3479455640,
cholesky,syrk,16384,1024,20185088,2601000,120,59789124,15646603658,5331337835,1313154501,
cholesky,gemm,16384,1024,20185088,2601000,560,400477330,136855331590,43260464048,8382877347,
cholesky,potrf,16384,2048,20185088,1000000,8,9880057,4386207815,1669031389,470275152,
cholesky,trsm,16384,2048,20185088,1000000,28,95209794,38517301291,14011408938,3669209427,
