algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L2_TCR,PAPI_L2_TCW,
cholesky,potrf,8192,512,20185088,1000000,16,6166211,1772122,
cholesky,trsm,8192,512,20185088,1000000,120,238987467,18014106,
cholesky,syrk,8192,512,20185088,1000000,120,24560752,17641290,
cholesky,gemm,8192,512,20185088,1000000,560,150424841,99237640,
cholesky,potrf,8192,512,20185088,2601000,16,6092585,1715196,
cholesky,trsm,8192,512,20185088,2601000,120,237712450,15783750,
cholesky,syrk,8192,512,20185088,2601000,120,24248964,16594215,
cholesky,gemm,8192,512,20185088,2601000,560,151120314,98327346,
cholesky,potrf,8192,1024,20185088,1000000,8,21931589,3106168,
cholesky,trsm,8192,1024,20185088,1000000,28,249214459,19487742,
cholesky,syrk,8192,1024,20185088,1000000,28,22691551,16874408,
cholesky,gemm,8192,1024,20185088,1000000,56,61011835,44637612,
cholesky,potrf,8192,1024,20185088,2601000,8,21715276,2689671,
cholesky,trsm,8192,1024,20185088,2601000,28,249017330,17291266,
cholesky,syrk,8192,1024,20185088,2601000,28,22336610,15334430,
cholesky,gemm,8192,1024,20185088,2601000,56,61957333,43722496,
cholesky,potrf,8192,2048,20185088,1000000,4,70344375,7200852,
cholesky,trsm,8192,2048,20185088,1000000,6,230642891,19518568,
cholesky,syrk,8192,2048,20185088,1000000,6,29817927,18174614,
cholesky,gemm,8192,2048,20185088,1000000,4,32100146,17650006,
cholesky,potrf,8192,2048,20185088,2601000,4,70216645,6723320,
cholesky,trsm,8192,2048,20185088,2601000,6,232017724,18111442,
cholesky,syrk,8192,2048,20185088,2601000,6,30861541,17217976,
cholesky,gemm,8192,2048,20185088,2601000,4,35870049,17511850,
cholesky,potrf,12288,512,20185088,1000000,24,9282756,2667244,
cholesky,trsm,12288,512,20185088,1000000,276,549722215,39667196,
cholesky,syrk,12288,512,20185088,1000000,276,56189172,40581030,
cholesky,gemm,12288,512,20185088,1000000,2024,543721057,358484572,
cholesky,potrf,12288,512,20185088,2601000,24,9147403,2588646,
cholesky,trsm,12288,512,20185088,2601000,276,547392224,34939056,
cholesky,syrk,12288,512,20185088,2601000,276,55690267,38388217,
cholesky,gemm,12288,512,20185088,2601000,2024,544348788,355599568,
cholesky,potrf,12288,1024,20185088,1000000,12,32744279,4612130,
cholesky,trsm,12288,1024,20185088,1000000,66,587687639,45164408,
cholesky,syrk,12288,1024,20185088,1000000,66,53448066,39718795,
cholesky,gemm,12288,1024,20185088,1000000,220,239079751,174783394,
cholesky,potrf,12288,1024,20185088,2601000,12,32677479,4108530,
cholesky,trsm,12288,1024,20185088,2601000,66,586548272,39141984,
cholesky,syrk,12288,1024,20185088,2601000,66,52437229,36309749,
cholesky,gemm,12288,1024,20185088,2601000,220,241267213,171415184,
cholesky,potrf,12288,2048,20185088,1000000,6,105515295,10765464,
cholesky,trsm,12288,2048,20185088,1000000,15,575350665,49113370,
cholesky,syrk,12288,2048,20185088,1000000,15,74721224,45562380,
cholesky,gemm,12288,2048,20185088,1000000,20,160652040,88743101,
cholesky,potrf,12288,2048,20185088,2601000,6,105501876,10126234,
cholesky,trsm,12288,2048,20185088,2601000,15,580526213,46225718,
cholesky,syrk,12288,2048,20185088,2601000,15,77524113,43076954,
cholesky,gemm,12288,2048,20185088,2601000,20,180336557,87432432,
cholesky,potrf,16384,512,20185088,1000000,32,12301176,3566054,
cholesky,trsm,16384,512,20185088,1000000,496,986995850,73122738,
cholesky,syrk,16384,512,20185088,1000000,496,101559186,72749682,
cholesky,gemm,16384,512,20185088,1000000,4960,1332489419,878325730,
cholesky,potrf,16384,512,20185088,2601000,32,12232775,3395430,
cholesky,trsm,16384,512,20185088,2601000,496,981954586,63382450,
cholesky,syrk,16384,512,20185088,2601000,496,99377247,69096747,
cholesky,gemm,16384,512,20185088,2601000,4960,1338594213,872007446,
cholesky,potrf,16384,1024,20185088,1000000,16,43822384,6162376,
cholesky,trsm,16384,1024,20185088,1000000,120,1066843836,79096528,
cholesky,syrk,16384,1024,20185088,1000000,120,96594105,72377432,
cholesky,gemm,16384,1024,20185088,1000000,560,611216320,444968922,
cholesky,potrf,16384,1024,20185088,2601000,16,43428288,5464700,
cholesky,trsm,16384,1024,20185088,2601000,120,1066253881,71024890,
cholesky,syrk,16384,1024,20185088,2601000,120,95720360,65650458,
cholesky,gemm,16384,1024,20185088,2601000,560,620323640,436398772,
cholesky,potrf,16384,2048,20185088,1000000,8,140708630,14392972,
cholesky,trsm,16384,2048,20185088,1000000,28,1074455330,91645314,
cholesky,syrk,16384,2048,20185088,1000000,28,139007445,84878180,
cholesky,gemm,16384,2048,20185088,1000000,56,451292235,247849306,
cholesky,potrf,16384,2048,20185088,2601000,8,140327174,13532704,
cholesky,trsm,16384,2048,20185088,2601000,28,1083079298,85482084,
cholesky,syrk,16384,2048,20185088,2601000,28,144546048,80258070,
cholesky,gemm,16384,2048,20185088,2601000,56,503964440,244656310,
cholesky,potrf,20480,512,20185088,1000000,40,15386076,4436978,
cholesky,trsm,20480,512,20185088,1000000,780,1551121409,109432254,
cholesky,syrk,20480,512,20185088,1000000,780,158885897,114380499,
cholesky,gemm,20480,512,20185088,1000000,9880,2654920818,1748764434,
cholesky,potrf,20480,512,20185088,2601000,40,15284896,4311548,
cholesky,trsm,20480,512,20185088,2601000,780,1541177647,104014982,
cholesky,syrk,20480,512,20185088,2601000,780,157565833,108746067,
cholesky,gemm,20480,512,20185088,2601000,9880,2668563010,1736926578,
cholesky,potrf,20480,1024,20185088,1000000,20,54743334,7856124,
cholesky,trsm,20480,1024,20185088,1000000,190,1688445080,132718474,
cholesky,syrk,20480,1024,20185088,1000000,190,153812882,114325059,
cholesky,gemm,20480,1024,20185088,1000000,1140,1235943052,906114719,
cholesky,potrf,20480,1024,20185088,2601000,20,54485735,7035936,
cholesky,trsm,20480,1024,20185088,2601000,190,1689807318,114893056,
