algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
cholesky,potrf,8192,512,20185088,1000000,16,822066,267298166,23001749,99430935,
cholesky,trsm,8192,512,20185088,1000000,120,7074476,4826043378,671679267,2052230936,
cholesky,syrk,8192,512,20185088,1000000,120,12323861,2121783232,176804896,729340847,
cholesky,gemm,8192,512,20185088,1000000,560,57788877,17538810896,1056355009,5548668740,
cholesky,potrf,8192,512,20185088,2601000,16,824117,267298240,29045271,105010948,
cholesky,trsm,8192,512,20185088,2601000,120,7011094,4826039580,732987726,2097030252,
cholesky,syrk,8192,512,20185088,2601000,120,12413691,2121781886,247990868,801066499,
cholesky,gemm,8192,512,20185088,2601000,560,58872646,17538806048,1293399379,5787885405,
cholesky,potrf,8192,1024,20185088,1000000,8,1840739,736205216,73471755,278087276,
cholesky,trsm,8192,1024,20185088,1000000,28,9218794,6253274943,752904034,2483011635,
cholesky,syrk,8192,1024,20185088,1000000,28,13235910,3650874124,228855087,1166019179,
cholesky,gemm,8192,1024,20185088,1000000,56,37944498,13685533932,691196510,4178795236,
cholesky,potrf,8192,1024,20185088,2601000,8,1786299,736203323,85865061,292914366,
cholesky,trsm,8192,1024,20185088,2601000,28,9405313,6253274164,823011384,2566280351,
cholesky,syrk,8192,1024,20185088,2601000,28,13769607,3650874279,318222231,1256735160,
cholesky,gemm,8192,1024,20185088,2601000,56,39384121,13685533461,870331732,4360760936,
cholesky,potrf,8192,2048,20185088,1000000,4,4667236,2193115712,235998914,834244252,
cholesky,trsm,8192,2048,20185088,1000000,6,18232372,8253707523,790417716,3000725037,
cholesky,syrk,8192,2048,20185088,1000000,6,22704611,5997669360,325409108,1849252009,
cholesky,gemm,8192,2048,20185088,1000000,4,28375981,7729465516,360070613,2315652304,
cholesky,potrf,8192,2048,20185088,2601000,4,4810930,2193114440,269392821,868213779,
cholesky,trsm,8192,2048,20185088,2601000,6,18329014,8253706820,874520324,3087188973,
cholesky,syrk,8192,2048,20185088,2601000,6,22340019,5997669006,431444563,1957659463,
cholesky,gemm,8192,2048,20185088,2601000,4,28576361,7729465072,438883048,2398046013,
cholesky,potrf,12288,512,20185088,1000000,24,1341198,400937468,34309320,148039541,
cholesky,trsm,12288,512,20185088,1000000,276,16699631,11099902906,1540331032,4681264439,
cholesky,syrk,12288,512,20185088,1000000,276,30109752,4880100289,407270775,1677692765,
cholesky,gemm,12288,512,20185088,1000000,2024,223468814,63390239440,3821322930,20057182526,
cholesky,potrf,12288,512,20185088,2601000,24,1321713,400937416,43649493,157663926,
cholesky,trsm,12288,512,20185088,2601000,276,16301025,11099892550,1671002554,4805933148,
cholesky,syrk,12288,512,20185088,2601000,276,29952659,4880100011,574309006,1846214014,
