algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
cholesky,potrf,8192,512,20185088,1000000,16,877355,267298498,98786143,21773180,
cholesky,trsm,8192,512,20185088,1000000,120,6940214,4826046581,2032564625,668702730,
cholesky,syrk,8192,512,20185088,1000000,120,12111717,2121782343,728933020,173823908,
cholesky,gemm,8192,512,20185088,1000000,560,56372633,17538775538,5558975618,1042049226,
cholesky,potrf,8192,512,20185088,2601000,16,842029,267298377,105799191,28695274,
cholesky,trsm,8192,512,20185088,2601000,120,6957017,4826042663,2094560268,730505988,
cholesky,syrk,8192,512,20185088,2601000,120,12249171,2121782346,799718094,243972724,
cholesky,gemm,8192,512,20185088,2601000,560,56489728,17538794013,5784630976,1261460410,
cholesky,potrf,8192,1024,20185088,1000000,8,1858268,736205304,278375227,71481545,
cholesky,trsm,8192,1024,20185088,1000000,28,9271939,6253275367,2474859778,750991035,
cholesky,syrk,8192,1024,20185088,1000000,28,13854822,3650874627,1163030063,226182527,
cholesky,gemm,8192,1024,20185088,1000000,56,39506155,13685535093,4168954991,682272010,
cholesky,potrf,8192,1024,20185088,2601000,8,1805953,736203463,290447944,84090783,
cholesky,trsm,8192,1024,20185088,2601000,28,9099003,6253274026,2530883020,807891388,
cholesky,syrk,8192,1024,20185088,2601000,28,13810081,3650874097,1241182827,303762609,
cholesky,gemm,8192,1024,20185088,2601000,56,38802156,13685530074,4321884288,834299553,
cholesky,potrf,8192,2048,20185088,1000000,4,4709373,2193115817,838004029,232338234,
cholesky,trsm,8192,2048,20185088,1000000,6,20821588,8253707165,2999998542,786004195,
cholesky,syrk,8192,2048,20185088,1000000,6,21918812,5997669311,1838431965,313685743,
cholesky,gemm,8192,2048,20185088,1000000,4,27437307,7729465588,2301488525,344966446,
cholesky,potrf,8192,2048,20185088,2601000,4,4597995,2193115632,875887133,267782551,
cholesky,trsm,8192,2048,20185088,2601000,6,20159240,8253706910,3106174593,878915202,
cholesky,syrk,8192,2048,20185088,2601000,6,21189775,5997668845,1947071728,418947727,
cholesky,gemm,8192,2048,20185088,2601000,4,27500444,7729464982,2380667168,418381012,
cholesky,potrf,12288,512,20185088,1000000,24,1379739,400937445,149752460,32879418,
cholesky,trsm,12288,512,20185088,1000000,276,16095582,11099898321,4733934017,1545999605,
cholesky,syrk,12288,512,20185088,1000000,276,29590132,4880101590,1679673245,402998373,
cholesky,gemm,12288,512,20185088,1000000,2024,216120473,63390210772,20104612080,3781837595,
cholesky,potrf,12288,512,20185088,2601000,24,1349757,400937607,158202855,42911330,
cholesky,trsm,12288,512,20185088,2601000,276,15908854,11099894548,4804100388,1668690405,
