algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCR,PAPI_L3_TCW,
cholesky,potrf,8192,512,20185088,1000000,16,2321261,49090,
cholesky,trsm,8192,512,20185088,1000000,120,22967922,1163600,
cholesky,syrk,8192,512,20185088,1000000,120,26533643,511325,
cholesky,gemm,8192,512,20185088,1000000,560,185398723,394379,
cholesky,potrf,8192,512,20185088,2601000,16,2233686,66448,
cholesky,trsm,8192,512,20185088,2601000,120,21857067,1954296,
cholesky,syrk,8192,512,20185088,2601000,120,25914810,752605,
cholesky,gemm,8192,512,20185088,2601000,560,183462953,639987,
cholesky,potrf,8192,1024,20185088,1000000,8,5425102,126343,
cholesky,trsm,8192,1024,20185088,1000000,28,33915328,900126,
cholesky,syrk,8192,1024,20185088,1000000,28,35731311,700295,
cholesky,gemm,8192,1024,20185088,1000000,56,114989771,370085,
cholesky,potrf,8192,1024,20185088,2601000,8,5237050,245043,
cholesky,trsm,8192,1024,20185088,2601000,28,32808553,1686668,
cholesky,syrk,8192,1024,20185088,2601000,28,34728221,1318761,
cholesky,gemm,8192,1024,20185088,2601000,56,114078850,746981,
cholesky,potrf,8192,2048,20185088,1000000,4,14353826,236626,
cholesky,trsm,8192,2048,20185088,1000000,6,48240707,661145,
cholesky,syrk,8192,2048,20185088,1000000,6,53254552,550199,
cholesky,gemm,8192,2048,20185088,1000000,4,60167721,61100,
cholesky,potrf,8192,2048,20185088,2601000,4,14130666,380365,
cholesky,trsm,8192,2048,20185088,2601000,6,47041866,1130413,
cholesky,syrk,8192,2048,20185088,2601000,6,52315139,870823,
cholesky,gemm,8192,2048,20185088,2601000,4,59928503,135545,
cholesky,potrf,12288,512,20185088,1000000,24,3474980,73302,
cholesky,trsm,12288,512,20185088,1000000,276,52705665,2704551,
cholesky,syrk,12288,512,20185088,1000000,276,61103923,1175196,
cholesky,gemm,12288,512,20185088,1000000,2024,668850743,1165922,
cholesky,potrf,12288,512,20185088,2601000,24,3398477,96373,
cholesky,trsm,12288,512,20185088,2601000,276,50331181,4444753,
cholesky,syrk,12288,512,20185088,2601000,276,59566238,1757767,
cholesky,gemm,12288,512,20185088,2601000,2024,664177779,2306710,
cholesky,potrf,12288,1024,20185088,1000000,12,8170364,195464,
cholesky,trsm,12288,1024,20185088,1000000,66,80125219,2167771,
cholesky,syrk,12288,1024,20185088,1000000,66,84023939,1699368,
cholesky,gemm,12288,1024,20185088,1000000,220,452334749,1467442,
cholesky,potrf,12288,1024,20185088,2601000,12,7827465,367839,
cholesky,trsm,12288,1024,20185088,2601000,66,77568214,3804233,
cholesky,syrk,12288,1024,20185088,2601000,66,81797300,3109770,
cholesky,gemm,12288,1024,20185088,2601000,220,448342932,2957001,
cholesky,potrf,12288,2048,20185088,1000000,6,21419866,379079,
cholesky,trsm,12288,2048,20185088,1000000,15,120353034,1673110,
cholesky,syrk,12288,2048,20185088,1000000,15,133147905,1374727,
cholesky,gemm,12288,2048,20185088,1000000,20,301324470,306044,
cholesky,potrf,12288,2048,20185088,2601000,6,21004138,590404,
cholesky,trsm,12288,2048,20185088,2601000,15,118660401,2765732,
cholesky,syrk,12288,2048,20185088,2601000,15,131344207,2173919,
cholesky,gemm,12288,2048,20185088,2601000,20,299069828,674018,
cholesky,potrf,16384,512,20185088,1000000,32,4668710,98930,
cholesky,trsm,16384,512,20185088,1000000,496,94788911,4933336,
cholesky,syrk,16384,512,20185088,1000000,496,110018213,2117751,
cholesky,gemm,16384,512,20185088,1000000,4960,1641178587,3263002,
cholesky,potrf,16384,512,20185088,2601000,32,4500315,131705,
cholesky,trsm,16384,512,20185088,2601000,496,90597212,7876012,
cholesky,syrk,16384,512,20185088,2601000,496,107250068,3092177,
cholesky,gemm,16384,512,20185088,2601000,4960,1628529015,5933936,
cholesky,potrf,16384,1024,20185088,1000000,16,10867963,255844,
cholesky,trsm,16384,1024,20185088,1000000,120,145693321,3900525,
cholesky,syrk,16384,1024,20185088,1000000,120,152568415,3052354,
