algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
cholesky,potrf,8192,512,20185088,1000000,16,127662080,
cholesky,trsm,8192,512,20185088,1000000,120,2463068160,
cholesky,syrk,8192,512,20185088,1000000,120,2149478640,
cholesky,gemm,8192,512,20185088,1000000,560,18863884480,
cholesky,potrf,8192,512,20185088,2601000,16,127662080,
cholesky,trsm,8192,512,20185088,2601000,120,2463068160,
cholesky,syrk,8192,512,20185088,2601000,120,2149478640,
cholesky,gemm,8192,512,20185088,2601000,560,18863884480,
cholesky,potrf,8192,1024,20185088,1000000,8,435470336,
cholesky,trsm,8192,1024,20185088,1000000,28,4182585344,
cholesky,syrk,8192,1024,20185088,1000000,28,3888310328,
cholesky,gemm,8192,1024,20185088,1000000,56,15076425952,
cholesky,potrf,8192,1024,20185088,2601000,8,435470336,
cholesky,trsm,8192,1024,20185088,2601000,28,4182585344,
cholesky,syrk,8192,1024,20185088,2601000,28,3888310328,
cholesky,gemm,8192,1024,20185088,2601000,56,15076425952,
cholesky,potrf,8192,2048,20185088,1000000,4,1586867584,
cholesky,trsm,8192,2048,20185088,1000000,6,6814543872,
cholesky,syrk,8192,2048,20185088,1000000,6,6563500044,
cholesky,gemm,8192,2048,20185088,1000000,4,8615100432,
cholesky,potrf,8192,2048,20185088,2601000,4,1586867584,
cholesky,trsm,8192,2048,20185088,2601000,6,6814543872,
cholesky,syrk,8192,2048,20185088,2601000,6,6563500044,
cholesky,gemm,8192,2048,20185088,2601000,4,8615100432,
cholesky,potrf,12288,512,20185088,1000000,24,191493120,
cholesky,trsm,12288,512,20185088,1000000,276,5665056768,
cholesky,syrk,12288,512,20185088,1000000,276,4943800872,
cholesky,gemm,12288,512,20185088,1000000,2024,68179468192,
cholesky,potrf,12288,512,20185088,2601000,24,191493120,
cholesky,trsm,12288,512,20185088,2601000,276,5665056768,
cholesky,syrk,12288,512,20185088,2601000,276,4943800872,
cholesky,gemm,12288,512,20185088,2601000,2024,68179468192,
cholesky,potrf,12288,1024,20185088,1000000,12,653205504,
cholesky,trsm,12288,1024,20185088,1000000,66,9858951168,
cholesky,syrk,12288,1024,20185088,1000000,66,9165302916,
cholesky,gemm,12288,1024,20185088,1000000,220,59228816240,
cholesky,potrf,12288,1024,20185088,2601000,12,653205504,
cholesky,trsm,12288,1024,20185088,2601000,66,9858951168,
cholesky,syrk,12288,1024,20185088,2601000,66,9165302916,
cholesky,gemm,12288,1024,20185088,2601000,220,59228816240,
cholesky,potrf,12288,2048,20185088,1000000,6,2380301376,
cholesky,trsm,12288,2048,20185088,1000000,15,17036359680,
cholesky,syrk,12288,2048,20185088,1000000,15,16408750110,
cholesky,gemm,12288,2048,20185088,1000000,20,43075502160,
cholesky,potrf,12288,2048,20185088,2601000,6,2380301376,
cholesky,trsm,12288,2048,20185088,2601000,15,17036359680,
cholesky,syrk,12288,2048,20185088,2601000,15,16408750110,
cholesky,gemm,12288,2048,20185088,2601000,20,43075502160,
cholesky,potrf,16384,512,20185088,1000000,32,255324160,
cholesky,trsm,16384,512,20185088,1000000,496,10180681728,
cholesky,syrk,16384,512,20185088,1000000,496,8884511712,
cholesky,gemm,16384,512,20185088,1000000,4960,167080119680,
cholesky,potrf,16384,512,20185088,2601000,32,255324160,
cholesky,trsm,16384,512,20185088,2601000,496,10180681728,
cholesky,syrk,16384,512,20185088,2601000,496,8884511712,
cholesky,gemm,16384,512,20185088,2601000,4960,167080119680,
cholesky,potrf,16384,1024,20185088,1000000,16,870940672,
cholesky,trsm,16384,1024,20185088,1000000,120,17925365760,
cholesky,syrk,16384,1024,20185088,1000000,120,16664187120,
cholesky,gemm,16384,1024,20185088,1000000,560,150764259520,
cholesky,potrf,16384,1024,20185088,2601000,16,870940672,
cholesky,trsm,16384,1024,20185088,2601000,120,17925365760,
cholesky,syrk,16384,1024,20185088,2601000,120,16664187120,
cholesky,gemm,16384,1024,20185088,2601000,560,150764259520,
cholesky,potrf,16384,2048,20185088,1000000,8,3173735168,
cholesky,trsm,16384,2048,20185088,1000000,28,31801204736,
cholesky,syrk,16384,2048,20185088,1000000,28,30629666872,
cholesky,gemm,16384,2048,20185088,1000000,56,120611406048,
cholesky,potrf,16384,2048,20185088,2601000,8,3173735168,
cholesky,trsm,16384,2048,20185088,2601000,28,31801204736,
cholesky,syrk,16384,2048,20185088,2601000,28,30629666872,
cholesky,gemm,16384,2048,20185088,2601000,56,120611406048,
cholesky,potrf,20480,512,20185088,1000000,40,319155200,
cholesky,trsm,20480,512,20185088,1000000,780,16009943040,
cholesky,syrk,20480,512,20185088,1000000,780,13971611160,
cholesky,gemm,20480,512,20185088,1000000,9880,332812819040,
cholesky,potrf,20480,512,20185088,2601000,40,319155200,
cholesky,trsm,20480,512,20185088,2601000,780,16009943040,
cholesky,syrk,20480,512,20185088,2601000,780,13971611160,
cholesky,gemm,20480,512,20185088,2601000,9880,332812819040,
cholesky,potrf,20480,1024,20185088,1000000,20,1088675840,
cholesky,trsm,20480,1024,20185088,1000000,190,28381829120,
cholesky,syrk,20480,1024,20185088,1000000,190,26384962940,
cholesky,gemm,20480,1024,20185088,1000000,1140,306912956880,
cholesky,potrf,20480,1024,20185088,2601000,20,1088675840,
cholesky,trsm,20480,1024,20185088,2601000,190,28381829120,
cholesky,syrk,20480,1024,20185088,2601000,190,26384962940,
cholesky,gemm,20480,1024,20185088,2601000,1140,306912956880,
cholesky,potrf,20480,2048,20185088,1000000,10,3967168960,
cholesky,trsm,20480,2048,20185088,1000000,45,51109079040,
cholesky,syrk,20480,2048,20185088,1000000,45,49226250330,
cholesky,gemm,20480,2048,20185088,1000000,120,258453012960,
cholesky,potrf,20480,2048,20185088,2601000,10,3967168960,
cholesky,trsm,20480,2048,20185088,2601000,45,51109079040,
cholesky,syrk,20480,2048,20185088,2601000,45,49226250330,
cholesky,gemm,20480,2048,20185088,2601000,120,258453012960,
cholesky,potrf,24576,512,20185088,1000000,48,382986240,
cholesky,trsm,24576,512,20185088,1000000,1128,23152840704,
cholesky,syrk,24576,512,20185088,1000000,1128,20205099216,
cholesky,gemm,24576,512,20185088,1000000,17296,582624546368,
cholesky,potrf,24576,512,20185088,2601000,48,382986240,
cholesky,trsm,24576,512,20185088,2601000,1128,23152840704,
cholesky,syrk,24576,512,20185088,2601000,1128,20205099216,
cholesky,gemm,24576,512,20185088,2601000,17296,582624546368,
cholesky,potrf,24576,1024,20185088,1000000,24,1306411008,
cholesky,trsm,24576,1024,20185088,1000000,276,41228341248,
cholesky,syrk,24576,1024,20185088,1000000,276,38327630376,
cholesky,gemm,24576,1024,20185088,1000000,2024,544905109408,
cholesky,potrf,24576,1024,20185088,2601000,24,1306411008,
cholesky,trsm,24576,1024,20185088,2601000,276,41228341248,
cholesky,syrk,24576,1024,20185088,2601000,276,38327630376,
cholesky,gemm,24576,1024,20185088,2601000,2024,544905109408,
cholesky,potrf,24576,2048,20185088,1000000,12,4760602752,
cholesky,trsm,24576,2048,20185088,1000000,66,74959982592,
cholesky,syrk,24576,2048,20185088,1000000,66,72198500484,
cholesky,gemm,24576,2048,20185088,1000000,220,473830523760,
cholesky,potrf,24576,2048,20185088,2601000,12,4760602752,
cholesky,trsm,24576,2048,20185088,2601000,66,74959982592,
cholesky,syrk,24576,2048,20185088,2601000,66,72198500484,
cholesky,gemm,24576,2048,20185088,2601000,220,473830523760,
cholesky,potrf,28672,512,20185088,1000000,56,446817280,
cholesky,trsm,28672,512,20185088,1000000,1540,31609374720,
cholesky,syrk,28672,512,20185088,1000000,1540,27584975880,
cholesky,gemm,28672,512,20185088,1000000,27720,933762281760,
cholesky,potrf,28672,512,20185088,2601000,56,446817280,
cholesky,trsm,28672,512,20185088,2601000,1540,31609374720,
cholesky,syrk,28672,512,20185088,2601000,1540,27584975880,
cholesky,gemm,28672,512,20185088,2601000,27720,933762281760,
cholesky,potrf,28672,1024,20185088,1000000,28,1524146176,
cholesky,trsm,28672,1024,20185088,1000000,378,56464902144,
cholesky,syrk,28672,1024,20185088,1000000,378,52492189428,
cholesky,gemm,28672,1024,20185088,1000000,3276,881970918192,
cholesky,potrf,28672,1024,20185088,2601000,28,1524146176,
cholesky,trsm,28672,1024,20185088,2601000,378,56464902144,
cholesky,syrk,28672,1024,20185088,2601000,378,52492189428,
cholesky,gemm,28672,1024,20185088,2601000,3276,881970918192,
cholesky,potrf,28672,2048,20185088,1000000,14,5554036544,
cholesky,trsm,28672,2048,20185088,1000000,91,103353915392,
cholesky,syrk,28672,2048,20185088,1000000,91,99546417334,
cholesky,gemm,28672,2048,20185088,1000000,364,783974139312,
cholesky,potrf,28672,2048,20185088,2601000,14,5554036544,
cholesky,trsm,28672,2048,20185088,2601000,91,103353915392,
cholesky,syrk,28672,2048,20185088,2601000,91,99546417334,
cholesky,gemm,28672,2048,20185088,2601000,364,783974139312,
cholesky,potrf,32768,512,20185088,1000000,64,510648320,
cholesky,trsm,32768,512,20185088,1000000,2016,41379545088,
cholesky,syrk,32768,512,20185088,1000000,2016,36111241152,
cholesky,gemm,32768,512,20185088,1000000,41664,1403473005312,
cholesky,potrf,32768,512,20185088,2601000,64,510648320,
cholesky,trsm,32768,512,20185088,2601000,2016,41379545088,
cholesky,syrk,32768,512,20185088,2601000,2016,36111241152,
cholesky,gemm,32768,512,20185088,2601000,41664,1403473005312,
cholesky,potrf,32768,1024,20185088,1000000,32,1741881344,
cholesky,trsm,32768,1024,20185088,1000000,496,74091511808,
cholesky,syrk,32768,1024,20185088,1000000,496,68878640096,
cholesky,gemm,32768,1024,20185088,1000000,4960,1335340584320,
cholesky,potrf,32768,1024,20185088,2601000,32,1741881344,
cholesky,trsm,32768,1024,20185088,2601000,496,74091511808,
cholesky,syrk,32768,1024,20185088,2601000,496,68878640096,
cholesky,gemm,32768,1024,20185088,2601000,4960,1335340584320,
cholesky,potrf,32768,2048,20185088,1000000,16,6347470336,
cholesky,trsm,32768,2048,20185088,1000000,120,136290877440,
cholesky,syrk,32768,2048,20185088,1000000,120,131270000880,
cholesky,gemm,32768,2048,20185088,1000000,560,1206114060480,
cholesky,potrf,32768,2048,20185088,2601000,16,6347470336,
cholesky,trsm,32768,2048,20185088,2601000,120,136290877440,
cholesky,syrk,32768,2048,20185088,2601000,120,131270000880,
cholesky,gemm,32768,2048,20185088,2601000,560,1206114060480,
cholesky,potrf,36864,512,20185088,1000000,72,574479360,
cholesky,trsm,36864,512,20185088,1000000,2556,52463351808,
cholesky,syrk,36864,512,20185088,1000000,2556,45783895032,
cholesky,gemm,36864,512,20185088,1000000,59640,2009003697120,
cholesky,potrf,36864,512,20185088,2601000,72,574479360,
cholesky,trsm,36864,512,20185088,2601000,2556,52463351808,
cholesky,syrk,36864,512,20185088,2601000,2556,45783895032,
cholesky,gemm,36864,512,20185088,2601000,59640,2009003697120,
cholesky,potrf,36864,1024,20185088,1000000,36,1959616512,
cholesky,trsm,36864,1024,20185088,1000000,630,94108170240,
cholesky,syrk,36864,1024,20185088,1000000,630,87486982380,
cholesky,gemm,36864,1024,20185088,1000000,7140,1922244308880,
cholesky,potrf,36864,1024,20185088,2601000,36,1959616512,
cholesky,trsm,36864,1024,20185088,2601000,630,94108170240,
cholesky,syrk,36864,1024,20185088,2601000,630,87486982380,
cholesky,gemm,36864,1024,20185088,2601000,7140,1922244308880,
cholesky,potrf,36864,2048,20185088,1000000,18,7140904128,
cholesky,trsm,36864,2048,20185088,1000000,153,173770868736,
cholesky,syrk,36864,2048,20185088,1000000,153,167369251122,
cholesky,gemm,36864,2048,20185088,1000000,816,1757480488128,
cholesky,potrf,36864,2048,20185088,2601000,18,7140904128,
cholesky,trsm,36864,2048,20185088,2601000,153,173770868736,
cholesky,syrk,36864,2048,20185088,2601000,153,167369251122,
cholesky,gemm,36864,2048,20185088,2601000,816,1757480488128,
cholesky,potrf,40960,512,20185088,1000000,80,638310400,
cholesky,trsm,40960,512,20185088,1000000,3160,64860794880,
cholesky,syrk,40960,512,20185088,1000000,3160,56602937520,
cholesky,gemm,40960,512,20185088,1000000,82160,2767601337280,
cholesky,potrf,40960,512,20185088,2601000,80,638310400,
cholesky,trsm,40960,512,20185088,2601000,3160,64860794880,
cholesky,syrk,40960,512,20185088,2601000,3160,56602937520,
cholesky,gemm,40960,512,20185088,2601000,82160,2767601337280,
cholesky,potrf,40960,1024,20185088,1000000,40,2177351680,
cholesky,trsm,40960,1024,20185088,1000000,780,116514877440,
cholesky,syrk,40960,1024,20185088,1000000,780,108317216280,
cholesky,gemm,40960,1024,20185088,1000000,9880,2659912292960,
cholesky,potrf,40960,1024,20185088,2601000,40,2177351680,
cholesky,trsm,40960,1024,20185088,2601000,780,116514877440,
cholesky,syrk,40960,1024,20185088,2601000,780,108317216280,
cholesky,gemm,40960,1024,20185088,2601000,9880,2659912292960,
cholesky,potrf,40960,2048,20185088,1000000,20,7934337920,
cholesky,trsm,40960,2048,20185088,1000000,190,215793889280,
cholesky,syrk,40960,2048,20185088,1000000,190,207844168060,
cholesky,gemm,40960,2048,20185088,1000000,1140,2455303623120,
cholesky,potrf,40960,2048,20185088,2601000,20,7934337920,
cholesky,trsm,40960,2048,20185088,2601000,190,215793889280,
cholesky,syrk,40960,2048,20185088,2601000,190,207844168060,
cholesky,gemm,40960,2048,20185088,2601000,1140,2455303623120,
