algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,32768,512,24,1,potrf,1215318422,1363822558,103359686,224941809,10.784700
cholesky,32768,512,24,1,gemm,1215318422,1363822558,103359686,224941809,10.784700
cholesky,32768,512,24,1,trsm,1215318422,1363822558,103359686,224941809,10.784700
cholesky,32768,512,24,1,syrk,1215318422,1363822558,103359686,224941809,10.784700
cholesky,32768,512,24,2,potrf,1226863864,1366474407,103838376,225957071,10.828200
cholesky,32768,512,24,2,gemm,1226863864,1366474407,103838376,225957071,10.828200
cholesky,32768,512,24,2,trsm,1226863864,1366474407,103838376,225957071,10.828200
cholesky,32768,512,24,2,syrk,1226863864,1366474407,103838376,225957071,10.828200
cholesky,32768,512,24,3,potrf,1515462856,1747301435,133253100,324321015,19.242300
cholesky,32768,512,24,3,gemm,1515462856,1747301435,133253100,324321015,19.242300
cholesky,32768,512,24,3,trsm,1515462856,1747301435,133253100,324321015,19.242300
cholesky,32768,512,24,3,syrk,1515462856,1747301435,133253100,324321015,19.242300
cholesky,32768,512,24,4,potrf,1514287566,1742781183,136681096,324613842,19.297300
cholesky,32768,512,24,4,gemm,1514287566,1742781183,136681096,324613842,19.297300
cholesky,32768,512,24,4,trsm,1514287566,1742781183,136681096,324613842,19.297300
cholesky,32768,512,24,4,syrk,1514287566,1742781183,136681096,324613842,19.297300
cholesky,32768,512,24,5,potrf,1232279011,1425119215,107698322,230434876,11.422000
cholesky,32768,512,24,5,gemm,1232279011,1425119215,107698322,230434876,11.422000
cholesky,32768,512,24,5,trsm,1232279011,1425119215,107698322,230434876,11.422000
cholesky,32768,512,24,5,syrk,1232279011,1425119215,107698322,230434876,11.422000
cholesky,32768,512,24,6,potrf,1238849795,1420264186,108456329,230306050,11.395100
cholesky,32768,512,24,6,gemm,1238849795,1420264186,108456329,230306050,11.395100
cholesky,32768,512,24,6,trsm,1238849795,1420264186,108456329,230306050,11.395100
cholesky,32768,512,24,6,syrk,1238849795,1420264186,108456329,230306050,11.395100
cholesky,32768,512,24,7,potrf,1548015264,1777769863,141588663,332226297,20.126600
cholesky,32768,512,24,7,gemm,1548015264,1777769863,141588663,332226297,20.126600
cholesky,32768,512,24,7,trsm,1548015264,1777769863,141588663,332226297,20.126600
cholesky,32768,512,24,7,syrk,1548015264,1777769863,141588663,332226297,20.126600
cholesky,32768,512,24,8,potrf,1548286442,1774104834,141928552,332444979,20.132900
cholesky,32768,512,24,8,gemm,1548286442,1774104834,141928552,332444979,20.132900
cholesky,32768,512,24,8,trsm,1548286442,1774104834,141928552,332444979,20.132900
cholesky,32768,512,24,8,syrk,1548286442,1774104834,141928552,332444979,20.132900
cholesky,32768,512,24,9,potrf,1216593565,1384921076,105044277,228020521,11.001100
cholesky,32768,512,24,9,gemm,1216593565,1384921076,105044277,228020521,11.001100
