algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP
cholesky,potrf,8192,512,20185088,1000000,16,847452,267298410,98322069,22575434,6196330,1777464,2328641,48714,127662080
cholesky,trsm,8192,512,20185088,1000000,120,7059724,4826046764,2040348101,674297220,238864896,17141006,22969918,1175968,2463068160
cholesky,syrk,8192,512,20185088,1000000,120,12149947,2121783080,728177890,175787783,24665092,17630894,26620276,491736,2149478640
cholesky,gemm,8192,512,20185088,1000000,560,56474326,17538810417,5539132743,1047619250,150466770,99194092,185379524,370369,18863884480
cholesky,potrf,8192,512,20185088,2601000,16,831249,267298248,105601922,29470873,6092319,1712040,2230108,63607,127662080
cholesky,trsm,8192,512,20185088,2601000,120,6892429,4826045647,2097414840,734305076,237422367,15217836,21846277,1950208,2463068160
cholesky,syrk,8192,512,20185088,2601000,120,12136090,2121782825,796512194,243550067,24241494,16589474,25967241,779182,2149478640
cholesky,gemm,8192,512,20185088,2601000,560,56561552,17538807416,5757466277,1265346584,150942598,98413450,183672044,692644,18863884480
cholesky,potrf,8192,1024,20185088,1000000,8,1837497,736205350,276741877,72557639,21921529,3128382,5439091,125401,435470336
cholesky,trsm,8192,1024,20185088,1000000,28,9881869,6253275390,2474386323,750849066,249151496,19438236,33932138,934897,4182585344
cholesky,syrk,8192,1024,20185088,1000000,28,13784326,3650874698,1162550068,225738825,22627814,16895244,35541065,703775,3888310328
cholesky,gemm,8192,1024,20185088,1000000,56,41385189,13685535130,4167467402,681698863,60910796,44516748,115317776,357024,15076425952
cholesky,potrf,8192,1024,20185088,2601000,8,1707969,736203328,289412086,85477274,21840300,2775090,5184029,242962,435470336
cholesky,trsm,8192,1024,20185088,2601000,28,9398003,6253274470,2538769507,815553215,249318606,17501368,32901188,1597318,4182585344
cholesky,syrk,8192,1024,20185088,2601000,28,13587598,3650873667,1242825950,305245543,22342586,15318850,34744686,1317914,3888310328
cholesky,gemm,8192,1024,20185088,2601000,56,39420555,13685533805,4327494135,839664010,61888749,43640136,114084392,730161,15076425952
cholesky,potrf,8192,2048,20185088,1000000,4,4649943,2193114652,833324978,234588196,70285261,7344942,14042038,236837,1586867584
cholesky,trsm,8192,2048,20185088,1000000,6,20480572,8253707571,2995305767,785337899,230469361,19566580,48308419,675677,6814543872
cholesky,syrk,8192,2048,20185088,1000000,6,21766657,5997669385,1838372432,315686770,29841344,18199920,53632173,547939,6563500044
cholesky,gemm,8192,2048,20185088,1000000,4,27782063,7729465612,2300136840,345909450,32040454,17670345,60198432,68622,8615100432
cholesky,potrf,8192,2048,20185088,2601000,4,4538813,2193115594,867793925,269264158,70272626,6719758,13770359,398482,1586867584
cholesky,trsm,8192,2048,20185088,2601000,6,20327105,8253706914,3090548335,879068657,232206348,18124056,47632184,1170740,6814543872
cholesky,syrk,8192,2048,20185088,2601000,6,21305619,5997669060,1948405407,422693360,30930402,17210454,52362894,870404,6563500044
cholesky,gemm,8192,2048,20185088,2601000,4,27399517,7729465065,2379616145,421836041,35734014,17485784,59806871,140221,8615100432
cholesky,potrf,12288,512,20185088,1000000,24,1338767,400937589,147257008,33879962,9277588,2669774,3493533,74948,191493120
cholesky,trsm,12288,512,20185088,1000000,276,16331358,11099906867,4675738288,1540335190,549543761,39304596,52762848,2781304,5665056768
cholesky,syrk,12288,512,20185088,1000000,276,29482651,4880099857,1675833131,405447202,55943018,40575817,61050199,1166740,4943800872
cholesky,gemm,12288,512,20185088,1000000,2024,216283561,63390264767,20037748351,3805061362,542644605,358985112,668068491,1377930,68179468192
cholesky,potrf,12288,512,20185088,2601000,24,1326357,400937527,158749110,44779695,9165528,2590272,3331863,99690,191493120
cholesky,trsm,12288,512,20185088,2601000,276,15943466,11099904786,4811262231,1677637760,547020313,36114172,50251070,4488224,5665056768
cholesky,syrk,12288,512,20185088,2601000,276,29078907,4880101878,1832641200,560407177,55811121,38393255,59608373,1731517,4943800872
cholesky,gemm,12288,512,20185088,2601000,2024,215992155,63390268340,20855819192,4622238286,546807778,355635438,663938997,2430183,68179468192
cholesky,potrf,12288,1024,20185088,1000000,12,2831574,1104297769,416225417,109519257,32867211,4551666,8134103,198703,653205504
cholesky,trsm,12288,1024,20185088,1000000,66,23521254,14739862894,5845239368,1773215160,587977423,44990018,80020858,2174969,9858951168
cholesky,syrk,12288,1024,20185088,1000000,66,33140905,8605632888,2742466202,534441463,53441784,39798177,84022852,1693183,9165302916
cholesky,gemm,12288,1024,20185088,1000000,220,162666660,53764599884,16378411604,2681555108,240294354,175071668,451750119,1433411,59228816240
cholesky,potrf,12288,1024,20185088,2601000,12,2849614,1104297658,435659655,129321468,32623562,4113756,7834018,376670,653205504
cholesky,trsm,12288,1024,20185088,2601000,66,21941277,14739860940,5981673848,1913715374,586923005,38876582,77623486,3726700,9858951168
cholesky,syrk,12288,1024,20185088,2601000,66,33173601,8605631133,2929345644,719342530,52816489,36328014,81677063,3066951,9165302916
cholesky,gemm,12288,1024,20185088,2601000,220,153927466,53764595447,16979564400,3279911637,241767389,171527122,447640399,2842671,59228816240
cholesky,potrf,12288,2048,20185088,1000000,6,7187383,3289662916,1248815504,351619038,105469673,10765850,21129875,370717,2380301376
cholesky,trsm,12288,2048,20185088,1000000,15,50866453,20634268655,7486102800,1962716036,576306944,49165818,119572977,1644388,17036359680
cholesky,syrk,12288,2048,20185088,1000000,15,54294387,14994173521,4595733578,789078217,74711626,45611712,132665916,1380542,16408750110
cholesky,gemm,12288,2048,20185088,1000000,20,138216041,38647324808,11502905307,1731134884,160768486,88989990,301142393,365293,43075502160
cholesky,potrf,12288,2048,20185088,2601000,6,7014023,3289662620,1302197145,402273530,105719251,10153280,20681381,603243,2380301376
cholesky,trsm,12288,2048,20185088,2601000,15,49600027,20634266981,7725986968,2185377738,580082331,45977026,117455220,2793558,17036359680
cholesky,syrk,12288,2048,20185088,2601000,15,52919373,14994172657,4873009944,1060396625,77656700,43015984,130785706,2218131,16408750110
cholesky,gemm,12288,2048,20185088,2601000,20,136816704,38647322172,11900888095,2113004687,180340331,87366488,299910302,758845,43075502160
cholesky,potrf,16384,512,20185088,1000000,32,1846062,534576652,196864137,45568809,12333526,3542906,4594621,99142,255324160
cholesky,trsm,16384,512,20185088,1000000,496,29201165,19947657211,8404563211,2768539837,984868357,70698972,94810983,4933107,10180681728
cholesky,syrk,16384,512,20185088,1000000,496,54633276,8770038039,3014844644,730864125,101714347,72908486,109895015,2128316,8884511712
cholesky,gemm,16384,512,20185088,1000000,4960,543900581,155343741092,49135903306,9388000486,1332862237,877923894,1639587136,3340673,167080119680
cholesky,potrf,16384,512,20185088,2601000,32,1809421,534576537,211769358,59878999,12205461,3418114,4464365,131015,255324160
cholesky,trsm,16384,512,20185088,2601000,496,28523937,19947655017,8656650374,3020885543,983288271,63766448,90654002,7852806,10180681728
cholesky,syrk,16384,512,20185088,2601000,496,53260378,8770037189,3302858497,1016270445,99945965,69174714,107231961,3184298,8884511712
cholesky,gemm,16384,512,20185088,2601000,4960,539402508,155343726782,51155935958,11375549835,1335790058,874547762,1627510029,6480879,167080119680
cholesky,potrf,16384,1024,20185088,1000000,16,4022109,1472390194,553004078,145986992,43908964,6383738,10859258,265752,870940672
cholesky,trsm,16384,1024,20185088,1000000,120,40884011,26799750409,10607552072,3216029300,1068682777,79963536,145578515,3979068,17925365760
cholesky,syrk,16384,1024,20185088,1000000,120,61247741,15646605894,4988425677,973404950,96961329,72237483,152496103,3086647,16664187120
cholesky,gemm,16384,1024,20185088,1000000,560,399086316,136855343718,41700530554,6834689848,607645252,445616256,1149795775,3696989,150764259520
cholesky,potrf,16384,1024,20185088,2601000,16,3712132,1472389909,579748664,170596952,43638472,5609874,10439566,493043,870940672
cholesky,trsm,16384,1024,20185088,2601000,120,41923784,26799747033,10856529452,3460155864,1066886851,71509400,141263365,6672212,17925365760
cholesky,syrk,16384,1024,20185088,2601000,120,59639634,15646603238,5325194698,1307687095,95351110,65931668,148933381,5585578,16664187120
cholesky,gemm,16384,1024,20185088,2601000,560,397999488,136855325011,43192330923,8320428568,611995698,436657264,1139947728,7409856,150764259520
cholesky,potrf,16384,2048,20185088,1000000,8,9685905,4386210064,1666275897,470266540,140975475,14444182,28166492,516904,3173735168
cholesky,trsm,16384,2048,20185088,1000000,28,95935547,38517301516,13976905569,3664169974,1073912676,91214632,224019190,3168965,31801204736
cholesky,syrk,16384,2048,20185088,1000000,28,101423083,27989124259,8581294503,1475379442,138728739,84943121,247992824,2592312,30629666872
cholesky,gemm,16384,2048,20185088,1000000,56,386772262,108212508044,32208876052,4850660529,448726521,247827528,843308732,949647,120611406048
cholesky,potrf,16384,2048,20185088,2601000,8,9782226,4386207370,1736633534,539160662,140467679,13614124,27836998,794564,3173735168
cholesky,trsm,16384,2048,20185088,2601000,28,93794527,38517298266,14433581984,4086043894,1083847141,86361972,220771087,5223124,31801204736
