algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
cholesky,potrf,8192,512,20185088,1000000,16,858410,267298213,22666826,98363416,
cholesky,trsm,8192,512,20185088,1000000,120,7054153,4826042338,669857876,2033429915,
cholesky,syrk,8192,512,20185088,1000000,120,12534823,2121782721,175725377,728252540,
cholesky,gemm,8192,512,20185088,1000000,560,58750007,17538811110,1056788529,5544617614,
cholesky,potrf,8192,512,20185088,2601000,16,799358,267298253,28824791,105006355,
cholesky,trsm,8192,512,20185088,2601000,120,7098210,4826042407,729992140,2097357091,
cholesky,syrk,8192,512,20185088,2601000,120,12482093,2121781911,247503112,800537266,
cholesky,gemm,8192,512,20185088,2601000,560,58819988,17538803343,1288723955,5781449011,
cholesky,potrf,8192,1024,20185088,1000000,8,1820004,736205232,72431136,276451193,
cholesky,trsm,8192,1024,20185088,1000000,28,9692486,6253274513,753682087,2477312035,
cholesky,syrk,8192,1024,20185088,1000000,28,13840772,3650874580,228941497,1166171908,
cholesky,gemm,8192,1024,20185088,1000000,56,39338700,13685534894,691839979,4179495001,
cholesky,potrf,8192,1024,20185088,2601000,8,1866017,736203239,85787813,289809014,
cholesky,trsm,8192,1024,20185088,2601000,28,9237373,6253273098,812826174,2536013100,
cholesky,syrk,8192,1024,20185088,2601000,28,13674541,3650874235,311252393,1249309697,
cholesky,gemm,8192,1024,20185088,2601000,56,38611809,13685529501,856184844,4345479897,
cholesky,potrf,8192,2048,20185088,1000000,4,4784841,2193115715,235834137,836721594,
cholesky,trsm,8192,2048,20185088,1000000,6,18601721,8253707523,787898744,3003330650,
cholesky,syrk,8192,2048,20185088,1000000,6,22419528,5997669498,320534148,1843763437,
cholesky,gemm,8192,2048,20185088,1000000,4,28539770,7729465510,354664702,2309484816,
cholesky,potrf,8192,2048,20185088,2601000,4,4767938,2193115554,278782461,878969808,
cholesky,trsm,8192,2048,20185088,2601000,6,18628565,8253706760,937745668,3157889323,
cholesky,syrk,8192,2048,20185088,2601000,6,22493202,5997669029,474824383,2006578499,
cholesky,gemm,8192,2048,20185088,2601000,4,28713679,7729465087,492331076,2459219756,
cholesky,potrf,12288,512,20185088,1000000,24,1333443,400937592,33855188,147554325,
cholesky,trsm,12288,512,20185088,1000000,276,16785758,11099898740,1541555464,4683593595,
cholesky,syrk,12288,512,20185088,1000000,276,30565080,4880098993,407402156,1677734625,
cholesky,gemm,12288,512,20185088,1000000,2024,223941670,63390255547,3819828975,20054439971,
cholesky,potrf,12288,512,20185088,2601000,24,1317655,400937266,43947771,159658870,
cholesky,trsm,12288,512,20185088,2601000,276,16278632,11099892591,1680137233,4860106877,
cholesky,syrk,12288,512,20185088,2601000,276,30042212,4880100801,573468958,1845643419,
cholesky,gemm,12288,512,20185088,2601000,2024,219657052,63390239133,4680528985,20917800593,
cholesky,potrf,12288,1024,20185088,1000000,12,2946874,1104297662,109519811,417011078,
cholesky,trsm,12288,1024,20185088,1000000,66,22579639,14739861315,1773221379,5854482634,
cholesky,syrk,12288,1024,20185088,1000000,66,33504516,8605632230,536832619,2745359539,
cholesky,gemm,12288,1024,20185088,1000000,220,156427375,53764599928,2695040936,16395347208,
cholesky,potrf,12288,1024,20185088,2601000,12,2804834,1104294839,128297707,434853571,
cholesky,trsm,12288,1024,20185088,2601000,66,22795035,14739860502,1912202170,5982573734,
cholesky,syrk,12288,1024,20185088,2601000,66,33057137,8605632210,726548161,2936704554,
cholesky,gemm,12288,1024,20185088,2601000,220,157825944,53764594775,3307252643,17010835544,
cholesky,potrf,12288,2048,20185088,1000000,6,7658923,3289662911,353784963,1253058445,
cholesky,trsm,12288,2048,20185088,1000000,15,50352649,20634268338,1971156636,7496606451,
cholesky,syrk,12288,2048,20185088,1000000,15,56368403,14994173632,796921832,4603009153,
cholesky,gemm,12288,2048,20185088,1000000,20,143709579,38647324300,1760099943,11528149885,
cholesky,potrf,12288,2048,20185088,2601000,6,7568614,3289660890,406091957,1304381888,
cholesky,trsm,12288,2048,20185088,2601000,15,49160338,20634266627,2188529609,7729027918,
cholesky,syrk,12288,2048,20185088,2601000,15,54988132,14994172469,1066213476,4879548006,
cholesky,gemm,12288,2048,20185088,2601000,20,141342790,38647321810,2154752749,11945786800,
cholesky,potrf,16384,512,20185088,1000000,32,1867851,534576691,46183597,197633384,
cholesky,trsm,16384,512,20185088,1000000,496,29479987,19947650448,2767072374,8402126161,
cholesky,syrk,16384,512,20185088,1000000,496,55953722,8770037905,734366072,3017606031,
cholesky,gemm,16384,512,20185088,1000000,4960,552224889,155343725502,9371620245,49164461752,
cholesky,potrf,16384,512,20185088,2601000,32,1799663,534576373,58508891,210499905,
cholesky,trsm,16384,512,20185088,2601000,496,29160972,19947638412,2991115440,8635696057,
cholesky,syrk,16384,512,20185088,2601000,496,54759444,8770030791,1023448644,3309507841,
cholesky,gemm,16384,512,20185088,2601000,4960,552582559,155343710322,11484798869,51271589988,
cholesky,potrf,16384,1024,20185088,1000000,16,3960844,1472390141,145811617,553152692,
cholesky,trsm,16384,1024,20185088,1000000,120,44346435,26799748634,3221275820,10607394901,
cholesky,syrk,16384,1024,20185088,1000000,120,61857676,15646605198,973863331,4988841843,
cholesky,gemm,16384,1024,20185088,1000000,560,427746163,136855339154,6851513503,41719952905,
cholesky,potrf,16384,1024,20185088,2601000,16,3921494,1472389642,171306854,579329296,
cholesky,trsm,16384,1024,20185088,2601000,120,42771698,26799743848,3478783861,10867506980,
cholesky,syrk,16384,1024,20185088,2601000,120,60424189,15646603739,1318239825,5336702827,
cholesky,gemm,16384,1024,20185088,2601000,560,409136190,136855332133,8418739119,43299674161,
cholesky,potrf,16384,2048,20185088,1000000,8,10289070,4386207588,471717188,1667616234,
cholesky,trsm,16384,2048,20185088,1000000,28,94595293,38517301111,3674546417,13988066742,
cholesky,syrk,16384,2048,20185088,1000000,28,103874339,27989123981,1480173814,8585766324,
cholesky,gemm,16384,2048,20185088,1000000,56,394518348,108212507168,4897391326,32251675389,
cholesky,potrf,16384,2048,20185088,2601000,8,10048245,4386207409,537598542,1741305183,
cholesky,trsm,16384,2048,20185088,2601000,28,92373195,38517297407,4079158370,14426371837,
cholesky,syrk,16384,2048,20185088,2601000,28,101259711,27989122110,1975087764,9093318144,
cholesky,gemm,16384,2048,20185088,2601000,56,390120692,108212500653,5969936977,33379713613,
cholesky,potrf,20480,512,20185088,1000000,40,2310273,668215202,56566690,245540268,
cholesky,trsm,20480,512,20185088,1000000,780,46409611,31369277548,4354966389,13217958161,
cholesky,syrk,20480,512,20185088,1000000,780,87592676,13791587599,1151603452,4742660869,
cholesky,gemm,20480,512,20185088,1000000,9880,1109176965,309434638899,18671176777,97929225369,
cholesky,potrf,20480,512,20185088,2601000,40,2268747,668215492,72821435,264516056,
cholesky,trsm,20480,512,20185088,2601000,780,45731035,31369261937,4710967404,13643414211,
cholesky,syrk,20480,512,20185088,2601000,780,88051586,13791584685,1616490945,5211727544,
cholesky,gemm,20480,512,20185088,2601000,9880,1096268039,309434654385,22722977097,101983054462,
cholesky,potrf,20480,1024,20185088,1000000,20,5088786,1840482568,182058086,691393111,
cholesky,trsm,20480,1024,20185088,1000000,190,67463381,42432928865,5095818729,16791618691,
cholesky,syrk,20480,1024,20185088,1000000,190,99142864,24773791565,1541772873,7899029192,
cholesky,gemm,20480,1024,20185088,1000000,1140,839645054,278598339840,13948213734,84934600962,
cholesky,potrf,20480,1024,20185088,2601000,20,4867045,1840477526,214247190,729853870,
cholesky,trsm,20480,1024,20185088,2601000,190,66888485,42432929047,5502093708,17278703878,
cholesky,syrk,20480,1024,20185088,2601000,190,96115688,24773789074,2081588507,8444540575,
cholesky,gemm,20480,1024,20185088,2601000,1140,829128141,278598314068,17020787508,88019503755,
cholesky,potrf,20480,2048,20185088,1000000,10,12956902,5482754226,589287790,2091065236,
cholesky,trsm,20480,2048,20185088,1000000,45,153210530,61902804097,5908149016,22506829831,
cholesky,syrk,20480,2048,20185088,1000000,45,165778233,44982520486,2373528913,13792096080,
cholesky,gemm,20480,2048,20185088,1000000,120,840978072,231883942255,10466090036,69082907978,
cholesky,potrf,20480,2048,20185088,2601000,10,12706046,5482756649,672483364,2168531717,
cholesky,trsm,20480,2048,20185088,2601000,45,151447015,61902799153,6558749284,23153067089,
cholesky,syrk,20480,2048,20185088,2601000,45,162830246,44982517586,3159526143,14600669642,
cholesky,gemm,20480,2048,20185088,2601000,120,833777423,231883928641,12691056659,71422604612,
cholesky,potrf,24576,512,20185088,1000000,48,2802426,801854827,67680000,294967791,
cholesky,trsm,24576,512,20185088,1000000,1128,66451597,45364816912,6303112441,19130692058,
cholesky,syrk,24576,512,20185088,1000000,1128,127874704,19944753584,1666513702,6861798043,
cholesky,gemm,24576,512,20185088,1000000,17296,1942116882,541698543696,32684395263,171299736603,
cholesky,potrf,24576,512,20185088,2601000,48,2756011,801854763,88677477,316981543,
cholesky,trsm,24576,512,20185088,2601000,1128,67416986,45364801602,6822093967,19656870152,
cholesky,syrk,24576,512,20185088,2601000,1128,127429746,19944755523,2341355020,7542308863,
cholesky,gemm,24576,512,20185088,2601000,17296,1946397906,541698548587,39849624533,178608069444,
cholesky,potrf,24576,1024,20185088,1000000,24,5921814,2208574771,218389805,829151754,
cholesky,trsm,24576,1024,20185088,1000000,276,101061581,61639412977,7398535214,24383360567,
cholesky,syrk,24576,1024,20185088,1000000,276,143279106,35987187763,2239189549,11474342467,
cholesky,gemm,24576,1024,20185088,1000000,2024,1534916835,494634186693,24729764721,150747800139,
cholesky,potrf,24576,1024,20185088,2601000,24,5844394,2208569389,255399719,867052803,
cholesky,trsm,24576,1024,20185088,2601000,276,98190937,61639411285,7981822693,24978986497,
cholesky,syrk,24576,1024,20185088,2601000,276,140514950,35987188046,3025829113,12269622950,
cholesky,gemm,24576,1024,20185088,2601000,2024,1480904374,494634264481,30181622435,156225044368,
cholesky,potrf,24576,2048,20185088,1000000,12,15800083,6579304188,707641776,2499820492,
cholesky,trsm,24576,2048,20185088,1000000,66,227204531,90790779881,8656806364,32967250556,
cholesky,syrk,24576,2048,20185088,1000000,66,246782831,65974363631,3470326732,20216751409,
cholesky,gemm,24576,2048,20185088,1000000,220,1541331786,425120564046,19132655198,126584880441,
cholesky,potrf,24576,2048,20185088,2601000,12,15691827,6579303548,807293914,2601641906,
cholesky,trsm,24576,2048,20185088,2601000,66,226854656,90790772227,9606037352,33928857774,
cholesky,syrk,24576,2048,20185088,2601000,66,241186175,65974358500,4624984814,21401924256,
cholesky,gemm,24576,2048,20185088,2601000,220,1537223895,425120534792,23150707300,130821311515,
cholesky,potrf,28672,512,20185088,1000000,56,3319454,935493716,78649453,344028939,
cholesky,trsm,28672,512,20185088,1000000,1540,92569157,61934182818,8583790455,26074196771,
cholesky,syrk,28672,512,20185088,1000000,1540,176558325,27229551756,2271174766,9363510018,
cholesky,gemm,28672,512,20185088,1000000,27720,3124934159,868171042112,52430317394,274603193011,
