algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,40960,512,24,1,potrf,2189303905,2011545997,307741768,156288353,17.924600
cholesky,40960,512,24,1,gemm,2189303905,2011545997,307741768,156288353,17.924600
cholesky,40960,512,24,1,trsm,2189303905,2011545997,307741768,156288353,17.924600
cholesky,40960,512,24,1,syrk,2189303905,2011545997,307741768,156288353,17.924600
cholesky,40960,512,24,2,potrf,2228894684,2040497035,313363248,153129239,18.073300
cholesky,40960,512,24,2,gemm,2228894684,2040497035,313363248,153129239,18.073300
cholesky,40960,512,24,2,trsm,2228894684,2040497035,313363248,153129239,18.073300
cholesky,40960,512,24,2,syrk,2228894684,2040497035,313363248,153129239,18.073300
cholesky,40960,512,24,3,potrf,2833396921,2627162770,459492875,202913649,34.430700
cholesky,40960,512,24,3,gemm,2833396921,2627162770,459492875,202913649,34.430700
cholesky,40960,512,24,3,trsm,2833396921,2627162770,459492875,202913649,34.430700
cholesky,40960,512,24,3,syrk,2833396921,2627162770,459492875,202913649,34.430700
cholesky,40960,512,24,4,potrf,2861620604,2664931593,462987409,212782562,34.999700
cholesky,40960,512,24,4,gemm,2861620604,2664931593,462987409,212782562,34.999700
cholesky,40960,512,24,4,trsm,2861620604,2664931593,462987409,212782562,34.999700
cholesky,40960,512,24,4,syrk,2861620604,2664931593,462987409,212782562,34.999700
cholesky,40960,512,24,5,potrf,2252968781,2089919089,321436140,159845343,19.328500
cholesky,40960,512,24,5,gemm,2252968781,2089919089,321436140,159845343,19.328500
cholesky,40960,512,24,5,trsm,2252968781,2089919089,321436140,159845343,19.328500
cholesky,40960,512,24,5,syrk,2252968781,2089919089,321436140,159845343,19.328500
cholesky,40960,512,24,6,potrf,2262009896,2063599880,317910163,159296455,19.086000
cholesky,40960,512,24,6,gemm,2262009896,2063599880,317910163,159296455,19.086000
cholesky,40960,512,24,6,trsm,2262009896,2063599880,317910163,159296455,19.086000
cholesky,40960,512,24,6,syrk,2262009896,2063599880,317910163,159296455,19.086000
cholesky,40960,512,24,7,potrf,2925240680,2709339073,473154076,215087124,36.099900
cholesky,40960,512,24,7,gemm,2925240680,2709339073,473154076,215087124,36.099900
cholesky,40960,512,24,7,trsm,2925240680,2709339073,473154076,215087124,36.099900
cholesky,40960,512,24,7,syrk,2925240680,2709339073,473154076,215087124,36.099900
cholesky,40960,512,24,8,potrf,2831812941,2621308902,460820593,208971072,35.165900
cholesky,40960,512,24,8,gemm,2831812941,2621308902,460820593,208971072,35.165900
cholesky,40960,512,24,8,trsm,2831812941,2621308902,460820593,208971072,35.165900
cholesky,40960,512,24,8,syrk,2831812941,2621308902,460820593,208971072,35.165900
cholesky,40960,512,24,9,potrf,2222382434,2052663569,310894164,156900980,18.459400
cholesky,40960,512,24,9,gemm,2222382434,2052663569,310894164,156900980,18.459400
cholesky,40960,512,24,9,trsm,2222382434,2052663569,310894164,156900980,18.459400
cholesky,40960,512,24,9,syrk,2222382434,2052663569,310894164,156900980,18.459400
cholesky,40960,512,24,10,potrf,2265587279,2046269603,318187230,158015157,18.529700
cholesky,40960,512,24,10,gemm,2265587279,2046269603,318187230,158015157,18.529700
cholesky,40960,512,24,10,trsm,2265587279,2046269603,318187230,158015157,18.529700
cholesky,40960,512,24,10,syrk,2265587279,2046269603,318187230,158015157,18.529700
cholesky,40960,512,24,11,potrf,2915997662,2682550201,473473127,203752639,35.470700
cholesky,40960,512,24,11,gemm,2915997662,2682550201,473473127,203752639,35.470700
cholesky,40960,512,24,11,trsm,2915997662,2682550201,473473127,203752639,35.470700
cholesky,40960,512,24,11,syrk,2915997662,2682550201,473473127,203752639,35.470700
cholesky,40960,512,24,12,potrf,2855795057,2643429207,467299807,208476086,35.057800
cholesky,40960,512,24,12,gemm,2855795057,2643429207,467299807,208476086,35.057800
cholesky,40960,512,24,12,trsm,2855795057,2643429207,467299807,208476086,35.057800
cholesky,40960,512,24,12,syrk,2855795057,2643429207,467299807,208476086,35.057800
cholesky,40960,512,24,13,potrf,2215543889,2047719001,317681213,155467079,19.097900
cholesky,40960,512,24,13,gemm,2215543889,2047719001,317681213,155467079,19.097900
cholesky,40960,512,24,13,trsm,2215543889,2047719001,317681213,155467079,19.097900
cholesky,40960,512,24,13,syrk,2215543889,2047719001,317681213,155467079,19.097900
cholesky,40960,512,24,14,potrf,2349441251,2129155865,335277590,165198384,20.003800
cholesky,40960,512,24,14,gemm,2349441251,2129155865,335277590,165198384,20.003800
cholesky,40960,512,24,14,trsm,2349441251,2129155865,335277590,165198384,20.003800
cholesky,40960,512,24,14,syrk,2349441251,2129155865,335277590,165198384,20.003800
cholesky,40960,512,24,15,potrf,2912514394,2700960981,471645619,211632935,36.061600
cholesky,40960,512,24,15,gemm,2912514394,2700960981,471645619,211632935,36.061600
cholesky,40960,512,24,15,trsm,2912514394,2700960981,471645619,211632935,36.061600
cholesky,40960,512,24,15,syrk,2912514394,2700960981,471645619,211632935,36.061600
cholesky,40960,512,24,16,potrf,2896536469,2693988221,470191063,217904436,36.190500
cholesky,40960,512,24,16,gemm,2896536469,2693988221,470191063,217904436,36.190500
cholesky,40960,512,24,16,trsm,2896536469,2693988221,470191063,217904436,36.190500
cholesky,40960,512,24,16,syrk,2896536469,2693988221,470191063,217904436,36.190500
cholesky,40960,1024,24,1,potrf,1250333713,1194545526,165802183,105832120,10.095400
cholesky,40960,1024,24,1,gemm,1250333713,1194545526,165802183,105832120,10.095400
cholesky,40960,1024,24,1,trsm,1250333713,1194545526,165802183,105832120,10.095400
cholesky,40960,1024,24,1,syrk,1250333713,1194545526,165802183,105832120,10.095400
cholesky,40960,1024,24,2,potrf,1199953959,1147973623,159672407,101733708,9.677000
cholesky,40960,1024,24,2,gemm,1199953959,1147973623,159672407,101733708,9.677000
cholesky,40960,1024,24,2,trsm,1199953959,1147973623,159672407,101733708,9.677000
cholesky,40960,1024,24,2,syrk,1199953959,1147973623,159672407,101733708,9.677000
cholesky,40960,1024,24,3,potrf,1431153807,1391900063,210717505,149289796,17.277800
cholesky,40960,1024,24,3,gemm,1431153807,1391900063,210717505,149289796,17.277800
cholesky,40960,1024,24,3,trsm,1431153807,1391900063,210717505,149289796,17.277800
cholesky,40960,1024,24,3,syrk,1431153807,1391900063,210717505,149289796,17.277800
cholesky,40960,1024,24,4,potrf,1424678420,1364549302,206851655,145689262,17.308800
cholesky,40960,1024,24,4,gemm,1424678420,1364549302,206851655,145689262,17.308800
cholesky,40960,1024,24,4,trsm,1424678420,1364549302,206851655,145689262,17.308800
cholesky,40960,1024,24,4,syrk,1424678420,1364549302,206851655,145689262,17.308800
cholesky,40960,1024,24,5,potrf,1407664853,1339734302,195043298,119080818,12.170900
cholesky,40960,1024,24,5,gemm,1407664853,1339734302,195043298,119080818,12.170900
cholesky,40960,1024,24,5,trsm,1407664853,1339734302,195043298,119080818,12.170900
cholesky,40960,1024,24,5,syrk,1407664853,1339734302,195043298,119080818,12.170900
cholesky,40960,1024,24,6,potrf,1320507423,1253704859,177414776,113729337,11.483300
cholesky,40960,1024,24,6,gemm,1320507423,1253704859,177414776,113729337,11.483300
cholesky,40960,1024,24,6,trsm,1320507423,1253704859,177414776,113729337,11.483300
cholesky,40960,1024,24,6,syrk,1320507423,1253704859,177414776,113729337,11.483300
cholesky,40960,1024,24,7,potrf,1611222560,1555565354,246748455,167792499,20.262800
cholesky,40960,1024,24,7,gemm,1611222560,1555565354,246748455,167792499,20.262800
cholesky,40960,1024,24,7,trsm,1611222560,1555565354,246748455,167792499,20.262800
cholesky,40960,1024,24,7,syrk,1611222560,1555565354,246748455,167792499,20.262800
cholesky,40960,1024,24,8,potrf,1492490320,1438767435,225943913,154490159,18.849300
cholesky,40960,1024,24,8,gemm,1492490320,1438767435,225943913,154490159,18.849300
cholesky,40960,1024,24,8,trsm,1492490320,1438767435,225943913,154490159,18.849300
