algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
invert,8192,512,24,1,getrf,63574484,61037868,7808309,4518350,0.522500
invert,8192,512,24,1,gemm,63574484,61037868,7808309,4518350,0.522500
invert,8192,512,24,1,trsm,63574484,61037868,7808309,4518350,0.522500
invert,8192,512,24,1,getri,63574484,61037868,7808309,4518350,0.522500
invert,8192,512,24,2,getrf,73807489,69975285,8715905,5291857,0.624300
invert,8192,512,24,2,gemm,73807489,69975285,8715905,5291857,0.624300
invert,8192,512,24,2,trsm,73807489,69975285,8715905,5291857,0.624300
invert,8192,512,24,2,getri,73807489,69975285,8715905,5291857,0.624300
invert,8192,512,24,3,getrf,71567566,69079901,10778896,5802020,0.877800
invert,8192,512,24,3,gemm,71567566,69079901,10778896,5802020,0.877800
invert,8192,512,24,3,trsm,71567566,69079901,10778896,5802020,0.877800
invert,8192,512,24,3,getri,71567566,69079901,10778896,5802020,0.877800
invert,8192,512,24,4,getrf,75233389,72563840,11114471,6345400,0.940400
invert,8192,512,24,4,gemm,75233389,72563840,11114471,6345400,0.940400
invert,8192,512,24,4,trsm,75233389,72563840,11114471,6345400,0.940400
invert,8192,512,24,4,getri,75233389,72563840,11114471,6345400,0.940400
invert,8192,512,24,5,getrf,67206493,65526932,8674121,4822484,0.627500
invert,8192,512,24,5,gemm,67206493,65526932,8674121,4822484,0.627500
invert,8192,512,24,5,trsm,67206493,65526932,8674121,4822484,0.627500
invert,8192,512,24,5,getri,67206493,65526932,8674121,4822484,0.627500
invert,8192,512,24,6,getrf,78375165,72152525,9524495,5964200,0.721900
invert,8192,512,24,6,gemm,78375165,72152525,9524495,5964200,0.721900
invert,8192,512,24,6,trsm,78375165,72152525,9524495,5964200,0.721900
invert,8192,512,24,6,getri,78375165,72152525,9524495,5964200,0.721900
invert,8192,512,24,7,getrf,72173583,68318978,10813765,5631440,0.912100
invert,8192,512,24,7,gemm,72173583,68318978,10813765,5631440,0.912100
invert,8192,512,24,7,trsm,72173583,68318978,10813765,5631440,0.912100
invert,8192,512,24,7,getri,72173583,68318978,10813765,5631440,0.912100
invert,8192,512,24,8,getrf,77515060,75682180,11337040,6886928,1.024000
invert,8192,512,24,8,gemm,77515060,75682180,11337040,6886928,1.024000
invert,8192,512,24,8,trsm,77515060,75682180,11337040,6886928,1.024000
invert,8192,512,24,8,getri,77515060,75682180,11337040,6886928,1.024000
invert,8192,512,24,9,getrf,64637407,61952906,8002634,4477759,0.531900
invert,8192,512,24,9,gemm,64637407,61952906,8002634,4477759,0.531900
invert,8192,512,24,9,trsm,64637407,61952906,8002634,4477759,0.531900
invert,8192,512,24,9,getri,64637407,61952906,8002634,4477759,0.531900
invert,8192,512,24,10,getrf,72724545,70501773,8732964,5192055,0.619200
invert,8192,512,24,10,gemm,72724545,70501773,8732964,5192055,0.619200
invert,8192,512,24,10,trsm,72724545,70501773,8732964,5192055,0.619200
invert,8192,512,24,10,getri,72724545,70501773,8732964,5192055,0.619200
invert,8192,512,24,11,getrf,71217164,69119024,10559632,6212932,0.872000
invert,8192,512,24,11,gemm,71217164,69119024,10559632,6212932,0.872000
invert,8192,512,24,11,trsm,71217164,69119024,10559632,6212932,0.872000
invert,8192,512,24,11,getri,71217164,69119024,10559632,6212932,0.872000
invert,8192,512,24,12,getrf,76944871,74269524,11344537,6030510,0.984800
invert,8192,512,24,12,gemm,76944871,74269524,11344537,6030510,0.984800
invert,8192,512,24,12,trsm,76944871,74269524,11344537,6030510,0.984800
invert,8192,512,24,12,getri,76944871,74269524,11344537,6030510,0.984800
invert,8192,512,24,13,getrf,69015021,65092912,8543122,5171874,0.623700
invert,8192,512,24,13,gemm,69015021,65092912,8543122,5171874,0.623700
invert,8192,512,24,13,trsm,69015021,65092912,8543122,5171874,0.623700
invert,8192,512,24,13,getri,69015021,65092912,8543122,5171874,0.623700
invert,8192,512,24,14,getrf,73399226,71749328,9310922,5663662,0.709500
invert,8192,512,24,14,gemm,73399226,71749328,9310922,5663662,0.709500
invert,8192,512,24,14,trsm,73399226,71749328,9310922,5663662,0.709500
invert,8192,512,24,14,getri,73399226,71749328,9310922,5663662,0.709500
invert,8192,512,24,15,getrf,72333860,69855412,10732873,6553679,0.918700
invert,8192,512,24,15,gemm,72333860,69855412,10732873,6553679,0.918700
invert,8192,512,24,15,trsm,72333860,69855412,10732873,6553679,0.918700
invert,8192,512,24,15,getri,72333860,69855412,10732873,6553679,0.918700
invert,8192,512,24,16,getrf,75800832,71894592,11428809,5663601,0.993900
invert,8192,512,24,16,gemm,75800832,71894592,11428809,5663601,0.993900
invert,8192,512,24,16,trsm,75800832,71894592,11428809,5663601,0.993900
invert,8192,512,24,16,getri,75800832,71894592,11428809,5663601,0.993900
invert,8192,1024,24,1,getrf,103696451,104764075,11728445,8301137,1.055700
invert,8192,1024,24,1,gemm,103696451,104764075,11728445,8301137,1.055700
invert,8192,1024,24,1,trsm,103696451,104764075,11728445,8301137,1.055700
invert,8192,1024,24,1,getri,103696451,104764075,11728445,8301137,1.055700
invert,8192,1024,24,2,getrf,133919213,136200701,14189832,10252989,1.316200
invert,8192,1024,24,2,gemm,133919213,136200701,14189832,10252989,1.316200
invert,8192,1024,24,2,trsm,133919213,136200701,14189832,10252989,1.316200
invert,8192,1024,24,2,getri,133919213,136200701,14189832,10252989,1.316200
invert,8192,1024,24,3,getrf,108419766,110279320,14574872,8930472,1.522200
invert,8192,1024,24,3,gemm,108419766,110279320,14574872,8930472,1.522200
invert,8192,1024,24,3,trsm,108419766,110279320,14574872,8930472,1.522200
invert,8192,1024,24,3,getri,108419766,110279320,14574872,8930472,1.522200
invert,8192,1024,24,4,getrf,129963290,130289522,17266142,10598218,1.936200
invert,8192,1024,24,4,gemm,129963290,130289522,17266142,10598218,1.936200
invert,8192,1024,24,4,trsm,129963290,130289522,17266142,10598218,1.936200
invert,8192,1024,24,4,getri,129963290,130289522,17266142,10598218,1.936200
invert,8192,1024,24,5,getrf,117350408,115144175,13262744,9345224,1.257600
invert,8192,1024,24,5,gemm,117350408,115144175,13262744,9345224,1.257600
invert,8192,1024,24,5,trsm,117350408,115144175,13262744,9345224,1.257600
invert,8192,1024,24,5,getri,117350408,115144175,13262744,9345224,1.257600
invert,8192,1024,24,6,getrf,153776462,148001025,16151261,12641992,1.603900
invert,8192,1024,24,6,gemm,153776462,148001025,16151261,12641992,1.603900
invert,8192,1024,24,6,trsm,153776462,148001025,16151261,12641992,1.603900
invert,8192,1024,24,6,getri,153776462,148001025,16151261,12641992,1.603900
invert,8192,1024,24,7,getrf,110380089,110759177,15288066,8937296,1.660400
invert,8192,1024,24,7,gemm,110380089,110759177,15288066,8937296,1.660400
invert,8192,1024,24,7,trsm,110380089,110759177,15288066,8937296,1.660400
invert,8192,1024,24,7,getri,110380089,110759177,15288066,8937296,1.660400
invert,8192,1024,24,9,getrf,100630419,97842340,11060661,7619171,0.965600
invert,8192,1024,24,9,gemm,100630419,97842340,11060661,7619171,0.965600
invert,8192,1024,24,9,trsm,100630419,97842340,11060661,7619171,0.965600
invert,8192,1024,24,9,getri,100630419,97842340,11060661,7619171,0.965600
invert,8192,1024,24,10,getrf,133702966,135496602,14006293,10445922,1.312400
