algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
lu,40960,512,24,1,getrfpiv,5113316378,4660561678,786405389,377882123,44.446100
lu,40960,512,24,1,gemm,5113316378,4660561678,786405389,377882123,44.446100
lu,40960,512,24,1,trsmswp,5113316378,4660561678,786405389,377882123,44.446100
lu,40960,512,24,1,geswp,5113316378,4660561678,786405389,377882123,44.446100
lu,40960,512,24,2,getrfpiv,5153870595,4708905425,795893408,370434160,44.678100
lu,40960,512,24,2,gemm,5153870595,4708905425,795893408,370434160,44.678100
lu,40960,512,24,2,trsmswp,5153870595,4708905425,795893408,370434160,44.678100
lu,40960,512,24,2,geswp,5153870595,4708905425,795893408,370434160,44.678100
lu,40960,512,24,3,getrfpiv,6321217827,5907707960,1102031521,486286724,79.898600
lu,40960,512,24,3,gemm,6321217827,5907707960,1102031521,486286724,79.898600
lu,40960,512,24,3,trsmswp,6321217827,5907707960,1102031521,486286724,79.898600
lu,40960,512,24,3,geswp,6321217827,5907707960,1102031521,486286724,79.898600
lu,40960,512,24,4,getrfpiv,6379828577,5836053969,1108477044,479548543,80.950900
lu,40960,512,24,4,gemm,6379828577,5836053969,1108477044,479548543,80.950900
lu,40960,512,24,4,trsmswp,6379828577,5836053969,1108477044,479548543,80.950900
lu,40960,512,24,4,geswp,6379828577,5836053969,1108477044,479548543,80.950900
lu,40960,512,24,5,getrfpiv,5036567489,4672463686,793392195,384853966,45.524900
lu,40960,512,24,5,gemm,5036567489,4672463686,793392195,384853966,45.524900
lu,40960,512,24,5,trsmswp,5036567489,4672463686,793392195,384853966,45.524900
lu,40960,512,24,5,geswp,5036567489,4672463686,793392195,384853966,45.524900
lu,40960,512,24,6,getrfpiv,5020471218,4586916663,797542993,377293395,45.396400
lu,40960,512,24,6,gemm,5020471218,4586916663,797542993,377293395,45.396400
lu,40960,512,24,6,trsmswp,5020471218,4586916663,797542993,377293395,45.396400
lu,40960,512,24,6,geswp,5020471218,4586916663,797542993,377293395,45.396400
lu,40960,512,24,7,getrfpiv,6309784750,5898468847,1117512505,485693681,81.804500
lu,40960,512,24,7,gemm,6309784750,5898468847,1117512505,485693681,81.804500
lu,40960,512,24,7,trsmswp,6309784750,5898468847,1117512505,485693681,81.804500
lu,40960,512,24,7,geswp,6309784750,5898468847,1117512505,485693681,81.804500
lu,40960,512,24,8,getrfpiv,6234482697,5855478784,1114760417,478095792,82.013800
lu,40960,512,24,8,gemm,6234482697,5855478784,1114760417,478095792,82.013800
lu,40960,512,24,8,trsmswp,6234482697,5855478784,1114760417,478095792,82.013800
lu,40960,512,24,8,geswp,6234482697,5855478784,1114760417,478095792,82.013800
lu,40960,512,24,9,getrfpiv,5116078699,4630498216,792431079,378400228,44.684200
lu,40960,512,24,9,gemm,5116078699,4630498216,792431079,378400228,44.684200
lu,40960,512,24,9,trsmswp,5116078699,4630498216,792431079,378400228,44.684200
lu,40960,512,24,9,geswp,5116078699,4630498216,792431079,378400228,44.684200
lu,40960,512,24,10,getrfpiv,5064634556,4581590139,789856273,372908843,44.440900
lu,40960,512,24,10,gemm,5064634556,4581590139,789856273,372908843,44.440900
lu,40960,512,24,10,trsmswp,5064634556,4581590139,789856273,372908843,44.440900
lu,40960,512,24,10,geswp,5064634556,4581590139,789856273,372908843,44.440900
lu,40960,512,24,11,getrfpiv,6380260033,5921168313,1111257207,468622063,80.316700
lu,40960,512,24,11,gemm,6380260033,5921168313,1111257207,468622063,80.316700
lu,40960,512,24,11,trsmswp,6380260033,5921168313,1111257207,468622063,80.316700
lu,40960,512,24,11,geswp,6380260033,5921168313,1111257207,468622063,80.316700
lu,40960,512,24,12,getrfpiv,6247349913,5827118139,1109047519,474499007,80.361600
lu,40960,512,24,12,gemm,6247349913,5827118139,1109047519,474499007,80.361600
lu,40960,512,24,12,trsmswp,6247349913,5827118139,1109047519,474499007,80.361600
lu,40960,512,24,12,geswp,6247349913,5827118139,1109047519,474499007,80.361600
lu,40960,512,24,13,getrfpiv,5011635181,4561154522,800243443,376857497,45.494600
lu,40960,512,24,13,gemm,5011635181,4561154522,800243443,376857497,45.494600
lu,40960,512,24,13,trsmswp,5011635181,4561154522,800243443,376857497,45.494600
lu,40960,512,24,13,geswp,5011635181,4561154522,800243443,376857497,45.494600
lu,40960,512,24,14,getrfpiv,4975982135,4611720799,793553701,375943261,45.237900
lu,40960,512,24,14,gemm,4975982135,4611720799,793553701,375943261,45.237900
lu,40960,512,24,14,trsmswp,4975982135,4611720799,793553701,375943261,45.237900
lu,40960,512,24,14,geswp,4975982135,4611720799,793553701,375943261,45.237900
lu,40960,512,24,15,getrfpiv,6242382152,5795768244,1111585790,478374880,81.689900
lu,40960,512,24,15,gemm,6242382152,5795768244,1111585790,478374880,81.689900
lu,40960,512,24,15,trsmswp,6242382152,5795768244,1111585790,478374880,81.689900
lu,40960,512,24,15,geswp,6242382152,5795768244,1111585790,478374880,81.689900
lu,40960,512,24,16,getrfpiv,6233851412,5760372705,1115826750,462855737,81.825600
lu,40960,512,24,16,gemm,6233851412,5760372705,1115826750,462855737,81.825600
lu,40960,512,24,16,trsmswp,6233851412,5760372705,1115826750,462855737,81.825600
lu,40960,512,24,16,geswp,6233851412,5760372705,1115826750,462855737,81.825600
lu,40960,1024,24,1,getrfpiv,6935922979,6682779096,905270859,530227405,61.859300
lu,40960,1024,24,1,gemm,6935922979,6682779096,905270859,530227405,61.859300
lu,40960,1024,24,1,trsmswp,6935922979,6682779096,905270859,530227405,61.859300
lu,40960,1024,24,1,geswp,6935922979,6682779096,905270859,530227405,61.859300
lu,40960,1024,24,2,getrfpiv,7088697185,6767135569,923148802,514710773,62.717900
lu,40960,1024,24,2,gemm,7088697185,6767135569,923148802,514710773,62.717900
lu,40960,1024,24,2,trsmswp,7088697185,6767135569,923148802,514710773,62.717900
lu,40960,1024,24,2,geswp,7088697185,6767135569,923148802,514710773,62.717900
lu,40960,1024,24,3,getrfpiv,9701824101,9077438737,1379652592,921929759,121.564200
lu,40960,1024,24,3,gemm,9701824101,9077438737,1379652592,921929759,121.564200
lu,40960,1024,24,3,trsmswp,9701824101,9077438737,1379652592,921929759,121.564200
lu,40960,1024,24,3,geswp,9701824101,9077438737,1379652592,921929759,121.564200
lu,40960,1024,24,4,getrfpiv,9357886505,8897130360,1380664824,892564286,121.116200
lu,40960,1024,24,4,gemm,9357886505,8897130360,1380664824,892564286,121.116200
lu,40960,1024,24,4,trsmswp,9357886505,8897130360,1380664824,892564286,121.116200
lu,40960,1024,24,4,geswp,9357886505,8897130360,1380664824,892564286,121.116200
lu,40960,1024,24,5,getrfpiv,6303160927,6206662333,919315066,536154411,63.928400
lu,40960,1024,24,5,gemm,6303160927,6206662333,919315066,536154411,63.928400
lu,40960,1024,24,5,trsmswp,6303160927,6206662333,919315066,536154411,63.928400
lu,40960,1024,24,5,geswp,6303160927,6206662333,919315066,536154411,63.928400
lu,40960,1024,24,6,getrfpiv,6233924837,6036909960,910254727,527088749,62.895500
lu,40960,1024,24,6,gemm,6233924837,6036909960,910254727,527088749,62.895500
lu,40960,1024,24,6,trsmswp,6233924837,6036909960,910254727,527088749,62.895500
lu,40960,1024,24,6,geswp,6233924837,6036909960,910254727,527088749,62.895500
lu,40960,1024,24,7,getrfpiv,8573492517,8258708838,1354796242,770015754,122.985700
lu,40960,1024,24,7,gemm,8573492517,8258708838,1354796242,770015754,122.985700
lu,40960,1024,24,7,trsmswp,8573492517,8258708838,1354796242,770015754,122.985700
lu,40960,1024,24,7,geswp,8573492517,8258708838,1354796242,770015754,122.985700
lu,40960,1024,24,8,getrfpiv,8510542361,8080618779,1379702010,713289672,124.606100
lu,40960,1024,24,8,gemm,8510542361,8080618779,1379702010,713289672,124.606100
lu,40960,1024,24,8,trsmswp,8510542361,8080618779,1379702010,713289672,124.606100
lu,40960,1024,24,8,geswp,8510542361,8080618779,1379702010,713289672,124.606100
lu,40960,1024,24,9,getrfpiv,6734295077,6406775530,902461810,538590493,61.880900
lu,40960,1024,24,9,gemm,6734295077,6406775530,902461810,538590493,61.880900
lu,40960,1024,24,9,trsmswp,6734295077,6406775530,902461810,538590493,61.880900
lu,40960,1024,24,9,geswp,6734295077,6406775530,902461810,538590493,61.880900
