algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
qr,24576,512,24,1,geqrt,3781138392,3802383882,406011770,588153237,30.794500
qr,24576,512,24,1,ormqr,3781138392,3802383882,406011770,588153237,30.794500
qr,24576,512,24,1,tsmqr,3781138392,3802383882,406011770,588153237,30.794500
qr,24576,512,24,1,tsqrt,3781138392,3802383882,406011770,588153237,30.794500
qr,24576,512,24,2,geqrt,3825034275,3835076913,411688208,588720774,31.157700
qr,24576,512,24,2,ormqr,3825034275,3835076913,411688208,588720774,31.157700
qr,24576,512,24,2,tsmqr,3825034275,3835076913,411688208,588720774,31.157700
qr,24576,512,24,2,tsqrt,3825034275,3835076913,411688208,588720774,31.157700
qr,24576,512,24,3,geqrt,3781160792,3813053715,405950631,589148042,30.991600
qr,24576,512,24,3,ormqr,3781160792,3813053715,405950631,589148042,30.991600
qr,24576,512,24,3,tsmqr,3781160792,3813053715,405950631,589148042,30.991600
qr,24576,512,24,3,tsqrt,3781160792,3813053715,405950631,589148042,30.991600
qr,24576,512,24,4,geqrt,3853219628,3879590227,416662085,593164369,31.797800
qr,24576,512,24,4,ormqr,3853219628,3879590227,416662085,593164369,31.797800
qr,24576,512,24,4,tsmqr,3853219628,3879590227,416662085,593164369,31.797800
qr,24576,512,24,4,tsqrt,3853219628,3879590227,416662085,593164369,31.797800
qr,24576,512,24,5,geqrt,4191645763,4298552533,532645403,770825613,48.959400
qr,24576,512,24,5,ormqr,4191645763,4298552533,532645403,770825613,48.959400
qr,24576,512,24,5,tsmqr,4191645763,4298552533,532645403,770825613,48.959400
qr,24576,512,24,5,tsqrt,4191645763,4298552533,532645403,770825613,48.959400
qr,24576,512,24,6,geqrt,4215568554,4299112285,543249312,768686718,49.474100
qr,24576,512,24,6,ormqr,4215568554,4299112285,543249312,768686718,49.474100
qr,24576,512,24,6,tsmqr,4215568554,4299112285,543249312,768686718,49.474100
qr,24576,512,24,6,tsqrt,4215568554,4299112285,543249312,768686718,49.474100
qr,24576,512,24,7,geqrt,4182990756,4306747398,541664829,775212659,49.597800
qr,24576,512,24,7,ormqr,4182990756,4306747398,541664829,775212659,49.597800
qr,24576,512,24,7,tsmqr,4182990756,4306747398,541664829,775212659,49.597800
qr,24576,512,24,7,tsqrt,4182990756,4306747398,541664829,775212659,49.597800
qr,24576,512,24,8,geqrt,4209628505,4320462572,546708321,776592091,50.117800
qr,24576,512,24,8,ormqr,4209628505,4320462572,546708321,776592091,50.117800
qr,24576,512,24,8,tsmqr,4209628505,4320462572,546708321,776592091,50.117800
qr,24576,512,24,8,tsqrt,4209628505,4320462572,546708321,776592091,50.117800
qr,24576,512,24,9,geqrt,3959747553,4087641941,445704667,629156303,34.914300
qr,24576,512,24,9,ormqr,3959747553,4087641941,445704667,629156303,34.914300
qr,24576,512,24,9,tsmqr,3959747553,4087641941,445704667,629156303,34.914300
qr,24576,512,24,9,tsqrt,3959747553,4087641941,445704667,629156303,34.914300
qr,24576,512,24,10,geqrt,3994332853,4131001205,449122534,632783949,35.252200
qr,24576,512,24,10,ormqr,3994332853,4131001205,449122534,632783949,35.252200
qr,24576,512,24,10,tsmqr,3994332853,4131001205,449122534,632783949,35.252200
qr,24576,512,24,10,tsqrt,3994332853,4131001205,449122534,632783949,35.252200
qr,24576,512,24,11,geqrt,3951605850,4093982561,447197871,634360201,35.361500
qr,24576,512,24,11,ormqr,3951605850,4093982561,447197871,634360201,35.361500
qr,24576,512,24,11,tsmqr,3951605850,4093982561,447197871,634360201,35.361500
qr,24576,512,24,11,tsqrt,3951605850,4093982561,447197871,634360201,35.361500
qr,24576,512,24,12,geqrt,3995647241,4131838422,451319201,637776140,35.886200
qr,24576,512,24,12,ormqr,3995647241,4131838422,451319201,637776140,35.886200
qr,24576,512,24,12,tsmqr,3995647241,4131838422,451319201,637776140,35.886200
qr,24576,512,24,12,tsqrt,3995647241,4131838422,451319201,637776140,35.886200
qr,24576,512,24,13,geqrt,4406035168,4490297892,579168250,811879521,54.087500
