algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,8192,512,1,23866455,20729439,3867396,2666194,0.229792
cholesky,8192,512,2,24236572,21059822,3864214,2703786,0.240302
cholesky,8192,512,3,27678274,23873657,3182523,2057544,0.191979
cholesky,8192,512,4,26829704,24257202,3140050,2028749,0.192487
cholesky,8192,512,5,23833191,20568429,3638585,2463484,0.209188
cholesky,8192,512,6,23866516,20521920,3605062,2440855,0.201843
cholesky,8192,512,7,28936755,25419429,3089239,1931349,0.185942
cholesky,8192,512,8,28658251,24655760,2996535,1846328,0.172730
cholesky,8192,512,9,24060913,20761300,3811459,2650113,0.229941
cholesky,8192,512,10,23794739,20572274,3791753,2599562,0.223855
cholesky,8192,512,11,27983937,25115659,3158991,2010894,0.192918
cholesky,8192,512,12,28013234,24552977,3115218,1979529,0.187238
cholesky,8192,512,13,23824707,20588509,3533627,2389432,0.198890
cholesky,8192,512,14,24023315,20908028,3560846,2394128,0.206011
cholesky,8192,512,15,29645676,26016412,3049091,1878549,0.178355
cholesky,8192,512,16,29926498,25826472,3017956,1842808,0.176040
cholesky,8192,1024,1,27183280,24657529,4241604,3358028,0.304909
cholesky,8192,1024,2,28501575,24819578,4261096,3300944,0.295283
cholesky,8192,1024,3,29140794,26179193,3773760,2994072,0.249323
cholesky,8192,1024,4,27793996,24328490,3369152,2548567,0.242954
cholesky,8192,1024,5,26897636,23807739,3921833,3045404,0.260581
cholesky,8192,1024,6,25010129,23433289,3668557,2827593,0.229660
cholesky,8192,1024,7,26681938,24059326,3050820,2168378,0.196611
cholesky,8192,1024,8,26730950,22772036,2839313,2036797,0.176224
cholesky,8192,1024,9,29007189,26673272,4344542,3484651,0.306655
cholesky,8192,1024,10,29722336,26149774,4162135,3386548,0.286218
cholesky,8192,1024,11,29229662,26633050,3467302,2671303,0.247310
cholesky,8192,1024,12,30581892,26842888,3438277,2550571,0.237042
cholesky,8192,1024,13,27365470,25381344,3872262,3029415,0.265496
cholesky,8192,1024,14,26493829,24070800,3640314,2790766,0.232988
cholesky,8192,1024,15,28392872,27057426,3107185,2240792,0.208603
cholesky,8192,1024,16,29601487,26861931,2957062,2066755,0.190986
cholesky,8192,2048,1,97153438,89071427,14263839,12646766,1.398980
cholesky,8192,2048,2,95013368,82929048,12681558,11372246,1.239750
cholesky,8192,2048,3,80066263,71493286,11224922,9882561,1.073190
cholesky,8192,2048,4,74687308,67151806,9995827,8745725,0.943653
cholesky,8192,2048,5,75055105,79352153,10890341,9923657,1.046720
cholesky,8192,2048,6,88432452,68833137,10676707,8794211,0.963094
cholesky,8192,2048,7,63208700,56470010,8407273,7189424,0.773276
cholesky,8192,2048,8,62191003,50666374,7409331,6074161,0.649135
cholesky,8192,2048,9,98214104,92029305,13432283,12377516,1.349270
cholesky,8192,2048,10,104482277,90230848,13109668,11448868,1.260220
cholesky,8192,2048,11,74311456,69158392,10285165,9105750,0.987094
cholesky,8192,2048,12,81634984,71542603,10299577,8698891,0.954796
cholesky,8192,2048,13,85564479,78273360,10792651,9274875,1.040050
cholesky,8192,2048,14,89346756,75906850,10528466,8654736,0.951986
cholesky,8192,2048,15,60528837,53727463,7793040,6467861,0.691746
cholesky,8192,2048,16,64877946,55037396,7650627,6139860,0.653547
