algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
cholesky,potrf,8192,256,37486592,1000000,32,41390080,
cholesky,trsm,8192,256,37486592,1000000,496,1503014912,
cholesky,syrk,8192,256,37486592,1000000,496,1176878048,
cholesky,gemm,8192,256,37486592,1000000,4960,20885032320,
cholesky,potrf,8192,256,37486592,4000000,32,41390080,
cholesky,trsm,8192,256,37486592,4000000,496,1503014912,
cholesky,syrk,8192,256,37486592,4000000,496,1176878048,
cholesky,gemm,8192,256,37486592,4000000,4960,20885032320,
cholesky,potrf,8192,512,37486592,1000000,16,127662080,
cholesky,trsm,8192,512,37486592,1000000,120,2463068160,
cholesky,syrk,8192,512,37486592,1000000,120,2149478640,
cholesky,gemm,8192,512,37486592,1000000,560,18863884480,
cholesky,potrf,8192,512,37486592,4000000,16,127662080,
cholesky,trsm,8192,512,37486592,4000000,120,2463068160,
cholesky,syrk,8192,512,37486592,4000000,120,2149478640,
cholesky,gemm,8192,512,37486592,4000000,560,18863884480,
cholesky,potrf,8192,1024,37486592,1000000,8,435470336,
cholesky,trsm,8192,1024,37486592,1000000,28,4182585344,
cholesky,syrk,8192,1024,37486592,1000000,28,3888310328,
cholesky,gemm,8192,1024,37486592,1000000,56,15076425952,
cholesky,potrf,8192,1024,37486592,4000000,8,435470336,
cholesky,trsm,8192,1024,37486592,4000000,28,4182585344,
cholesky,syrk,8192,1024,37486592,4000000,28,3888310328,
cholesky,gemm,8192,1024,37486592,4000000,56,15076425952,
cholesky,potrf,8192,2048,37486592,1000000,4,1586867584,
cholesky,trsm,8192,2048,37486592,1000000,6,6814543872,
cholesky,syrk,8192,2048,37486592,1000000,6,6563500044,
cholesky,gemm,8192,2048,37486592,1000000,4,8615100432,
cholesky,potrf,8192,2048,37486592,4000000,4,1586867584,
cholesky,trsm,8192,2048,37486592,4000000,6,6814543872,
cholesky,syrk,8192,2048,37486592,4000000,6,6563500044,
cholesky,gemm,8192,2048,37486592,4000000,4,8615100432,
cholesky,potrf,10240,256,37486592,1000000,40,51737600,
cholesky,trsm,10240,256,37486592,1000000,780,2363612160,
cholesky,syrk,10240,256,37486592,1000000,780,1850735640,
cholesky,gemm,10240,256,37486592,1000000,9880,41601636960,
cholesky,potrf,10240,256,37486592,4000000,40,51737600,
cholesky,trsm,10240,256,37486592,4000000,780,2363612160,
cholesky,syrk,10240,256,37486592,4000000,780,1850735640,
cholesky,gemm,10240,256,37486592,4000000,9880,41601636960,
cholesky,potrf,10240,512,37486592,1000000,20,159577600,
cholesky,trsm,10240,512,37486592,1000000,190,3899857920,
cholesky,syrk,10240,512,37486592,1000000,190,3403341180,
cholesky,gemm,10240,512,37486592,1000000,1140,38401479120,
cholesky,potrf,10240,512,37486592,4000000,20,159577600,
cholesky,trsm,10240,512,37486592,4000000,190,3899857920,
cholesky,syrk,10240,512,37486592,4000000,190,3403341180,
cholesky,gemm,10240,512,37486592,4000000,1140,38401479120,
cholesky,potrf,10240,1024,37486592,1000000,10,544337920,
cholesky,trsm,10240,1024,37486592,1000000,45,6722012160,
cholesky,syrk,10240,1024,37486592,1000000,45,6249070170,
cholesky,gemm,10240,1024,37486592,1000000,120,32306627040,
cholesky,potrf,10240,1024,37486592,4000000,10,544337920,
cholesky,trsm,10240,1024,37486592,4000000,45,6722012160,
cholesky,syrk,10240,1024,37486592,4000000,45,6249070170,
cholesky,gemm,10240,1024,37486592,4000000,120,32306627040,
cholesky,potrf,10240,2048,37486592,1000000,5,1983584480,
cholesky,trsm,10240,2048,37486592,1000000,10,11357573120,
cholesky,syrk,10240,2048,37486592,1000000,10,10939166740,
cholesky,gemm,10240,2048,37486592,1000000,10,21537751080,
cholesky,potrf,10240,2048,37486592,4000000,5,1983584480,
cholesky,trsm,10240,2048,37486592,4000000,10,11357573120,
cholesky,syrk,10240,2048,37486592,4000000,10,10939166740,
cholesky,gemm,10240,2048,37486592,4000000,10,21537751080,
cholesky,potrf,12288,256,37486592,1000000,48,62085120,
cholesky,trsm,12288,256,37486592,1000000,1128,3418146816,
cholesky,syrk,12288,256,37486592,1000000,1128,2676448464,
cholesky,gemm,12288,256,37486592,1000000,17296,72828128832,
cholesky,potrf,12288,256,37486592,4000000,48,62085120,
cholesky,trsm,12288,256,37486592,4000000,1128,3418146816,
cholesky,syrk,12288,256,37486592,4000000,1128,2676448464,
cholesky,gemm,12288,256,37486592,4000000,17296,72828128832,
cholesky,potrf,12288,512,37486592,1000000,24,191493120,
cholesky,trsm,12288,512,37486592,1000000,276,5665056768,
cholesky,syrk,12288,512,37486592,1000000,276,4943800872,
cholesky,gemm,12288,512,37486592,1000000,2024,68179468192,
cholesky,potrf,12288,512,37486592,4000000,24,191493120,
cholesky,trsm,12288,512,37486592,4000000,276,5665056768,
cholesky,syrk,12288,512,37486592,4000000,276,4943800872,
cholesky,gemm,12288,512,37486592,4000000,2024,68179468192,
cholesky,potrf,12288,1024,37486592,1000000,12,653205504,
cholesky,trsm,12288,1024,37486592,1000000,66,9858951168,
cholesky,syrk,12288,1024,37486592,1000000,66,9165302916,
cholesky,gemm,12288,1024,37486592,1000000,220,59228816240,
cholesky,potrf,12288,1024,37486592,4000000,12,653205504,
cholesky,trsm,12288,1024,37486592,4000000,66,9858951168,
cholesky,syrk,12288,1024,37486592,4000000,66,9165302916,
cholesky,gemm,12288,1024,37486592,4000000,220,59228816240,
cholesky,potrf,12288,2048,37486592,1000000,6,2380301376,
cholesky,trsm,12288,2048,37486592,1000000,15,17036359680,
cholesky,syrk,12288,2048,37486592,1000000,15,16408750110,
cholesky,gemm,12288,2048,37486592,1000000,20,43075502160,
cholesky,potrf,12288,2048,37486592,4000000,6,2380301376,
cholesky,trsm,12288,2048,37486592,4000000,15,17036359680,
cholesky,syrk,12288,2048,37486592,4000000,15,16408750110,
cholesky,gemm,12288,2048,37486592,4000000,20,43075502160,
cholesky,potrf,14336,256,37486592,1000000,56,72432640,
cholesky,trsm,14336,256,37486592,1000000,1540,4666618880,
cholesky,syrk,14336,256,37486592,1000000,1540,3654016520,
cholesky,gemm,14336,256,37486592,1000000,27720,116720382240,
cholesky,potrf,14336,256,37486592,4000000,56,72432640,
cholesky,trsm,14336,256,37486592,4000000,1540,4666618880,
cholesky,syrk,14336,256,37486592,4000000,1540,3654016520,
cholesky,gemm,14336,256,37486592,4000000,27720,116720382240,
cholesky,potrf,14336,512,37486592,1000000,28,223408640,
cholesky,trsm,14336,512,37486592,1000000,378,7758664704,
cholesky,syrk,14336,512,37486592,1000000,378,6770857716,
cholesky,gemm,14336,512,37486592,1000000,3276,110353724208,
cholesky,potrf,14336,512,37486592,4000000,28,223408640,
cholesky,trsm,14336,512,37486592,4000000,378,7758664704,
cholesky,syrk,14336,512,37486592,4000000,378,6770857716,
cholesky,gemm,14336,512,37486592,4000000,3276,110353724208,
cholesky,potrf,14336,1024,37486592,1000000,14,762073088,
cholesky,trsm,14336,1024,37486592,1000000,91,13593402368,
cholesky,syrk,14336,1024,37486592,1000000,91,12637008566,
cholesky,gemm,14336,1024,37486592,1000000,364,97996768688,
cholesky,potrf,14336,1024,37486592,4000000,14,762073088,
cholesky,trsm,14336,1024,37486592,4000000,91,13593402368,
cholesky,syrk,14336,1024,37486592,4000000,91,12637008566,
cholesky,gemm,14336,1024,37486592,4000000,364,97996768688,
cholesky,potrf,14336,2048,37486592,1000000,7,2777018272,
cholesky,trsm,14336,2048,37486592,1000000,21,23850903552,
cholesky,syrk,14336,2048,37486592,1000000,21,22972250154,
cholesky,gemm,14336,2048,37486592,1000000,35,75382128780,
cholesky,potrf,14336,2048,37486592,4000000,7,2777018272,
cholesky,trsm,14336,2048,37486592,4000000,21,23850903552,
cholesky,syrk,14336,2048,37486592,4000000,21,22972250154,
cholesky,gemm,14336,2048,37486592,4000000,35,75382128780,
cholesky,potrf,16384,256,37486592,1000000,64,82780160,
cholesky,trsm,16384,256,37486592,1000000,2016,6109028352,
cholesky,syrk,16384,256,37486592,1000000,2016,4783439808,
cholesky,gemm,16384,256,37486592,1000000,41664,175434271488,
cholesky,potrf,16384,256,37486592,4000000,64,82780160,
cholesky,trsm,16384,256,37486592,4000000,2016,6109028352,
cholesky,syrk,16384,256,37486592,4000000,2016,4783439808,
cholesky,gemm,16384,256,37486592,4000000,41664,175434271488,
cholesky,potrf,16384,512,37486592,1000000,32,255324160,
cholesky,trsm,16384,512,37486592,1000000,496,10180681728,
cholesky,syrk,16384,512,37486592,1000000,496,8884511712,
cholesky,gemm,16384,512,37486592,1000000,4960,167080119680,
cholesky,potrf,16384,512,37486592,4000000,32,255324160,
cholesky,trsm,16384,512,37486592,4000000,496,10180681728,
cholesky,syrk,16384,512,37486592,4000000,496,8884511712,
cholesky,gemm,16384,512,37486592,4000000,4960,167080119680,
cholesky,potrf,16384,1024,37486592,1000000,16,870940672,
cholesky,trsm,16384,1024,37486592,1000000,120,17925365760,
cholesky,syrk,16384,1024,37486592,1000000,120,16664187120,
cholesky,gemm,16384,1024,37486592,1000000,560,150764259520,
cholesky,potrf,16384,1024,37486592,4000000,16,870940672,
cholesky,trsm,16384,1024,37486592,4000000,120,17925365760,
cholesky,syrk,16384,1024,37486592,4000000,120,16664187120,
cholesky,gemm,16384,1024,37486592,4000000,560,150764259520,
cholesky,potrf,16384,2048,37486592,1000000,8,3173735168,
cholesky,trsm,16384,2048,37486592,1000000,28,31801204736,
cholesky,syrk,16384,2048,37486592,1000000,28,30629666872,
cholesky,gemm,16384,2048,37486592,1000000,56,120611406048,
cholesky,potrf,16384,2048,37486592,4000000,8,3173735168,
cholesky,trsm,16384,2048,37486592,4000000,28,31801204736,
cholesky,syrk,16384,2048,37486592,4000000,28,30629666872,
cholesky,gemm,16384,2048,37486592,4000000,56,120611406048,
cholesky,potrf,18432,256,37486592,1000000,72,93127680,
cholesky,trsm,18432,256,37486592,1000000,2556,7745375232,
cholesky,syrk,18432,256,37486592,1000000,2556,6064718328,
cholesky,gemm,18432,256,37486592,1000000,59640,251125670880,
cholesky,potrf,18432,256,37486592,4000000,72,93127680,
cholesky,trsm,18432,256,37486592,4000000,2556,7745375232,
cholesky,syrk,18432,256,37486592,4000000,2556,6064718328,
cholesky,gemm,18432,256,37486592,4000000,59640,251125670880,
cholesky,potrf,18432,512,37486592,1000000,36,287239680,
cholesky,trsm,18432,512,37486592,1000000,630,12931107840,
cholesky,syrk,18432,512,37486592,1000000,630,11284762860,
cholesky,gemm,18432,512,37486592,1000000,7140,240514527120,
cholesky,potrf,18432,512,37486592,4000000,36,287239680,
cholesky,trsm,18432,512,37486592,4000000,630,12931107840,
cholesky,syrk,18432,512,37486592,4000000,630,11284762860,
cholesky,gemm,18432,512,37486592,4000000,7140,240514527120,
cholesky,potrf,18432,1024,37486592,1000000,18,979808256,
cholesky,trsm,18432,1024,37486592,1000000,153,22854841344,
cholesky,syrk,18432,1024,37486592,1000000,153,21246838578,
cholesky,gemm,18432,1024,37486592,1000000,816,219685063872,
cholesky,potrf,18432,1024,37486592,4000000,18,979808256,
cholesky,trsm,18432,1024,37486592,4000000,153,22854841344,
cholesky,syrk,18432,1024,37486592,4000000,153,21246838578,
cholesky,gemm,18432,1024,37486592,4000000,816,219685063872,
cholesky,potrf,18432,2048,37486592,1000000,9,3570452064,
cholesky,trsm,18432,2048,37486592,1000000,36,40887263232,
cholesky,syrk,18432,2048,37486592,1000000,36,39381000264,
cholesky,gemm,18432,2048,37486592,1000000,84,180917109072,
cholesky,potrf,18432,2048,37486592,4000000,9,3570452064,
cholesky,trsm,18432,2048,37486592,4000000,36,40887263232,
cholesky,syrk,18432,2048,37486592,4000000,36,39381000264,
cholesky,gemm,18432,2048,37486592,4000000,84,180917109072,
cholesky,potrf,20480,256,37486592,1000000,80,103475200,
cholesky,trsm,20480,256,37486592,1000000,3160,9575659520,
cholesky,syrk,20480,256,37486592,1000000,3160,7497852080,
cholesky,gemm,20480,256,37486592,1000000,82160,345950454720,
cholesky,potrf,20480,256,37486592,4000000,80,103475200,
cholesky,trsm,20480,256,37486592,4000000,3160,9575659520,
cholesky,syrk,20480,256,37486592,4000000,3160,7497852080,
cholesky,gemm,20480,256,37486592,4000000,82160,345950454720,
cholesky,potrf,20480,512,37486592,1000000,40,319155200,
cholesky,trsm,20480,512,37486592,1000000,780,16009943040,
cholesky,syrk,20480,512,37486592,1000000,780,13971611160,
cholesky,gemm,20480,512,37486592,1000000,9880,332812819040,
cholesky,potrf,20480,512,37486592,4000000,40,319155200,
cholesky,trsm,20480,512,37486592,4000000,780,16009943040,
cholesky,syrk,20480,512,37486592,4000000,780,13971611160,
cholesky,gemm,20480,512,37486592,4000000,9880,332812819040,
cholesky,potrf,20480,1024,37486592,1000000,20,1088675840,
cholesky,trsm,20480,1024,37486592,1000000,190,28381829120,
cholesky,syrk,20480,1024,37486592,1000000,190,26384962940,
cholesky,gemm,20480,1024,37486592,1000000,1140,306912956880,
cholesky,potrf,20480,1024,37486592,4000000,20,1088675840,
cholesky,trsm,20480,1024,37486592,4000000,190,28381829120,
cholesky,syrk,20480,1024,37486592,4000000,190,26384962940,
cholesky,gemm,20480,1024,37486592,4000000,1140,306912956880,
cholesky,potrf,20480,2048,37486592,1000000,10,3967168960,
cholesky,trsm,20480,2048,37486592,1000000,45,51109079040,
cholesky,syrk,20480,2048,37486592,1000000,45,49226250330,
cholesky,gemm,20480,2048,37486592,1000000,120,258453012960,
cholesky,potrf,20480,2048,37486592,4000000,10,3967168960,
cholesky,trsm,20480,2048,37486592,4000000,45,51109079040,
cholesky,syrk,20480,2048,37486592,4000000,45,49226250330,
cholesky,gemm,20480,2048,37486592,4000000,120,258453012960,
cholesky,potrf,22528,256,37486592,1000000,88,113822720,
cholesky,trsm,22528,256,37486592,1000000,3828,11599881216,
cholesky,syrk,22528,256,37486592,1000000,3828,9082841064,
cholesky,gemm,22528,256,37486592,1000000,109736,462064497312,
cholesky,potrf,22528,256,37486592,4000000,88,113822720,
cholesky,trsm,22528,256,37486592,4000000,3828,11599881216,
cholesky,syrk,22528,256,37486592,4000000,3828,9082841064,
cholesky,gemm,22528,256,37486592,4000000,109736,462064497312,
cholesky,potrf,22528,512,37486592,1000000,44,351070720,
cholesky,trsm,22528,512,37486592,1000000,946,19417187328,
cholesky,syrk,22528,512,37486592,1000000,946,16945056612,
cholesky,gemm,22528,512,37486592,1000000,13244,446130867952,
cholesky,potrf,22528,512,37486592,4000000,44,351070720,
cholesky,trsm,22528,512,37486592,4000000,946,19417187328,
cholesky,syrk,22528,512,37486592,4000000,946,16945056612,
cholesky,gemm,22528,512,37486592,4000000,13244,446130867952,
cholesky,potrf,22528,1024,37486592,1000000,22,1197543424,
cholesky,trsm,22528,1024,37486592,1000000,231,34506329088,
cholesky,syrk,22528,1024,37486592,1000000,231,32078560206,
cholesky,gemm,22528,1024,37486592,1000000,1540,414601713680,
cholesky,potrf,22528,1024,37486592,4000000,22,1197543424,
cholesky,trsm,22528,1024,37486592,4000000,231,34506329088,
cholesky,syrk,22528,1024,37486592,4000000,231,32078560206,
cholesky,gemm,22528,1024,37486592,4000000,1540,414601713680,
cholesky,potrf,22528,2048,37486592,1000000,11,4363885856,
cholesky,trsm,22528,2048,37486592,1000000,55,62466652160,
cholesky,syrk,22528,2048,37486592,1000000,55,60165417070,
cholesky,gemm,22528,2048,37486592,1000000,165,355372892820,
