algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
cholesky,potrf,8192,256,37486592,1000000,32,215346,112079291,34713766,3731003,
cholesky,trsm,8192,256,37486592,1000000,496,3860682,3887101106,1609512083,529299750,
cholesky,syrk,8192,256,37486592,1000000,496,5603091,1247366909,437132602,105487812,
cholesky,gemm,8192,256,37486592,1000000,4960,56651772,20307804274,6692296471,1388323181,
cholesky,potrf,8192,256,37486592,4000000,32,219949,112079225,35254216,4717961,
cholesky,trsm,8192,256,37486592,4000000,496,3978049,3887096919,1633267419,570667902,
cholesky,syrk,8192,256,37486592,4000000,496,5731559,1247364962,470321162,138464062,
cholesky,gemm,8192,256,37486592,4000000,4960,55650571,20307791867,6841741523,1532100395,
cholesky,potrf,8192,512,37486592,1000000,16,814471,267298346,96707821,23807142,
cholesky,trsm,8192,512,37486592,1000000,120,7078946,4826045479,2000490269,685329348,
cholesky,syrk,8192,512,37486592,1000000,120,11686536,2121783470,727674377,171199963,
cholesky,gemm,8192,512,37486592,1000000,560,48248453,17538811077,5652486754,1114409746,
cholesky,potrf,8192,512,37486592,4000000,16,807432,267298078,99969204,27143041,
cholesky,trsm,8192,512,37486592,4000000,120,7011660,4826041998,2031959062,717196729,
cholesky,syrk,8192,512,37486592,4000000,120,11438134,2121781678,768029721,212163538,
cholesky,gemm,8192,512,37486592,4000000,560,48370174,17538797421,5753484043,1217615888,
cholesky,potrf,8192,1024,37486592,1000000,8,1879992,736205226,272961037,73538943,
cholesky,trsm,8192,1024,37486592,1000000,28,8202824,6253273681,2447904327,771026659,
cholesky,syrk,8192,1024,37486592,1000000,28,12517488,3650874136,1156523908,219881819,
cholesky,gemm,8192,1024,37486592,1000000,56,32370207,13685534655,4178506013,696211958,
cholesky,potrf,8192,1024,37486592,4000000,8,1844253,736205256,280700893,81535849,
cholesky,trsm,8192,1024,37486592,4000000,28,8034392,6253274327,2479584039,803485445,
cholesky,syrk,8192,1024,37486592,4000000,28,12568247,3650873909,1200981437,264798306,
cholesky,gemm,8192,1024,37486592,4000000,56,32701951,13685530769,4256035255,774089297,
cholesky,potrf,8192,2048,37486592,1000000,4,3713311,2193115755,824007717,236599476,
cholesky,trsm,8192,2048,37486592,1000000,6,13767733,8253707441,2984889604,816407845,
cholesky,syrk,8192,2048,37486592,1000000,6,15043395,5997669558,1842856917,316406576,
cholesky,gemm,8192,2048,37486592,1000000,4,17840240,7729465389,2326179433,367447932,
cholesky,potrf,8192,2048,37486592,4000000,4,3914508,2193115570,845041974,258144437,
cholesky,trsm,8192,2048,37486592,4000000,6,13442678,8253706864,3013101101,845617076,
cholesky,syrk,8192,2048,37486592,4000000,6,15424959,5997668876,1900112410,373536947,
cholesky,gemm,8192,2048,37486592,4000000,4,17788824,7729465185,2367949305,408332616,
cholesky,potrf,10240,256,37486592,1000000,40,296070,140096934,43533814,4826977,
cholesky,trsm,10240,256,37486592,1000000,780,6672494,6112779726,2517203819,830912862,
cholesky,syrk,10240,256,37486592,1000000,780,9764976,1961589068,687958001,166716758,
cholesky,gemm,10240,256,37486592,1000000,9880,121794383,40451831604,13318544799,2750937222,
cholesky,potrf,10240,256,37486592,4000000,40,290662,140094672,44177631,5872097,
cholesky,trsm,10240,256,37486592,4000000,780,6553608,6112769314,2570195429,899661494,
cholesky,syrk,10240,256,37486592,4000000,780,9775788,1961570086,743902341,223069829,
cholesky,gemm,10240,256,37486592,4000000,9880,120418219,40451741680,13722500286,3152421844,
cholesky,potrf,10240,512,37486592,1000000,20,1069007,334117888,120238050,29176992,
cholesky,trsm,10240,512,37486592,1000000,190,11737125,7641239590,3168525429,1085213014,
cholesky,syrk,10240,512,37486592,1000000,190,19606835,3359490864,1151051636,270716874,
cholesky,gemm,10240,512,37486592,1000000,1140,106013546,35704007317,11485237634,2250428580,
cholesky,potrf,10240,512,37486592,4000000,20,1037875,334117785,125149830,34062550,
cholesky,trsm,10240,512,37486592,4000000,190,11335437,7641235943,3216654532,1136005667,
cholesky,syrk,10240,512,37486592,4000000,190,19495650,3359488494,1219459271,338989390,
cholesky,gemm,10240,512,37486592,4000000,1140,106438090,35703998041,11725637207,2486478992,
cholesky,potrf,10240,1024,37486592,1000000,10,2405300,920251344,343355832,93263815,
cholesky,trsm,10240,1024,37486592,1000000,45,13417435,10049906008,3936924141,1235695677,
cholesky,syrk,10240,1024,37486592,1000000,45,21174180,5867476940,1857862709,351654964,
cholesky,gemm,10240,1024,37486592,1000000,120,70329776,29326138785,8949926673,1480088501,
cholesky,potrf,10240,1024,37486592,4000000,10,2275030,920251173,352171472,101412876,
cholesky,trsm,10240,1024,37486592,4000000,45,13625321,10049904185,3991898038,1285042817,
cholesky,syrk,10240,1024,37486592,4000000,45,20521606,5867475449,1930977985,425464198,
cholesky,gemm,10240,1024,37486592,4000000,120,70781421,29326137255,9116154957,1646949475,
cholesky,potrf,10240,2048,37486592,1000000,5,4906332,2741387839,1028743637,294441504,
cholesky,trsm,10240,2048,37486592,1000000,10,22767657,13756178681,4955886507,1340159868,
cholesky,syrk,10240,2048,37486592,1000000,10,26250089,9996115367,3068703774,522940482,
cholesky,gemm,10240,2048,37486592,1000000,10,45776741,19323662650,5805030474,904296945,
cholesky,potrf,10240,2048,37486592,4000000,5,4985358,2741388986,1051942480,318712280,
cholesky,trsm,10240,2048,37486592,4000000,10,22538353,13756177862,5019493664,1404982890,
cholesky,syrk,10240,2048,37486592,4000000,10,25621610,9996114996,3166619983,620940162,
cholesky,gemm,10240,2048,37486592,4000000,10,45167376,19323661497,5912178801,1009613504,
cholesky,potrf,12288,256,37486592,1000000,48,366570,168111363,51057168,5200951,
cholesky,trsm,12288,256,37486592,1000000,1128,9974638,8840021400,3644703190,1211307938,
cholesky,syrk,12288,256,37486592,1000000,1128,15015813,2836750779,997209315,243401857,
cholesky,gemm,12288,256,37486592,1000000,17296,228762931,70815224631,23286195914,4820998685,
cholesky,potrf,12288,256,37486592,4000000,48,372302,168111126,53500235,7623426,
cholesky,trsm,12288,256,37486592,4000000,1128,9852006,8840002323,3718888151,1303740399,
cholesky,syrk,12288,256,37486592,4000000,1128,15152095,2836744238,1081216872,328237920,
cholesky,gemm,12288,256,37486592,4000000,17296,224627510,70815149645,24031853342,5561002454,
cholesky,potrf,12288,512,37486592,1000000,24,1349751,400937471,143653925,34372075,
cholesky,trsm,12288,512,37486592,1000000,276,17388845,11099906337,4605643269,1577666774,
cholesky,syrk,12288,512,37486592,1000000,276,29619981,4880101972,1669096693,393006985,
cholesky,gemm,12288,512,37486592,1000000,2024,201994212,63390246029,20347335191,3996983018,
cholesky,potrf,12288,512,37486592,4000000,24,1285430,400937080,149857470,40799821,
cholesky,trsm,12288,512,37486592,4000000,276,16999930,11099904506,4677199998,1658248936,
cholesky,syrk,12288,512,37486592,4000000,276,28823308,4880100344,1772403135,496791218,
cholesky,gemm,12288,512,37486592,4000000,2024,200682609,63390267689,20806597355,4450105012,
cholesky,potrf,12288,1024,37486592,1000000,12,3065863,1104294984,409180340,110529668,
cholesky,trsm,12288,1024,37486592,1000000,66,19820206,14739860832,5788976629,1838141319,
cholesky,syrk,12288,1024,37486592,1000000,66,31598853,8605632541,2724002463,521097085,
cholesky,gemm,12288,1024,37486592,1000000,220,129381366,53764587753,16391300567,2742675014,
cholesky,potrf,12288,1024,37486592,4000000,12,2882583,1104297522,420083694,121992859,
cholesky,trsm,12288,1024,37486592,4000000,66,19468319,14739856945,5827747890,1884303128,
cholesky,syrk,12288,1024,37486592,4000000,66,31497464,8605631799,2837899897,635528316,
cholesky,gemm,12288,1024,37486592,4000000,220,128871433,53764584982,16714867562,3066127462,
cholesky,potrf,12288,2048,37486592,1000000,6,6283884,3289662731,1236893760,355946030,
cholesky,trsm,12288,2048,37486592,1000000,15,35937704,20634268622,7432670003,2017632972,
cholesky,syrk,12288,2048,37486592,1000000,15,39376682,14994173094,4596788456,789922674,
cholesky,gemm,12288,2048,37486592,1000000,20,93517267,38647324380,11598491786,1830692934,
cholesky,potrf,12288,2048,37486592,4000000,6,6098668,3289660853,1262937469,384718629,
cholesky,trsm,12288,2048,37486592,4000000,15,34677368,20634266540,7525444289,2113874817,
cholesky,syrk,12288,2048,37486592,4000000,15,38582847,14994171987,4747969882,939876799,
cholesky,gemm,12288,2048,37486592,4000000,20,91789551,38647322244,11818900601,2042571016,
cholesky,potrf,14336,256,37486592,1000000,56,435691,196127774,59381780,6079544,
cholesky,trsm,14336,256,37486592,1000000,1540,13818664,12068824031,4957674016,1646188727,
cholesky,syrk,14336,256,37486592,1000000,1540,20805639,3872880005,1362308867,332657379,
cholesky,gemm,14336,256,37486592,1000000,27720,375820776,113494402305,37545342018,7891785580,
cholesky,potrf,14336,256,37486592,4000000,56,438614,196124374,63844569,8993522,
cholesky,trsm,14336,256,37486592,4000000,1540,14308496,12068816273,5155729467,1778639684,
cholesky,syrk,14336,256,37486592,4000000,1540,21110260,3872869315,1478020010,448443888,
cholesky,gemm,14336,256,37486592,4000000,27720,377827248,113494305750,38848359958,9188587765,
