algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
cholesky,potrf,10240,256,37486592,1000000,40,51737600,
cholesky,trsm,10240,256,37486592,1000000,780,2363612160,
cholesky,syrk,10240,256,37486592,1000000,780,1850735640,
cholesky,gemm,10240,256,37486592,1000000,9880,41601636960,
cholesky,potrf,10240,256,37486592,4000000,40,51737600,
cholesky,trsm,10240,256,37486592,4000000,780,2363612160,
cholesky,syrk,10240,256,37486592,4000000,780,1850735640,
cholesky,gemm,10240,256,37486592,4000000,9880,41601636960,
cholesky,potrf,10240,512,37486592,1000000,20,159577600,
cholesky,trsm,10240,512,37486592,1000000,190,3899857920,
cholesky,syrk,10240,512,37486592,1000000,190,3403341180,
cholesky,gemm,10240,512,37486592,1000000,1140,38401479120,
cholesky,potrf,10240,512,37486592,4000000,20,159577600,
cholesky,trsm,10240,512,37486592,4000000,190,3899857920,
cholesky,syrk,10240,512,37486592,4000000,190,3403341180,
cholesky,gemm,10240,512,37486592,4000000,1140,38401479120,
cholesky,potrf,10240,1024,37486592,1000000,10,544337920,
cholesky,trsm,10240,1024,37486592,1000000,45,6722012160,
cholesky,syrk,10240,1024,37486592,1000000,45,6249070170,
cholesky,gemm,10240,1024,37486592,1000000,120,32306627040,
cholesky,potrf,10240,1024,37486592,4000000,10,544337920,
cholesky,trsm,10240,1024,37486592,4000000,45,6722012160,
cholesky,syrk,10240,1024,37486592,4000000,45,6249070170,
cholesky,gemm,10240,1024,37486592,4000000,120,32306627040,
cholesky,potrf,10240,2048,37486592,1000000,5,1983584480,
cholesky,trsm,10240,2048,37486592,1000000,10,11357573120,
cholesky,syrk,10240,2048,37486592,1000000,10,10939166740,
cholesky,gemm,10240,2048,37486592,1000000,10,21537751080,
cholesky,potrf,10240,2048,37486592,4000000,5,1983584480,
cholesky,trsm,10240,2048,37486592,4000000,10,11357573120,
cholesky,syrk,10240,2048,37486592,4000000,10,10939166740,
cholesky,gemm,10240,2048,37486592,4000000,10,21537751080,
