algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCR,PAPI_L3_TCW,
cholesky,potrf,12288,256,37486592,1000000,48,484101,13948,
cholesky,trsm,12288,256,37486592,1000000,1128,34854088,930074,
cholesky,syrk,12288,256,37486592,1000000,1128,27120343,546362,
cholesky,gemm,12288,256,37486592,1000000,17296,780738658,1366466,
cholesky,potrf,12288,256,37486592,4000000,48,491808,12616,
cholesky,trsm,12288,256,37486592,4000000,1128,34109751,990522,
cholesky,syrk,12288,256,37486592,4000000,1128,27227155,565458,
cholesky,gemm,12288,256,37486592,4000000,17296,780105983,1669098,
cholesky,potrf,12288,512,37486592,1000000,24,3525482,61975,
cholesky,trsm,12288,512,37486592,1000000,276,54648712,1018239,
cholesky,syrk,12288,512,37486592,1000000,276,62263572,863879,
cholesky,gemm,12288,512,37486592,1000000,2024,672694281,1170910,
cholesky,potrf,12288,512,37486592,4000000,24,3443563,84214,
cholesky,trsm,12288,512,37486592,4000000,276,51733436,3436417,
cholesky,syrk,12288,512,37486592,4000000,276,60779025,1400943,
cholesky,gemm,12288,512,37486592,4000000,2024,671698521,2043965,
cholesky,potrf,12288,1024,37486592,1000000,12,8274462,130546,
cholesky,trsm,12288,1024,37486592,1000000,66,82216381,943219,
cholesky,syrk,12288,1024,37486592,1000000,66,86189894,840317,
cholesky,gemm,12288,1024,37486592,1000000,220,457399772,975711,
cholesky,potrf,12288,1024,37486592,4000000,12,8136124,237550,
cholesky,trsm,12288,1024,37486592,4000000,66,79841023,2722307,
cholesky,syrk,12288,1024,37486592,4000000,66,83908143,2372507,
cholesky,gemm,12288,1024,37486592,4000000,220,456273453,1871682,
cholesky,potrf,12288,2048,37486592,1000000,6,21466865,206872,
cholesky,trsm,12288,2048,37486592,1000000,15,122216947,729639,
cholesky,syrk,12288,2048,37486592,1000000,15,134335036,775862,
cholesky,gemm,12288,2048,37486592,1000000,20,313144693,326010,
cholesky,potrf,12288,2048,37486592,4000000,6,21277324,450247,
cholesky,trsm,12288,2048,37486592,4000000,15,120533773,2071531,
cholesky,syrk,12288,2048,37486592,4000000,15,134251464,1951311,
cholesky,gemm,12288,2048,37486592,4000000,20,311377298,651811,
