algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP
cholesky,potrf,8192,256,37486592,1000000,32,216136,112081626,34179415,3443671,518226,621749,318079,8865,41390080
cholesky,trsm,8192,256,37486592,1000000,496,3944032,3887101656,1619142354,531459125,189865442,17156669,15531286,424785,1503014912
cholesky,syrk,8192,256,37486592,1000000,496,5649187,1247370448,437245190,105541517,10951415,16655979,11791096,240563,1176878048
cholesky,gemm,8192,256,37486592,1000000,4960,56868007,20307795668,6693211103,1382742366,135778856,162142325,224829307,377040,20885032320
cholesky,potrf,8192,256,37486592,4000000,32,219255,112080025,35206414,4684170,553891,619586,320401,9132,41390080
cholesky,trsm,8192,256,37486592,4000000,496,3915014,3887101449,1633908652,571541299,189323517,16927960,15361880,422780,1503014912
cholesky,syrk,8192,256,37486592,4000000,496,5650752,1247367791,469048905,137236636,10804267,16439801,11838701,243055,1176878048
cholesky,gemm,8192,256,37486592,4000000,4960,56689071,20307799414,6857155433,1548620021,128570388,161008398,224738998,514893,20885032320
cholesky,potrf,8192,512,37486592,1000000,16,806599,267298388,95691842,22825609,6255392,1823912,2302836,39620,127662080
cholesky,trsm,8192,512,37486592,1000000,120,6895987,4826042940,2009266616,693099389,241002550,18646570,23761370,423405,2463068160
cholesky,syrk,8192,512,37486592,1000000,120,11432887,2121783176,727157793,171029840,23591781,17854393,27000408,359144,2149478640
cholesky,gemm,8192,512,37486592,1000000,560,48037943,17538800657,5653048135,1116998259,146219856,96178696,185606587,293468,18863884480
cholesky,potrf,8192,512,37486592,4000000,16,793135,267297952,99772505,26961158,6200755,1737942,2272274,54539,127662080
cholesky,trsm,8192,512,37486592,4000000,120,7042063,4826044484,2031865606,717398751,240072516,16091003,22514441,1478727,2463068160
cholesky,syrk,8192,512,37486592,4000000,120,11437682,2121782236,767093497,211294316,22867963,17061340,26457431,584865,2149478640
cholesky,gemm,8192,512,37486592,4000000,560,47999322,17538792984,5752393964,1215902683,144269344,96111610,185492301,448443,18863884480
cholesky,potrf,8192,1024,37486592,1000000,8,1885984,736205304,273373270,73824792,22048194,3213715,5421075,83176,435470336
