algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
cholesky,potrf,20480,256,37486592,1000000,80,660072,280173645,84858558,8678943,
cholesky,trsm,20480,256,37486592,1000000,3160,29409115,24764599434,10159530983,3373332491,
cholesky,syrk,20480,256,37486592,1000000,3160,45687014,7946945141,2798666231,687565956,
cholesky,gemm,20480,256,37486592,1000000,82160,1242541610,336389003493,111258956095,23405817583,
cholesky,potrf,20480,256,37486592,4000000,80,655562,280173901,89414811,12197453,
cholesky,trsm,20480,256,37486592,4000000,3160,28938410,24764598356,10492074570,3663037360,
cholesky,syrk,20480,256,37486592,4000000,3160,45736971,7946946680,3037373369,924848542,
cholesky,gemm,20480,256,37486592,4000000,82160,1227139954,336388966928,116116232133,28237970007,
cholesky,potrf,20480,512,37486592,1000000,40,2197924,668215784,239587214,57496856,
cholesky,trsm,20480,512,37486592,1000000,780,48030393,31369269310,13061769617,4490230958,
cholesky,syrk,20480,512,37486592,1000000,780,86788656,13791593271,4728863920,1114182403,
cholesky,gemm,20480,512,37486592,1000000,9880,1065925663,309434687595,99745509182,19687822794,
cholesky,potrf,20480,512,37486592,4000000,40,2320883,668215635,251045877,68128246,
cholesky,trsm,20480,512,37486592,4000000,780,47949707,31369285982,13302943191,4696626821,
cholesky,syrk,20480,512,37486592,4000000,780,87391099,13791588484,5038133267,1424631339,
cholesky,gemm,20480,512,37486592,4000000,9880,1063175732,309434559452,102106128170,22051598293,
cholesky,potrf,20480,1024,37486592,1000000,20,5257299,1840482320,685297102,183937699,
cholesky,trsm,20480,1024,37486592,1000000,190,55843700,42432935402,16636862062,5211793517,
cholesky,syrk,20480,1024,37486592,1000000,190,95395720,24773792243,7852991785,1493463928,
cholesky,gemm,20480,1024,37486592,1000000,1140,662349609,278598294176,85012187234,14041132105,
cholesky,potrf,20480,1024,37486592,4000000,20,5070013,1840481858,704583996,206826375,
cholesky,trsm,20480,1024,37486592,4000000,190,55945948,42432931018,16779149834,5407217155,
cholesky,syrk,20480,1024,37486592,4000000,190,95813985,24773786074,8178054771,1820653468,
cholesky,gemm,20480,1024,37486592,4000000,1140,664901366,278598347216,86597208954,15635611455,
cholesky,potrf,20480,2048,37486592,1000000,10,10706120,5482756938,2055509464,588899139,
cholesky,trsm,20480,2048,37486592,1000000,45,102662389,61902802841,22280534521,6012742270,
cholesky,syrk,20480,2048,37486592,1000000,45,112467955,44982518436,13798844745,2346651007,
cholesky,gemm,20480,2048,37486592,1000000,120,517793442,231883939771,69589432859,10793578944,
cholesky,potrf,20480,2048,37486592,4000000,10,10020691,5482753897,2098285225,633008835,
cholesky,trsm,20480,2048,37486592,4000000,45,98390352,61902800011,22573557635,6311120384,
cholesky,syrk,20480,2048,37486592,4000000,45,107363828,44982518440,14252674454,2797551709,
cholesky,gemm,20480,2048,37486592,4000000,120,500786805,231883927948,70884750847,12061490568,
cholesky,potrf,22528,256,37486592,1000000,88,732954,308189840,94096673,10088281,
cholesky,trsm,22528,256,37486592,1000000,3828,34833007,29999648203,12330366900,4101534670,
cholesky,syrk,22528,256,37486592,1000000,3828,55846590,9626879247,3391174175,833565956,
cholesky,gemm,22528,256,37486592,1000000,109736,1715004555,449293830601,148914764071,31573520584,
cholesky,potrf,22528,256,37486592,4000000,88,736608,308188915,98410004,13823256,
cholesky,trsm,22528,256,37486592,4000000,3828,34966289,29999633049,12660874790,4448654444,
