algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
cholesky,potrf,8192,512,37486592,1000000,16,806930,267298492,96750699,22879345,
cholesky,trsm,8192,512,37486592,1000000,120,7069817,4826045681,2019423330,686466756,
cholesky,syrk,8192,512,37486592,1000000,120,11540916,2121781937,725997517,169998727,
cholesky,gemm,8192,512,37486592,1000000,560,47114820,17538806015,5632565475,1096421315,
cholesky,potrf,8192,512,37486592,4000000,16,771033,267298395,99631656,26794855,
cholesky,trsm,8192,512,37486592,4000000,120,6730283,4826040086,2032093279,717437675,
cholesky,syrk,8192,512,37486592,4000000,120,10961813,2121781935,765425191,209783666,
cholesky,gemm,8192,512,37486592,4000000,560,46684940,17538800198,5729270720,1192667297,
cholesky,potrf,8192,1024,37486592,1000000,8,1760179,736205288,272648884,73270712,
cholesky,trsm,8192,1024,37486592,1000000,28,8136797,6253275010,2444447291,767501108,
cholesky,syrk,8192,1024,37486592,1000000,28,12754810,3650874658,1156137419,218995650,
cholesky,gemm,8192,1024,37486592,1000000,56,32405501,13685534686,4176139009,690239053,
cholesky,potrf,8192,1024,37486592,4000000,8,1682914,736205355,283558113,81528410,
cholesky,trsm,8192,1024,37486592,4000000,28,8228421,6253273486,2501153824,803108154,
cholesky,syrk,8192,1024,37486592,4000000,28,12107297,3650873183,1200192935,263589661,
cholesky,gemm,8192,1024,37486592,4000000,56,32570162,13685532231,4253905378,768961344,
cholesky,potrf,8192,2048,37486592,1000000,4,3650746,2193115697,826586440,238775531,
cholesky,trsm,8192,2048,37486592,1000000,6,13341585,8253707138,2982059188,812613667,
cholesky,syrk,8192,2048,37486592,1000000,6,14681540,5997668834,1840054254,313109766,
cholesky,gemm,8192,2048,37486592,1000000,4,17226249,7729465455,2319403464,359422735,
cholesky,potrf,8192,2048,37486592,4000000,4,3623414,2193115460,839773687,252665887,
cholesky,trsm,8192,2048,37486592,4000000,6,13321040,8253706590,3009911314,841571250,
cholesky,syrk,8192,2048,37486592,4000000,6,14635234,5997668829,1897957872,370589156,
cholesky,gemm,8192,2048,37486592,4000000,4,17441917,7729464834,2361831060,401001532,
cholesky,potrf,10240,512,37486592,1000000,20,996367,334118118,120476719,28565747,
cholesky,trsm,10240,512,37486592,1000000,190,11566736,7641236735,3179946387,1085913141,
cholesky,syrk,10240,512,37486592,1000000,190,18941885,3359488793,1150910237,270248614,
cholesky,gemm,10240,512,37486592,1000000,1140,104647360,35703981107,11472296623,2235142371,
cholesky,potrf,10240,512,37486592,4000000,20,1045487,334117717,125533259,33685827,
cholesky,trsm,10240,512,37486592,4000000,190,11394377,7641238173,3231794635,1137057238,
cholesky,syrk,10240,512,37486592,4000000,190,19172675,3359486436,1217694609,337426890,
cholesky,gemm,10240,512,37486592,4000000,1140,104501896,35703994862,11702123661,2463278278,
cholesky,potrf,10240,1024,37486592,1000000,10,2341411,920251097,342149739,92884498,
cholesky,trsm,10240,1024,37486592,1000000,45,14452349,10049905775,3938126578,1241918851,
cholesky,syrk,10240,1024,37486592,1000000,45,20888049,5867476108,1858844042,352847030,
cholesky,gemm,10240,1024,37486592,1000000,120,73245634,29326138549,8946749253,1477334201,
cholesky,potrf,10240,1024,37486592,4000000,10,2314143,920251016,350855376,101466138,
cholesky,trsm,10240,1024,37486592,4000000,45,12980475,10049903787,3983853556,1282578611,
cholesky,syrk,10240,1024,37486592,4000000,45,21378808,5867474844,1932809343,427487709,
cholesky,gemm,10240,1024,37486592,4000000,120,69215918,29326141280,9115857043,1647785079,
cholesky,potrf,10240,2048,37486592,1000000,5,5063554,2741389034,1034046089,295811040,
cholesky,trsm,10240,2048,37486592,1000000,10,22913049,13756178501,4967189761,1339526691,
