algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCR,PAPI_L3_TCW,
cholesky,potrf,18432,512,37486592,1000000,36,5245995,92604,
cholesky,trsm,18432,512,37486592,1000000,630,124438546,2300733,
cholesky,syrk,18432,512,37486592,1000000,630,140939217,1990349,
cholesky,gemm,18432,512,37486592,1000000,7140,2357025193,2782882,
cholesky,potrf,18432,512,37486592,4000000,36,5119749,129349,
cholesky,trsm,18432,512,37486592,4000000,630,117642975,8002718,
cholesky,syrk,18432,512,37486592,4000000,630,137720557,3149801,
cholesky,gemm,18432,512,37486592,4000000,7140,2349923483,5151666,
cholesky,potrf,18432,1024,37486592,1000000,18,12410699,206461,
cholesky,trsm,18432,1024,37486592,1000000,153,190271217,2245147,
cholesky,syrk,18432,1024,37486592,1000000,153,196734260,1920282,
cholesky,gemm,18432,1024,37486592,1000000,816,1679923144,3701647,
cholesky,potrf,18432,1024,37486592,4000000,18,12146633,371202,
cholesky,trsm,18432,1024,37486592,4000000,153,184074144,6352914,
cholesky,syrk,18432,1024,37486592,4000000,153,192537312,5569172,
cholesky,gemm,18432,1024,37486592,4000000,816,1677823262,7429666,
cholesky,potrf,18432,2048,37486592,1000000,9,31948699,335394,
cholesky,trsm,18432,2048,37486592,1000000,36,289518726,1738590,
cholesky,syrk,18432,2048,37486592,1000000,36,320074442,1947781,
cholesky,gemm,18432,2048,37486592,1000000,84,1274806709,1358438,
cholesky,potrf,18432,2048,37486592,4000000,9,31564137,725209,
cholesky,trsm,18432,2048,37486592,4000000,36,286291947,5049964,
cholesky,syrk,18432,2048,37486592,4000000,36,316481283,4647673,
cholesky,gemm,18432,2048,37486592,4000000,84,1267747689,2577242,
cholesky,potrf,20480,512,37486592,1000000,40,5744731,103047,
cholesky,trsm,20480,512,37486592,1000000,780,154042848,2786441,
cholesky,syrk,20480,512,37486592,1000000,780,174344751,2402331,
cholesky,gemm,20480,512,37486592,1000000,9880,3263135960,4592805,
cholesky,potrf,20480,512,37486592,4000000,40,5656096,141039,
cholesky,trsm,20480,512,37486592,4000000,780,145752184,9956895,
cholesky,syrk,20480,512,37486592,4000000,780,171076538,4024563,
cholesky,gemm,20480,512,37486592,4000000,9880,3263315204,9227889,
cholesky,potrf,20480,1024,37486592,1000000,20,13741018,233920,
cholesky,trsm,20480,1024,37486592,1000000,190,234723333,2706682,
cholesky,syrk,20480,1024,37486592,1000000,190,245319728,2437915,
cholesky,gemm,20480,1024,37486592,1000000,1140,2348442280,5252804,
cholesky,potrf,20480,1024,37486592,4000000,20,13492582,410486,
cholesky,trsm,20480,1024,37486592,4000000,190,228152272,7972916,
cholesky,syrk,20480,1024,37486592,4000000,190,238644839,6947805,
cholesky,gemm,20480,1024,37486592,4000000,1140,2339052300,10485126,
cholesky,potrf,20480,2048,37486592,1000000,10,35672549,376660,
cholesky,trsm,20480,2048,37486592,1000000,45,364294440,2220417,
cholesky,syrk,20480,2048,37486592,1000000,45,400845325,2396752,
cholesky,gemm,20480,2048,37486592,1000000,120,1819381095,1858185,
cholesky,potrf,20480,2048,37486592,4000000,10,35134514,808678,
cholesky,trsm,20480,2048,37486592,4000000,45,357874031,6289928,
cholesky,syrk,20480,2048,37486592,4000000,45,395816184,5796626,
cholesky,gemm,20480,2048,37486592,4000000,120,1807488299,3641398,
cholesky,potrf,22528,512,37486592,1000000,44,6342293,111342,
cholesky,trsm,22528,512,37486592,1000000,946,187066006,3565833,
cholesky,syrk,22528,512,37486592,1000000,946,211936092,2969991,
cholesky,gemm,22528,512,37486592,1000000,13244,4381310026,6620807,
cholesky,potrf,22528,512,37486592,4000000,44,6248374,159802,
cholesky,trsm,22528,512,37486592,4000000,946,176906262,11981915,
cholesky,syrk,22528,512,37486592,4000000,946,206933333,4755268,
cholesky,gemm,22528,512,37486592,4000000,13244,4369557679,11682285,
cholesky,potrf,22528,1024,37486592,1000000,22,15114243,259283,
cholesky,trsm,22528,1024,37486592,1000000,231,285786055,3263138,
cholesky,syrk,22528,1024,37486592,1000000,231,297010565,2941206,
cholesky,gemm,22528,1024,37486592,1000000,1540,3173512071,7145760,
cholesky,potrf,22528,1024,37486592,4000000,22,14740802,457797,
cholesky,trsm,22528,1024,37486592,4000000,231,277361948,9697015,
cholesky,syrk,22528,1024,37486592,4000000,231,290312769,8615478,
cholesky,gemm,22528,1024,37486592,4000000,1540,3162765382,14197360,
cholesky,potrf,22528,2048,37486592,1000000,11,39253651,408399,
cholesky,trsm,22528,2048,37486592,1000000,55,442971107,2696412,
cholesky,syrk,22528,2048,37486592,1000000,55,491239165,2950860,
cholesky,gemm,22528,2048,37486592,1000000,165,2496064801,2610070,
cholesky,potrf,22528,2048,37486592,4000000,11,38748193,881682,
cholesky,trsm,22528,2048,37486592,4000000,55,437960470,7520838,
cholesky,syrk,22528,2048,37486592,4000000,55,483301533,7055683,
cholesky,gemm,22528,2048,37486592,4000000,165,2486211767,4802186,
cholesky,potrf,24576,512,37486592,1000000,48,6859302,121762,
cholesky,trsm,24576,512,37486592,1000000,1128,222626023,4034649,
cholesky,syrk,24576,512,37486592,1000000,1128,252148534,3469954,
cholesky,gemm,24576,512,37486592,1000000,17296,5710799594,7355333,
cholesky,potrf,24576,512,37486592,4000000,48,6815663,171415,
cholesky,trsm,24576,512,37486592,4000000,1128,210762644,14351870,
cholesky,syrk,24576,512,37486592,4000000,1128,246688949,5725511,
cholesky,gemm,24576,512,37486592,4000000,17296,5705734364,15339641,
cholesky,potrf,24576,1024,37486592,1000000,24,16690596,286347,
cholesky,trsm,24576,1024,37486592,1000000,276,341114247,3938458,
cholesky,syrk,24576,1024,37486592,1000000,276,355421472,3460627,
cholesky,gemm,24576,1024,37486592,1000000,2024,4168675899,9329726,
cholesky,potrf,24576,1024,37486592,4000000,24,16064720,491917,
cholesky,trsm,24576,1024,37486592,4000000,276,331523148,11378726,
cholesky,syrk,24576,1024,37486592,4000000,276,346876880,10179020,
cholesky,gemm,24576,1024,37486592,4000000,2024,4155592169,18705976,
cholesky,potrf,24576,2048,37486592,1000000,12,42657769,446418,
cholesky,trsm,24576,2048,37486592,1000000,66,533344777,3212367,
cholesky,syrk,24576,2048,37486592,1000000,66,588474570,3525063,
cholesky,gemm,24576,2048,37486592,1000000,220,3328099139,3402424,
cholesky,potrf,24576,2048,37486592,4000000,12,42170502,990297,
cholesky,trsm,24576,2048,37486592,4000000,66,524336598,9101287,
cholesky,syrk,24576,2048,37486592,4000000,66,579172014,8378409,
cholesky,gemm,24576,2048,37486592,4000000,220,3317311090,6605695,
