algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
cholesky,potrf,18432,512,37486592,1000000,36,287239680,
cholesky,trsm,18432,512,37486592,1000000,630,12931107840,
cholesky,syrk,18432,512,37486592,1000000,630,11284762860,
cholesky,gemm,18432,512,37486592,1000000,7140,240514527120,
cholesky,potrf,18432,512,37486592,4000000,36,287239680,
cholesky,trsm,18432,512,37486592,4000000,630,12931107840,
cholesky,syrk,18432,512,37486592,4000000,630,11284762860,
cholesky,gemm,18432,512,37486592,4000000,7140,240514527120,
cholesky,potrf,18432,1024,37486592,1000000,18,979808256,
cholesky,trsm,18432,1024,37486592,1000000,153,22854841344,
cholesky,syrk,18432,1024,37486592,1000000,153,21246838578,
cholesky,gemm,18432,1024,37486592,1000000,816,219685063872,
cholesky,potrf,18432,1024,37486592,4000000,18,979808256,
cholesky,trsm,18432,1024,37486592,4000000,153,22854841344,
cholesky,syrk,18432,1024,37486592,4000000,153,21246838578,
cholesky,gemm,18432,1024,37486592,4000000,816,219685063872,
cholesky,potrf,18432,2048,37486592,1000000,9,3570452064,
cholesky,trsm,18432,2048,37486592,1000000,36,40887263232,
cholesky,syrk,18432,2048,37486592,1000000,36,39381000264,
cholesky,gemm,18432,2048,37486592,1000000,84,180917109072,
cholesky,potrf,18432,2048,37486592,4000000,9,3570452064,
cholesky,trsm,18432,2048,37486592,4000000,36,40887263232,
cholesky,syrk,18432,2048,37486592,4000000,36,39381000264,
cholesky,gemm,18432,2048,37486592,4000000,84,180917109072,
cholesky,potrf,20480,512,37486592,1000000,40,319155200,
cholesky,trsm,20480,512,37486592,1000000,780,16009943040,
cholesky,syrk,20480,512,37486592,1000000,780,13971611160,
cholesky,gemm,20480,512,37486592,1000000,9880,332812819040,
cholesky,potrf,20480,512,37486592,4000000,40,319155200,
cholesky,trsm,20480,512,37486592,4000000,780,16009943040,
cholesky,syrk,20480,512,37486592,4000000,780,13971611160,
cholesky,gemm,20480,512,37486592,4000000,9880,332812819040,
cholesky,potrf,20480,1024,37486592,1000000,20,1088675840,
cholesky,trsm,20480,1024,37486592,1000000,190,28381829120,
cholesky,syrk,20480,1024,37486592,1000000,190,26384962940,
cholesky,gemm,20480,1024,37486592,1000000,1140,306912956880,
cholesky,potrf,20480,1024,37486592,4000000,20,1088675840,
cholesky,trsm,20480,1024,37486592,4000000,190,28381829120,
cholesky,syrk,20480,1024,37486592,4000000,190,26384962940,
cholesky,gemm,20480,1024,37486592,4000000,1140,306912956880,
cholesky,potrf,20480,2048,37486592,1000000,10,3967168960,
cholesky,trsm,20480,2048,37486592,1000000,45,51109079040,
cholesky,syrk,20480,2048,37486592,1000000,45,49226250330,
cholesky,gemm,20480,2048,37486592,1000000,120,258453012960,
cholesky,potrf,20480,2048,37486592,4000000,10,3967168960,
cholesky,trsm,20480,2048,37486592,4000000,45,51109079040,
cholesky,syrk,20480,2048,37486592,4000000,45,49226250330,
cholesky,gemm,20480,2048,37486592,4000000,120,258453012960,
cholesky,potrf,22528,512,37486592,1000000,44,351070720,
cholesky,trsm,22528,512,37486592,1000000,946,19417187328,
cholesky,syrk,22528,512,37486592,1000000,946,16945056612,
cholesky,gemm,22528,512,37486592,1000000,13244,446130867952,
cholesky,potrf,22528,512,37486592,4000000,44,351070720,
cholesky,trsm,22528,512,37486592,4000000,946,19417187328,
cholesky,syrk,22528,512,37486592,4000000,946,16945056612,
cholesky,gemm,22528,512,37486592,4000000,13244,446130867952,
cholesky,potrf,22528,1024,37486592,1000000,22,1197543424,
cholesky,trsm,22528,1024,37486592,1000000,231,34506329088,
cholesky,syrk,22528,1024,37486592,1000000,231,32078560206,
cholesky,gemm,22528,1024,37486592,1000000,1540,414601713680,
cholesky,potrf,22528,1024,37486592,4000000,22,1197543424,
cholesky,trsm,22528,1024,37486592,4000000,231,34506329088,
cholesky,syrk,22528,1024,37486592,4000000,231,32078560206,
cholesky,gemm,22528,1024,37486592,4000000,1540,414601713680,
cholesky,potrf,22528,2048,37486592,1000000,11,4363885856,
cholesky,trsm,22528,2048,37486592,1000000,55,62466652160,
cholesky,syrk,22528,2048,37486592,1000000,55,60165417070,
cholesky,gemm,22528,2048,37486592,1000000,165,355372892820,
cholesky,potrf,22528,2048,37486592,4000000,11,4363885856,
cholesky,trsm,22528,2048,37486592,4000000,55,62466652160,
cholesky,syrk,22528,2048,37486592,4000000,55,60165417070,
cholesky,gemm,22528,2048,37486592,4000000,165,355372892820,
cholesky,potrf,24576,512,37486592,1000000,48,382986240,
cholesky,trsm,24576,512,37486592,1000000,1128,23152840704,
cholesky,syrk,24576,512,37486592,1000000,1128,20205099216,
cholesky,gemm,24576,512,37486592,1000000,17296,582624546368,
cholesky,potrf,24576,512,37486592,4000000,48,382986240,
cholesky,trsm,24576,512,37486592,4000000,1128,23152840704,
cholesky,syrk,24576,512,37486592,4000000,1128,20205099216,
cholesky,gemm,24576,512,37486592,4000000,17296,582624546368,
cholesky,potrf,24576,1024,37486592,1000000,24,1306411008,
cholesky,trsm,24576,1024,37486592,1000000,276,41228341248,
cholesky,syrk,24576,1024,37486592,1000000,276,38327630376,
cholesky,gemm,24576,1024,37486592,1000000,2024,544905109408,
cholesky,potrf,24576,1024,37486592,4000000,24,1306411008,
cholesky,trsm,24576,1024,37486592,4000000,276,41228341248,
cholesky,syrk,24576,1024,37486592,4000000,276,38327630376,
cholesky,gemm,24576,1024,37486592,4000000,2024,544905109408,
cholesky,potrf,24576,2048,37486592,1000000,12,4760602752,
cholesky,trsm,24576,2048,37486592,1000000,66,74959982592,
cholesky,syrk,24576,2048,37486592,1000000,66,72198500484,
cholesky,gemm,24576,2048,37486592,1000000,220,473830523760,
cholesky,potrf,24576,2048,37486592,4000000,12,4760602752,
cholesky,trsm,24576,2048,37486592,4000000,66,74959982592,
cholesky,syrk,24576,2048,37486592,4000000,66,72198500484,
cholesky,gemm,24576,2048,37486592,4000000,220,473830523760,
