algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,24576,256,48,1,potrf,556058208,475273746,58295983,30867673,3.176100
cholesky,24576,256,48,1,gemm,556058208,475273746,58295983,30867673,3.176100
cholesky,24576,256,48,1,trsm,556058208,475273746,58295983,30867673,3.176100
cholesky,24576,256,48,1,syrk,556058208,475273746,58295983,30867673,3.176100
cholesky,24576,256,48,2,potrf,567219922,477505186,60111466,28920412,3.239900
cholesky,24576,256,48,2,gemm,567219922,477505186,60111466,28920412,3.239900
cholesky,24576,256,48,2,trsm,567219922,477505186,60111466,28920412,3.239900
cholesky,24576,256,48,2,syrk,567219922,477505186,60111466,28920412,3.239900
cholesky,24576,256,48,3,potrf,526819208,420207603,75243396,39849891,4.846400
cholesky,24576,256,48,3,gemm,526819208,420207603,75243396,39849891,4.846400
cholesky,24576,256,48,3,trsm,526819208,420207603,75243396,39849891,4.846400
cholesky,24576,256,48,3,syrk,526819208,420207603,75243396,39849891,4.846400
cholesky,24576,256,48,4,potrf,523526980,416933564,75206997,38898384,4.864800
cholesky,24576,256,48,4,gemm,523526980,416933564,75206997,38898384,4.864800
cholesky,24576,256,48,4,trsm,523526980,416933564,75206997,38898384,4.864800
cholesky,24576,256,48,4,syrk,523526980,416933564,75206997,38898384,4.864800
cholesky,24576,256,48,5,potrf,553031848,458934188,57786249,30756106,3.188400
cholesky,24576,256,48,5,gemm,553031848,458934188,57786249,30756106,3.188400
cholesky,24576,256,48,5,trsm,553031848,458934188,57786249,30756106,3.188400
cholesky,24576,256,48,5,syrk,553031848,458934188,57786249,30756106,3.188400
cholesky,24576,256,48,6,potrf,579692058,470166705,62270939,30035598,3.379400
cholesky,24576,256,48,6,gemm,579692058,470166705,62270939,30035598,3.379400
cholesky,24576,256,48,6,trsm,579692058,470166705,62270939,30035598,3.379400
cholesky,24576,256,48,6,syrk,579692058,470166705,62270939,30035598,3.379400
cholesky,24576,256,48,7,potrf,528904224,417273712,76851992,40148501,4.996800
cholesky,24576,256,48,7,gemm,528904224,417273712,76851992,40148501,4.996800
cholesky,24576,256,48,7,trsm,528904224,417273712,76851992,40148501,4.996800
cholesky,24576,256,48,7,syrk,528904224,417273712,76851992,40148501,4.996800
cholesky,24576,256,48,8,potrf,527453362,422971146,76905052,41326218,5.075000
cholesky,24576,256,48,8,gemm,527453362,422971146,76905052,41326218,5.075000
cholesky,24576,256,48,8,trsm,527453362,422971146,76905052,41326218,5.075000
cholesky,24576,256,48,8,syrk,527453362,422971146,76905052,41326218,5.075000
cholesky,24576,256,48,9,potrf,553098133,467096582,57821347,31118073,3.167500
cholesky,24576,256,48,9,gemm,553098133,467096582,57821347,31118073,3.167500
cholesky,24576,256,48,9,trsm,553098133,467096582,57821347,31118073,3.167500
cholesky,24576,256,48,9,syrk,553098133,467096582,57821347,31118073,3.167500
cholesky,24576,256,48,10,potrf,556644693,460790508,58589116,29371869,3.191000
cholesky,24576,256,48,10,gemm,556644693,460790508,58589116,29371869,3.191000
cholesky,24576,256,48,10,trsm,556644693,460790508,58589116,29371869,3.191000
cholesky,24576,256,48,10,syrk,556644693,460790508,58589116,29371869,3.191000
cholesky,24576,256,48,11,potrf,525753353,418610256,75391286,40065223,4.885700
cholesky,24576,256,48,11,gemm,525753353,418610256,75391286,40065223,4.885700
cholesky,24576,256,48,11,trsm,525753353,418610256,75391286,40065223,4.885700
cholesky,24576,256,48,11,syrk,525753353,418610256,75391286,40065223,4.885700
cholesky,24576,256,48,12,potrf,526267086,419133448,76389564,40165010,4.935500
cholesky,24576,256,48,12,gemm,526267086,419133448,76389564,40165010,4.935500
cholesky,24576,256,48,12,trsm,526267086,419133448,76389564,40165010,4.935500
cholesky,24576,256,48,12,syrk,526267086,419133448,76389564,40165010,4.935500
cholesky,24576,256,48,13,potrf,562874902,464078340,59686233,30709028,3.286200
cholesky,24576,256,48,13,gemm,562874902,464078340,59686233,30709028,3.286200
cholesky,24576,256,48,13,trsm,562874902,464078340,59686233,30709028,3.286200
cholesky,24576,256,48,13,syrk,562874902,464078340,59686233,30709028,3.286200
cholesky,24576,256,48,14,potrf,569122383,464888214,60749048,28706824,3.333600
cholesky,24576,256,48,14,gemm,569122383,464888214,60749048,28706824,3.333600
cholesky,24576,256,48,14,trsm,569122383,464888214,60749048,28706824,3.333600
cholesky,24576,256,48,14,syrk,569122383,464888214,60749048,28706824,3.333600
cholesky,24576,256,48,15,potrf,524088258,421214437,75643690,41430946,5.007800
cholesky,24576,256,48,15,gemm,524088258,421214437,75643690,41430946,5.007800
cholesky,24576,256,48,15,trsm,524088258,421214437,75643690,41430946,5.007800
cholesky,24576,256,48,15,syrk,524088258,421214437,75643690,41430946,5.007800
cholesky,24576,256,48,16,potrf,526950678,418036100,77073337,40845476,5.043600
cholesky,24576,256,48,16,gemm,526950678,418036100,77073337,40845476,5.043600
cholesky,24576,256,48,16,trsm,526950678,418036100,77073337,40845476,5.043600
cholesky,24576,256,48,16,syrk,526950678,418036100,77073337,40845476,5.043600
cholesky,24576,512,48,1,potrf,602215622,486471411,65416374,30048971,3.442600
cholesky,24576,512,48,1,gemm,602215622,486471411,65416374,30048971,3.442600
cholesky,24576,512,48,1,trsm,602215622,486471411,65416374,30048971,3.442600
cholesky,24576,512,48,1,syrk,602215622,486471411,65416374,30048971,3.442600
cholesky,24576,512,48,2,potrf,604237955,489263335,65714999,30323943,3.467300
cholesky,24576,512,48,2,gemm,604237955,489263335,65714999,30323943,3.467300
cholesky,24576,512,48,2,trsm,604237955,489263335,65714999,30323943,3.467300
cholesky,24576,512,48,2,syrk,604237955,489263335,65714999,30323943,3.467300
cholesky,24576,512,48,3,potrf,493587725,384304192,75192446,36856721,4.313100
cholesky,24576,512,48,3,gemm,493587725,384304192,75192446,36856721,4.313100
cholesky,24576,512,48,3,trsm,493587725,384304192,75192446,36856721,4.313100
cholesky,24576,512,48,3,syrk,493587725,384304192,75192446,36856721,4.313100
cholesky,24576,512,48,4,potrf,493663958,383284969,76010262,36465224,4.328400
cholesky,24576,512,48,4,gemm,493663958,383284969,76010262,36465224,4.328400
cholesky,24576,512,48,4,trsm,493663958,383284969,76010262,36465224,4.328400
cholesky,24576,512,48,4,syrk,493663958,383284969,76010262,36465224,4.328400
cholesky,24576,512,48,5,potrf,594137395,470015459,65791132,30678091,3.504800
cholesky,24576,512,48,5,gemm,594137395,470015459,65791132,30678091,3.504800
cholesky,24576,512,48,5,trsm,594137395,470015459,65791132,30678091,3.504800
cholesky,24576,512,48,5,syrk,594137395,470015459,65791132,30678091,3.504800
cholesky,24576,512,48,6,potrf,596929441,471031570,66392132,30560740,3.506800
cholesky,24576,512,48,6,gemm,596929441,471031570,66392132,30560740,3.506800
cholesky,24576,512,48,6,trsm,596929441,471031570,66392132,30560740,3.506800
cholesky,24576,512,48,6,syrk,596929441,471031570,66392132,30560740,3.506800
cholesky,24576,512,48,7,potrf,497737861,384599846,78518912,37983505,4.528800
cholesky,24576,512,48,7,gemm,497737861,384599846,78518912,37983505,4.528800
cholesky,24576,512,48,7,trsm,497737861,384599846,78518912,37983505,4.528800
cholesky,24576,512,48,7,syrk,497737861,384599846,78518912,37983505,4.528800
cholesky,24576,512,48,8,potrf,500448181,386589769,79073996,38161596,4.574000
cholesky,24576,512,48,8,gemm,500448181,386589769,79073996,38161596,4.574000
cholesky,24576,512,48,8,trsm,500448181,386589769,79073996,38161596,4.574000
cholesky,24576,512,48,8,syrk,500448181,386589769,79073996,38161596,4.574000
cholesky,24576,512,48,9,potrf,597495357,476581360,65698108,31021362,3.460400
cholesky,24576,512,48,9,gemm,597495357,476581360,65698108,31021362,3.460400
cholesky,24576,512,48,9,trsm,597495357,476581360,65698108,31021362,3.460400
cholesky,24576,512,48,9,syrk,597495357,476581360,65698108,31021362,3.460400
cholesky,24576,512,48,10,potrf,605792943,479498345,67153047,30592518,3.515300
cholesky,24576,512,48,10,gemm,605792943,479498345,67153047,30592518,3.515300
cholesky,24576,512,48,10,trsm,605792943,479498345,67153047,30592518,3.515300
cholesky,24576,512,48,10,syrk,605792943,479498345,67153047,30592518,3.515300
cholesky,24576,512,48,11,potrf,498299444,384893606,77339159,37401921,4.401600
cholesky,24576,512,48,11,gemm,498299444,384893606,77339159,37401921,4.401600
cholesky,24576,512,48,11,trsm,498299444,384893606,77339159,37401921,4.401600
cholesky,24576,512,48,11,syrk,498299444,384893606,77339159,37401921,4.401600
cholesky,24576,512,48,12,potrf,498218146,384400261,77980734,36953646,4.413200
cholesky,24576,512,48,12,gemm,498218146,384400261,77980734,36953646,4.413200
cholesky,24576,512,48,12,trsm,498218146,384400261,77980734,36953646,4.413200
cholesky,24576,512,48,12,syrk,498218146,384400261,77980734,36953646,4.413200
cholesky,24576,512,48,13,potrf,586318628,464824982,66240447,30817933,3.507400
cholesky,24576,512,48,13,gemm,586318628,464824982,66240447,30817933,3.507400
cholesky,24576,512,48,13,trsm,586318628,464824982,66240447,30817933,3.507400
cholesky,24576,512,48,13,syrk,586318628,464824982,66240447,30817933,3.507400
cholesky,24576,512,48,14,potrf,592353403,463829379,66751559,30670732,3.541500
cholesky,24576,512,48,14,gemm,592353403,463829379,66751559,30670732,3.541500
cholesky,24576,512,48,14,trsm,592353403,463829379,66751559,30670732,3.541500
cholesky,24576,512,48,14,syrk,592353403,463829379,66751559,30670732,3.541500
cholesky,24576,512,48,15,potrf,498137091,383601130,79723725,38428964,4.589600
cholesky,24576,512,48,15,gemm,498137091,383601130,79723725,38428964,4.589600
cholesky,24576,512,48,15,trsm,498137091,383601130,79723725,38428964,4.589600
cholesky,24576,512,48,15,syrk,498137091,383601130,79723725,38428964,4.589600
cholesky,24576,512,48,16,potrf,493570087,383863092,78845001,38405096,4.614700
cholesky,24576,512,48,16,gemm,493570087,383863092,78845001,38405096,4.614700
cholesky,24576,512,48,16,trsm,493570087,383863092,78845001,38405096,4.614700
cholesky,24576,512,48,16,syrk,493570087,383863092,78845001,38405096,4.614700
cholesky,24576,1024,48,1,potrf,541492571,461598733,58980644,33132762,3.095800
cholesky,24576,1024,48,1,gemm,541492571,461598733,58980644,33132762,3.095800
cholesky,24576,1024,48,1,trsm,541492571,461598733,58980644,33132762,3.095800
cholesky,24576,1024,48,1,syrk,541492571,461598733,58980644,33132762,3.095800
cholesky,24576,1024,48,2,potrf,561574856,456603568,61601243,31653619,3.223500
cholesky,24576,1024,48,2,gemm,561574856,456603568,61601243,31653619,3.223500
cholesky,24576,1024,48,2,trsm,561574856,456603568,61601243,31653619,3.223500
cholesky,24576,1024,48,2,syrk,561574856,456603568,61601243,31653619,3.223500
cholesky,24576,1024,48,3,potrf,451925479,361151542,66859240,37469975,3.771900
cholesky,24576,1024,48,3,gemm,451925479,361151542,66859240,37469975,3.771900
cholesky,24576,1024,48,3,trsm,451925479,361151542,66859240,37469975,3.771900
cholesky,24576,1024,48,3,syrk,451925479,361151542,66859240,37469975,3.771900
cholesky,24576,1024,48,4,potrf,454499630,360695365,67953710,37212783,3.834500
cholesky,24576,1024,48,4,gemm,454499630,360695365,67953710,37212783,3.834500
cholesky,24576,1024,48,4,trsm,454499630,360695365,67953710,37212783,3.834500
cholesky,24576,1024,48,4,syrk,454499630,360695365,67953710,37212783,3.834500
cholesky,24576,1024,48,5,potrf,521480782,435950056,59127524,32686216,3.131000
cholesky,24576,1024,48,5,gemm,521480782,435950056,59127524,32686216,3.131000
cholesky,24576,1024,48,5,trsm,521480782,435950056,59127524,32686216,3.131000
cholesky,24576,1024,48,5,syrk,521480782,435950056,59127524,32686216,3.131000
cholesky,24576,1024,48,6,potrf,541354877,443208155,61454807,31856054,3.235800
cholesky,24576,1024,48,6,gemm,541354877,443208155,61454807,31856054,3.235800
cholesky,24576,1024,48,6,trsm,541354877,443208155,61454807,31856054,3.235800
cholesky,24576,1024,48,6,syrk,541354877,443208155,61454807,31856054,3.235800
cholesky,24576,1024,48,7,potrf,448072828,361794179,68662392,40513053,4.035100
cholesky,24576,1024,48,7,gemm,448072828,361794179,68662392,40513053,4.035100
cholesky,24576,1024,48,7,trsm,448072828,361794179,68662392,40513053,4.035100
cholesky,24576,1024,48,7,syrk,448072828,361794179,68662392,40513053,4.035100
cholesky,24576,1024,48,8,potrf,447893873,364607587,68747964,40340959,4.059200
cholesky,24576,1024,48,8,gemm,447893873,364607587,68747964,40340959,4.059200
cholesky,24576,1024,48,8,trsm,447893873,364607587,68747964,40340959,4.059200
cholesky,24576,1024,48,8,syrk,447893873,364607587,68747964,40340959,4.059200
cholesky,24576,1024,48,9,potrf,533727027,445842914,59058597,33322375,3.108800
