algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L2_TCR,PAPI_L2_TCW,
cholesky,potrf,8192,256,37486592,1000000,32,518226,621749,
cholesky,trsm,8192,256,37486592,1000000,496,189865442,17156669,
cholesky,syrk,8192,256,37486592,1000000,496,10951415,16655979,
cholesky,gemm,8192,256,37486592,1000000,4960,135778856,162142325,
cholesky,potrf,8192,256,37486592,4000000,32,553891,619586,
cholesky,trsm,8192,256,37486592,4000000,496,189323517,16927960,
cholesky,syrk,8192,256,37486592,4000000,496,10804267,16439801,
cholesky,gemm,8192,256,37486592,4000000,4960,128570388,161008398,
cholesky,potrf,8192,512,37486592,1000000,16,6255392,1823912,
cholesky,trsm,8192,512,37486592,1000000,120,241002550,18646570,
cholesky,syrk,8192,512,37486592,1000000,120,23591781,17854393,
cholesky,gemm,8192,512,37486592,1000000,560,146219856,96178696,
cholesky,potrf,8192,512,37486592,4000000,16,6200755,1737942,
cholesky,trsm,8192,512,37486592,4000000,120,240072516,16091003,
cholesky,syrk,8192,512,37486592,4000000,120,22867963,17061340,
cholesky,gemm,8192,512,37486592,4000000,560,144269344,96111610,
cholesky,potrf,8192,1024,37486592,1000000,8,22048194,3213715,
cholesky,trsm,8192,1024,37486592,1000000,28,249584705,19571427,
cholesky,syrk,8192,1024,37486592,1000000,28,22107512,17477951,
cholesky,gemm,8192,1024,37486592,1000000,56,60359646,42757728,
cholesky,potrf,8192,1024,37486592,4000000,8,21801546,2929092,
cholesky,trsm,8192,1024,37486592,4000000,28,250518766,17394659,
cholesky,syrk,8192,1024,37486592,4000000,28,21361928,15872153,
cholesky,gemm,8192,1024,37486592,4000000,56,59155908,42254822,
cholesky,potrf,8192,2048,37486592,1000000,4,70611379,7326896,
cholesky,trsm,8192,2048,37486592,1000000,6,231118834,19863762,
cholesky,syrk,8192,2048,37486592,1000000,6,28192057,18160522,
cholesky,gemm,8192,2048,37486592,1000000,4,29866266,16530024,
cholesky,potrf,8192,2048,37486592,4000000,4,70524050,6914970,
cholesky,trsm,8192,2048,37486592,4000000,6,230552153,18500566,
cholesky,syrk,8192,2048,37486592,4000000,6,27419283,17086374,
cholesky,gemm,8192,2048,37486592,4000000,4,29431715,16447741,
