algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
cholesky,potrf,8192,256,37486592,1000000,32,41390080,
cholesky,trsm,8192,256,37486592,1000000,496,1503014912,
cholesky,syrk,8192,256,37486592,1000000,496,1176878048,
cholesky,gemm,8192,256,37486592,1000000,4960,20885032320,
cholesky,potrf,8192,256,37486592,4000000,32,41390080,
cholesky,trsm,8192,256,37486592,4000000,496,1503014912,
cholesky,syrk,8192,256,37486592,4000000,496,1176878048,
cholesky,gemm,8192,256,37486592,4000000,4960,20885032320,
cholesky,potrf,8192,512,37486592,1000000,16,127662080,
cholesky,trsm,8192,512,37486592,1000000,120,2463068160,
cholesky,syrk,8192,512,37486592,1000000,120,2149478640,
cholesky,gemm,8192,512,37486592,1000000,560,18863884480,
cholesky,potrf,8192,512,37486592,4000000,16,127662080,
cholesky,trsm,8192,512,37486592,4000000,120,2463068160,
cholesky,syrk,8192,512,37486592,4000000,120,2149478640,
cholesky,gemm,8192,512,37486592,4000000,560,18863884480,
cholesky,potrf,8192,1024,37486592,1000000,8,435470336,
cholesky,trsm,8192,1024,37486592,1000000,28,4182585344,
cholesky,syrk,8192,1024,37486592,1000000,28,3888310328,
cholesky,gemm,8192,1024,37486592,1000000,56,15076425952,
cholesky,potrf,8192,1024,37486592,4000000,8,435470336,
cholesky,trsm,8192,1024,37486592,4000000,28,4182585344,
cholesky,syrk,8192,1024,37486592,4000000,28,3888310328,
cholesky,gemm,8192,1024,37486592,4000000,56,15076425952,
cholesky,potrf,8192,2048,37486592,1000000,4,1586867584,
cholesky,trsm,8192,2048,37486592,1000000,6,6814543872,
cholesky,syrk,8192,2048,37486592,1000000,6,6563500044,
cholesky,gemm,8192,2048,37486592,1000000,4,8615100432,
cholesky,potrf,8192,2048,37486592,4000000,4,1586867584,
cholesky,trsm,8192,2048,37486592,4000000,6,6814543872,
cholesky,syrk,8192,2048,37486592,4000000,6,6563500044,
cholesky,gemm,8192,2048,37486592,4000000,4,8615100432,
