algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
cholesky,potrf,8192,256,37486592,1000000,32,215346,112079291,34713766,3731003,
cholesky,trsm,8192,256,37486592,1000000,496,3860682,3887101106,1609512083,529299750,
cholesky,syrk,8192,256,37486592,1000000,496,5603091,1247366909,437132602,105487812,
cholesky,gemm,8192,256,37486592,1000000,4960,56651772,20307804274,6692296471,1388323181,
cholesky,potrf,8192,256,37486592,4000000,32,219949,112079225,35254216,4717961,
cholesky,trsm,8192,256,37486592,4000000,496,3978049,3887096919,1633267419,570667902,
cholesky,syrk,8192,256,37486592,4000000,496,5731559,1247364962,470321162,138464062,
cholesky,gemm,8192,256,37486592,4000000,4960,55650571,20307791867,6841741523,1532100395,
cholesky,potrf,8192,512,37486592,1000000,16,814471,267298346,96707821,23807142,
cholesky,trsm,8192,512,37486592,1000000,120,7078946,4826045479,2000490269,685329348,
cholesky,syrk,8192,512,37486592,1000000,120,11686536,2121783470,727674377,171199963,
cholesky,gemm,8192,512,37486592,1000000,560,48248453,17538811077,5652486754,1114409746,
cholesky,potrf,8192,512,37486592,4000000,16,807432,267298078,99969204,27143041,
cholesky,trsm,8192,512,37486592,4000000,120,7011660,4826041998,2031959062,717196729,
cholesky,syrk,8192,512,37486592,4000000,120,11438134,2121781678,768029721,212163538,
cholesky,gemm,8192,512,37486592,4000000,560,48370174,17538797421,5753484043,1217615888,
cholesky,potrf,8192,1024,37486592,1000000,8,1879992,736205226,272961037,73538943,
cholesky,trsm,8192,1024,37486592,1000000,28,8202824,6253273681,2447904327,771026659,
cholesky,syrk,8192,1024,37486592,1000000,28,12517488,3650874136,1156523908,219881819,
cholesky,gemm,8192,1024,37486592,1000000,56,32370207,13685534655,4178506013,696211958,
cholesky,potrf,8192,1024,37486592,4000000,8,1844253,736205256,280700893,81535849,
cholesky,trsm,8192,1024,37486592,4000000,28,8034392,6253274327,2479584039,803485445,
cholesky,syrk,8192,1024,37486592,4000000,28,12568247,3650873909,1200981437,264798306,
cholesky,gemm,8192,1024,37486592,4000000,56,32701951,13685530769,4256035255,774089297,
cholesky,potrf,8192,2048,37486592,1000000,4,3713311,2193115755,824007717,236599476,
cholesky,trsm,8192,2048,37486592,1000000,6,13767733,8253707441,2984889604,816407845,
cholesky,syrk,8192,2048,37486592,1000000,6,15043395,5997669558,1842856917,316406576,
cholesky,gemm,8192,2048,37486592,1000000,4,17840240,7729465389,2326179433,367447932,
cholesky,potrf,8192,2048,37486592,4000000,4,3914508,2193115570,845041974,258144437,
cholesky,trsm,8192,2048,37486592,4000000,6,13442678,8253706864,3013101101,845617076,
cholesky,syrk,8192,2048,37486592,4000000,6,15424959,5997668876,1900112410,373536947,
cholesky,gemm,8192,2048,37486592,4000000,4,17788824,7729465185,2367949305,408332616,
