algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
cholesky,potrf,8192,256,37486592,1000000,32,217124,112081821,34115127,3427214,
cholesky,trsm,8192,256,37486592,1000000,496,3945919,3887102334,1601329785,528111298,
cholesky,syrk,8192,256,37486592,1000000,496,5566656,1247370396,437079048,105357508,
cholesky,gemm,8192,256,37486592,1000000,4960,57221761,20307804691,6691325958,1383166661,
cholesky,potrf,8192,256,37486592,4000000,32,219663,112079453,35222221,4666414,
cholesky,trsm,8192,256,37486592,4000000,496,3940331,3887093596,1633539860,571301593,
cholesky,syrk,8192,256,37486592,4000000,496,5627045,1247365898,469428439,137727487,
cholesky,gemm,8192,256,37486592,4000000,4960,57053587,20307787894,6868843996,1559413458,
cholesky,potrf,8192,512,37486592,1000000,16,824714,267298107,97246845,23627847,
cholesky,trsm,8192,512,37486592,1000000,120,7254831,4826041412,2013281920,686730856,
cholesky,syrk,8192,512,37486592,1000000,120,11452034,2121779356,727604334,171038141,
cholesky,gemm,8192,512,37486592,1000000,560,48149665,17538811136,5654823386,1116225517,
cholesky,potrf,8192,512,37486592,4000000,16,789767,267298324,100116938,27244175,
cholesky,trsm,8192,512,37486592,4000000,120,6919433,4826043717,2048422367,733035320,
cholesky,syrk,8192,512,37486592,4000000,120,11214087,2121781139,767069420,211191777,
cholesky,gemm,8192,512,37486592,4000000,560,47861372,17538801829,5750955889,1214745837,
cholesky,potrf,8192,1024,37486592,1000000,8,1789191,736203348,275662847,73709750,
cholesky,trsm,8192,1024,37486592,1000000,28,8846152,6253275332,2465456515,770968528,
cholesky,syrk,8192,1024,37486592,1000000,28,12806380,3650874698,1156875157,220059522,
cholesky,gemm,8192,1024,37486592,1000000,56,34512332,13685535097,4178342932,694920028,
cholesky,potrf,8192,1024,37486592,4000000,8,1740282,736204877,279950265,80814801,
cholesky,trsm,8192,1024,37486592,4000000,28,8326034,6253273877,2475211233,799925596,
cholesky,syrk,8192,1024,37486592,4000000,28,12174196,3650874453,1200261898,263977616,
cholesky,gemm,8192,1024,37486592,4000000,56,32233238,13685532423,4254524211,772139911,
cholesky,potrf,8192,2048,37486592,1000000,4,3745015,2193115684,826814013,238995451,
cholesky,trsm,8192,2048,37486592,1000000,6,13478263,8253707348,2974832361,806730397,
cholesky,syrk,8192,2048,37486592,1000000,6,15282549,5997669145,1844098959,317528246,
cholesky,gemm,8192,2048,37486592,1000000,4,18020144,7729465486,2327328704,368364630,
cholesky,potrf,8192,2048,37486592,4000000,4,3722781,2193114328,842411495,255637205,
cholesky,trsm,8192,2048,37486592,4000000,6,13284725,8253706740,3023220773,855267961,
cholesky,syrk,8192,2048,37486592,4000000,6,15155028,5997669091,1900332520,373643503,
cholesky,gemm,8192,2048,37486592,4000000,4,17779896,7729464742,2366893948,407304639,
