algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,12288,256,48,1,potrf,127438944,126636090,9673578,5623484,0.702800
cholesky,12288,256,48,1,gemm,127438944,126636090,9673578,5623484,0.702800
cholesky,12288,256,48,1,trsm,127438944,126636090,9673578,5623484,0.702800
cholesky,12288,256,48,1,syrk,127438944,126636090,9673578,5623484,0.702800
cholesky,12288,256,48,2,potrf,127840737,126742107,9972647,5412788,0.697600
cholesky,12288,256,48,2,gemm,127840737,126742107,9972647,5412788,0.697600
cholesky,12288,256,48,2,trsm,127840737,126742107,9972647,5412788,0.697600
cholesky,12288,256,48,2,syrk,127840737,126742107,9972647,5412788,0.697600
cholesky,12288,256,48,3,potrf,148974533,125547591,18195923,12879876,1.792800
cholesky,12288,256,48,3,gemm,148974533,125547591,18195923,12879876,1.792800
cholesky,12288,256,48,3,trsm,148974533,125547591,18195923,12879876,1.792800
cholesky,12288,256,48,3,syrk,148974533,125547591,18195923,12879876,1.792800
cholesky,12288,256,48,4,potrf,149406356,125798384,18297683,12986349,1.793200
cholesky,12288,256,48,4,gemm,149406356,125798384,18297683,12986349,1.793200
cholesky,12288,256,48,4,trsm,149406356,125798384,18297683,12986349,1.793200
cholesky,12288,256,48,4,syrk,149406356,125798384,18297683,12986349,1.793200
cholesky,12288,256,48,5,potrf,136507707,124174914,10486635,6106766,0.762500
cholesky,12288,256,48,5,gemm,136507707,124174914,10486635,6106766,0.762500
cholesky,12288,256,48,5,trsm,136507707,124174914,10486635,6106766,0.762500
cholesky,12288,256,48,5,syrk,136507707,124174914,10486635,6106766,0.762500
cholesky,12288,256,48,6,potrf,135575092,124935593,10498080,6105695,0.761900
cholesky,12288,256,48,6,gemm,135575092,124935593,10498080,6105695,0.761900
cholesky,12288,256,48,6,trsm,135575092,124935593,10498080,6105695,0.761900
cholesky,12288,256,48,6,syrk,135575092,124935593,10498080,6105695,0.761900
cholesky,12288,256,48,7,potrf,150186994,126596721,18704082,13510726,1.855600
cholesky,12288,256,48,7,gemm,150186994,126596721,18704082,13510726,1.855600
