algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
invert,getrf,18432,256,37486592,1000000,72,111003924,
invert,gemm,18432,256,37486592,1000000,121836,513013870512,
invert,trsm,18432,256,37486592,1000000,2556,5695013376,
invert,getri,18432,256,37486592,1000000,72,200821488,
invert,getrf,18432,256,37486592,4000000,72,111003924,
invert,gemm,18432,256,37486592,4000000,121836,513013870512,
invert,trsm,18432,256,37486592,4000000,2556,5695013376,
invert,getri,18432,256,37486592,4000000,72,200821488,
invert,getrf,18432,512,37486592,1000000,36,478538388,
invert,gemm,18432,512,37486592,1000000,14910,502250924280,
invert,trsm,18432,512,37486592,1000000,630,10909946880,
invert,getri,18432,512,37486592,1000000,36,891575424,
invert,getrf,18432,512,37486592,4000000,36,478538388,
invert,gemm,18432,512,37486592,4000000,14910,502250924280,
invert,trsm,18432,512,37486592,4000000,630,10909946880,
invert,getri,18432,512,37486592,4000000,36,891575424,
invert,getrf,18432,1024,37486592,1000000,18,1763350218,
invert,gemm,18432,1024,37486592,1000000,1785,480561077220,
invert,trsm,18432,1024,37486592,1000000,153,20891036160,
invert,getri,18432,1024,37486592,1000000,18,3360815424,
invert,getrf,18432,1024,37486592,4000000,18,1763350218,
invert,gemm,18432,1024,37486592,4000000,1785,480561077220,
invert,trsm,18432,1024,37486592,4000000,153,20891036160,
invert,getri,18432,1024,37486592,4000000,18,3360815424,
invert,getrf,18432,2048,37486592,1000000,9,6757636581,
invert,gemm,18432,2048,37486592,1000000,204,439370122032,
invert,trsm,18432,2048,37486592,1000000,36,39039049728,
invert,getri,18432,2048,37486592,1000000,9,13137510528,
invert,getrf,18432,2048,37486592,4000000,9,6757636581,
invert,gemm,18432,2048,37486592,4000000,204,439370122032,
invert,trsm,18432,2048,37486592,4000000,36,39039049728,
invert,getri,18432,2048,37486592,4000000,9,13137510528,
invert,getrf,20480,256,37486592,1000000,80,126315516,
invert,gemm,20480,256,37486592,1000000,167480,705206696160,
invert,trsm,20480,256,37486592,1000000,3160,7040783360,
invert,getri,20480,256,37486592,1000000,80,229006960,
invert,getrf,20480,256,37486592,4000000,80,126315516,
invert,gemm,20480,256,37486592,4000000,167480,705206696160,
invert,trsm,20480,256,37486592,4000000,3160,7040783360,
invert,getri,20480,256,37486592,4000000,80,229006960,
invert,getrf,20480,512,37486592,1000000,40,531709320,
invert,gemm,20480,512,37486592,1000000,20540,691900334320,
invert,trsm,20480,512,37486592,1000000,780,13507553280,
invert,getri,20480,512,37486592,1000000,40,990639360,
invert,getrf,20480,512,37486592,4000000,40,531709320,
invert,gemm,20480,512,37486592,4000000,20540,691900334320,
invert,trsm,20480,512,37486592,4000000,780,13507553280,
invert,getri,20480,512,37486592,4000000,40,990639360,
invert,getrf,20480,1024,37486592,1000000,20,1959278020,
invert,gemm,20480,1024,37486592,1000000,2470,664978073240,
invert,trsm,20480,1024,37486592,1000000,190,25943116800,
invert,getri,20480,1024,37486592,1000000,20,3734239360,
invert,getrf,20480,1024,37486592,4000000,20,1959278020,
invert,gemm,20480,1024,37486592,4000000,2470,664978073240,
invert,trsm,20480,1024,37486592,4000000,190,25943116800,
invert,getri,20480,1024,37486592,4000000,20,3734239360,
invert,getrf,20480,2048,37486592,1000000,10,7508485090,
invert,gemm,20480,2048,37486592,1000000,285,613825905780,
invert,trsm,20480,2048,37486592,1000000,45,48798812160,
invert,getri,20480,2048,37486592,1000000,10,14597233920,
invert,getrf,20480,2048,37486592,4000000,10,7508485090,
invert,gemm,20480,2048,37486592,4000000,285,613825905780,
invert,trsm,20480,2048,37486592,4000000,45,48798812160,
invert,getri,20480,2048,37486592,4000000,10,14597233920,
